Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
"Yogurtera Smart Tek Digital 7 Recip Vidrio 1,2 Litros Color Plateado",https://www.mercadolibre.com.ar/yogurtera-smart-tek-digital-7-recip-vidrio-12-litros-color-plateado/p/MLA26925122#searchVariation=MLA26925122&position=8&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,60.059,Smart-Tek,Nuevo  |  +5mil vendidos,(56 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1505288490,2024-02-28 11:19:29,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Gomitas conitos Arcor Mogul Yogus 500g,https://www.mercadolibre.com.ar/gomitas-conitos-arcor-mogul-yogus-500g/p/MLA20015617#searchVariation=MLA20015617&position=11&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,4.098,TANDILSL,Nuevo  |  +1000 vendidos,(18 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390536355,2024-02-28 11:19:29,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Yogurt Griego Natural Sin Azúcar 500gr,https://articulo.mercadolibre.com.ar/MLA-1402504030-yogurt-griego-natural-sin-azucar-500gr-_JM#position=25&search_layout=stack&type=item&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,4.800,HANSHOP BA,Nuevo  |  +100 vendidos,(894 disponibles),Nuevo  |  +100 vendidos,No disponible,#1402504030,2024-02-28 11:19:29,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Bolsa de chupetines Arcor Mr. Pops yogus ananá frutilla y blueberry 50 unidades,https://www.mercadolibre.com.ar/bolsa-de-chupetines-arcor-mr-pops-yogus-anana-frutilla-y-blueberry-50-unidades/p/MLA24560245#searchVariation=MLA24560245&position=12&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,3.935,TANDILSL,Nuevo  |  +100 vendidos,(22 disponibles),Nuevo  |  +100 vendidos,No disponible,#1393315033,2024-02-28 11:19:29,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Fermento Para Preparar Yogur Chr Hansen,https://articulo.mercadolibre.com.ar/MLA-917949698-fermento-para-preparar-yogur-chr-hansen-_JM#position=26&search_layout=stack&type=item&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,15.300,VESI9198156,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#917949698,2024-02-28 11:19:29,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Yogurt Griego Natural Sin Azúcar Pack X6 - 500gr C/u,https://articulo.mercadolibre.com.ar/MLA-1402273312-yogurt-griego-natural-sin-azucar-pack-x6-500gr-cu-_JM#position=27&search_layout=stack&type=item&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,18.500,HANSHOP BA,Nuevo  |  +100 vendidos,(807 disponibles),Nuevo  |  +100 vendidos,No disponible,#1402273312,2024-02-28 11:19:29,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Confites Billiken Yogur Caja X 12un,https://www.mercadolibre.com.ar/confites-billiken-yogur-caja-x-12un/p/MLA29137192#searchVariation=MLA29137192&position=13&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,5.712,OPEN25HS!,Nuevo  |  +5 vendidos,(2 disponibles),Nuevo  |  +5 vendidos,No disponible,#1399840639,2024-02-28 11:19:29,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Bowl Enlozado Fruta Postre Cereales Vintage Trendy Corner,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FOScTH89K9z%2FNKwHvh8ES31ZGK1aj8MlP3abz6ULwZ%2BhehvnEMYl1h8Nw0PAsmLoqsqBfVrFzDBz5eWGvfnUmSGZldKo%2FiIgh3oSnYeHdh%2BiHg%2FY64V9DyUqlPAysYhMwU7U85k5Wcy0WutWVAOPCXecKGrDdQQM1ori0HgLd0PTkmWDSvwvgin2qvk7Lx4ZMH3KLpETm1evf3fGniVhOro284YCFnJHGBCFwwxuCbw9I0ki6hpdRGyTQU8xnwLrlykj8UhndO96s%2BxK77LHdd%2BNQ4ezIyj4L%2Bl57WU1WfqlxgNWysPDMT%2FLJ5EdUnZF8j8zNtjq8R6PtcI0n%2BPy%2F6fNPKFq91wjsw%2FS59z89Vpsnqd33SpVwDfebOQiPyMoIUUZDe6cCtxVg235tphhkVRXNrOG4vj6iEd%2FgPpoEFKB0uBcYcC%2Bj%2B1Zn8MrjQniARLEA%2F%2F80cYpOAkGd4SyIMkxSvZHhUg6vo9nEhXuHxWF5AluFo7DIhFZy1og97m5T0Mz4zM7Y8ZKlhWZgIgxSix1hkWN%2FBN5m9Gz1vYBPdLw%2BPYgsXCHiD%2BebbxD2fEclF87boORn1io8OQ9%2F0Ohkwmzerlp8lROfCIN7N1x8PS3CiefYDkAkA6iPULFlwSHW2GOWoAJ0eI%2BuYYefezMwRo4PAWX7zaR%2BNmvnqC1H%2FAigiMrkOX3cxtTpn5tPE9VTCmlAeBfrIp2ilF56w4lu33J62g%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.120,TRENDY CORNER,Nuevo  |  +5 vendidos,(6 disponibles),Nuevo  |  +5 vendidos,No disponible,#1155435261,2024-02-28 11:19:29,"Hogar, Muebles y Jardín",Bazar y Cocina,Vajilla y Artículos de Servir,Vajilla,Ensaladeras y Bowls
Yogurt Griego Con Probióticos Naturales 910ml Sin Azúcares ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=X8CTPMaokVDgQTan4s823F2OMq%2FbP4K3ef8aPS4rLv%2B%2BWbdg841CwIg2Zo37fwNPcqAASOy%2Fw0h9A%2BUCq9aiwt%2BW5pJnlVTmtsbfByeqpIIJ7l0Ywyp28sY1%2FZyTTi3U90n%2F96colwJnthcCEBe1WuNK6VuImzpvP8SRUcQn%2BFtpCa5u8qDGLKNTjT8%2FHwn7YeYVE4iAX1lAYf47g%2BOCJA2p5OatDwdHydLSQuopYU9bnxXmfh%2FnA8kdUFy3G%2BNE4TaKgZT466kGkE%2FFyWQedy3J91PecLDyOxzuTFqct4NmU08I2Yt216nD7braM6KE2rr0WDW8bnTANBU8X66SPLXoWL1j%2BYyFQGM%2FDbz47%2F61hl2WT13LwQaMvZwudGCC9zkvDb8xy5kIId09sSTSLLieF5tp0l4l79qpNDnWtb1cqswl1g7OoROMzTwqVmpDcCbykNbYGrMkqR1eL2QKQVYJbmD9rf54gSWYhjzZntO5765hCWkFlYGT7fi%2FN4tyQuhj0QBBZ0mCdfE55mrk%2Btr0ZSReBvPGoWuGUfdCyzBzIFhc29UzycLH6YhAbVOSFEpxwnGgZH9DZ850odeai%2BoTCn0dxANPsjBNpXBj%2FuzY%2Fr%2BEGyTZ97b5u9YvusV%2BaRc3EaTRwh4cOlIQ0WPaNDyL21139Bmshxl4hzm0z6dtQP1VdpshIuCSWZ62NbaolB0j8e6HrO%2Bc%2BGMx7weaZ4DwR9Y%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.227,PANEALEJANDRA,Nuevo  |  +5 vendidos,(2946 disponibles),Nuevo  |  +5 vendidos,No disponible,#1380642299,2024-02-28 11:19:29,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Smart-Tek YM800 220V Plateado 50Hz,https://www.mercadolibre.com.ar/smart-tek-ym800-220v-plateado-50hz/p/MLA27819168#searchVariation=MLA27819168&position=14&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,46.745,PHOTOSTORE,Nuevo  |  +10mil vendidos,(79 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1639124110,2024-02-28 11:19:29,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
