Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
3 Cajas Galletas De La Fortuna X 12 Unidades C/u,https://www.mercadolibre.com.ar/3-cajas-galletas-de-la-fortuna-x-12-unidades-cu/p/MLA21830687?pdp_filters=category:MLA1423#searchVariation=MLA21830687&position=12&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,3.140,HACHI_ARG,Nuevo  |  +5mil vendidos,(3 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1363214810,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Mauri Surtido Fauna Galletas Dulces- Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1137041029-galletitas-mauri-surtido-fauna-galletas-dulces-mejor-precio-_JM#position=47&search_layout=stack&type=item&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.195,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(148 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1137041029,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas De Chocolate Rellenas Dulces Smams Sin Tacc 105 G,https://www.mercadolibre.com.ar/galletitas-de-chocolate-rellenas-dulces-smams-sin-tacc-105-g/p/MLA22146499?pdp_filters=category:MLA1423#searchVariation=MLA22146499&position=13&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.200,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(38 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447331818,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Celosas Tradicionales Semibañadas Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-celosas-tradicionales-semibanadas-galletas-dulces/p/MLA21237455?pdp_filters=category:MLA1423#searchVariation=MLA21237455&position=14&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.173,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(70 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1328791861,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Pimienta Limon Badia X 184.3 Gr,https://www.mercadolibre.com.ar/pimienta-limon-badia-x-1843-gr/p/MLA21362422?pdp_filters=category:MLA1423#searchVariation=MLA21362422&position=15&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,8.890,OLIVOSYVIÑEDOS,Nuevo  |  +1000 vendidos,(9 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1438760144,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Salsas y Condimentos,Especias,nan
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=16&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(272 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1318175903,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Fibra Diet Nature Sin Azucar Gullon X 170 Gr,https://www.mercadolibre.com.ar/galletitas-fibra-diet-nature-sin-azucar-gullon-x-170-gr/p/MLA21697480?pdp_filters=category:MLA1423#searchVariation=MLA21697480&position=17&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,3.334,NEWGARDEN.COM.AR,Nuevo  |  +5mil vendidos,(158 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1344965398,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Bizcochos 9 De Oro Agridulces Galletitas,https://www.mercadolibre.com.ar/bizcochos-9-de-oro-agridulces-galletitas/p/MLA19531322?pdp_filters=category:MLA1423#searchVariation=MLA19531322&position=18&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,688,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(13 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156522788,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De Avena Sabor Mix Frutos Secos Por 10 Unidades,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=96LX1W8eLvmlX03EAHWvlsI1umoj69dcINr33NPuBnrHjJimsypIx3DjuKzgKdLmlfqIqg6NNO6cK48WifBUKDH9ri%2BkNOSSC4i5Gni6yvXKBtgkqUpgx04CDLiPQpg0Qz6s2wDgjvGUwkgddf7IjEkEHJpEcVhk6k4rFyGIWPzTt9UiT5Z5CsGHAoACw1%2Fy%2BED89maUf%2BixrgvSp%2FTvGZkGZ9WVnJ%2FPD7fwXr%2FpmXnchVEDv5pKkFMT7JStaGbvBkUvOZ60DX9OQwbKD7Mim4AJT2uZbU%2BK%2FadPNkXUHGg%2Bb7zPmp%2B1V6qObBm3GNR3y%2BnimZvhdcNs8JtLeb%2BuWlFwKSF6FN4dEwMche%2Fdd4HpJucxrrX1P6IHHIzNit0W4LcrISWiFbxcqMEAQNEU79QC%2F7xBQmTegtFPRC5wVBUNk0bpAFECE6Fy2vh9WrZpdRQkYgHjKwr4EZmLvnce9FdaculJATwfobiqRFALwCGTpmCNzhwy23J425Hx3zHAPrhH2gL9A7NMu8xqhQLW4SGMD1vwuMGpt2k%2Fpo8mpbu9yf%2BAvTq5AeDUn2spgf1emC7I8TeHC0IXsx%2F57oE%2Fw9vqcZ9%2BzwzIhi%2BvztpOS5joy7iWqrIPsIGLe2FdImD%2F6Xeh6HUR8H7mRN43M3G0mmD1i%2Bj09hQzoRta1h%2BjH16XDKCgbW3wR%2B6%2FuuDppm7jeIKF5wbG0VhUZqLP9NyyDEmfei65Hw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,6.190,PUNTONUEZ,Nuevo  |  +5 vendidos,(4 disponibles),Nuevo  |  +5 vendidos,No disponible,#1391794497,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De Avena Sabor Chocolate Por 10 Unidades,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=6XnWv%2FORcYJTufCOhmmn3VV%2BHWOk5sncB5etqiea2Qg%2FyXGnXi7RkFpO4M6yJ5hWkl885Ze09EKlexreRt9wEUsJdKticsKr4aCqRnG6gibFLnfXjHqFbvkjRwsFfnkuU8HRTdCFDsdUunAklknk5KdhZboD84OS3ony5%2FRd0R%2Fgg0XcmG7WMKLZYQwL7xulrUwyipCeSX9kKC%2FWB3d6A1mfd4GknqggmOAU7npgrlDg4gFDCtPc8eeiudUkGj%2BRQ%2FuA21n2BdSvxyTKlprZLYpejWnkMqJVRvQeUYlKn1i%2Bc8qy76a5M9LBZAv59Nvbh4V3T1p9aHHmI9FvBxhv2W0sodVmQbi9HqdF33KJ4pSy2yveJW6XLYFuxfjiITAp9CThQKR9j5DQYkqrVEXKTR7WgEmCJa7REav8IWUy%2Buaim2nS2O2kkDIvezd8IcCXhU9gPCLk5Znm888BkwHMW1kC1mIXGqUATz7r3WHAvVNLzn3TLKhX3pUEbXdteVn907WDLxL5NRjmXyLtcxCCrmrvM4Ktor%2BkCxgXPpm106XrJIozHpyeSist1nXscYpDaY6bvq6DVTN%2F%2Fehp66aqaX%2FRmBf9uHGcxWBEmD1wRrF3zGkXfJuE7qxVbItcXGSv9B6zCatWperHCv2%2BvSaws6KwN4x3tR85zsJwHnV%2FOmIMYr1Icn8WyPrGY0nBHHaFaM2OT%2BBpKUjkPaPD7e6GGA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,6.190,PUNTONUEZ,Nuevo  |  +25 vendidos,(27 disponibles),Nuevo  |  +25 vendidos,No disponible,#1391743389,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
