Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion
Chupetin Mr Pop Frutal Arcor Paquete 50u Chupetines Golosina,https://www.mercadolibre.com.ar/chupetin-mr-pop-frutal-arcor-paquete-50u-chupetines-golosina/p/MLA20013228?pdp_filters=category:MLA194317#searchVariation=MLA20013228&position=8&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,3.950,TAP GROCERY,Nuevo  |  +10mil vendidos,(51 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1283946954,2024-01-25 12:08:01
Gomitas Mogul Moras bolsa 500g arcor - sin tacc,https://www.mercadolibre.com.ar/gomitas-mogul-moras-bolsa-500g-arcor-sin-tacc/p/MLA20012966?pdp_filters=category:MLA194317#searchVariation=MLA20012966&position=11&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,4.642,TAP GROCERY,Nuevo  |  +5mil vendidos,(36 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1362283238,2024-01-25 12:08:01
Chocolate Taza Tableteado S/a Aguila 9985 Caja X 5 Kg ,https://articulo.mercadolibre.com.ar/MLA-1101857716-chocolate-taza-tableteado-sa-aguila-9985-caja-x-5-kg-_JM#position=49&search_layout=stack&type=item&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,54.219,PAPUS SERGIO,Nuevo  |  +1000 vendidos,(270 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1101857716,2024-01-25 12:08:01
Caramelo Masticable Misky 800g,https://www.mercadolibre.com.ar/caramelo-masticable-misky-800g/p/MLA25732824?pdp_filters=category:MLA194317#searchVariation=MLA25732824&position=14&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,4.390,TANDILSL,Nuevo  |  +10mil vendidos,(63 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1472871806,2024-01-25 12:08:01
Butter Toffees Caramelos Masticables Con Chocolate 822 Gr,https://www.mercadolibre.com.ar/butter-toffees-caramelos-masticables-con-chocolate-822-gr/p/MLA19939499?pdp_filters=category:MLA194317#searchVariation=MLA19939499&position=12&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,5.800,OPEN25HS ML,Nuevo  |  +1000 vendidos,(15 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1366231403,2024-01-25 12:08:01
Arcor Bombones Surtidos El Kiosco En Casa x246g,https://www.mercadolibre.com.ar/arcor-bombones-surtidos-el-kiosco-en-casa-x246g/p/MLA20013305?pdp_filters=category:MLA194317#searchVariation=MLA20013305&position=17&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,4.920,OPEN25HS ML,Nuevo  |  +5mil vendidos,(213 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1406387300,2024-01-25 12:08:01
Chupetines Pop Evolution Surtido X 24 U,https://www.mercadolibre.com.ar/chupetines-pop-evolution-surtido-x-24-u/p/MLA20012950?pdp_filters=category:MLA194317#searchVariation=MLA20012950&position=15&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,3.323,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280248996,2024-01-25 12:08:01
Chocolate Con Leche Cofler X 10 Unidades,https://www.mercadolibre.com.ar/chocolate-con-leche-cofler-x-10-unidades/p/MLA26331929?pdp_filters=category:MLA194317#searchVariation=MLA26331929&position=16&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,8.999,TAP GROCERY,Nuevo  |  +5 vendidos,(43 disponibles),Nuevo  |  +5 vendidos,No disponible,#1480264588,2024-01-25 12:08:01
Caramelos Flynn Paff X 70u. - Tutto Dolce,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=YBOmA5kAGiZg%2B%2BzbCTONbBn48%2F1Ki3xYz0DkQXVKjNS%2BKAeuE%2F0VElOiOQIO8gLeK1M4oRpmjWMsep09s7Lxfmw4f6SV6q5pa4xFnvkH0WNaNsgkp%2FqFvUo5K80vc0rVdpapY69cUYPykB8MpkPXKNmgU%2Bw3QYFRSQ0PZMtrPRHgULt5rOW3jeDjmOBdjcBHQXfAcudthirSt8SKCfyZ1HxazMvsgRi9YX4RQBvLIQkb9wyCugtWwHjTfPgl635FON1p%2F05AwcW6EpL%2BdkaF9UtCjDipwcWa%2Bz%2BJTCjtPBOUIMKBHZOu%2BvXCeVcz7fiXgt4dI6LoySZcHyNBkDzfKy9GriAoKu6ZAtqsmnxzJm8BpO7ju53OgwtvRvcF7BFAE9TEymixrj8CmbwaEmW3i38m8uHUzOGM9pKA0tNjt35MCtZMb9f2mPWqYRSSCxf%2BkGxsd63TlChFghUi1qfEUTg%2Bg9vnGnx1jpyXXvHZje0FCAJqCvEcy%2BiW3AITam90z%2FpRox2U2wGCmIEnAjGlKvrIeQ4k0fzRSA%2FZRlhDiZoIHE8z6IcpiaxfO7Za1S16XJxcymKB7o8kb5UW0%2BgjhL5l00uoAEapPR0x2FBRlcW6Stxte8%2FOihhZxX2lV1M2LAf5T5zyeJoHp7GWiu9x7bUzRyx5UkuqU%2Fz0tBU1ZxRYxg6M7iiK1r5przArHtdyH3E%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,3.743,DOLCETUTTO,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#858564442,2024-01-25 12:08:01
Turron De Mani Arcor X 10 Unidades *ideal Candy Bar *,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=iluUf%2Bzib0tJeciNcffAHIRG%2Fazn%2FWkVYehHZkh%2BJWHi2cuu%2BzRY%2FRZM03k14MMzsOD1v%2FiEVb0ep%2FSGtniu1ULllxXOENzoC0KzX5TgF1ecC4csD16m93yh3rwaMRIlxQ%2BPh5NOmPyopafH0l4RffjNtf19PaHQ3lGSPBjrDf%2BUNUtooDNXiOiN58X%2B2TovmgP6aTpaA9SB50QbuiPRSRd8kQCZRJ8jz1errAlCLGyray0meiBteNn89TVwUr37hLqBX0ppkHhqKNIIX3gj4CL%2Bx4LMMMjORrqZrB8hBqk5Sq3C83D5SJmQJqXZ4jE2IkMkFL%2By1md2YYuQWaUzNvZbIz55t%2FEVpSn0OoBRwRmQ6ZUPJKzg473DEce%2B7h9r3P1IfOunEpL7DU2H9bKZz%2BdMwiaeIqlsPVUT88hw2bj2wuPOcDtsqNj5ORGatle6vuh1vMY3szHZclb0b4%2F%2FDFuvlZufU2Bl5QxXJpiOgO0fziPnyTb4Xz%2FPkHd2khhRFl3lQyfonN4lZC40UVxXQ%2BeFPUVfRp67IwavRJ%2BoVnLBcLGfF09AS7vT5QPE94MSOAvtozs0TV6ZAE9keQhp9r8l91w1%2BwVZDmq1ZiNxte3eNpIOsReaKVEWJP8%2F23TrmbGcYQAj9G8bxezpFPh5rB6Oe39pVuMvOk7WD6yhRBPtGpxVFSvXetxcOmSfduTtSwQ5jp5hSD6oAoc%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,2.626,GOLOSINAS SUR,Nuevo  |  +100 vendidos,(203 disponibles),Nuevo  |  +100 vendidos,No disponible,#781019986,2024-01-25 12:08:01
