Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=7&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,962,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=12&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,10.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sierra De Los Padres 2 Litros Sin Gas Pack X6,https://www.mercadolibre.com.ar/agua-mineral-sierra-de-los-padres-2-litros-sin-gas-pack-x6/p/MLA29062951?pdp_filters=category:MLA413907#searchVariation=MLA29062951&position=22&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,5.635,FULL 7X24,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1673028616,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=8&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,19.824,DISTRIBUIDORA BARI,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=18&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,4.380,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1237173981,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack 12 Botellas 600 Cc,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-pack-12-botellas-600-cc/p/MLA19737994?pdp_filters=category:MLA413907#searchVariation=MLA19737994&position=32&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,5.523,FULL 7X24,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1368027825,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=21&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,658,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Sin Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1Ht1GzHRxtm74cgdn3ZvfMgDhnnZ961tkNJ4nBwatz8Etf4DtzTrwgOy5vgBuu1pRXFUXaejQvMXoEOyulj692mxdOgLqzMDB%2B74VCSoxi3pPDpfcdHoY58gy6JngPqB%2FHSfx54JkiuOMyubwmYyZR0xuMy512RfYq%2F186ZHTud2oHZYvQCE1i%2BdQ8KOHe%2BL3KJeZA5r78BEQvSigLaOOqqP4fGRTaLr9IRS6ibAv1tV8tgD4uVI9DY%2FARaI5v%2Bu4VqeSI%2B5y8UQckkkb69MigOVKW6NER%2FiZ6INwyVgCzF9smXi5gZeAaS0qh7ct5RsxX2DcWP4t7eB2sdeGbO3pzSZFcSvZqek%2Bep1yzoUXIedJD%2B0cBC%2F66cJPI3baLUboqe7mIo%2BzVbX0meCs6rDbybU%2B2nLpcHON0xI99fFrumxXNq%2Fr5ouVEbhs32S5xZ42bnMEcy0gKBChhma4C5PFg3ex9vVxDXla2%2FDzMljBeGdYFV6rFwYwLBClI%2FovJCiMfKPATCNJ4OpektvknsackLm8RY9Z4GiCtbyCKED639vWxOwJaM3Zij2BlQ8kW73KfqF3mXcZsXhleHLupRQrkL1Pr9G9vV7mZQQ%2FHvRFmgPuSnN98GaKu8CggUfaFU9T34n9TV30LtDl12WBfBxSh8IDH%2FmgO1RYxqIaiHrLEYnJ2hzXBt5NaVCBtOyTD%2FPmiTcdG6lms8R8f8JzQb0yyarSI%2Bbeoc%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.562,LA BARRA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386397529,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=T6BsIv2%2FmhKPCjFny3pswK1lIWM0U7O50QLeM14Sruyb%2BRSzPHZK8UgwwPpBUg5K4rD7h8zqlh1kP3owzt%2FhCiAmYf%2FUUv4N8A82nXk2%2B2GOhr2eREVEiPMQfkI49x%2FtC7NT7etkhY85GgjUgClT3coRIrIQuSyVYPHi9sKn4cmIJ7tYjDBnx76pb7OkrKj4jMzaA%2FXmyKybg9wmQxmltBFs7qwPw2KRGHq3SuUaNaudLtJK4NZ6wooy25o1wnu9D0btc383vMb29XViT5xlfAOPWMRSzaHymNP%2Bzk9vIaYYsScB0Uc9v9O10jf3CfGz0mEReNDuquHiJjVqvI4GyxNuBBgfSNr%2B4%2FTh5Vg%2Fhjbqsmkg1Np%2B9mhAp%2FabeJXIEojSGsYsBFRPEX3%2FoD9HUDtMZmOrMWg%2BYxPksEzP%2F0BUXxXziB5C4t0MtaN9cuXUBV7Tu2OHrJmRLsbCg2YBDXDQTEb6%2FL42nyLU3sRYZ%2FcapfCEyDOj42JsG1qAjdx97%2FIg7aAARy%2B3A9O2rvXoOw5TCzeP2k7lNfX1Gq0exL60MRd6X%2BRCi9J6TCLDmJStAv4nH5D26%2FbAjWZlIzhykfrRSHWPYfeKnUpOm8bJlHyzul6k4Huo1DVBPlbdQZVwMD3qdkluWXoKlRsSTBUU4DOhkukIZmXTyyP7O0mr9%2F4T5JD1qZ5DZqkmRvZQIC7yMY35XLhalWBEpaGU3YhemQf4&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.578,Cervecería y Maltería Quilmes,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1611400900,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-sin-gas-botella-15-l/p/MLA16168869?pdp_filters=category:MLA413907#searchVariation=MLA16168869&position=26&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,923,TIENDA FULLESCABIO,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#913457286,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
