Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Zucaritas Copos de maíz Azucarados Grande,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-grande/p/MLA20024005?pdp_filters=category:MLA1423#searchVariation=MLA20024005&position=8&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,2.941,AEH MALL,Nuevo  |  +1000 vendidos,(9 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1610186184,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=1&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,4.055,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(590 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1379913545,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos de maíz 3kg Granix,https://www.mercadolibre.com.ar/copos-de-maiz-3kg-granix/p/MLA20723711?pdp_filters=category:MLA1423#searchVariation=MLA20723711&position=14&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,9.500,TIENDA CANELA,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362785065,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=15&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,4.055,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(420 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Doble Salvado X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-doble-salvado-x-1kg-s-a-todo-el-pais/p/MLA27047200?pdp_filters=category:MLA1423#searchVariation=MLA27047200&position=17&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,4.343,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(15 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388633865,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=22&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,5.690,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(68 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=23&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(366 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos De Cereal Sabor Frutal Sin Tacc Nani 130gr Pack X3,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ll1e%2FMdpfE18W5Fe%2B4eUoFetLL4rZRSoTybAifPy5r6bneRnwnX847v8j2bkrScDxqQVJ1vp8ocLALdwyEdEafsz1%2FXsiPHRxNw4Z1oab8AUYJDzF0LVH0oyQ6ZHOb01GyD%2BWbDFM7oDGxEG6XvYDOZwjbbPmucsekLTudmZzxpDfwjBLh8RJwnnYbNkj3Yjk8KKvOMg%2B5g2iA1y985qx6SVQ%2FN6Tulvq%2B968O2AKGrCN310NyCQUxJHsMjvF33ZRfeBGOkIKYbAth3bg2w7njWWaILWCSrdeHLFzXWpFwBlipGrCFlomLuQC4KuqL%2FqCy0woPgfmdIKdlVg3Wg6YBr0xl%2FHn%2BTyN3vf5a6xp2VQcf903%2B%2FqOi84nLOHVCnZUEJjk3VW%2Bywl779BmxOTmITSZqPrGuTwj1gzAw%2BWPyuQs08M1fMnad%2F65%2BChnnVcTOx%2BzhGClKtP2VS6MERjY84pvXYGg2fccjTF9ZULw0txs8M%2B6ddzTwcVUkFDV%2BLEydEelTBsHlI8fgk%2F%2FeuVz%2FvxDgk4micQ5w3WfooO2Ulo%2Br3C%2FMB3VfyGXBY8X8AtCuhtArwQn2kxIIr3o41%2BAepMZzUlyfdu8%2FSadjLHgPFfLbxML%2Bfww5zQDfhVxnR3UYbloCWMZI3IuH9bC2AF8aZMGes%2FcCKVlsubmoJRbLZAEEjSqtzeHj24j8PDJqI85cfG%2FHgJBykXXO40ImjzPBtn9fTuKg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349&rb=x,4.048,OLIVADONMATEO,Nuevo  |  +5 vendidos,(9 disponibles),Nuevo  |  +5 vendidos,No disponible,#1371471017,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Vinagre De Manzana Inysa  En Sobres Individuales De8cc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xki4RsVeh82SFQhlA3phQlpKTBgzYXxBOmB9%2FPUKyLy8TOK3j5DRWih1eXveLNf2a7tza5o0ivs85YowXDEluIsbbJUdHBR8%2FMrPAWxwG1Qn3NV0F%2FDvsXd%2FCrosZJmd4XIx8zPlnPxldGs%2BUm7mmjREPSnEFxksiQGCKz8t0Mi1BP3SMMvAFt38Mm7K63fsB%2F3N8vbgWtTM6DIRK04Na5rINTAcfhWVBgY4kJEy9cvY5lqAtN70xR0TRedNdUzIB4tGcKRo%2BR%2FkJOXU7sMFBaZ5hO3j2fi60ipH5k0lZi%2BfM4V3fh901vnB5YxmQ669fpiu%2FFZ8bZa0ZaXK6ZJo8tBxK0dBXDYg0GPdWVNSmN09iiQfsmlgwo0jQ9%2FF1AcFVT86vt0PjHxIHEjzYYB7RccJ0Wu0qBn3PXSE986OG3HF%2FUrZb65pJFFPjFP6SS05c0bv%2FQYMx35m7iZc4T4ndn9z202nT2RekihsFGYwHisbb4Mq6mlEqMBpJLvEDJm1w%2FDbar68WxttVX01OZF4%2FSTZj7Wk7WYQpCdNaHqQFTFJQBZJPUscvrn7Mff8Gcj2i8XSizlzoWKgWChm%2F3LddJfBVKNC%2Fecy8g%2FcvwX2CVqg%2FAfsncKfIXqOkpXbsdOPH6lMCR2JJUBPkDRsIVoiOdjga5JNBakeIzzaYxeCVn3%2BhpPY96kZaICB6C%2BWjqX1if%2FHDrcO3bgTarVyAuuy%2Fw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349&rb=x,11.490,FRANCESCODISTRIBUIDORA,Nuevo  |  +100 vendidos,(17 disponibles),Nuevo  |  +100 vendidos,No disponible,#818125760,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arroz Yamaní Pop Yin Yang Orgánico Sin Tacc 80g,https://www.mercadolibre.com.ar/arroz-yamani-pop-yin-yang-organico-sin-tacc-80g/p/MLA26444834?pdp_filters=category:MLA1423#searchVariation=MLA26444834&position=24&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,400,VÍVET MARKET,Nuevo  |  +1000 vendidos,(77 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384788535,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
