Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=15&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,1.175,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=17&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,11.505,DIETETICANUEVAVIDA,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1257701645,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=21&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,4.350,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=23&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,5.850,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=5&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,5.080,NUTRAVIDA ,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1742208558,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=14&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,1.894,01MERCADO,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=16&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,13.990,TÍAS MÍAS,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1369141501,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bolitas De Chocolate Granix X 3 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=C1FhUrC5ciEu9FBNE6KiZ44a%2F0rE5oL8HIG8ksvzSmyDHE56QrXhoCxKBORVscg9xJch9cLlaXIBF4ewM1eeVWeHMHVbRVHsfM%2BDJgayA26PrltbVa4uJX8WSs1cAbLMqVB6XKJG8t4oJmupdcoQyjhn%2BRcMie25lbJkmX7nCeqr4WvbIB%2BFOaqTuw%2BQ%2FuACiJU3QEf%2B%2FpVRLpLAsrLXR0cFpj7z7S1n0l3qQpcvAnA0qLLEhyxuAfb0xmCRjgMXAmLOcSH9aa8TdpO54GmKiIGjQ%2FRpcvN09zFE%2BkWm0SUNGDFNEwvDDIn23mjTaSxsEviABA4UDknY0bOHTxd7bXL33HPSzUeBpM3khIuUf2CiCb6rsrS%2BQDrHKYYHx91Xfh5ZEFltO4c5hvNbAQLvFw2olh3rBVy3RdWIGcrDO2l0ZRVzU6l35ZHPuHOrZPelDflEn1rcKwr639Q52L4fIiVsxd95s%2Fr%2FluaFOtAStZhC0lsZWGXbCzzrmUfyIjIZUhlap3tFyaBIjWOMccGbjtysKPACbPxHsV8mhpqRaplEnZODAoK3dUZVtnk2kg6YqDHIezDfB8LT66FQUuwYJDOpMfAFg6cKsXsa65yM5fgczAJH1Rx184RCjrPkXI8WaSU7WqQm8%2Fy6VO%2FyypZLGyXTHPtDhUXsjixh4Qejhps5Y9JBwvFfLGPdwcTV7RfLHg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,16.901,POSITIVA,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#919418468,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
"Almohaditas Rellenas De Chocolate Blanco X 2,5kg - Lasfor",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=c8M08apN2a4InV5MTLFJrYRs77RHS%2FHYJsQQ3vq6cT2crtdG8xC6opJlRNMFo2NUjqTtGYmWIquYsKUwY2vZlh8DnzgkUZjbv%2BuQRvlHhMEiMfxRYAC0bxqYJDpo2go2gQsq1xqvWstQJjJTAC1xzUwnaBkm7EIUUtL1ECZ2dqiawqfaLxG1ZLFwCJdcIHE7r1Fba2UYINE5GLO7D4qAXBb6oJj24BiAXaLAmhw3LuyWy7kPPvmmn5nCm%2BLhAe7CVpF49mdmpUQpAyXxJnAI9hLulgE9AD5MpuVdp7sDnYCITCagQHVG%2BOqsAXBUJRBZyPGE4VEv1RYK8YbrOTEIIbioHFVnwt%2BuYGbSnE8zQfLP%2F7lACEAbqnIfR6kdYWWYmr5camj0y4Wz4tHr%2F%2F3FwYxMtpn0SopSJbKmyA3wwjDqI2Xy0j%2FvXYZyTfwM%2BftAvXMFKU7sP8L9CmtMSsxYqgn2d5ntT5eOO9PYWYaktd6KUjVGGOkHiiA0KQCP%2B69kzoSRYGF5Xlbbe2pzdomj4h%2FYfaNgIkluogK%2BHf%2Fr5fUpempIJFPwAcF8HX9duQ%2F9RVu8AGKalIZN4dyDatRMmIT7IaBO9cN5fzVs0QeSYeOf1xUI7KWpEz%2BcShff6hfl7hOprvdVMemmXAx86hHvN6BgPZinkmwj1D0py2AjupppI%2Bt8lbMjZIoYLVsLFYqLKYtWYJitmLtB%2BRKYfYsgBrUIuW4%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,19.750,POSITIVA,Nuevo  |  +5 vendidos,(4 disponibles),Nuevo  |  +5 vendidos,No disponible,#1169144068,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=18&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,6.390,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
