Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aceite Cañuelas De Girasol 1.5 Litros,https://www.mercadolibre.com.ar/aceite-canuelas-de-girasol-15-litros/p/MLA19838682?pdp_filters=category:MLA114008#searchVariation=MLA19838682&position=23&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,3.299,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1394168923,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite blend girasol y oliva Natura botellasin TACC 500 ml ,https://www.mercadolibre.com.ar/aceite-blend-girasol-y-oliva-natura-botellasin-tacc-500-ml/p/MLA16010043?pdp_filters=category:MLA114008#searchVariation=MLA16010043&position=24&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.080,ECOMODICO,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1699404578,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Oliva Y Girasol Cocinero Ecobot X 900cc,https://www.mercadolibre.com.ar/aceite-de-oliva-y-girasol-cocinero-ecobot-x-900cc/p/MLA22045876?pdp_filters=category:MLA114008#searchVariation=MLA22045876&position=26&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.155,Ecomodico,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1410458369,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite De Girasol Alto Oleico Cocinero X 1,5 L",https://articulo.mercadolibre.com.ar/MLA-1147036420-aceite-de-girasol-alto-oleico-cocinero-x-15-l-_JM#position=35&search_layout=stack&type=item&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.199,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1147036420,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol 10l - Ideal Restaurantes - Premium,https://articulo.mercadolibre.com.ar/MLA-884545768-aceite-girasol-10l-ideal-restaurantes-premium-_JM#position=36&search_layout=stack&type=item&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,17.967,IMPORTADORANACCATO,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#884545768,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Natura Botella Sin Tacc 900 Ml,https://articulo.mercadolibre.com.ar/MLA-1405568893-aceite-girasol-natura-botella-sin-tacc-900-ml-_JM#position=37&search_layout=stack&type=item&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,1.551,ENOGARAGE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405568893,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Bid. 5l,https://www.mercadolibre.com.ar/aceite-natura-girasol-bid-5l/p/MLA21393491?pdp_filters=category:MLA114008#searchVariation=MLA21393491&position=28&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,12.995,ROXYRO68,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1510666850,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Puro Girasol Alto Oleico Granix X 750 Ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZI7Y%2FKQChHROnVzFvB5%2FPlJ2ZZy5ReBnazEp7XfH%2F1GT%2BTYvw%2FZz%2FfqQ3HU%2Brxvf5YeYvHGNVV1ehjnnCIq74O%2B3gxTjAfKGJcnVTB0jBctX%2BE9jFvzl86QREGQhIL8%2BUkbNrUSQMs0YUBC%2FZAo5WtgnxbES0dZaI2igk9nsdMupgIvnqY7QTkX8NBCWJpyvzTlm8ttjDHJDETS8yVR%2FL0gu0u9CSGDkszAUSJGSuTsMXKXgYRMCiSkB0TVUbVAW%2B04trEoKSLJZIiPex8hDPZICzYBVK27thCchqGPMF1Q6kuLKadAT8qY1bni2MHYo3B%2FGRMpBguL5Q8Y%2BF%2F3W0YD1xRvAAM2p%2Be8c6Ny0Nsb%2FG4Ngg2uyRrJzF1RRlG%2BASLMH%2F%2B0ZUdSvTZ5kQ3dvxsdFfRdGulBDyWJNRZnCb8NcncdYrdIlkssaDMqniDbdUko4Aj7GvQigatDEi%2FJ5fw9mNrzR%2Fc2nopY5OItWdzNOaW7gtQ5%2Bt%2BB0UQv2KOEphUbmeaAqhXadnYesdDVnWvdQ%2B%2Bmsx%2Fb1KWWZ6ymx%2F9kn44a1mr7YHKkcMekFCgLWnxNL6uCQtDZ%2FCRt%2BM%2F21s2oNoZdzvf8qQMeBPyf%2F3vx1iLdNM%2B1O6iz4bpvy%2FpbT8q3JhNpmswDn%2FQ%2FeKLgCn58j%2FgLZmfSyKBmTxbvMr2sKqljw3t4REU4qZjVFVBtYCTQE6aa%2Fb%2BeF3hw%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,5.050,NEWGARDEN,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#881154624,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Alto Oléico Fincas El Paraíso X 500 Cc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=RHlhGo65BVGJht%2BOANxRGvjKyTmG1Y7AYKufw0yl2O%2BUiG8e36iGh0BJJOhlxGOtctuBb3Y7hvXuM%2BT1HWWmmvyK4hEZFoYnsF6JuM81zyU%2Bojv%2BkIyriuMtBjRY7yre%2FUqc%2Fss9uASEIpnCrVcrXiLuhlD6pcNo4JOe3wp4sZTWQnHxOG80fd%2BRWrqPD%2FelQ%2BvU9PiMFmv3fIvX3dE0CSKwKn%2FkFSEC0qFGs2E%2BQuLCfFOtbHljkGAi65TSn2YoDl%2B84incqkB73li482bGIaoztb7V1dT64ivCzoijR1mfSocHpCbCfxQhb43%2FGDhYDXeYMH35xFEFZb83e1bX1HTS%2F3hTzKWG7WsVRNAI7%2BDPHDM0PkQqN8WuaSfR9hjr3kF5zsjzk%2FHtWUlX3i30RhmLu2a0mFQjBggeSUOALjQgV8lekzTROokYdCBIqgWKWTmvnS321i0FkyImsGWddG1Y07y3f%2BJ2CpiQePB%2BAoTQspYrl18zmuWk86xqbSFqSYtDPkFaicRQbklZCHgr5I5WkB9TRfHJhKQ1sEKkDOatcbEdA%2BCJ0fkj7E9%2B7GUojp0hIa9wlyEELmT2AyYlAhcgP4U3nblqqgzHfvlftvS7OQaWpkuzpoI%2BVBx5aKgN2IhF0UdjIsz995iCb6Dv8DuxY7x3ndQ6b%2FQ41Ykt5t4KEKIvqfD4k83k%2BaHGMLaYJ5N1ozKrLJNgM0rzSlPQi1wXXA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,11.474,SEMILLA VIVA,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1380227693,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Natura Spray  120gr,https://www.mercadolibre.com.ar/aceite-girasol-natura-spray-120gr/p/MLA24559457?pdp_filters=category:MLA114008#searchVariation=MLA24559457&position=30&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,3.900,JUMBALAY,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1531019626,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Cocinero Girasol 1,5lt.",https://www.mercadolibre.com.ar/aceite-cocinero-girasol-15lt/p/MLA19779083?pdp_filters=category:MLA114008#searchVariation=MLA19779083&position=32&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.669,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1674165954,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Pureza 900 Ml,https://www.mercadolibre.com.ar/aceite-girasol-pureza-900-ml/p/MLA19779092?pdp_filters=category:MLA114008#searchVariation=MLA19779092&position=4&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390296069,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Lira Oliva Y Girasol 1,5 Lt",https://www.mercadolibre.com.ar/aceite-lira-oliva-y-girasol-15-lt/p/MLA23689710?pdp_filters=category:MLA114008#searchVariation=MLA23689710&position=5&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,6.232,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372848003,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
