Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Agua mineral Glaciar  sin gas   botella  2 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-2-l/p/MLA16168863?pdp_filters=category:MLA413907#searchVariation=MLA16168863&position=8&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,2.765,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1430691953,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=11&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,3.113,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=12&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.019,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Nestlé Pureza Vital  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-15-l/p/MLA16247029?pdp_filters=category:MLA413907#searchVariation=MLA16247029&position=13&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,857,No disponible,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1668422918,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://articulo.mercadolibre.com.ar/MLA-1611400900-agua-mineral-eco-de-los-andes-sin-gas-pack-12-x-500-ml-_JM#position=34&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,8.611,No disponible,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1611400900,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=14&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,2.955,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223027468,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Soda Sierra De Los Padres Sifón 1,75 Litros X6",https://articulo.mercadolibre.com.ar/MLA-1533912096-soda-sierra-de-los-padres-sifon-175-litros-x6-_JM#position=35&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,5.303,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1533912096,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Sierra de los Padres Bidones
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0%2B%2Fj2oFx1fR9GtOby8Tb2nsiwpWkJxP9aatZSZhgLJn8On8wHjwBITvT6qpvve7UA7ui1GsfGMk94ppAAxjXMKnzfDAPRGQoVI3Kz3OSGxise%2B7BESG3ylkV9wmmeVhZQ4k4H2RrP%2FRDGXeIUhqSMlLju20Bh2mZdLhHn82ReJZ41NrojfLq%2FHZMOTpUpp7qDviBe466UhSHUYm7PAgZpD8vljJ3Nm4c3tMPhENV%2FOXKPwPE5bWmf%2Bw2pnuW%2B9LAYqQTi42X%2FQRzX5KFCvRGH6ZQYeoDujS0s%2B2zNzYb%2BHAKOzPCSY%2B9cZ1%2F0qYezZO9vK3vNR%2FpcXLWbQMEGltm5EHIyWQycaxwxBhnLI0eyJh5z4kOelWp6ATMrDFvM7bnYJ09z0pJ2vuZDQQisIVCNJ71jy%2F2SA76hRUMFVy4NydGJQ2a9MfcJye1dAHLz0DChrWS2CBRG61hICM29gf9QIVLicoODN75E2jwDJwuXYsMjJFTtstDgREmbvmkzb7TVGqsaXmX61kpiCECSuemJ53gxyhCHM%2FEqipXm0U%2FQpkCyi7LM152Uw1YbW9qSdMfsQu8mTHDATH8j7QzzJ%2FxIBgahZIsZORyAfqj7FMgSelJBCmT6nFT15wVG9jk3vCNTePZZoGtxdJFvFUWR63as7aAsmOxYgeGtW2H%2Bu8TJMUFYWCCB0bL4NorBHk7yuDEozbatPfBdYg8W657FDuOpYQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.611,No disponible,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1611400900,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=d4p%2FWlH1HVv9%2FobbitocePFRU2slupyT9fYRxR6ccWao6f%2B65TiW1rbL33B%2FKzyFedb7U28WCbN1StkL%2B4wncARRk%2BTtjo1okXt5pbbDkhadE0sUqzXrx0H%2F3NadPc0oXDrYE6Mo4LECIfln06Cj7qUAuM98is4vP3dYyIzQhpQVzydMzLssXEVpLS89ShNlRGtM7F6Y368OzuoB4Q7TlOvIAiUVF5n7Lt7Xjk8Yi%2B9s1hIhUQKkQ5PrhzZ1CUN7i24LmtOznqa9K%2BOtDuKaBtXdnG6JdXb01NBr9s1%2Bn9ep%2Bt9SVw%2Bnb3U9Xdkj9QPyp0LLuMuDV%2FkEuSpHM8qUDW%2FYuGqUVveXkLwshbp%2BH0Mmw4VRIQMPJlg27KfwSLFN%2BvEUMJ7Qn12pp1CEW%2FVuSw0QYoRKlCpW4UBgygBlUHWtwNQ63PFGaLSS9usAkUSDlC0CWrUmnmEAPZj63GTKTy%2F1KPaQzsXqjGWjwle06cC1F7V4i8PR%2BbopWuAGcfcjbfDHBtBex43AUecUHB7DsgsiISNSsolu%2B5kUjUhqaNvAOsRwDzygb0TGOzw%2Bl8Z4mnhqvH7vz7Um5CEYSt3dKjrob1Tj8emWL%2BpLIldAm0xwde713yq3Z3BO%2B0zXXXzhWPyeCG%2B%2FZLB0%2BLZmgU8twNF360uFhAAbh85y6IjT7PZN45OeXxkg1nveedL7FmvIwkNiMst8ZCBLZmgsTRJdazt8WK3xF7G7&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.124,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Villa del Sur Pet sin gas 600cc,https://www.mercadolibre.com.ar/agua-villa-del-sur-pet-sin-gas-600cc/p/MLA27285713?pdp_filters=category:MLA413907#searchVariation=MLA27285713&position=15&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.415,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1528972402,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=16&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,832,No disponible,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1418013871,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Smart Water Sin Gas Pack X24 U 591ml Zetta Bebidas ,https://articulo.mercadolibre.com.ar/MLA-1363190682-agua-smart-water-sin-gas-pack-x24-u-591ml-zetta-bebidas-_JM#position=36&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,21.000,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1363190682,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Con Gas Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1182269646-agua-con-gas-cellier-2lt-_JM#position=37&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,897,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1182269646,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Con Gas
Agua Mineral Eco De Los Andes Con Gas Pack 12 X 500 Ml  ,https://articulo.mercadolibre.com.ar/MLA-1400209827-agua-mineral-eco-de-los-andes-con-gas-pack-12-x-500-ml-_JM#position=38&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,9.163,No disponible,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#1400209827,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
"Agua Mineral Glaciar 1,5l X6 Unidades - Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-1120207733-agua-mineral-glaciar-15l-x6-unidades-zetta-bebidas-_JM#position=39&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,5.482,No disponible,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1120207733,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Sierra De Los Padres Pack 12 Botellas 600 Cc,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-pack-12-botellas-600-cc/p/MLA19737994?pdp_filters=category:MLA413907#searchVariation=MLA19737994&position=17&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,3.535,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1219480018,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
