Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Agua mineral Glaciar  con gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-con-gas-botella-15-l/p/MLA16168876?pdp_filters=category:MLA413907#searchVariation=MLA16168876&position=27&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.247,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1414368557,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Eco de los Andes Sin gas  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-sin-gas-botella-15-l/p/MLA16168869?pdp_filters=category:MLA413907#searchVariation=MLA16168869&position=28&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,995,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1720394768,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Villavicencio 500ml Agua Sin Gas Pack X 48 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1372314629-villavicencio-500ml-agua-sin-gas-pack-x-48-zetta-bebidas-_JM#position=43&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,30.695,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372314629,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Tapón Cebador Stanley 1 L, 1,4 L, Flying Eagle Con Pico",https://articulo.mercadolibre.com.ar/MLA-902896924-tapon-cebador-stanley-1-l-14-l-flying-eagle-con-pico-_JM#position=44&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,3.549,No disponible,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#902896924,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Mineral De Las Misiones S/g 1,5 Ml X 12 Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-1394357755-agua-mineral-de-las-misiones-sg-15-ml-x-12-zetta-bebidas-_JM#position=45&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,8.337,No disponible,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1394357755,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Sierra De Los Padres 2l X6 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-872645942-agua-mineral-sierra-de-los-padres-2l-x6-zetta-bebidas-_JM#position=46&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,3.525,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#872645942,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Glaciar - Sin Gas - 6 Botellas X 750ml,https://articulo.mercadolibre.com.ar/MLA-1398681709-agua-mineral-glaciar-sin-gas-6-botellas-x-750ml-_JM#position=47&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,5.424,No disponible,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1398681709,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Glaciar 2l X6 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-872647948-agua-mineral-glaciar-2l-x6-zetta-bebidas-_JM#position=48&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,6.655,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#872647948,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Eco De Los Andes Sin Gas 500ml Pack X12 - Perez Tienda ,https://articulo.mercadolibre.com.ar/MLA-932197162-agua-eco-de-los-andes-sin-gas-500ml-pack-x12-perez-tienda-_JM#position=49&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,7.536,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#932197162,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Eco de los Andes
Agua Desmineralizada Medicinal Drogal X 5000 Ml,https://articulo.mercadolibre.com.ar/MLA-1277670614-agua-desmineralizada-medicinal-drogal-x-5000-ml-_JM#position=50&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,6.899,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1277670614,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Ko Sin Gas Libre De Sodio Premium Pack X12 Unid,https://www.mercadolibre.com.ar/agua-mineral-ko-sin-gas-libre-de-sodio-premium-pack-x12-unid/p/MLA22241414?pdp_filters=category:MLA413907#searchVariation=MLA22241414&position=29&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,11.875,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1426511669,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Orizon Agua Mineral Natural De Manantial Pack 6 * 1500 Cc ,https://articulo.mercadolibre.com.ar/MLA-1161817974-orizon-agua-mineral-natural-de-manantial-pack-6-1500-cc-_JM#position=51&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,7.346,No disponible,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1161817974,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Sin Gas Palau Hipertermal Pack X12 - 01mercado,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-palau-hipertermal-pack-x12-01mercado/p/MLA29229948?pdp_filters=category:MLA413907#searchVariation=MLA29229948&position=30&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,8.796,No disponible,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1399969667,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Mineral De Las Misiones S/g 1,5 Ml X 6 Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-1554424998-agua-mineral-de-las-misiones-sg-15-ml-x-6-zetta-bebidas-_JM#position=52&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,4.719,No disponible,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1554424998,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Smart Water Con Gas Pack X12 U 591ml Zetta Bebidas ,https://articulo.mercadolibre.com.ar/MLA-1174040112-agua-smart-water-con-gas-pack-x12-u-591ml-zetta-bebidas-_JM#position=53&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,9.153,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1174040112,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Pack de Agua 500 Ml
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm/p/MLA21029572?pdp_filters=category:MLA413907#searchVariation=MLA21029572&position=1&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,6.391,No disponible,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1304142122,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Con Gas Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599561976-agua-con-gas-cellier-2lt-_JM#position=54&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,897,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599561976,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Con Gas
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZZxosRxxz2qqGvIv2d35MfhggBYxuSkDLvY7zZwJ%2BjxpBGetTDesAoa%2Bi%2BCfJLAEUOJLQ38lE2iEF5YCBAnG3V960cxpCj%2B1kucEvwLJ9LyJra2JNRli186s%2FGeuamfOcU6E2NY5gOSJE%2FiHs2z8jbYJN%2FiqzUE%2Fdx4f1ULtcO%2B9KGcTstjU8N%2FDE6pbP7ePhVLwxuEKYr3UwNivzjrn%2F4rZd6pOVsF1qCgQAGqnjB4tHxcnouR4AmLw0W6wXoB2hwnGQwAQmYf6WZAiLP6kGrIuTtNoOj1iOM0Tk0aoJXxcvRr3QuylV5fwtqzjNhxiz99WKRy%2BF%2BmPU5HusxBfNZO8ScEyzFXP1NK2tiPfIVG8To6VZ2SFrEUHoe1TXbdySTPNv2IuV3QpD8YBzrwi%2BBP0254KYoyvoTbBPATLEdlE5cNDUzTD9IpiEoKkPwd%2F9LY0S1lj5QRYHWLZTs5E1wJ93nuEe%2B2w0shmB%2F%2F0dNfSq%2F3HlbGb%2FkDyUaY052%2BIE3AYvvgP%2FGfvxEuszh2%2FOPt4bHdi0aH1NlI5zCyMTPhO5J7wYBYH0mVumw6nry83T4r1wBJHDfo43MthDTWeZEK85hlR74QvZ4BEGOOhtqmpjC5cueTE3Nh0A1emHabLq31W0rgderk14qUVCChg2YX2Uqps1GAcNFqmmp7uZgjgUZBc19vrh70RzVUK8oB6ndnwS3ZLo2LOsgrWYz%2BkrSQu4w%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.087,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Glaciar Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Gb%2BlMr535fZOAvTZ4qCLaKS%2Fn5WAfzI08P9k8wHzTNFOhviRSNK8x4CCPsTq6NGLC%2B9b4YsxEEMhVY8KPDFqsjhJMup%2FJyxJFpGxfEawhRsMmpvtH00CM3yGR7IN3MXmTQKOfATPGzOJtwWDC0CIcD%2FRzxX5nWP7K8VquRYK9qsmgVHW3NegMg2mAoor7WmXiFHUl1kT3kq7tD4er5rIIoelDXyymtSKCa6c%2BlJfoxPgtUsc%2B4fE4vF7KkraDZoPPIZeD0TmTx2NPMC%2FZsrVsqqRzfY5Wjj14wqVniGBaux5%2FYunQB%2BfAMlwKrbK%2FoLVJn76PCIytD3Ulk%2FsiCc%2BiGiwCPu7COL%2Bp3LZ93soKgz77yIpa8sYOc5lXdc7QAZ255kDQiY8nHI0GZNDeZqq8MpbdgEScvPyYQhU0Nkp40t5S6fRFbkd81zcYr5I5d5Cfk9FGDVeLz4kFmfcoWnfmTXTs7Pv3vx9ew1mZuJ7mioWhAdShjGxb4dKWspXs2cwMigRYy9mS73ResrKco6%2BOneXBeAPP%2FxlBijj6YbfoZ3j5m30a9e8Vqli03%2FfS9chqfayaUpHgBr9pGBmZRqntb%2BgDI2hi65dVlZFv%2B3jvQD4Zg7PQiBotWyRxe3NCk2mdBchyT3DGIyxsVuTJRGktaqnqta2Q1723VJ0Miq7F7gSx76GE7UiKcFYHWYQ8tT54g3HXflmivgx&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.979,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1400284481,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qg%2FWgxaej6ysZSwOn92yCVH28VJeF5m3jDzZ8mCfF8PUuJeTCp3sVB0tD%2F09N1e9MM3bm1fvW%2BRIiCve8zy%2FcPIA8Xlskl1pK%2FWDLV711OtbpPuh6e1a6ZD5ln%2FBl1%2FYdCh5p3uuuy6eZPoyr5qJlENxzgCR%2BkZVkp5cVMVs1OANfiAsi%2BYVPKLoYRPlKUovCamdHP8LnCZ2DtxNl0OBXmIgdoJ1XDz%2FejYvUaiYgUjC83pQgYfz%2B1osvSaVCTAW7I2XMHvehtspyGDub6JgdjrU0ffmMZMH27YYMTuwah%2F4VSiEkEiDEy9wdgo2dW644lZXtMciknE9oh9ZxWFSP2wUNe7pmn58MNM8734vmDgXt6FIUgj%2BMZd8rKHFPZGlN%2Bjl4NOPcKp6G2R3wd88RhCTAXj3%2Fpd%2FEG3OjrRX582BpklZByR0ASjH5a%2BvCzADFYDbgyCF1xZYjmS7lqK8xv4TavaP2y%2BVGuSe5yaroZgOd%2BzymLzt%2FVw269K7tBAXOWZmpQbEuRdebDYWKZ5s1nZQyC%2F2DGZseuywe%2Fsg2QNXty56ulxg83kco6W192QuLyaQUF2uOLBDvxVmhWwlN2L2i%2FtTm7zDuN1LbFpPB5CaD%2FowDX6K72sP%2Btf5%2FL99Co%2F%2Bz2TJZjemS4wH1cuiCpLqOkjruW6PJykOFr5vJ3Xrxy68eqaacqUq4uxOCl4A7zlUEWuFyDqW0PQQFbcTjAap&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.611,No disponible,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1611400900,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Acqua Panna Toscana Italia X 500cc Botella Vidrio,https://www.mercadolibre.com.ar/agua-acqua-panna-toscana-italia-x-500cc-botella-vidrio/p/MLA20728085?pdp_filters=category:MLA413907#searchVariation=MLA20728085&position=5&search_layout=stack&type=product&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,4.200,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1683933526,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Gasificada S. Pellegrino 1 Pza 250 Ml,https://www.mercadolibre.com.ar/agua-mineral-gasificada-s-pellegrino-1-pza-250-ml/p/MLA19558890?pdp_filters=category:MLA413907#searchVariation=MLA19558890&position=6&search_layout=stack&type=product&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,3.478,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394929279,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Orizon Agua Mineral Natural De Manantial Bidón * 6250 Cc ,https://articulo.mercadolibre.com.ar/MLA-1161568247-orizon-agua-mineral-natural-de-manantial-bidon-6250-cc-_JM#position=17&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,4.628,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1161568247,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Natural Acqua Panna Pet X 1000cc,https://articulo.mercadolibre.com.ar/MLA-1736304920-agua-mineral-natural-acqua-panna-pet-x-1000cc-_JM#position=18&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,6.250,No disponible,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1736304920,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
"Agua Mineral Natural Sierra De Los Padres Pack 6,5 Lt X 2 Un",https://www.mercadolibre.com.ar/agua-mineral-natural-sierra-de-los-padres-pack-65-lt-x-2-un/p/MLA19754709?pdp_filters=category:MLA413907#searchVariation=MLA19754709&position=7&search_layout=stack&type=product&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,6.519,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1750234418,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QTtmWGFMeyPwX9XeuLSwG%2FdhLVpPpr0DceDFs6Bd36LCm2oBZrvmaUfCExtysPJudluPAyJOlmp2XXf0fid3FiXilnpXK8NYtzTQDl22xSMRtpNmvW7PbcQfLPFu2WHO6qK4vi7cWIvSrmhdG0OZq3CAhWmNY%2BYcVwiqnF7lK%2Ffwe%2BEVO%2F1i16jgHV6vdlkCCbeWJ2mcpVYogEuSHOEOt8NCj5BRyvLEM8bkLRJUZggwPM4CQk%2FqI8eE1rPBi1%2F4S34s%2Fem3iAEhDjgo7YXbUDaDPjRtDKWKYe8shPv0GXoRs2gmlf7YSprj9WS9SZStIsCC4H0AsQw2qvLV%2B7FoXE9%2BI6bzMzbGuXZ7oalnnOqths7DffHAItA9XK8Art%2BJTZ3hVmVowBuHIigXbTqWWMT72C05rxkwsOzC7yZuC1fYOSFm6wcyB8v8uoYVuI8eP6f5oTbGeb7XLfVvRQL3LdHN44YFq%2BAECKSRK72eikq1ZQwZE89B9G7ZDoRbD9M8CorlTMfU6RfQOf77KmxIfRF7LIGfBBTpv6NycHpffXgcnXiq87Pjhs0d%2BErBGy%2B2yv0JhEvYC0LNjCmF7apogEe2C11Xf3vlzZO3dzXsFWQqnWI66ud9nABoJxKpj4K3bXsMdK8wJkl1qHeyoFwMUOgnJZrFkkDJ0ujujadmtmnrwBt2e2oiPz0PQqYQ%2BgWcJMHo2cOAxHWx%2F1PpNkALUE7YoZB%2BFSiZbA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.124,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Caja Segrass  Glam  Con Tapa  Xl ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=OmFPcVq9vweiTeycsA2CJI67YpejPXmgil6qoXIWrJat0Ds8isF9ZY%2Fp%2FJFKfOq5%2BU3%2BrDqEFLqAoe4pYuHg%2FMnyLBIcENW9J2DkOk3oVZyUqeGlYCfq%2BHDv04hduD0WtS8fq2eCdYZREheny16Ww6hCDTnKJVuKaGX%2FYl0JPSwS8rgYUKMaQs5w4hFuWjCp7Pb366aJxVslWQCT6eQJBGvxpoK7yQ%2BAWSTZbkepUeKkS1y776tXpH%2FWDdjYCCEWek0V2Al3VHyX4G4vWRGABu23xjH6d%2FIwRXkl3%2FNsK6OCazAYn334OrTNAjeQ5ZDDzuZA1%2BL%2FnzV7OtHHKPEjRRgeDyl4q4VBx3kaDXplWEoEdNKfYWV24xZHUxllUdX7HcUgaWC1hFkDvlQ6d5m7UvSQnRIBKjuaSHOkH6%2FiEVpII2%2FhmYeBSe0js7UAFXriKXfm3YeizKCnThIhCfggwet1i6eby0JFzolCJV0lH3Er0MmfKzTUiNCjxA9DkEOziBbhd82bNUgKuOvhDZAHQlRfxG5SnwcHsu40GP%2FDd7rHOWJGrg8%2F%2BoUPsTjCkdUmqvhQ3MaE6jh0CKxUwD%2BU8bh%2B79pvXKHbGm2vufCN5sXg17BmyBzehI0pCvFjwdgY6btEZJLBJlnTpmZjlooJPc4rUVKXD8NqyKFDLscg4ysNXmY8gF%2BhuC3MaQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,45.192,No disponible,Nuevo  |  +5 vendidos,(3 disponibles),Nuevo  |  +5 vendidos,No disponible,#1356376724,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://articulo.mercadolibre.com.ar/MLA-1124281969-agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm-_JM#position=19&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,8.596,No disponible,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1124281969,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Pack X 6 Unid Agua  Sin Gas 2 Lt Glaciar Aguas Minerales,https://articulo.mercadolibre.com.ar/MLA-1110705995-pack-x-6-unid-agua-sin-gas-2-lt-glaciar-aguas-minerales-_JM#position=20&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,16.481,No disponible,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1110705995,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Smart Water Sin Gas Pack X12 U 591ml Zetta Bebidas ,https://articulo.mercadolibre.com.ar/MLA-1363178288-agua-smart-water-sin-gas-pack-x12-u-591ml-zetta-bebidas-_JM#position=21&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,9.153,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1363178288,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Sierra De Los Padres Sin Gas 1,5lts X6 Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-1601808706-agua-sierra-de-los-padres-sin-gas-15lts-x6-zetta-bebidas-_JM#position=22&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,4.702,No disponible,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1601808706,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Bidon Agua Nestle 6,3 Litros X2 Zetta Bebidas ",https://articulo.mercadolibre.com.ar/MLA-927231232-bidon-agua-nestle-63-litros-x2-zetta-bebidas-_JM#position=23&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,5.541,No disponible,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#927231232,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Sierra De Los Padres 2l X12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1714340186-agua-mineral-sierra-de-los-padres-2l-x12-zetta-bebidas-_JM#position=24&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,6.282,No disponible,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1714340186,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Ipa Isopropilico Maxima Pureza 1000cc Evaporacion Desengrasa,https://articulo.mercadolibre.com.ar/MLA-1512824870-ipa-isopropilico-maxima-pureza-1000cc-evaporacion-desengrasa-_JM#position=25&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,10.990,No disponible,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1512824870,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Acqua Panna Toscana Italia X 750cc Botella Vidrio,https://articulo.mercadolibre.com.ar/MLA-859609427-agua-acqua-panna-toscana-italia-x-750cc-botella-vidrio-_JM#position=26&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,5.200,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#859609427,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Vino
Agua Botella Plastico San Pellegrino Gasificada X750 Italia,https://www.mercadolibre.com.ar/agua-botella-plastico-san-pellegrino-gasificada-x750-italia/p/MLA20728088?pdp_filters=category:MLA413907#searchVariation=MLA20728088&position=8&search_layout=stack&type=product&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,6.500,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380881845,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Caja Segrass  Glam  Con Tapa  Xl ,https://articulo.mercadolibre.com.ar/MLA-1356376724-caja-segrass-glam-con-tapa-xl-_JM#position=27&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,45.192,No disponible,Nuevo  |  +5 vendidos,(3 disponibles),Nuevo  |  +5 vendidos,No disponible,#1356376724,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua De Mesa Sin Gas Benedictino Bajo Sodio 2.25 L,https://articulo.mercadolibre.com.ar/MLA-1760062950-agua-de-mesa-sin-gas-benedictino-bajo-sodio-225-l-_JM#position=28&search_layout=stack&type=item&tracking_id=504d6bc2-3cff-4528-8783-e7c7c8c00ffb,1.289,No disponible,Nuevo  |  3 vendidos,(3 disponibles),Nuevo  |  3 vendidos,No disponible,#1760062950,2024-06-05 14:20:45,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
