Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia
Yerba Mate Arpillera La Obereña 1kg - Orgánica Certificada,https://www.mercadolibre.com.ar/yerba-mate-arpillera-la-oberena-1kg-organica-certificada/p/MLA24405124?pdp_filters=category:MLA409408#searchVariation=MLA24405124&position=26&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,7.600,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(90 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447362924,2024-01-25 15:19:01,No disponible
Yerba Mate Sol Y Lluvia 1kg,https://www.mercadolibre.com.ar/yerba-mate-sol-y-lluvia-1kg/p/MLA23473676?pdp_filters=category:MLA409408#searchVariation=MLA23473676&position=27&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,33.000,ZION BOUTIQUE_DE_YERBA_MATE,Nuevo  |  +1000 vendidos,(15 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1378281811,2024-01-25 15:19:01,No disponible
Yerba Mate Sinceridad Suave 1kg,https://www.mercadolibre.com.ar/yerba-mate-sinceridad-suave-1kg/p/MLA20729899?pdp_filters=category:MLA409408#searchVariation=MLA20729899&position=28&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.613,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(83 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308284717,2024-01-25 15:19:01,No disponible
Yerba Mate La Merced Campo 500 Grs Pack Por 6 Unid,https://www.mercadolibre.com.ar/yerba-mate-la-merced-campo-500-grs-pack-por-6-unid/p/MLA24206819?pdp_filters=category:MLA409408#searchVariation=MLA24206819&position=30&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,22.799,TAP GROCERY,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1535138324,2024-01-25 15:19:01,No disponible
Yerba Cachamate Sabor Coco X 500 Gr Nueva Producto! Sin Tacc,https://www.mercadolibre.com.ar/yerba-cachamate-sabor-coco-x-500-gr-nueva-producto-sin-tacc/p/MLA21882465?pdp_filters=category:MLA409408#searchVariation=MLA21882465&position=29&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(71 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360784256,2024-01-25 15:19:01,No disponible
Yerba Mate Orembaé 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-orembae-1-kg-estacionamiento-natural/p/MLA21361703?pdp_filters=category:MLA409408#searchVariation=MLA21361703&position=31&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,4.180,Alma Nativa,Nuevo  |  +1000 vendidos,(326 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1325370687,2024-01-25 15:19:01,No disponible
Yerba mate Tucanguá canchada tereré 1kg,https://www.mercadolibre.com.ar/yerba-mate-tucangua-canchada-terere-1kg/p/MLA21206630?pdp_filters=category:MLA409408#searchVariation=MLA21206630&position=32&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.500,TIENDA.ANDALHUE,Nuevo  |  +500 vendidos,(3 disponibles),Nuevo  |  +500 vendidos,No disponible,#1389746383,2024-01-25 15:19:01,No disponible
Yerba mate orgánica Pampa 500g pack de 10 unidades,https://www.mercadolibre.com.ar/yerba-mate-organica-pampa-500g-pack-de-10-unidades/p/MLA20008372?pdp_filters=category:MLA409408#searchVariation=MLA20008372&position=33&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,37.440,MONTEYERBA,Nuevo  |  +1000 vendidos,(40 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1373705748,2024-01-25 15:19:01,No disponible
Yerba Amanda Tradicional 250 Gramos,https://www.mercadolibre.com.ar/yerba-amanda-tradicional-250-gramos/p/MLA20008380?pdp_filters=category:MLA409408#searchVariation=MLA20008380&position=34&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,1.044,ILOVEGIFTS,Nuevo  |  +500 vendidos,(29 disponibles),Nuevo  |  +500 vendidos,No disponible,#1558026958,2024-01-25 15:19:01,No disponible
Yerba Mate Taragui 4flex 1kg,https://www.mercadolibre.com.ar/yerba-mate-taragui-4flex-1kg/p/MLA20008325?pdp_filters=category:MLA409408#searchVariation=MLA20008325&position=35&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,4.543,TAP GROCERY,Nuevo  |  +5mil vendidos,(287 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1280821248,2024-01-25 15:19:01,No disponible
Yerba mate Las Tunas estacionamiento natural 1Kg,https://www.mercadolibre.com.ar/yerba-mate-las-tunas-estacionamiento-natural-1kg/p/MLA20641267?pdp_filters=category:MLA409408#searchVariation=MLA20641267&position=36&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.696,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +1000 vendidos,(64 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402881437,2024-01-25 15:19:01,No disponible
Yerba Mate Orgánica La Obereña 1/2 Kg - Envase Económico,https://articulo.mercadolibre.com.ar/MLA-1101306315-yerba-mate-organica-la-oberena-12-kg-envase-economico-_JM#position=50&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.420,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(192 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1101306315,2024-01-25 15:19:01,No disponible
Yerba Mate Kalena Despalada 500g Suave Tradicional Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-kalena-despalada-500g-suave-tradicional-sin-tacc/p/MLA19991743?pdp_filters=category:MLA409408#searchVariation=MLA19991743&position=37&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.100,TAOYQITIENDA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404185481,2024-01-25 15:19:01,No disponible
Yerba Mate Organica Roapipo - 6 Paquetes De 500 Grs S,https://www.mercadolibre.com.ar/yerba-mate-organica-roapipo-6-paquetes-de-500-grs-s/p/MLA28003773?pdp_filters=category:MLA409408#searchVariation=MLA28003773&position=38&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,19.700,TÍAS MÍAS,Nuevo  |  +500 vendidos,(4 disponibles),Nuevo  |  +500 vendidos,No disponible,#1558997142,2024-01-25 15:19:01,No disponible
Yerba Arroyo Verde Burrito X 500g,https://www.mercadolibre.com.ar/yerba-arroyo-verde-burrito-x-500g/p/MLA28720646?pdp_filters=category:MLA409408#searchVariation=MLA28720646&position=39&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.099,CAPSULANDIA,Nuevo  |  +5 vendidos,(13 disponibles),Nuevo  |  +5 vendidos,No disponible,#1401644415,2024-01-25 15:19:01,No disponible
Pack 10 X 1 Kg Yerba Mate Orembaé. Estacionamiento Natural,https://www.mercadolibre.com.ar/pack-10-x-1-kg-yerba-mate-orembae-estacionamiento-natural/p/MLA26314613?pdp_filters=category:MLA409408#searchVariation=MLA26314613&position=40&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,41.800,Alma Nativa,Nuevo  |  +100 vendidos,(14 disponibles),Nuevo  |  +100 vendidos,No disponible,#1480312834,2024-01-25 15:19:01,No disponible
