Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Hibiscus Te Infusiones Flor Jamaica Premium Kaia Botanicos,https://www.mercadolibre.com.ar/hibiscus-te-infusiones-flor-jamaica-premium-kaia-botanicos/p/MLA27830865#searchVariation=MLA27830865&position=11&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,2.070,SAWER.DISTRIBUIDORA,Nuevo  |  +100 vendidos,(1390 disponibles),Nuevo  |  +100 vendidos,No disponible,#1590700068,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Hibiscus Para Infusiones. Flor De Jamaica. 100grs ,https://articulo.mercadolibre.com.ar/MLA-871863001-hibiscus-para-infusiones-flor-de-jamaica-100grs-_JM#position=36&search_layout=stack&type=item&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,6.800,TIENDA-SANA,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,No disponible,#871863001,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te Jengibre Heredia X 25 Saquitos,https://www.mercadolibre.com.ar/te-jengibre-heredia-x-25-saquitos/p/MLA19775507#searchVariation=MLA19775507&position=12&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,2.443,GREENANDML,Nuevo  |  +1000 vendidos,(87 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360962220,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Bolso Matero Matera Un Buen Mate Porta Mate Termo Original  ,https://articulo.mercadolibre.com.ar/MLA-1198279849-bolso-matero-matera-un-buen-mate-porta-mate-termo-original-_JM#position=37&search_layout=stack&type=item&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,9.341,TIENDA MADU,Nuevo  |  +1000 vendidos,(181 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1198279849,2024-01-26 12:11:42,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Hibiscus En Flores Para Infusion X 1 Kg,https://www.mercadolibre.com.ar/hibiscus-en-flores-para-infusion-x-1-kg/p/MLA21238782#searchVariation=MLA21238782&position=13&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,37.997,NEWGARDEN.COM.AR,Nuevo  |  +5mil vendidos,(49 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1339185707,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Té Inti Zen - Golden Chai - 15 Unidades Inti Zen Saquitos - Golden Chai - 15 - 30 g,https://www.mercadolibre.com.ar/te-inti-zen-golden-chai-15-unidades-inti-zen-saquitos-golden-chai-15-30-g/p/MLA22129551#searchVariation=MLA22129551&position=16&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,2.465,TIENDA.ANDALHUE,Nuevo  |  +500 vendidos,(8 disponibles),Nuevo  |  +500 vendidos,No disponible,#1471967182,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te En Saquitos La Virginia Clasico X 100 Sobres,https://www.mercadolibre.com.ar/te-en-saquitos-la-virginia-clasico-x-100-sobres/p/MLA19835209#searchVariation=MLA19835209&position=17&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,2.628,ECOMODICO,Nuevo  |  +5mil vendidos,(173 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1635338952,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Bomba Presurizadora Vasser 9mts 1-2 Baños Calefon 120 Watts,https://www.mercadolibre.com.ar/bomba-presurizadora-vasser-9mts-1-2-banos-calefon-120-watts/p/MLA19686540#searchVariation=MLA19686540&position=22&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,54.046,AUTOMATISMOS PADUA,Nuevo  |  +10mil vendidos,(56 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1365879109,2024-01-26 12:11:42,Construcción,Plomería,Bombas,Bombas Presurizadoras,nan
Te Adelgazante Plan 30 Dias + Duo 10 Días Dtox Quema Grasa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9voJFsAvkaCSApMcemlshyIzFwxg3ZGJuH0e6wsn8KiDcAuQMQtDCSlNCYDFXXXVUBilgVp4dD6iSk16d%2Fc4M%2F1VZsLY1ZdePzkLP%2BseKeHfLqbPQkjeIwej3%2FUKLkA0cvzjgHt1biO1vA1Ye842o0VDYcGKkzG8NmN%2Fdw3BVQYC6LR%2FIC3RCpIACRQZwxir0mDOo8RvrZ1bRkg5jAkdN7j83NmvGvuajPVB94FbD%2Fqms8Npbkr9oWGdeqMxYeRVboso0IJ2LnG0Mlppy1oUPjxEphZetvRn8QWYKe4%2BSK3s7o5%2F267yvAgEKI7HI9TU9imqyTQGJXP%2BctISQ6fLQYYhOLqUk8r0oaJFHo8dHhNLu4mAUzHJlbfgOlKE2RINGDAnE4udHI%2BuNAL6n6Lpb4NeutQcXgP1JtIvWXYo31cn1NE3RgUCbuz%2FsVfDEDerXbZYU9P81SdIMHEypC7dzxd%2F9S%2FsdTr7SqpiBeeX00z93ntERbAycoIf6tLNxuK9yhJjgl8%2FtPLze8FUTew%2ByeNMcuPKAZeTKoEh3iDfm8cPV38eXPRBNR219C6ok7TcjkjE0nu85Oq%2FikAV%2FAgzZr1aG7JY1viqWoawozCU7YvvuRCAX7xRaXLV%2FyEHDNb3egDpFNZWXPLb7yEFSIG%2BHJPIgJd8s3BiMXp2PF6WZHbS2Wlzhs%2FVc%2BT8HePFG1Sy2qQG70us8Pd2aHBGEqLs2pbISEy%2B&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,6.299,ARMONIANATURAL11,Nuevo  |  +50 vendidos,(24 disponibles),Nuevo  |  +50 vendidos,No disponible,#1387237815,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te Inti Zen Collection Nueva Caja Deco - Elegi Tu Preferida!,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2B0r7dLjWBbpVC1DYwCBJmN5zvc5FwwSMupluvTV9c3KXnkLtDjD4x1ysyUddkHwaDkMcmseifnfx5FNdNDg39vwHcoRg1LSdmlRp3C0BlukoMc1xSTrNvQh%2Fmg03S%2BoLAvPQKYLzXlPz2lRX81Na70wj7dqHfB8awgT3eRKfiBZMHhTLHmoJ%2FxsJcohuLHAGyGsTwu9ePLhEHht1sizBd03NgCIvChubRDAO03UEbzSg31sh2I8Hg4CneSIJVbRd67P8nhV9YsgxTCJE%2FAa5OGdaM2bBQkkqcD8MSLrw9v1bWiNJgpwhohVzq4Chqf0JuKT%2B5QHQJxlR9g7MbKQd%2BiZYn96OQ1XkA4bemMYhZlrp2WpJErsISqJrkXGOZwFwGCyp%2B3HxaQcI1k4BuyWmIkujO%2BAz4GTsdEsPp9ESFc5zboHuaw04gqhKag%2F2HKcTvkdAn8G3Vc5fjQvj85z70UCQlfVZV3pKz4Wvor7U0VIOG4bVNO4CJChJzx1gGCDAnEjoPoGH7BeVB812KO5PwNkEVbtJs1pojl%2FjKLQTVVz578JP%2BgHEYzoE4r9psrM03s1bj767LmDRj30Izc0QPDL8yXdPqIw0AswQ2Irdd0LRIsm9JrUaftyP0lvttCqH4LzAF1mP%2BNDWlLOGhuDf7b0b%2BXdipugEomS%2FWbk16I%2FANVHjPjn8MDyO8UBlr%2BGKKzBy89%2FXEBkzqSzutOv5jyHW4KeRsOJ%2FRVPy%2BUeYZjMQMKd%2B1bZ3AjkPJbjXSXFH7ipcigOh%2BZ1Q7uuKUXjaekxPK12zbzgtiIOt9W0EzZIwjeOiC%2BmmIQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,11.745,TIENDA.ANDALHUE,Nuevo  |  +500 vendidos,(24 disponibles),Nuevo  |  +500 vendidos,No disponible,#1299074314,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
