Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571#searchVariation=MLA19979571&position=13&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Dolce Gusto Cortado Espresso Nescafe 16 Capsulas,https://www.mercadolibre.com.ar/dolce-gusto-cortado-espresso-nescafe-16-capsulas/p/MLA19629590#searchVariation=MLA19629590&position=6&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,14.800,CAPSULANDIA,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1178917123,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875#searchVariation=MLA20025875&position=15&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,10.838,LUIS MICHELUCCI,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1664899496,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Capsulas La Virginia Espresso Intenso N9 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-intenso-n9-10-capsulas/p/MLA16167755#searchVariation=MLA16167755&position=16&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,5.323,LUIS MICHELUCCI,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1398590223,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543#searchVariation=MLA19979543&position=17&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,7.499,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1449833286,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafe gold cafe soluble instantaneo sin azucar frasco 100g,https://www.mercadolibre.com.ar/nescafe-gold-cafe-soluble-instantaneo-sin-azucar-frasco-100g/p/MLA16112959#searchVariation=MLA16112959&position=18&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,14.999,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1136577468,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602#searchVariation=MLA20721602&position=21&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,15.960,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Pack 2kg - Café En Grano Tostado Natural Colombia Premium R1,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=IdebBYXIzM2uvzpNkYNfydDaTazlkOkXMkgfkuPtBU3Q7fAFt3I2ThBUGGTwHzqNGLe2ttI%2BtoY2geKDVDo%2BZ2slDSnzTc3gXk38iV%2Bv2jEfYmYvdL8OZUOwFPYBbBx4ZHF0nOmPFOWuYbOJ59BB%2B1WleNgjYNJp2jiLqhGZYS6O6cGBIm63gONFgFkzlX8vwc5HvlUwVQsEBloVnFYou99oodNtKBCF4kwvsOyFcqAJW5rmG4XErSzG5OXecSzUTb3O9bBbgVCa4IVj5N0jaPtg6ycflmYICy4hzEG6pWQHqlAU%2BnRybqZ5jE1kqez9Lunqe2rzYZQ%2F%2FeiKHp3nci5wCMKVdKElxsS0LMx%2FbaU0WjJyR8wlB7pkoX2ThUB9BJKvklhefDvcKUBYTaiQTYU1kMp5khHkPjDCdLJozaRq5kVi%2BuHFqfdNN3pWCVkD3qGUqhHJvVGkLuZEnRRcRG8W0m5ATtnbYt0MK57fdbDMWEgyK%2FEW8j291%2F%2B1OkNMDWWfPqRl9VoITeZRvHDr04%2B9sYMhFct34jV76zNDYtBQXpbkPPY4CIC378McXe5vuwYYyxKRKeAwVeTsFEMXC0yCKNBO3r5t1yCO0xat7kWBJqaztW6dRnQu%2B747aISvr9P4eQIO0kgNrLSRfIaE4PDT4feXBK2zNmdvW0VtzIFAUaPMTIQB2yVVcAi4UwvKKz%2BdHlOaBEk004qcG%2BVDztBudXLKHfWkorKz9z1JNoRt4AfqJD0gmjWAmHsERf1A%2FNWzETvAvnPkst5kV9mMbHhR4RNwNE0V%2FqIN0zZDwsi7%2BzAFrG6qii2fzg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,69.990,CAFE GROUPP,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1640226122,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café En Grano Tostado 5 Hispanos 2kg Expresso,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0UV5EhTAT%2FpIppTJJDSTyoE9wFyhGS7Ycl16TvcPtrC%2Fjy3jpSMrsARDMlrTZxIMELpvmo19tHTKaxVjh%2BMI%2FKdNbcEyVmlcm%2B9CIv8tdyde7PukRnkZ%2BGtw8wxmh7ZgLPih3ov5OrwvbPSHH2gKs2aXwTQwshiJgO4BXQXcG%2FVE9DG4w%2B4YMK1mKQit1lGUXzbA%2Fr26CdZ3v26nmNMpM80HZbRw99rmmHGHDQ4Cg6Aiu3GkI%2BffzRGCxmnFn1bCMMfZ2WsbN8IpWq7byxjxA1HcRbwi2TDuwlz3agDAKqMYJ92zlSpssa%2FykqR4jWX0eSdL7Z6LUq0wPaOmem8mjci33gy815p9JznmKpHImyW7IG9zLhSGfcC5nwNboSjulFCvpSg54ipzwod6a5I8zs5NN8cxR0MVdEzRBlt0YCBlwnZnlXZfDN%2BexDoVM%2BZy6Xh3CDU5mywhJDU49c%2Fc1OhUDUquSI9TF2OrXxwQYPD84f43D2uzpkxr9pS1uGKcmdBvA6Wp3%2B%2FVAu0cwNg7i4R81pVZqSlDRQB9k5sVa8mHLzGQjHmFVA3iMQpG5SLfHFJGsJeZ16L57HF6XcLW8w4%2FJo%2BjhULANK%2B2nudIh6eXd%2FKXdgyNikGvgai3CpNfHyAFyWc8I%2BQzB7DyJn7N4NFF5%2BxnJgzJr6aZF2BE5GivQT04MJnxFDcXXoDyZBZA37p04U5oSeoMCqtmO6zBG6Jc&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,74.954,PARÉNTESIS,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1550281466,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424#searchVariation=MLA20732424&position=22&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,10.950,SUPLEMENTOSNORT,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1705279530,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
