Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232#searchVariation=MLA22834232&position=35&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,42.390,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1431407680,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595#searchVariation=MLA19937595&position=24&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,4.850,XPALLET.COM.AR,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1401596528,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507#searchVariation=MLA19944507&position=32&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,15.440,AVFX1,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Latte Macchiato,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-latte-macchiato/p/MLA16167792#searchVariation=MLA16167792&position=33&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,11.999,CAPSULANDIA,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1110402568,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Instantaneo La Virginia Clasico Doypack X 170 Gr La Virginia - Unidad - 1,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-clasico-doypack-x-170-gr-la-virginia-unidad-1/p/MLA22931621#searchVariation=MLA22931621&position=36&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,4.151,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1370584983,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=54&search_layout=stack&type=item&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,12.395,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1625147448,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Tostado Super Cabrales 250g ,https://www.mercadolibre.com.ar/cafe-molido-tostado-super-cabrales-250g/p/MLA23073681#searchVariation=MLA23073681&position=37&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,6.249,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1411618091,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Cappuccino Oficial,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-cappuccino-oficial/p/MLA16167625#searchVariation=MLA16167625&position=38&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,11.999,CPT Oficina,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#921695731,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Montibello Moka en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-moka-en-grano-tostado-1kg/p/MLA28257259#searchVariation=MLA28257259&position=39&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,38.269,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1577030580,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Suave Doypack X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-suave-doypack-x-170-gr/p/MLA20720536#searchVariation=MLA20720536&position=40&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,4.595,Ecomodico,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1285412518,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Illy Grano Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-grano-espresso-tostado-clasico-blend-100-arabica/p/MLA19937594#searchVariation=MLA19937594&position=42&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,22.075,TIENDAPEPINO,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280239056,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe En Capsulas Espresso Equilibrado N7 10 Cap,https://www.mercadolibre.com.ar/la-virginia-cafe-en-capsulas-espresso-equilibrado-n7-10-cap/p/MLA16167627#searchVariation=MLA16167627&position=44&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,5.300,DISTRIBUIDORAJUANCO,Nuevo  |  +50mil vendidos,(+5 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1409642983,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907#searchVariation=MLA20025907&position=46&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,17.194,01MERCADO,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1280091531,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo Nescafe Dolca Suave + Aroma Frasco X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-suave-aroma-frasco-x-170-gr/p/MLA19766270#searchVariation=MLA19766270&position=48&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,5.380,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405831075,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe En Grano Lavazza Crema E Aroma 1 Kg.,https://www.mercadolibre.com.ar/cafe-en-grano-lavazza-crema-e-aroma-1-kg/p/MLA19937596#searchVariation=MLA19937596&position=50&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,53.000,GABY FRAD,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1361108747,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Caja 10 Capsulas Cafe Etiopia La Morenita Para Nespresso,https://www.mercadolibre.com.ar/caja-10-capsulas-cafe-etiopia-la-morenita-para-nespresso/p/MLA16167742#searchVariation=MLA16167742&position=51&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,5.772,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1145570849,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898#searchVariation=MLA20903898&position=52&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,19.591,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581833482,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
! Cafe Instantaneo Segafredo Preferito 100g Sin Azucar,https://www.mercadolibre.com.ar/-cafe-instantaneo-segafredo-preferito-100g-sin-azucar/p/MLA20713491#searchVariation=MLA20713491&position=53&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,9.512,BLIP,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447371406,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido La Virginia Torrado Equilibrado X 1 Kg,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-1-kg/p/MLA19979553#searchVariation=MLA19979553&position=41&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,12.609,MAM_CBA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1401728205,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Molido La Planta De Cafe Cabrales 1000g 1kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-la-planta-de-cafe-cabrales-1000g-1kg/p/MLA19966384#searchVariation=MLA19966384&position=43&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,15.921,DVL,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1400240157,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks House Blend Lungo Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-house-blend-lungo-oficial-by-nespresso-10-unidades/p/MLA19731860#searchVariation=MLA19731860&position=45&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,10.981,Nestlé,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581922792,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587#searchVariation=MLA19937587&position=47&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,11.500,CONFECTIONERY FINE FOODS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286885126,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instataneo Morenita Intenso Frasco Sin Tacc X 170 Gr,https://www.mercadolibre.com.ar/cafe-instataneo-morenita-intenso-frasco-sin-tacc-x-170-gr/p/MLA25822976#searchVariation=MLA25822976&position=49&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,4.634,Ecomodico,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381829339,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Pack De Café 4 Unidades  X 250gr- Brasil - Colombia B2,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0UfA96wSTwFK%2FGtxcfVlfeT7LaVu8ZfYPWIr53TP5sY4OWgjr259yPl9Magaj6EJuU4hGVt01ZzTaFhsdf6dYsZId4QzVP%2FTGGs5iozCpGaJTcJtebp8kknhyPMtIDKzF9KUA7e5Znwz3tt%2BbJxOJrdSVjuUrdlC21RP0zKninwza3l76VkvjY7P6qKBUjeUG1yp%2BdBVe6SCts7aAfBalYYYrzYUqVx7%2F82XLDAzwltWDkPyvD0SPDVECTbPf9H7P%2B4GNWCpFTdy77sUG%2BLfRQNmErIeQcZnIi8E%2FPX%2B%2Fk%2BmUNhI%2FiMEyyDjXOTFIhTZoSyf8hH%2BI0%2B00OC3Cy4M3exgNt83iwkw0b%2Bs8kHnP9rzMU7uQZqaXf3usmA6Ft9kyFabVevAx6IrrqjCU%2FqFxNBWOpD%2Btd7iC0nYHw73qeIPwFt6GcM1MILsN9hq19sghuFMfyvvCZGRdsh9W2hfRJqFChzF5skdLEhay%2FR3Mn9BHDPY%2Fhta0bIPA2MIlddDgZSl0EcCkpLoyfQi%2BMGEemn5kGWhmujIerJtM6V8fVp8j5VJSQD0Q64tOs61HvDAs7lJ4GS%2BoDOZaOCmbcc0NDFEE%2FYMUC9P0KVju%2FVH%2BXITYw8hzLcca6qzRDqAZ6J3XgFnkYk9X3SfAHpeLBbyuoljbBqYqA9naXASeXI8gCd%2BV7dUQlSgESE2s68Ys1P1ZIppoWVtC7uT947CfsuOKKyp7V8Y0HAHCRTjJXExumit3Wg%2BfUfzi%2BFcBH34hSh8u%2FqMTHuZx9%2BsGzxvUVfFW9bQpqubFgV58JEMW4724Lk%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,39.700,CAFE GROUPP,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1470366492,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Pack De Café 4 Variedades X 250gr- Brasil - Colombia Xrl,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=X7Qbt6oEmWSg9%2BFl3mxzNNGkY8LSI3%2Fs0JvXQgN2oMmVS4HpwEd7ECOeGF1%2FMYuC8dvy6eQohtrF5tiJjnsIHqWuYbsqv7H8Kuf2oHoYNBTWeIAr9ASmv1cYgJsd9Bx2aHffEd02mz7o3wEq%2FlydhuVt%2BhtwPU0v2Bdddx9ptgFAweoSWN5lm1Bb7MDDdYQaIDm3MbpnBaHUzbYnsmo%2F7sxccmZkAbeDH0ToC5O1%2BcI37MjyuzXNJ5OrW08h01U%2FzUPjZaBsbc60%2BIU50%2Fz96iPlUv0y7s%2FIkFIRO7PTv8VaSPfsNken12COMxLEWbvpRegRqtcfjQDHOdyWkrVPky5SQ8wMpw5ufrrruoJL0LCuaM8v86AQjyRsK5%2BksrV8pqqs7ZUIY0YxIX1FAEUOWN5DsCWGxjSr3pzuit%2FAr74hxy8YKlbr3emTVm%2FqpxEfMpzPXGgbv8TGrrJc0MZ5u67YKx%2FsD3ET7Mq4Hly4XuP8BraLW1ZC98bwAJesiPcngZLbcKojAxjz8VLThntFaX5ASd8suaV6Z6s%2BE%2FgnQAtFTJTa17cm%2FObZnZAy27SH8FQ%2BaHXJLEqRwGlyiyIf7DgFU%2Fn5Gj3i3pGaUPQDTmzTjUAFykT8PpNq6lUp4EXqzbIjR8rHkbSFE1ZgCR%2FFtS3B%2F93eKX1NqOC4LahFa1m8dZy%2F6nxqGjJwuqRgJjvjlOqpT%2FXsTGc7YPF5JIJwkZUQYtjMmJahqdC5agGuGcGv7%2FueYdfS0j1BOiW4wZ8l1O589RGTmVn3rxEnQq0qOTx%2FNOJb0sezxvst%2FUsbQmB3D1vnrw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,39.700,CAFE GROUPP,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1550312474,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Victoria 100% Natural - Libre De Azúcar -  1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=8ys897q300tEDGaurBA2ba6Gx%2FWJEgz5RF4KgnWnNd0kcc72sfQfKDpzPgapre0wbu0qDM1fMVvLVxous3mYHLp3NQucrt7sq42a9v1c3b5qIXcUZag7fb20oOhnG1mUrA%2BfNgNrEVLYEcM4pzjjPDDb0lpTG1M5cMc5qCDLX20ng6o5T95sG%2F1q22TsldPOiau6%2BhcYpYqdEnms%2F4mg3LfKB7eaeDFHEytRMcCIVYXlzrFyo3aK7%2BZcvJuV1YDJDlmVdwSh0ZJsPR4XucYZCDwhqx1GBuzRmPlKskFSgNC2YrqLpTkrivteWWoMOxiUI6oj4NwLQYcQ8h5NszdKIIQI2CPCQJq39N84Y4BcRh9MaPOAQtq7loPRjyCagcd3sqUL16MQB4jKMO4FV2X8VUoDN0z2ahrxzHxkrxY%2FR5T6%2BRW5rXU2apae1TdA6EoNicD9Xt9SGrVmPlNjFAg%2BYmbWClvAbvT10%2FGExis2b5JYdnOjL9gbNXA%2BPOJtqcBGhhRyQfFrzBaf%2FqQKRJ0QJ9suWJU7yWm%2FY8CWP6w2MkLkSvURZvV2kYUgKgTSzAW1qKXv3IfrS3fBfsYkaMzAoV%2B1wuFdHpWX2yUUHOwKR8F8okH1x01d0m0doYAR9T%2FNT7zuPAYwPrbMp70C7UKLFqa4EQ6WKNUoTySVn0Ue1iOEJ9O6iuPJ9Z4vdj%2B5NzEwiOcm0GSWD6ss9A%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,27.703,COFFITS.CAFE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1122022298,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Cafe Molido Tostado Brasil 500g Sin Azúcar Agregada X2,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-brasil-500g-sin-azucar-agregada-x2/p/MLA28565002#searchVariation=MLA28565002&position=4&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,31.920,Cafe Martinez,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1584480062,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Buena Cepa Despolvillador Unidad 1 Negro,https://www.mercadolibre.com.ar/buena-cepa-despolvillador-unidad-1-negro/p/MLA27803604#searchVariation=MLA27803604&position=6&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,6.240,ELBAROUGIER,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1407242627,2024-04-10 12:17:10,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Despolvillador de Yerba
Montibello Moka en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-moka-en-grano-tostado-1kg/p/MLA28257259#searchVariation=MLA28257259&position=5&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,38.269,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1577030580,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 100 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-100-gr/p/MLA24699607#searchVariation=MLA24699607&position=8&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,5.220,Ecomodico,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381087301,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez tostado molido Brasil 250g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-tostado-molido-brasil-250g-sin-azucar-agregada/p/MLA20026339#searchVariation=MLA20026339&position=11&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282331780,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Tostado Eurocafé  Speciale  - En Grano - 1 Kg.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=wDBLwX624frDHwwCMmb%2FxXejjvETwAa5QHpDn2FKKeBfnXvJSWYAQbPX9%2FM8FWJhLm0x09KY7wTLQjFFLnHdv48cPgmE3Le9gNkKCYoDghWbk0M29TCCbt8h2qE7G2Fo5sOo%2FBtrtyCCRKiUg%2FTQiqaXoiufr1HNe4Kc4QXjc3iZpeebOslvBVwWglBPXJCntTdocGwDdeE5RjPm4Jsbox8ml8nL063t2PsFnrpiIDtOiYd4BmSANdoaB1hCGoyPUG4HL3tif5lf2ASJUFedPRnJZVU6BajgvgIwchaO6ScI6zw16fsfcD5mh1XMWtIeJOyBhY%2BswdqIvg4V1UyqRMi3EE4vEUUdrMFx1%2FuZgN8Ap9EJgHJMBXikbZXq852cqFxWYH4TIqjYPNgkTgMw6JvBLQtRM5yNWG5EHys%2BhpkaeVo5SZkhzXP9THPCSJ%2BLHZp1MBfgtBGTVK%2BKVwGP%2FmA2dj12ntg%2BbC3KG9WUh9awi5EBzCranJUhtg2rpBRXq1dTm0HOYOB5O1r%2FwkjFpuhBzu7eMXr01MU%2F4YMocKIcLSgsVXJU%2F9pqqvEtg%2FnYKF00pN30MaX3VfrG6AnPQQlifxpX84Zau%2B%2BUKFyp1U0praJxZU4bJskm5uQ82VPXqjp7hzodfs%2BLMU3Z%2FtJ0lVfg4%2FkIZdj8IOaihTdNFWDWtUiH37yOX0EJTiHZSImRXoDy4XBqvf8%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,35.900,TIENDA EUROCAFE,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#843460660,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Super Cabrales  Molido Tostado X500g - Tienda Deli,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tgiFUbUVed5t10kPbL5zNZuWqu833422D3N8fqTvnsaSsAuFpqqMHTQaqnJGLYqwYSZrh%2FmKKwhvBRuRVzo5uKQZ86YgNAEgpUtcz78OPd5RhYmjZGxzhDZq3kfIJgnYSC5SpZiIrxeyiw%2F9YvZC27nKPsiqECE%2BZMT%2BDVOtFgfdsZg4WMJE1Iu4mYx1WFcza6RpubyLEOUgAieV2dEkEroKzL%2B2%2BVzXjD45tOqyPVmI8pOp80%2FoiwJt1Ys61GFbCpbF5dM0%2B9hzeSNoo%2F5ZfbanETPkEpH3owDHrgUPrCgD3%2B7gONmdUjBa2HxMLPIM269vjt03LMC38IACj%2BsVRnzO9LzjRP62x2KMUnR1gioz5em8dHlO%2FlU9FScQr%2FrAp7Dh4bZr7tZ15X49AUHcdaLsKeYSEgrndYVhwo98xXDmpmKZZFqpVTsduvb7aKsfvBniKLqHqQu5KZvN15CGSDsF%2FR6InOkOpwFu6JloWmpkVTP7r9tJbummZP190rtqdf10INyM2W4AlR04p%2FLUWfZRdYHgYh61jV%2Fxv%2Bgd9cYvv%2BnWsFOQJBMoeo7LEqAwigXF%2BjaXl9U%2Fr97k2MUEWhTOKbEnxSHCxpXhYvk6SDlSZY564XnQ3JKx8tRsCakbAm%2FUaL1sbZxTPg%2BNQ8jlAsT4y9vEeIMnucaDENj5XV0HTyowHT2cAiUMVZQhKB%2F8lmuySxy3RPkLcQdGE2aySphExg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,12.670,TIENDADELI.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1105671362,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Super Cabrales Senseo ,https://www.mercadolibre.com.ar/capsulas-super-cabrales-senseo/p/MLA21356761#searchVariation=MLA21356761&position=7&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,7.026,MERCADOMIXAR,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1390302689,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Combo Cafe Molido Italiano Y Brasil 500g S/azucar Agregada,https://www.mercadolibre.com.ar/combo-cafe-molido-italiano-y-brasil-500g-sazucar-agregada/p/MLA27998803#searchVariation=MLA27998803&position=13&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,32.965,Cafe Martinez,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394850335,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe instantaneo sustentable Arlistán mediano,https://www.mercadolibre.com.ar/cafe-instantaneo-sustentable-arlistan-mediano/p/MLA19754817#searchVariation=MLA19754817&position=15&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,4.296,Mayorista Masivos,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1223901041,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Cabrales La Planta Torrado Paquete De 500 Grs ,https://www.mercadolibre.com.ar/cafe-cabrales-la-planta-torrado-paquete-de-500-grs/p/MLA19944513#searchVariation=MLA19944513&position=12&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,8.412,DVL,Nuevo  |  +5mil vendidos,(3 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1400253065,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
