Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
"Cafetera Express Digital Atma Pro Ceat5403gp 1,5 L",https://www.mercadolibre.com.ar/cafetera-express-digital-atma-pro-ceat5403gp-15-l/p/MLA27953621#searchVariation=MLA27953621&position=34&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,231.999, MEXX VA,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1397215167,2024-04-30 19:35:44,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Nescafé Gold Tostado Molido Equilibrado 250gr,https://www.mercadolibre.com.ar/nescafe-gold-tostado-molido-equilibrado-250gr/p/MLA20026486#searchVariation=MLA20026486&position=31&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,11.982,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581846370,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Tradición Instantaneo Clasico 100% Puro Doypack 150g,https://www.mercadolibre.com.ar/nescafe-tradicion-instantaneo-clasico-100-puro-doypack-150g/p/MLA19783086#searchVariation=MLA19783086&position=30&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,8.066,BALMACEDASONIA20220306183921,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1751167368,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728#searchVariation=MLA21766728&position=32&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Jarra Pava Electrica Spica Sp-920 Acero Inoxidable Mate Cafe Color Plateado,https://www.mercadolibre.com.ar/jarra-pava-electrica-spica-sp-920-acero-inoxidable-mate-cafe-color-plateado/p/MLA19344453#searchVariation=MLA19344453&position=35&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,17.555,LIBERCAM,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1144987329,2024-04-30 19:35:44,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Jarras Eléctricas,nan
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875#searchVariation=MLA20025875&position=36&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,12.502,DISFIT,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1423689173,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Cappuccino Oficial,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-cappuccino-oficial/p/MLA16167625#searchVariation=MLA16167625&position=37&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,12.999,CAPSULANDIA,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1110402559,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587#searchVariation=MLA19937587&position=38&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,11.990,Almacen Cafetero,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1649126858,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 100 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-100-gr/p/MLA24699607#searchVariation=MLA24699607&position=41&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,4.590,Ecomodico,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381087301,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Illy Grano Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-grano-espresso-tostado-clasico-blend-100-arabica/p/MLA19937594#searchVariation=MLA19937594&position=44&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,25.380,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286885120,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Express Atma Pro Ceat5418p 1l,https://www.mercadolibre.com.ar/cafetera-express-atma-pro-ceat5418p-1l/p/MLA27953643#searchVariation=MLA27953643&position=48&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,217.999, MEXX VA,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#1403326197,2024-04-30 19:35:44,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907#searchVariation=MLA20025907&position=49&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,10.000,VIRGONAMARIAEUGENIA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1750059940,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonaf Fundador Tostado Pack 1 Kilos,https://www.mercadolibre.com.ar/cafe-bonaf-fundador-tostado-pack-1-kilos/p/MLA27764820#searchVariation=MLA27764820&position=51&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,25.795,CAFEXPEND,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#1552531646,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Kalma Espuma Frasco X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-kalma-espuma-frasco-x-170-gr/p/MLA24737455#searchVariation=MLA24737455&position=39&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,6.766,Ecomodico,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381138227,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219#searchVariation=MLA20026219&position=43&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,10.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks House Blend Lungo Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-house-blend-lungo-oficial-by-nespresso-10-unidades/p/MLA19731860#searchVariation=MLA19731860&position=47&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,8.285,Nestlé,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581922792,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Torrado Molido 5 Hispanos X 500 Gr,https://www.mercadolibre.com.ar/cafe-torrado-molido-5-hispanos-x-500-gr/p/MLA20993656#searchVariation=MLA20993656&position=40&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,5.957,ECOMODICO,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390392683,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Moledora Granos Maiz Maquina Para Arepas Tacos Cafe Molino Color Plateado,https://www.mercadolibre.com.ar/moledora-granos-maiz-maquina-para-arepas-tacos-cafe-molino-color-plateado/p/MLA29328225#searchVariation=MLA29328225&position=45&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,39.499,SMART-CLICK,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1617043358,2024-04-30 19:35:44,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595#searchVariation=MLA19937595&position=50&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,6.334,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295581556,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Yelmo CA-7108 semi automática negra de filtro 220V,https://www.mercadolibre.com.ar/cafetera-yelmo-ca-7108-semi-automatica-negra-de-filtro-220v/p/MLA14226552#searchVariation=MLA14226552&position=52&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,30.572,ocambi,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1513376152,2024-04-30 19:35:44,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898#searchVariation=MLA20903898&position=53&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,10.000,VIRGONAMARIAEUGENIA,Nuevo  |  +5mil vendidos,(5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1749969330,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Dolca Torrados 170gr Nestlé Oficial,https://www.mercadolibre.com.ar/nescafe-dolca-torrados-170gr-nestle-oficial/p/MLA24207287#searchVariation=MLA24207287&position=42&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,3.500,VIRGONAMARIAEUGENIA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1423448159,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
3 Corações tradicional café torrado molido bolsa 500g,https://www.mercadolibre.com.ar/3-coracoes-tradicional-cafe-torrado-molido-bolsa-500g/p/MLA24753269#searchVariation=MLA24753269&position=46&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,9.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1700708472,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café En Grano Tostado 5 Hispanos 3kg Expresso,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=axgoHbLNWmOklg7Pjk63NIi1myzwsuqqGJHVm2j2EwRQl9vlN4b2lkaQQCC3iH7CvblklEi4elkNZiH6XgSJGvjXttz7Z%2FAw73zUPFCwnQ08LvNDq%2F%2F4yRhH3rT4%2BxOoL4hRwyBCR5ARq0Hz0%2FQaGNKWOLjhQ%2FHlnF%2F0qnDUHSfWpu4yuv%2F9Qsr5mRKYWdYWDwWbE%2FxumyS4rhuPmAfmHCqHNM8LXs7Y4fR9AhkuXuWXcl8B%2B5AuJB8STv%2FSd%2Br%2FlRd1u8rOZzr3SDRnA7A6k72lFGBwLEKAPvA0Bq%2BjH9QyGxGliULpzk1ckTMTiucHIOsDaMrV6LvrSQxW5F1dGK6faZK0qBumHF8cCAgvpWZgqKYuqXsoMYUpKzlgJKFzyirfM629yf%2FWOAlSvvyKXJ8a5A3xNhYF886zK2EO5stQ9fA%2FD83nwr%2FPMNhtdI2mfJZkU7LFMVA%2F9iI%2F%2FlVRx4E42eTReNSxxmNKLmPMg0lcxNu8NFp98VP7gjESHdgcU16zG7ERNG%2Fw9%2FvchFnRqzGOQ8AsYPvEdHV7%2BpJbZBYDttsaNHNmfJUc9fsZR8tvqOyrx0iWQdyVjMn4titdauzziyCtaI0iolkb6tFKFdKBztqvknp2gr%2FWc9uC1MoFpRiKz9269DY4SZrG6zxD4w6rX5Rh8ay%2Brsl1eV39laD96Q6T8FJiqGvbzgEC21Up0Y5OFf6sg1ToU0NVSVuG&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,105.119,PARENTESISCAFE,Nuevo  |  +25 vendidos,(+20 disponibles),Nuevo  |  +25 vendidos,No disponible,#1397278099,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café En Grano Tostado 5 Hispanos 2kg Expresso,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=S%2BOWY6ifvY1BkWt2cEIWbIeTwUBg7BV5VizY4Wkz%2FfM7RqrxYXk6xWgAIw18UnGVlX0Ny5oVV8kgUxMrtuXnMjD2UKP2CToMFuMVyotv%2Fmdy4%2Fq3MZF%2F%2BqGUUVp5M2596WVTguJVX2Ju1FkvIMMvi4iqJUyhXq9qL2TbizebdSNDyZWLcty1ezy0P0hG75prGjwkwmBCHf%2FunJ%2FS8%2FDPhhkymtUX6jJX5QZ2BGos6g%2FtH4O1YDsSzeg4RSNGIxcEEsEaMeSZaReY3om53I7cylV96J9CYTRBhNgmNTI0bEj6K6iwfjjnFmfUOqRgu3%2Bs8lB%2Fs1c%2BXKZ4uAoj1jEpiIdXMe4C5mtj1pxLGuD%2BefJQlEdiCi26jP0xxHN%2F1WrI0meOSz8s6My%2B6qyLUYygsix1JbfI%2BDeRcFs7%2BYC2yzW55sJSKVKK7kxqmzrV%2FZFxnLLFU%2BheAzqzchVGffND%2BdjuFKfQXt40xb%2B%2BVjGTr778OCPwtxFaw6ujMLkUs9BV80vFog1Hodt29kub0PUNeAmiuS%2FhxGYmYCtr0BnHTkP8rgahv6ScSd%2BOEpmu0EorJHI1qqigWg6dBDYZZDsg6T9BIMJ%2F45KUbNKXkmkxoUToZTd1UMQofWRoAxu2NzZ4T0txaDtgO4aROueL81fDusLHA3h7AZdLYK0WkRwRDRm9VwOBWz2yQ1w3ZU96CibIOqale0%2BsBDd%2FspiJK7s%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,72.587,PARENTESISCAFE,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1550281466,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cabrales Molido Super 500gr Pack X4u. - Tienda Deli,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=09Aas0CrYNtChxhxc8nmZtBu63S0smB4kssQK%2FDlJEmY6NQQhgnMVOq0FSmB8MdddsNUHeP%2BFtdRz1VMK7xikvl1PnGCeEnurhlvcRR%2F2QGMW0hrJaYRyf5GRUMe7rl0%2FCG8FgQjDBPORA81yew50bumA8lcz1%2B%2BAU%2FmBTqmoETe2Bx%2BQKAjWAJ1fuIqEVb84ojXpDs0YuaThS1gCH9CKliUFZDRjq8lZLPcGfbDye7wKt2JNIUutuRsqkFq1wCdXXC1F2FStyOCt7ebi976hZgb%2B7IMMM3CRESSBP%2BY6djgcHH7fDnYbK3M6kkmrf6jbUee0qYGJIdDIRzJGXDst9WKf5UA2dE0GiIWrZ8SznGFzJPwhPi1%2FxwksplxF%2F8KX8p5xtwIUhSoyZoTZeg0y7HNOJpdq%2Bj3D%2BtVpAgDadqFDp9zxUKT7TshYHY00qpG5s7NzSjO5ILbFUNV5fWDVoxSEM%2FozZBasYbxlxM3ORFeaKGwRDEOD1%2FUhzwi0zmfiQFt6F26CTKkTXJPUFgIcaD4SDYceb3FoGsdue8%2FzOSKK7XdCnBr5Q4V55lh20LWDQmBeM7oSRKDpmQyEyZyjTdE5%2F3coQYBAiOjZXtOqk3FD0okraiKMHBQzo4s0rMave59LFUVoQnRag46%2BSWprtJZ98wFNdlxKpx0jcHsoItxIAZ4kzkAmy8dlKVkCP%2F%2FNu%2BJ2mh3nwVph3U5kdqjrl6E&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,64.899,TIENDADELI.AR,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1424645168,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Moledora Granos Maiz Maquina Para Arepas Tacos Cafe Molino Color Plateado,https://www.mercadolibre.com.ar/moledora-granos-maiz-maquina-para-arepas-tacos-cafe-molino-color-plateado/p/MLA29328225#searchVariation=MLA29328225&position=5&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,39.499,SMART-CLICK,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1617043358,2024-04-30 19:36:37,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales
Cafe Martinez molido tostado moka frutado 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-500g/p/MLA20025965#searchVariation=MLA20025965&position=6&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492794,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cappuccino Tradicional La Virginia Repuesto X 125 Gr,https://www.mercadolibre.com.ar/cafe-cappuccino-tradicional-la-virginia-repuesto-x-125-gr/p/MLA19640009#searchVariation=MLA19640009&position=7&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,2.470,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1186155476,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe En Grano Tostado S/azucar Expreso Montibello Brasil 1kg,https://articulo.mercadolibre.com.ar/MLA-1382768468-cafe-en-grano-tostado-sazucar-expreso-montibello-brasil-1kg-_JM#position=54&search_layout=stack&type=item&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,33.341,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1382768468,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
! Cafe Bonini Molido Gran Crema - Tostado Natural 250g,https://www.mercadolibre.com.ar/-cafe-bonini-molido-gran-crema-tostado-natural-250g/p/MLA28808312#searchVariation=MLA28808312&position=8&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,7.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1698218356,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
2kg - Café En Grano Tostado (1 Kg Italiano+ 1kg Colombia ) B,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9id%2Frmp7sWQQNwnnrLfBllH%2FVjBqnlXeP3mvmD9zM%2BIxXOExLoOnqLno7uPyvkEDcYE8PcZiZzYTxvvZFr8M99d4trbx32WLcGgssIS4WT%2FjIIEe2HlViN3IrPVw5QYn7jh0JYayAWJU%2BDA66HkFfLhGAo70XBo7zsnwjMKHTJJ3ZgHeOIVQ0Y8cVflrZF9JzQWzliZAeLyBynSW6cFCUJ8lGhJ31qvtoOFpSi5iK8SNbxA8I4py8%2B0BE5p6qFsWBvqAez3yAi0tG6jQca5y4f2RF9SNWlFH1%2FeE%2Bkqm9BwDICtaD02foFuUruNtAyoFBkr8ateXjAcmI25blO4HPpYBBs%2BVH%2BpOaiXpZ6AJRCq6FEIQG12JvXvwv0%2B7fhPAZ31Qd4WXx3s7NzjlWTwPNlyFp3jxvSoqTQLrpyMwI9Lvq%2BMq5cNIANYvtXxtJ%2BOKxSCX6KhUMvae4dIbGgp5ZK796WiaS64hEKNr1PdvvYU5uE5pFPFDbvAo0XIx6%2FQ6k%2Fnm7Q37%2Ft8sdjp3tJ6EwPRC6othpsg4OKkYp%2BGmEHskzMchysg5OFf4%2BMK%2BBSkD2t%2BjdxXpLBcUUejqupmDtkOPyPUiuGLh%2BXAyQaezt2lW6EorJ%2FB%2FLQqxXyQbvhbHEjc%2BW3nyYW567jgbwz84h47Qj276ANEDasSw1AemekQ3VySoxkFTxccxGb5JtjiH9HqxwOg9vv4326yfKg4luwLRoA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,65.790,CAFE GROUPP,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1434513598,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Café En Grano, Tostado Natural 1kg -brasil  Premiun Gourmet",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SFiAbmE7y%2B8MMWWqyam55t45%2F9ufGgIcnz7TJ%2BE8XLuoGygZ5kLff4%2F4R3MbEciXKcZ1kwmKnu9GRWYB9g1DYnOV6eI0X3SotAG%2FvpnAVJCX9XvCHcopKOgzZyL3pWxntCYn3HCbf%2F2EwkRxfofNYTfu9GNaYOaF%2FFwKKvfu%2FosovVxC9eZMziKj%2FKeGDGcyVaA12rPZeqFTJu1PWMX3q569Msk6PGzDZFB8ucKAozjXcF1IshkmwIPlu9xGkRWZT8KPw6KX8l%2Bg7pJFT3rCh5C3i7ikeSS5NV7pmb90xUIoAbIr3DdMZIy8GlEIku4yvn45ctg35%2FkqIB5cULp%2B6hdM9mr2vbYuZAgTU44N6cwgK13EpHZ2M56cKxk9niifGQGnPCmd81s6pXXF%2FUomvjiH3sUWG5n32l17pbKALSkB83xdyn6ogQwvpymSXUtVcLiGA4UPEctQpVYMhZOslvX14%2BiNgpkmspjKhotciVYOCXPm7w2xuQ4F6ftoCINtkL1a72cXsx3AI0Hq8aW7DLaFqR6JzUqAZ8aTLlrtGCT%2FtZEMgB%2BYfealRyfQFO69%2BojW9QYDY8Za2dhRy3f9j4chTOW5NbFNEG%2F30ck5pkmK%2BWC22gr1%2Fx1IlSrF5OwCjYotZXXGPBBXpZkGfVPhEuWDJXN2o8zcbwLHFrbrtUc3SJpNeqE3lH9LW%2BQpgJ45jFdUzPgKZ8rODsMlZOswBsZpK7KhV34%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,37.611,CAFE GROUPP,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1373750635,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Yelmo CA-7108 semi automática negra de filtro 220V,https://www.mercadolibre.com.ar/cafetera-yelmo-ca-7108-semi-automatica-negra-de-filtro-220v/p/MLA14226552#searchVariation=MLA14226552&position=11&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,30.572,ocambi,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1513376152,2024-04-30 19:36:37,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Venta Mayorista: Café Super Cabrales Molido Tostado 6 X 500g,https://www.mercadolibre.com.ar/venta-mayorista-cafe-super-cabrales-molido-tostado-6-x-500g/p/MLA21234656#searchVariation=MLA21234656&position=12&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,74.671,TIENDADELI.AR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1414947060,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=55&search_layout=stack&type=item&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,10.857,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1625147448,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Jarra Pava Eléctrica Mega Express Me-621 Cl Corte Mate Café Color Plateado,https://www.mercadolibre.com.ar/jarra-pava-electrica-mega-express-me-621-cl-corte-mate-cafe-color-plateado/p/MLA13516750#searchVariation=MLA13516750&position=13&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,28.999,GAMESTATION ARG,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1423612286,2024-04-30 19:36:37,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Jarras Eléctricas,nan
