Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505#searchVariation=MLA19944505&position=3&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,11.590,AVFX1,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1418783265,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Eléctrica Filtro 0.6 L Atma Ca2180p Color Blanco,https://www.mercadolibre.com.ar/cafetera-electrica-filtro-06-l-atma-ca2180p-color-blanco/p/MLA19688241#searchVariation=MLA19688241&position=5&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,24.799,Tienda Newsan,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1234819957,2024-04-30 19:35:44,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602#searchVariation=MLA20721602&position=7&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,15.960,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664#searchVariation=MLA20718664&position=2&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,21.431,Nestlé Professional,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447990142,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543#searchVariation=MLA19979543&position=24&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,7.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Mate Pampa Xl Boca Juniors + Bombilla Térmico Xeneize Cabj Color Azul,https://www.mercadolibre.com.ar/mate-pampa-xl-boca-juniors-bombilla-termico-xeneize-cabj-color-azul/p/MLA29500138#searchVariation=MLA29500138&position=29&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,31.890,SILMAR BAZAR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402975247,2024-04-30 19:35:44,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Cafe Torrado Molido La Planta De Cafe Cabrales 1000g 1kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-la-planta-de-cafe-cabrales-1000g-1kg/p/MLA19966384#searchVariation=MLA19966384&position=25&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,14.208,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1415434495,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
2kg - Café En Grano Tostado (1 Kg Italiano+ 1kg Colombia ) B,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=EvfuXyipbWb5kHuVaEZrXvb3Jj4frumQEMHIMiJoFR9JIPdURtvRUfcovSnjYHZBhLNb%2BU47ztpfd%2BVsAkiZTGqUN3cKJBSOwtU6FUdP4a90p8Ck746y%2FObmB1f8aEVRgE29S32eefjCp%2BoT1NzHa9DhwanOrty620fwl2ZTx48flYB9pCYA%2FdNpoMdHeZt2aj7IcKKU4zfa6q9P3RKEK2W%2F1bQbitssL3IohBXlPz10zPYHWlHBLYY6SbIRJ3AxQs%2BxEglESzYKx5kOZ8Jlmr7vyp2hFK6QrDAH6pu3DiV92Ro66HTrl9g4rUOfsw8JyvwFL9Wy0OYR1lLmFimMMH2I7f1StQAYXsxSgTWpW%2BWIsQNhMuS8PPhfMZT7k6qnRXBaC7lQE4w7VMmZ3jviVqoRl8qc31xhQWHzvkTiuxFxgU2KmrXpk6T1c6Fs8WA578MiUA3ycaYuhBgdFZslH0xWZ5foEcM%2BoYTtmkLGrMbPfP8DKAMcAWb4Bbz2Gp3bx%2B%2FxbIa%2FoJA2e762gfqFSs3zdyUconpccx7oZa4rCwA%2Bt7425a8zkgBHQZhCZSeAi5qW7i6aG4kUbvmrNSwJxXy6aR2us7CmvyUuFN7dEXa0U7auMf1hUpWPfru8vU63wkLRWBzSFgzCg%2F6CxV7KGevpT4thk7NfMrnb6xiZQ0ad7O0QZrGzEdE%2Bt1VTWLCFNCD1T%2FR%2BH%2BoP1B374%2Fi1GP3htg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,65.790,CAFE GROUPP,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1434513598,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cabrales Molido Super 500gr Pack X4u. - Tienda Deli,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=51fEyCc3QYHyIctqzVCffThLTfV8xQ0D%2BEuUk1DRPS6JN41A9Y6%2FGOY7XQerwZwhijbbKn0zUW7dGjhbJfeGdc4A2XavDMOsnQVeZlTgoOYxn0ZlwuYyCkw33WpiRPOb0NGUoskwtBJ7xWLV0xrufERkJVF4yRAKPAKKrtvdZjLKLo1fi4qZkk%2FsfEzNgPhvGh78%2FOPIM2vPV%2Fuv4YPIf%2FTkEju9U%2B89L0%2FxLdEwH7UQRtZzuqaByLi1RKdhvy%2FWDGKam7OVJUVXu4lNAxdbh5WF8bPCotY%2FxyOwmGciMToyi3aZZWo9NboRq06ihJTBoheNE15NFDsWPk4Bs82BOCq6RZS1DxY571DdM6AZjNv791OUxUshSocuMALq%2BQNje0ZWOVRETd4lEnJapVBV3SuogfWS7BO2zTmq4WzB%2BPKm%2FXaNU%2FMpmqvQjSyn2bm4kqZOfehmu4BZYt9gZdQvoTeUCGr5rGoYbQCS%2B9OM5JI3Tdk%2BRMOhy1ionPItPB%2B0XWqfr%2B8Oh8HVlvxJfvBnasr5xwEl7jDXDoC1%2Fkq6EFGH4GLoThNFuu688iodyALc2zVKzE1J81yy19ABXvhd6oKOvuLEPUH%2FoHhCATk0I1jV4ibO0mxswU22p2Apy8knlSoa0T4YdjDWGsG3XGyNILdSM53ESNMUr%2B8YMXsIRfv3H1JVnIeVaWM1gpdFSTZ0VakmSqMRIWpJ3qRbdOF55fo9&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,64.899,TIENDADELI.AR,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1424645168,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Dolce Gusto Cortado Espresso Nescafe 16 Capsulas,https://www.mercadolibre.com.ar/dolce-gusto-cortado-espresso-nescafe-16-capsulas/p/MLA19629590#searchVariation=MLA19629590&position=26&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,19.999,CAPSULANDIA,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1178917123,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
