Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Aceite 100% Girasol Alsamar 5l,https://www.mercadolibre.com.ar/aceite-100-girasol-alsamar-5l/p/MLA21090801?pdp_filters=category:MLA114008#searchVariation=MLA21090801&position=10&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,12.379,POSTA LOCALES,Nuevo  |  +1000 vendidos,(6 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315119483,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Alto Oleico Virgen Orgánico Campo Claro 500 M,https://articulo.mercadolibre.com.ar/MLA-916167919-aceite-girasol-alto-oleico-virgen-organico-campo-claro-500-m-_JM#position=20&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,6.300,EDELWEISS DISTRIBUIDORA,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#916167919,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite De Girasol Natura 1,5 Lts Caja X 12 Unidades",https://articulo.mercadolibre.com.ar/MLA-1439332690-aceite-de-girasol-natura-15-lts-caja-x-12-unidades-_JM#position=21&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,45.290,COMPRAR MARKET,Nuevo  |  +100 vendidos,(78 disponibles),Nuevo  |  +100 vendidos,No disponible,#1439332690,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Puro De Girasol Por 5 L Lágrimas De Sol,https://articulo.mercadolibre.com.ar/MLA-1128830745-aceite-puro-de-girasol-por-5-l-lagrimas-de-sol-_JM#position=22&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,14.700,JUMBALAY,Nuevo  |  +25 vendidos,(18 disponibles),Nuevo  |  +25 vendidos,No disponible,#1128830745,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Puro,https://articulo.mercadolibre.com.ar/MLA-1293938639-aceite-de-girasol-puro-_JM#position=23&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,20.990,MARIAFUANE,Nuevo  |  +5 vendidos,(5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1293938639,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol La Pampeanita Caja X 4 Unid. De 5 Lts,https://articulo.mercadolibre.com.ar/MLA-1413513670-aceite-de-girasol-la-pampeanita-caja-x-4-unid-de-5-lts-_JM#position=24&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,54.799,PRODUCTORAOLIVICOLALARIOJAN,Nuevo  |  +5 vendidos,(197 disponibles),Nuevo  |  +5 vendidos,No disponible,#1413513670,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Pureza 900 Ml,https://www.mercadolibre.com.ar/aceite-girasol-pureza-900-ml/p/MLA19779092?pdp_filters=category:MLA114008#searchVariation=MLA19779092&position=11&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,2.869,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(748 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1227954453,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol 2 Litros San Agustín X 6,https://articulo.mercadolibre.com.ar/MLA-856717652-aceite-girasol-2-litros-san-agustin-x-6-_JM#position=25&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,32.500,DISTRIBUIDORA-SB,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#856717652,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Alto Oléico Fincas El Paraíso X 500 Cc,https://articulo.mercadolibre.com.ar/MLA-1380227693-aceite-de-girasol-alto-oleico-fincas-el-paraiso-x-500-cc-_JM#position=26&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,3.893,SEMILLA VIVA,Nuevo  |  +5 vendidos,(6 disponibles),Nuevo  |  +5 vendidos,No disponible,#1380227693,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Fritolim Clásico X 120 Gr Cocinero ( X 3 Unidades),https://articulo.mercadolibre.com.ar/MLA-907763565-aceite-fritolim-clasico-x-120-gr-cocinero-x-3-unidades-_JM#position=27&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,8.877,DI7282532,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#907763565,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura en aerosolsin TACC 126 ml ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-en-aerosolsin-tacc-126-ml/p/MLA16009989?pdp_filters=category:MLA114008#searchVariation=MLA16009989&position=12&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,25.000,ARTIMPORTT,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1103671543,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Natura Puro De Girasol - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1198872077-aceite-de-girasol-natura-puro-de-girasol-mejor-precio-_JM#position=28&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,2.299,MEJORPRECIO.COM.AR,Nuevo  |  +100 vendidos,(180 disponibles),Nuevo  |  +100 vendidos,No disponible,#1198872077,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Lira X 900 Ml X 2 Unidades,https://articulo.mercadolibre.com.ar/MLA-1192700499-aceite-de-girasol-lira-x-900-ml-x-2-unidades-_JM#position=29&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,5.222,TAP GROCERY,Nuevo  |  +1000 vendidos,(51 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1192700499,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Natura Spray  120gr,https://www.mercadolibre.com.ar/aceite-girasol-natura-spray-120gr/p/MLA24559457?pdp_filters=category:MLA114008#searchVariation=MLA24559457&position=13&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,3.500,JUMBALAY,Nuevo  |  +100 vendidos,(8 disponibles),Nuevo  |  +100 vendidos,No disponible,#1531019626,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Orgánico Pampa Gourmet X 500 Ml,https://www.mercadolibre.com.ar/aceite-de-girasol-organico-pampa-gourmet-x-500-ml/p/MLA19779086?pdp_filters=category:MLA114008#searchVariation=MLA19779086&position=14&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,6.000,CAMINO SANO,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#1249850132,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Fritolim Clasico X 120 Gr Cocinero (pack X 12 Unid),https://articulo.mercadolibre.com.ar/MLA-907763997-aceite-fritolim-clasico-x-120-gr-cocinero-pack-x-12-unid-_JM#position=30&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,33.580,DI7282532,Nuevo  |  +50 vendidos,(3 disponibles),Nuevo  |  +50 vendidos,No disponible,#907763997,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite De Girasol A Omega9 Pureza 1,5 L ",https://www.mercadolibre.com.ar/aceite-de-girasol-a-omega9-pureza-15-l/p/MLA19868914?pdp_filters=category:MLA114008#searchVariation=MLA19868914&position=17&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,4.254,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(523 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1267654806,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
