Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=8&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,4.953,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1237173981,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm/p/MLA21029572?pdp_filters=category:MLA413907#searchVariation=MLA21029572&position=2&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,5.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1408976220,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=15&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,1.167,Cervecería y Maltería Quilmes,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1407223399,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Soda Sierra De Los Padres Sifón X  1,75 Litros",https://www.mercadolibre.com.ar/soda-sierra-de-los-padres-sifon-x-175-litros/p/MLA19737990?pdp_filters=category:MLA413907#searchVariation=MLA19737990&position=11&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,1.537,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397225087,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=16&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,7.779,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Botella Plastico San Pellegrino Gasificada X750 Italia,https://www.mercadolibre.com.ar/agua-botella-plastico-san-pellegrino-gasificada-x750-italia/p/MLA20728088?pdp_filters=category:MLA413907#searchVariation=MLA20728088&position=22&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,5.200,VINOTECA BARI,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380881845,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=12&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,20.868,VINOTECA BARI,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Con Gas 500ml X36u Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=2ehbooWkMGmLC6NHv1bT8z7HryBqqgGiGC8xbIGvTOqcwGYT28EjFt9M%2FAP%2FTjEV5wM5fuImeEg%2FhcnbP7N1MVR50PFbManwFpl7EZQvpXtSnSgdWu6yprR1pCqqe6IVrQV9fY3vUT2Aj995Jk3GcQzd0h09Q3UyjWnGnqVW%2Fd%2BI8S2CeGkD8TOwdfiD54FAuqaGuPd6elIQeQ6ctX4x%2FUaiXSMjL1ADnLW1fD1VifIc2hGytj9nk4SPiNSaQ0IhWSD%2FGggL44PhQRMacKVWOCx71kjBvsGaNB5xxr%2FGRagdCwscT6EhYEGMKf4tzCO1LR9%2BTzCWUkNmRiILMb0jx2w%2FpFnKxUuTqdu2%2BfGMYtU5Ei%2FL6tophGWzaDHqXwJcIQVbt8vVIAkAlFWlut5gmFu82I%2BXz%2Fnch%2FDMBJi4Vx7I8PdQF5KA7bXpRjE36FKDSgZBXcr9lsUJQ%2Flp4pDs%2B3LLrCckv1NWrbmHgjV3W83Q5J9ium7ktskW%2BQEG2wStxiyorZDkQkQk4%2FdP3HCwnLXdYys5s7s%2BT31uuFNJFNGNg1dp31a%2BmZmBlciqGyan0sYbtPQYOJueMTFUdYRNLJ3uDBmmlmvNe8GGyUwaL4ZMd0xcvrRXdsVASAC3jWmgiyA9ZsJ0R4hapmC8K3c94Ng1IZTLbHtjxu9x1z7Ljgo7leIvohfc58UJlJoKZEHR9y92qHCAF8B5IAtQDsmDHOYWZFOrgIs%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,20.520,ZETTA BEBIDAS,Nuevo  |  2 vendidos,(+50 disponibles),Nuevo  |  2 vendidos,No disponible,#1371858429,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7oLL0IoX252DqfINUzX%2FH5FqQ%2BeJitW%2BNBP3baQVQDEyl5Xpg%2BaIw%2FHkpa4QkmVztkTsaU69Zb12wRoccRb3fKX1nNVW0O5kVOdkPgzdooPCeU0s684zam2SU7JGZTnmCeJh3tZIQ5PIPa2ryVoEsx5chOE01%2FE4R2OBaO6Mc2mv7nwGkcKDZInC6U3XxTHWBQl2IOagPKbuSXCOlrR0WtS5dnegxKZXXyCvlF26J2Rk63kVcmRH28WK4ZJxtUQ3AMgs8P6Q3mRM%2FY6vCV178AxPMeuElp4S6DXw2Q021hfzZqBK2eIJX1yvOOyZJePzkUOgaXZz2IiS3mBroDBUahmGBmj0y0zmGsvbY5rgpd%2BCsFlH3TfyzTQGovitxCb0a2hypi7HHAFBQfyf4%2Ft%2B9G4JWn25zMYEG9qfvKOrlXppp5Gm9ffoZd3T1WIKtdZuQ7Tkmrda4VzPfx2QT8bc%2BrF28oj3ZSVPuFw96qa51bwKsyrlP6LcwC%2F%2BN4LJFazX6cBgRXzp36Eh1dq5B%2F5Fp7IDJ3HrCoZkkwhm0wyxe0IS6uEmr3VZb%2B1IonC99GlM4Ui7a62V5QTrshEYPtdxyE9UYoRvWQeObDERyL%2FQ5PcnXq5lbJ8Qj3l21jclfxqtblU9YgXnVUMvlO9VkpfDRivkfE8%2FIgrKP82fd1cYliRS1q98aNs8bJ07XZkLsIf80tOjeSs2jK5CmmsITRzVSKD4D1%2BSDDew&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,21.124,LA BARRA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=23&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,1.119,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1695027816,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
