Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Te Verde Matcha En Polvo Organikal Hgl X50gr,https://www.mercadolibre.com.ar/te-verde-matcha-en-polvo-organikal-hgl-x50gr/p/MLA22086446#searchVariation=MLA22086446&position=48&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,7.500,MORASHOP,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511639362,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Capsulas Nespresso Recargables Ecologicas X 12 - Caffettino ,https://www.mercadolibre.com.ar/capsulas-nespresso-recargables-ecologicas-x-12-caffettino/p/MLA19815010#searchVariation=MLA19815010&position=50&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,23.800,BLIP,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1262820502,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Té Negro Dilmah Earl Grey Importado 10 saquitos,https://www.mercadolibre.com.ar/te-negro-dilmah-earl-grey-importado-10-saquitos/p/MLA19543792#searchVariation=MLA19543792&position=8&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,3.220,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1158583219,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te Negro Green Hills Classic Clasico Caja 50 Saquitos 2g C/u,https://www.mercadolibre.com.ar/te-negro-green-hills-classic-clasico-caja-50-saquitos-2g-cu/p/MLA19566710#searchVariation=MLA19566710&position=29&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,2.722,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1167986225,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Mate Pampa Torpedo Térmico Con Bombilla Boca Cerrada Negro Mate Pampa Tradicional Boca Cerrada,https://www.mercadolibre.com.ar/mate-pampa-torpedo-termico-con-bombilla-boca-cerrada-negro-mate-pampa-tradicional-boca-cerrada/p/MLA23654371#searchVariation=MLA23654371&position=13&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,7.500,AGUA SALUDABLENORTE,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1515142698,2024-04-10 12:38:46,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Hibiscus En Flores Para Infusion X 1 Kg,https://www.mercadolibre.com.ar/hibiscus-en-flores-para-infusion-x-1-kg/p/MLA21238782#searchVariation=MLA21238782&position=12&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,35.211,IMPORTADORANACCATO,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1322677787,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Té Twinings Earl Grey 50 Saquitos ,https://www.mercadolibre.com.ar/te-twinings-earl-grey-50-saquitos/p/MLA19735219#searchVariation=MLA19735219&position=4&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,21.590,AVFX1,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1689302384,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Organikal Superfoods Matcha Jengibre Y Limon X 50g,https://www.mercadolibre.com.ar/organikal-superfoods-matcha-jengibre-y-limon-x-50g/p/MLA19972700#searchVariation=MLA19972700&position=2&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,7.224,OLIVOSYVIÑEDOS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1578019634,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Hibiscus En Flor Premium Deshidratado 1kg | Sir Neko,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SdvFmsg08d%2F6c4QgPuvxPKW5%2F8CFiSprGFhvtWRAJ4mYNR7mp8KX3R2EuV5turQ5BIVKO9YcEeI%2FruwW%2BL4hmAPzK0njrFt1lr2OWXC%2BkeWD%2BncJe%2FHjH7FGyoWIeoZyxORxzmocJeFP5vNj2zxEjnnOeA1eRcn6jf7BnIeBFaAlDa9r5mYkanYMtuTLMA%2BWY63MAtbvQ5UgW%2Fsp%2F5%2Ffa7%2BKwCOauQqdHnHSutkRmqtvM6ELtuyI0LYIhDJ2kXtoyQ5D7j9gznES9N992ICKendccpkoLGkB7dJEnG5NYGtKJ7f7TwcXik%2B3idOwP%2Fo8m7s1EdB9SiFX4LoxiRxhADNYBD9penAR66T8PQgxBGaACgamjeMn%2Fq5u%2Bp5jgW5Z5La39ZDcwDL7yIBEnss85FMWhL%2BrqXLFwK8SekPabKwOjkFkOMadkBCl1AWryZ5qiXU3HW6MjTAGzC28cmomUf4vu%2FsUw7HOXzEEC9MAoh%2Bs606PB2eebzMaRde%2BSfq%2B%2Bpy84YSe4%2FkJ1rdj%2BKBDzojCMhjHzmrHLl6Vbn%2FSAy%2BSATvFWpYLH7wEQQAbAM0iVHn%2FWrjnQI53tG2o64lowiExjWUrOsrswXsWNfw18SU2bGIy3MMcmZwaEGocwVJSB3YBoOsuDZaw4A7sxagvNrAr0kCMAkHfpl3VfIHGG7gNnubot7RjR7cKUivwYmk9NaT49u31hfWYkTVj&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,31.787,SIR NEKO,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#918534304,2024-04-10 12:38:46,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Remera Lisa Algodón Jersey Peinado Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=DKy6Sa1cGQChxyxpKlejtzAmdCnsGcLmx3yfId7O%2FDc7Uh2OVvP0JXc3KYnB%2BvvETaW8nFA%2BUWj8ZkfDIquckY6ERRDzxCBTrs3PQ%2BQRcnQvo1XJ4cyWJp3GoiDTtoPXapWpXquBuVWSTpimNoJNpGs2abwev6Mjcnw9XMJhrVUBYB8o6YhsLXSi4%2BI35yXSMJ1ZYJJ%2B2HSI9PZgyI%2FQjCHc1%2FrEmt5i8cAWjCmWHB2E5eZnfKHrccB%2B7awY2KMZ%2BEOoceMhLc7BDeuIfAOm8I18WtsUyJqd1hXW0cA2q1MPiwpPoKxzL0RYgsd0URC9KF9hqIa6egoXIpCpv2znahWmtbT3cbKIjf65c%2Bl2pzAEOcK4XJ9zrW2LRIyHAdnYhV9Dvjt3Eb9ZqITIMKBapU1dnoaAee2RGHC7C3xJqZBtOvEEZBfmnSAWm12nxhCvKkhtoMQhD1rPF80jZY9dyY1CMT5FdIW3pPIx0pG81YKWO7g9RWc46lJwSH8gDg5uGfGzJ%2Fbp9ygt07X3aStwrWFaeuJUiqJhbkqCsMTjUuunIHpSu1OAFfFvMWGVhjRcCfIMBsTNx7d355bfa6DlC6jxzZLrUgOf%2FyLLV4f6tUiCVy733u%2FbLj8pXjtI66ispTj%2BNB8%2BGuX6Yj3KwQfUs0EG2hooUugMik8mscwzUBG5fQ3%2B8WOwabCTFyxgp0HvR838Bto%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,9.690,TEES FACTORY,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-04-10 12:38:46,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan
Cafetera Hudson Émbolo F-228-1000 manual plateada y negra prensa francesa,https://www.mercadolibre.com.ar/cafetera-hudson-embolo-f-228-1000-manual-plateada-y-negra-prensa-francesa/p/MLA18263270#searchVariation=MLA18263270&position=6&search_layout=stack&type=product&tracking_id=c270e944-42b9-4db7-97cb-e8e1b667ebb8,25.080,AUDIOMANIADECIUDADELA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1133210111,2024-04-10 12:38:46,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
