Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Te Verde Matcha En Polvo Organikal Hgl X50gr,https://www.mercadolibre.com.ar/te-verde-matcha-en-polvo-organikal-hgl-x50gr/p/MLA22086446#searchVariation=MLA22086446&position=2&search_layout=stack&type=product&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,7.707,MORASHOP,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511639362,2024-04-22 10:29:43,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te En Saquitos La Virginia Clasico X 100 Sobres,https://www.mercadolibre.com.ar/te-en-saquitos-la-virginia-clasico-x-100-sobres/p/MLA19835209#searchVariation=MLA19835209&position=3&search_layout=stack&type=product&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,3.045,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1635338952,2024-04-22 10:29:43,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te Negro Green Hills Classic Clasico Caja 50 Saquitos 2g C/u,https://www.mercadolibre.com.ar/te-negro-green-hills-classic-clasico-caja-50-saquitos-2g-cu/p/MLA19566710#searchVariation=MLA19566710&position=4&search_layout=stack&type=product&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,2.754,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1167986225,2024-04-22 10:29:43,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Vaso Térmico Acero Inoxidable Discovery 500 Ml Frío Calor Para Café Té Infusiones Bebidas Tapa Hermética 16439 Negro,https://www.mercadolibre.com.ar/vaso-termico-acero-inoxidable-discovery-500-ml-frio-calor-para-cafe-te-infusiones-bebidas-tapa-hermetica-16439-negro/p/MLA34115373#searchVariation=MLA34115373&position=5&search_layout=stack&type=product&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,23.389,GRANPARANAOUTDOORS,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1696239044,2024-04-22 10:29:43,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Vasos Térmicos
Remera Lisa Algodón Jersey Peinado Premium,https://articulo.mercadolibre.com.ar/MLA-619208970-remera-lisa-algodon-jersey-peinado-premium-_JM#position=52&search_layout=stack&type=item&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,9.690,TEES FACTORY,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-04-22 10:29:43,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan
Suplemento Keto Plus Diet - Dieta Avanzada !!! 60 Cápsulas Sabor Neutro,https://www.mercadolibre.com.ar/suplemento-keto-plus-diet-dieta-avanzada-60-capsulas-sabor-neutro/p/MLA25908710#searchVariation=MLA25908710&position=6&search_layout=stack&type=product&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,7.197,TIENDASUPRALIFE_SUPLEMENTSTORE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384152713,2024-04-22 10:29:43,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,na,nan
Metabolic Max Reduce Grasa Corporal X 60 Caps. Blandas,https://www.mercadolibre.com.ar/metabolic-max-reduce-grasa-corporal-x-60-caps-blandas/p/MLA19700947#searchVariation=MLA19700947&position=7&search_layout=stack&type=product&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,13.815,Farmacias Selma,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1224475504,2024-04-22 10:29:43,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,na,nan
Mate Pampa Xl Boca Juniors + Bombilla Térmico Xeneize Cabj Color Azul,https://www.mercadolibre.com.ar/mate-pampa-xl-boca-juniors-bombilla-termico-xeneize-cabj-color-azul/p/MLA29500138#searchVariation=MLA29500138&position=8&search_layout=stack&type=product&tracking_id=bd96922a-2c7b-49b5-890d-e46b42e2632b,28.709,PETTISH BAZAR,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1422486265,2024-04-22 10:29:43,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Hibiscus En Flor Premium Deshidratado 1kg | Sir Neko,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=35Gpk4L1wLEefPCMDpGMT76rov%2Fuuc4vKgOv4G7hXcBzNk2hqnHPxPUpERW9nR5JgjvkkLp2l%2FnmtSW6SQU9cQ8jg9aenrOJabKLGhnEFaZeAnEqOUe9nhk5YV9935xDHoM%2FEztGD3%2BtrHLRffN07syDxmYTVKM98Z5iJeI4gZpLeRSbw6%2BvtThCOOZvKIiVNwCTMzaVXlpXwB36w57tPFyteUgaHfUMM1fmZkR2LjLZJ%2FEySPx%2BS6j5v%2BLowjJcy%2Bm0p9nEXL95O7s2llNIlmIGXIQ4OayXy2scHAucrtxV435gavnf23y%2F7kYm2WWln5YtAkbsi%2F%2FKearI%2Fi8hbfbaJsl2b0wy6r3m200o%2FCEKD2T7XGSd36VPoEI5vJNvhjTsF0KPP%2BmUcaNXo8pcmhX39%2F6x1XHDVppJev%2FyRst5JlHM5j1tQlRnR2iDjzYYml%2FUz%2BoKDtWDQIpVk80IKNmLkg8zKPwCvU5eAJXJhd%2BsZxBhZkqQ6zeLB%2F0IWCgHgiPloL895kPiNwyoYGp%2FyOIiIV3lb7gkybQWEC94%2Bnd0CD9I4YkIs76j4%2BPo8vHUvC8wN5Ykf%2FrFcEo9StXesrixmRzBMbIn64ffldZSWCPhHHjzlW9Jde7mxZFNQxkzd8iggDFdMdGOvWpGeUTKF%2BGs%2BBfEVMfCn03sqx9Fjstjl48ZnF3T0CZPlNOrRFLjh9rpmCjRty8v&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,30.114,SIR NEKO,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#918534304,2024-04-22 10:29:43,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Blends Té En Hebras - Pack X 6 Frascos De 25g,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=wCRpn0ojPaY%2BUSA7MDFdNQpSle8%2BIfqQxlsysphGCflcwaQp4jiojcI39pbSEm7XAaBmaLpCjw9yL3gn2n3hdbYAnhqp2te0M4eNbNEftQBz%2Bbf00hTc2ZzqysYwH6RzhuHFnG2arz41RIjWN3uc2is8ODgp3gk7GrC5Ff4wFm4VyU6bEtxKE9zLqVAwytEvHw9qlypfnBiOeVtDcGFyjmxdaiOxVQNki%2BC86c6nvOeJ4pN5AkFf4GzScG%2FTJSZLvoZ%2Bq9EERfn4fg%2FCn8dJYZwb%2BcgXg7nZP3VA7KUm0j2%2FpK%2F%2BPR9r6emR%2BsQIcquAcICkOqq9fOMoA0%2Fj%2B6sXUfKthz8WzLXrV8jo3oiB2gv0L5EwpCglWCnsCQZLdJnryj2mX3xSLH5Xg%2BGaWZcfP4GKm5RjLTDwhtcHpjdd7IQ5BYkOH%2BBgA7xrt32FwE5%2FxyEnBLB1xY%2FKJU%2BLIR2%2B%2BR6fH%2Fe2sEw0zXcJZNAOuuvfAvVErfF4YH7F0onPDwfjdYb6C56KikIL%2BQR2crpuxqcST5XGA8okjkAZ%2BF0Xa3X6iRMSPpXphjE2e5QDt4o6OguipKxNhyBmFBfRFdkjuHdN4C4GW%2Fi40VfYc4klURePOqD4NDClCuj0ZNZz%2F8bTfs9sn95CpEQzx4hIsKACIwMfQfkAZOEOkQqIqFNeoSsLUsKpgObPKOBeJ6Xz9pC3qIwMKNaf&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,23.000,M.S.ALVAREZ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#803071098,2024-04-22 10:29:43,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
