Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232#searchVariation=MLA22834232&position=24&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,35.500,NUTRISERVICESRL,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372484559,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505#searchVariation=MLA19944505&position=27&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,10.954,SUPLEMENTOSNORT,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1729738160,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Lungo,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-lungo/p/MLA16167699#searchVariation=MLA16167699&position=31&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,12.699,CPT Oficina,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#909583929,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543#searchVariation=MLA19979543&position=38&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,7.540,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1449833286,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Latte Macchiato,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-latte-macchiato/p/MLA16167792#searchVariation=MLA16167792&position=41&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,11.999,CPT Oficina,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#915804494,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-170-gr/p/MLA25685697#searchVariation=MLA25685697&position=33&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,7.237,SUPLEMENTOSNORT,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1415400439,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424#searchVariation=MLA20732424&position=35&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,10.950,SUPLEMENTOSNORT,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1705279530,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Paraíso X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tl5oAb57SNYQ0aurcLyGMjKYymHE27e4b9MZBs4Ptwnhnq1MmMbFMbge1b%2FHD0yOtNaOOIpY1gVwF%2BvTNizrHljINo1FaMFZuvVNPRFRqpPWbYpK4SZZYusmKgkxdnipBgMWlYEX6YeHSWI%2FsZFxgVJvhEBOiW%2FwJlgUywklH7tF896RFLCuTdYmqp96Hqqgvbngogumksu8d9VV4V9GubnBToyCt%2BhLOQ%2FQ1UI0oAQkdLboH6c1q0JpN7cFrA79hk2Vbo1DQDLlzTHxjGrg65GkwZmVqj%2BdnKxFHSH4bRm65dVOeuNQuiPdQjpAEiPxKKCqO5tAzeoD5W5UF%2BuMW3rwjdm9SfwG3JTiDteXvFW1aYmYRkhgQRsHAVdupYAmQ5aXAjDaEee3Em9vTWgsn8idaPjLki74jtJ%2FYWQNdegoj0%2Fg15pmW1Q5L%2BqdwGQ%2Ft4HGSmhoPm6TPCJq53GQGpc%2FfMifBYolsXiSMxaAKSekehf9Q7y18aelZOfAMeuP7FbjbFrYCKxi5XCq0T8k0i11gLgIBZMYYVcrjsT8oG7mahXnCPnt8LAmaf%2B92AVyup61qzZNsgl7llSvPe5eByCbZvDTnIBhLEu32tYexNcfp%2B09zYe2uvvrRafXbMNeOphO0cRvkeWFfq83fDmM6sxJ0Pq37Vb3m5WemfW7gnNI9MQOnVdroMZCrV1aBwbXizRJv7PldGpsU98XLJ8fOwTh9vsOa0Q%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1124389709,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Rosa Amarela X 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=3mYkvNnTyc%2FktLYw%2BdpKzLQXwOQN8cM9jvnI%2BQTT2yRRi0j0is2lUbUgpzcSYvwb8PQXUVpPZ%2Fxm9F5fBMVxGz6FPFipjglhGa2uGdgxIzprMq4jBqX12QUvKdPR0pDobt08Cxch44obw1IpsNSxHRF%2FE8z00L%2FhFZbq2Tvhpi26T2ZUTQ3EHoR2eAmzSVCidbg0gRXvwBaTX005OIWi5n9YkCndcLAYspotY2hIzFVKxu8yCKa074rmWwV%2FYRne65V6%2FOAQSQqqDqlbcS8dTZb7%2BoAPKOSJeFqbOllgk6pxdXjO%2BUPH0NPtm8L3mukRpW%2BhkD326w%2BYyCOMWmwpSbyV8FC%2B0%2Fm%2BLHAZVgafZ1UEHYRLkgPRSiGo4vLuPnrZi31uKghTkYTENyJNF7LI3HpSQ4AV76w%2FVau5HODfxCdDn6E9AWEZqjiUBGdVXKQUeNiEvHgQU7sGMi%2B0Lii0YIjDQkWzqohkGvFhasRF1eBxjni8r0wS67IBIhPGdlz7zq14hG0UnJxaluEdiUDDIceCpWOBSgVfXjRSQ0MTqbT3B4Rdh8OBfvaJps9IETgMo8PkLYPb4btmHJVhtiZC9fvZZLpkhLKLJxraujcS7mfsS90wyXdT4bprp6062Bf%2BqrW70Ug8zVizLqGdGqenTO0KJjd1hNchz4KYez%2FtEZTNM5nooChxz4eU%2FCVSZTLqEQgN5wPsOaDngTOi1ZqtgEinLzGn%2BN0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1124396366,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Capsulas La Virginia Espresso Intenso N9 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-intenso-n9-10-capsulas/p/MLA16167755#searchVariation=MLA16167755&position=37&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,5.323,LUIS MICHELUCCI,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1398590223,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
