Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Instantaneo Nescafe Dolca Suave + Aroma Frasco X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-suave-aroma-frasco-x-170-gr/p/MLA19766270#searchVariation=MLA19766270&position=23&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,5.380,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405831075,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Tostado Super Cabrales 250g ,https://www.mercadolibre.com.ar/cafe-molido-tostado-super-cabrales-250g/p/MLA23073681#searchVariation=MLA23073681&position=25&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,6.790,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1411618091,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Espresso por 16 Unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-por-16-unidades/p/MLA24215212#searchVariation=MLA24215212&position=26&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,12.815,CAPSULANDIA,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1392265708,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887#searchVariation=MLA20025887&position=28&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,7.499,VINOTECAVICENTE,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1294733299,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantáneo Liofilizado Clásico Juan Valdez Frasco 95gr,https://www.mercadolibre.com.ar/cafe-instantaneo-liofilizado-clasico-juan-valdez-frasco-95gr/p/MLA25822977#searchVariation=MLA25822977&position=29&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,31.687,BLIP,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381907757,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Venta Mayorista: Café Super Cabrales Molido Tostado 6 X 500g,https://www.mercadolibre.com.ar/venta-mayorista-cafe-super-cabrales-molido-tostado-6-x-500g/p/MLA21234656#searchVariation=MLA21234656&position=30&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,82.675,AVFX1,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1698172198,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Nescafé Dolce Gusto espresso intenso 16 unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-intenso-16-unidades/p/MLA19737045#searchVariation=MLA19737045&position=32&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,11.999,CPT Oficina,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1381287536,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587#searchVariation=MLA19937587&position=34&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,11.500,CONFECTIONERY FINE FOODS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286885126,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Arlistán Suave - Frasco - Unidad - 1 - 50 g,https://www.mercadolibre.com.ar/arlistan-suave-frasco-unidad-1-50-g/p/MLA16112991#searchVariation=MLA16112991&position=36&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,1.430,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1417810707,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Bonafide Sensacion Intensa 500 Gramos.,https://www.mercadolibre.com.ar/cafe-bonafide-sensacion-intensa-500-gramos/p/MLA19944516#searchVariation=MLA19944516&position=45&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,6.967,SALVATORE ALIMENTOS,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1303682115,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas De Café Nescafé® Dolce Gusto® Americano - X 16 Cáps,https://www.mercadolibre.com.ar/capsulas-de-cafe-nescafe-dolce-gusto-americano-x-16-caps/p/MLA24542403#searchVariation=MLA24542403&position=48&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,12.999,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1377591797,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907#searchVariation=MLA20025907&position=50&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,17.194,01MERCADO,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1280091531,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898#searchVariation=MLA20903898&position=43&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,19.591,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581833482,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cappuccino Tradicional La Virginia Repuesto X 125 Gr,https://www.mercadolibre.com.ar/cafe-cappuccino-tradicional-la-virginia-repuesto-x-125-gr/p/MLA19640009#searchVariation=MLA19640009&position=44&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,2.470,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1186155476,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Torrado Molido La Planta De Cafe Cabrales 1000g 1kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-la-planta-de-cafe-cabrales-1000g-1kg/p/MLA19966384#searchVariation=MLA19966384&position=47&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,15.921,DVL,Nuevo  |  +5mil vendidos,(5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1400240157,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Moledora Granos Maiz Maquina Para Arepas Tacos Cafe Molino Color Plateado,https://www.mercadolibre.com.ar/moledora-granos-maiz-maquina-para-arepas-tacos-cafe-molino-color-plateado/p/MLA29328225#searchVariation=MLA29328225&position=39&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,56.999,SMART-CLICK,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1617043358,2024-04-09 10:44:38,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales
Cafe Molido La Virginia Torrado Equilibrado X 1 Kg,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-1-kg/p/MLA19979553#searchVariation=MLA19979553&position=40&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,12.868,SUPLEMENTOSNORT,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1684464224,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Tradición X 1 Kg, Nestlé Profesional, Expendedora",https://articulo.mercadolibre.com.ar/MLA-924299946-nescafe-tradicion-x-1-kg-nestle-profesional-expendedora-_JM#position=53&search_layout=stack&type=item&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,35.500,Nestlé Professional,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#924299946,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Bonaf Fundador Tostado Pack 1 Kilos,https://www.mercadolibre.com.ar/cafe-bonaf-fundador-tostado-pack-1-kilos/p/MLA27764820#searchVariation=MLA27764820&position=42&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,27.500,CAFEXPEND,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1552531646,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Starbucks toffee nut latte cápsulas Dolce Gusto 12 unidades	,https://www.mercadolibre.com.ar/starbucks-toffee-nut-latte-capsulas-dolce-gusto-12-unidades/p/MLA20714072#searchVariation=MLA20714072&position=46&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,11.859,Dolce Gusto,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581844796,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe En Grano Tostado S/azucar Expreso Montibello Brasil 1kg,https://articulo.mercadolibre.com.ar/MLA-1382768468-cafe-en-grano-tostado-sazucar-expreso-montibello-brasil-1kg-_JM#position=54&search_layout=stack&type=item&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,31.609,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1382768468,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Cafe Molido Tostado Brasil 500g Sin Azúcar Agregada X2,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-brasil-500g-sin-azucar-agregada-x2/p/MLA28565002#searchVariation=MLA28565002&position=49&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,31.920,Cafe Martinez,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1584480062,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 100 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-100-gr/p/MLA24699607#searchVariation=MLA24699607&position=51&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,5.220,Ecomodico,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381087301,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café En Grano Colombia X 1 Kg - Cafe Fundador ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Y4%2BF6kJYHGvd%2BNcOb28nSfa9aliPNScKxYu9R8NmbwMakqPj7RJ%2FBlvikNcj0s6HT3K7PDAsOJkamo%2BUxEpkaP1yisTM260dJnOowdVASGYfDxDCL5B6y8aKfKJoaGgxpNPey06Q6u9HW5ncH0d5XqUUZZMaW8C2CuH1owWVzJllGB5JwM0CGpUKQbN0LN15O3MH%2FVru99TAvBER8tbQsSs4N8YTzuowcjqXKwoVVRLOznO2Dy7I80ISkkn4W2%2Be0tH6n9BPBT%2BE0129EFA18HQmSriPFbv6ldLYmgYVL9G8nzJNDCxL7j69xXR3xVQl0NoWQ8DIN%2Fzl57yqNl6mg2vhvDv%2B76muqoWV1Xj9YoX%2Bo84lLaBqmJmUxR9jPvaFDYSKJG4PtiFDbYUqzYjSHrb3M%2F8uE7mu9lTUrHzhzG81fwiWLQyBncUj%2BOk2tsJ69kGmQLmiiXhqijYPmTAUlFkmJFIuiG9s7fxzM%2BQrrwMsxgGqWv3ibDYyGlzlSeNIO5wSwd02CwXYCElC1GaivaNaoJrD9flP6C%2FNTYrEpreKUU5wjbsLdRaO4jlU23DSgpEWvU%2Bs9aavgadnDp03dsLcsmJcF5iGfZ4KV3f0UKbhZscErFmS%2FkUhZkeI%2BR4G4bw2%2BcGGtFm3jvpYnyOAC0eBb7qZEYXaPvh58LiAyZ2sivib5iN5q1E7o1GP4uqdKQqWK8QZn5c%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,41.990,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1127183872,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas De Café Compatibles C/ Máquinas Nespresso X100 Unid,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=fH82XGnfFEunFUi3irIzvH5NemQVM%2FfDGsx0HCLOvp3WLBcepfunLf7fJMCkvOCyBwsRxCBNFg1CRQULnfSNzYxZs2wmlzPY2A5iCdnRW5AmVh27i4XfPAHfEHK1jleYRUFcsPQ%2FtS5wSFOO%2FeCc4iKNyStk3wph3rOrZWkKbUBj48BqH%2FHEG2yH92NFwQ8tpsUCc%2F5fa%2Bhv1huGs1gB%2BpYXezAX%2FrrtV8ETBEcdybumjljuj1aV8kYuqtDsAlQ9d%2Bq7vgy7EF1jHlfsma%2BzkyTRdDP5Zfl23PeEG1g0SATAcbu5nF%2FXSQoASsG51O5H7tT5N1FBEJjBprzoZXgkfqH9T4M5RYX7SDHVLbDlKAKxNPatHCb6AaMXJSGCghDBio%2FHDDG8h201VIzbRxTIBBqLwzXF0EdI33A2Jyq3waM8Ps4ezxxag%2BLR2UPmLbQFqjJspEbAcWeE85Acv%2BRX0U4iuYv%2FOikSENS7SZVUiobMbMeIiRhNmfEyjblYQO41%2BnloxxErwkkEMRUCYrut0BD%2FvB%2BLkxS9rthyqeCoQgN%2Bj6309tqnaPfPNeS25JGdGHdQ%2FD8fBGs8womPDOlQadij5JD%2FbmiE5D96C8MnZxUGya15fnn%2Bvk4bW8uF5nlWG0WdA94pUpHvZcSt8JqMkG7t7WK0eQiz7ncVP7R8ASGIH5flE6Uo6sU%2ByuErZqfNE6zNkbE1f5mi928ZNNVJpMDmN8xop8r%2F&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.000,ONLINEJUGUETES,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#783944074,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Tostado Eurocafé  Amore Rosso  - En Grano - 1 Kg.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Acm%2BuSxuWCaDKkfKFi6Toj53Jx0zgp0s28C5ZS4%2F4YI69Ym95jwX0HtcKn8wmntKrlQwFfLqa4WSNAU4TCyaR76%2F2T25Vas%2BEJSGyTXSogo%2BXMenhAGxn0UUxw1yZ7IveJZLsEZWOSRpdBuZ0b%2BgFDFP9nFBMYuEA0fN0ubGz%2BRwdlsh2KTl1i47SDl2YRA%2BuwxiipmsQyZ%2FYh6SGQgx8cYSTgx0xNVq%2B%2BTvQdXpjRkQela5ayBcZHq6XxkTU6Om8NlFTXeplAikS%2BUSU54Or5BWrcvKvDJYg8qwLw5dh9ZlvsiYfx%2B5APeVt5bZvw4pG9mf9Zm%2FXrXFX2ZQeCwAK%2BBIwI3tuGszmqR8PCR7rIGDgQjsFzIq6hgdbVoi042H7%2B88ZVsM%2FbywonmEIZCRpf%2BN4H3%2FwOj6O1Qbx6wJDunPHHm7MhvkiHYx93xYv282vi8v6ulItBwAIs2d%2BdCdwlLkngj%2BYPdCHuX6N%2Bv8%2FxyNCzQzjOFfS1VsuPYxPaRaJGp2a71l89zPG%2BeG%2FZKDoJU7D07M5b%2FDgeu6cCQgTl6aS3jXoQyPNKsjSdyxAVocUnw2%2BA9%2B20XRU4AcHSp67pF8VM3GaDD4jZvAdOAMCvF7KerPLc8UQdin0G0zTQQVnW1Y4JPO8oGeLnMUYCh6k%2FgvtbrM7zozMTtQ5%2FX%2FCS9u%2FfGLxDdSoW5EAoIlj1nk13EbZOYFzVNMXU0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,35.900,TIENDA EUROCAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#853166916,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Starbucks Caramel Macchiato X 12 Dolce Gusto,https://www.mercadolibre.com.ar/capsulas-starbucks-caramel-macchiato-x-12-dolce-gusto/p/MLA19938866#searchVariation=MLA19938866&position=4&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,8.999,TIENDABARRACA,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1416537217,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Combo Cafe Molido Italiano Y Brasil 500g S/azucar Agregada,https://www.mercadolibre.com.ar/combo-cafe-molido-italiano-y-brasil-500g-sazucar-agregada/p/MLA27998803#searchVariation=MLA27998803&position=6&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,32.965,Cafe Martinez,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394850335,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Lavazza - Crema E Aroma Italia En Grano X 1 Kg,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-italia-en-grano-x-1-kg/p/MLA20026299#searchVariation=MLA20026299&position=7&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,53.465,MERCADOGOURMET ONLINE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1337399763,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instataneo Morenita Intenso Frasco Sin Tacc X 170 Gr,https://www.mercadolibre.com.ar/cafe-instataneo-morenita-intenso-frasco-sin-tacc-x-170-gr/p/MLA25822976#searchVariation=MLA25822976&position=5&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,4.634,Ecomodico,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381829339,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Difusor Saphirus Con Varillas Aromatizador De Ambiente,https://articulo.mercadolibre.com.ar/MLA-1395841479-difusor-saphirus-con-varillas-aromatizador-de-ambiente-_JM?searchVariation=180670362319#searchVariation=180670362319&position=53&search_layout=stack&type=item&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,3.204,FRAGANCIAS LALINDA,Nuevo  |  +5mil vendidos,(4 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1395841479,2024-04-09 10:46:12,Industrias y Oficinas,Seguridad Laboral,Limpieza y Sanitización,Aromatizadores y Purificadores,nan
Cafe Brasil 1 Kg Tostado Sin Azucar - Molido O Grano,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0EKUDov4OWnhf%2BpyGK3vqu5MDfSbtQSCOO8gRS%2FF96IOqjYkcZMwLcDcPTMoK4gV5DLl%2BAXJTq%2BkwsvbR4wXDGXpPOoRLLaBunyXCpo82IFbpzA7iSv7K%2FW4xE8PVHhVa7K94Rj2Kbz4lUrCzmbFT2adfTzTTxUIDVPzyiMipcI2yCqvj9Qg9e6ecY4rRbv2Nam5Uuljvqt1LPBipc7CO9iJAWXJIo5BMIbxN1u0EIOrJ7bWcFaI3Uj5ai39zMlJ2gccYzuCg8ow4PYvRUK8QIyLekx7eN%2BpBGW1EMn3XabJDRKKmEuQxFvBUhxGN%2B4LaDfpDz4PhC7zJq7tggus0O43Hxgs2mqYOEpvNJr2WPReWK2SR6CocP0ykvz8RNoU7rA62y4gQaBtg9lNiSr3YyG9m9PfCmZdS5l353Rb38P2jCwopqBaJditRbIWIyohDzOoSvuzofiXxlvlZZuX%2BYmldvptMFGr2Lj3wXDyhOfM28hJXO7goAH%2Fm8oyPQLFQgAi0qpyVE53544nybOrAnOPv3A4x5dCls6RKPamWdZMvZBxutZOLBp3yJCaHuioe6zI5bdNc5fIPxiQXhj4J1iH2yBaekDBzmfWJziKp2lCcJvZVZjkNBRevb5z5ENUVtBcEvtC2wqI%2B6V3QiRJQ4mSFduD3rV33GpMY%2FlvtMehYor125Va5cOvERuWoaL101Z3RQJc7HumM1KR0HZJbg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.750,Cafe Saphi,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1614568734,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Pack De Café 4 Variedades X 250gr- Brasil - Colombia Xrl,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SwceOSlXF%2BPsw%2B9t9f2%2FOUU775mjIJeunpbCV4CzUgXVmXgNc5PxGPTf6B6SFrKdQI8tOtXXbFmhqOVkOCBLWg5z233h64gKqPwAPs2t6htyEsviHjzChexky5JiuiS%2Bj1fXvJO%2BaUWh6j7xoxtm4gJ7Qd%2FvIMtqm0PKL%2FVsBg%2BDSg6uKbvo0IuiMVCQhXG%2FkGtAyXDHAJribA%2FXyOnGvpNiqqVPR6BrW8ZGktUo4To2II3qfFG5Nnp01o9RWwcMLncHZn7dZ99Eb0X0RQ5Hn5z5t87ZYjo1I7NRtPstYE2JbEX3%2B2dtWcR3wD9xLd5p6IijZo6f9MJjIVt2T7%2BABWun8uNE0RxUfk9trqlC8vj%2B47yYOYO%2BhwJc4O%2FWDP2UL9qrkd%2FpuLxeSmottlGNfFgf29hEic9xHbuw9rnThf7O7CXfC4mx82LJuWTumEU2HC7rAjDi6Qf1LA6%2BU%2FZNoNbOjUHAK29WzWd5pAFIQmnt9CxsvPSMv79NHT4q5FOqVnR0CKQkhBqvtZtiWbpezDVkYjdb0LIsCbDQ1KtiOvpRGEfzxNYlsvzBQoz5iuRU8odD25JUDMuZBG6mHfPc8c6oLH2NHnznk0DfEyWhRRI9XnABKWnQr%2FMjhiXOecnOB8qIHkGZ3bAO%2Bgf9BHLV%2F%2F%2BN700hhAflxXd9IKn4Xw2P4ejDAbR6VnMWHWLgnVlfXJjrFkt6mbwB4a99hWqioj7n7YE4RCylhf0TSzbWVLtJ%2BZoBmSTFHbRN8SRcqIZwGBSHGNqHFMZOOO5mlug2W6X%2BXTf8sP1Y2C%2BsbANoFRGUqXyQlaxd&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,39.700,CAFE GROUPP,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1550312474,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez tostado molido Brasil 250g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-tostado-molido-brasil-250g-sin-azucar-agregada/p/MLA20026339#searchVariation=MLA20026339&position=11&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282331780,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595#searchVariation=MLA19937595&position=17&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,6.313,FERNNRODRIGUEZ,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1417987223,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Molinillo De Granos De Café Electrico Especias Semilla Muele Color Gris,https://www.mercadolibre.com.ar/molinillo-de-granos-de-cafe-electrico-especias-semilla-muele-color-gris/p/MLA29649378#searchVariation=MLA29649378&position=12&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,27.540,BELMOTEC,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1403644947,2024-04-09 10:46:12,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales
Nuevo! Cafe Nescafe Gold Instantaneo 100g Sin Azucar S/ Tacc,https://articulo.mercadolibre.com.ar/MLA-1663776054-nuevo-cafe-nescafe-gold-instantaneo-100g-sin-azucar-s-tacc-_JM#position=54&search_layout=stack&type=item&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,11.999,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1663776054,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
