Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Oreo Clásicas De Vainilla Sin Sal 118 g,https://www.mercadolibre.com.ar/oreo-clasicas-de-vainilla-sin-sal-118g/p/MLA19542080?pdp_filters=category:MLA1423#searchVariation=MLA19542080&position=13&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,942,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1157943643,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletita Cachafaz Integrales  harina integral y algarroba 225 g,https://www.mercadolibre.com.ar/galletita-cachafaz-integrales-harina-integral-y-algarroba-225g/p/MLA16175889?pdp_filters=category:MLA1423#searchVariation=MLA16175889&position=14&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.905,OPEN25HS ,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1663521858,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Arrocitas 3 Cereales galletas de arroz integral grano entero,https://www.mercadolibre.com.ar/arrocitas-3-cereales-galletas-de-arroz-integral-grano-entero/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=15&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1318175903,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De La Fortuna A Granel X 250 U,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-a-granel-x-250-u/p/MLA22939864?pdp_filters=category:MLA1423#searchVariation=MLA22939864&position=16&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,25.808,IMPORTADORANACCATO,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1422367581,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galleta Marinera De Mesa Don Pancho 220 Gr,https://www.mercadolibre.com.ar/galleta-marinera-de-mesa-don-pancho-220-gr/p/MLA24676853?pdp_filters=category:MLA1423#searchVariation=MLA24676853&position=17&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,844,BLIP,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1379255337,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Melitas Clasicas Con Miel Mediana,https://www.mercadolibre.com.ar/galletitas-melitas-clasicas-con-miel-mediana/p/MLA22835242?pdp_filters=category:MLA1423#searchVariation=MLA22835242&position=18&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,699,FRIDASCANDIES,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1688411646,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Mauri Surtido Fauna Galletas Dulces- Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1137041029-galletitas-mauri-surtido-fauna-galletas-dulces-mejor-precio-_JM#position=47&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.218,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1137041029,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De Arroz Yamani Integral X12 Sin Sal Sin Tacc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=x83PkhB0kx22PWP6Wz7f0byG8SfcjR8fQ%2BbdahW6C8CG6J5ULT5i75AgoJi3VNF7K6%2BZDByOFa9BMc%2BxOVlkwjpN16HBXTwGF2IZYNVKEcemi7VPbBPxTz4dR%2By9XXM0ACVY4Kb7U8dcw1yfFVY4mrG%2F07M%2BbzzclSx6Q4Q%2BxNAHrW1c78vEoBYeZaoaKMnnHL0GGIHFtR0CwUftrqsbOmFE%2FkQirjijkGe9lT0C3kisO8l28Tk2OyRdxE55SJDfTgeT2jWOVFyu9ELT%2BmOx8a%2F7E4UEYi9P1eiwHBE0IEI7LbzQNh7oLr%2BjZ0BxlVaA4NXt5aEcKFB3y0j2dVAWqXQRZanbc3c7zboFmZBJwMDQZ17xRE3%2BVcvCDf9ePqJfFwkFXDnN3YVJ%2BaRe1iC5UEYwwI%2BVkmzVQShB6pvB7DwDrPGh%2BvaGLAzwNBwfBmVh29MXhRUh8AaIVY9xwrSIuXE4bDt6l1bmfrBVbN%2Fe27RahLz9qxiJmrTFnW8Qq%2F7i818oQkBeclWP21EhKxFmLqaMjbCvAMLgSjx3695q%2BIUIEw8hsqyMYfvhUm2kpPuBhG3IlF5czXDMTtEnTerWV5tB2MDy%2BW3Ae8vZihwdhVlKs6f%2FygTPL5U5yE9%2B%2BFwjKtpBkN4Myb1BJ8K6zC3vLoKHFlnCVTJph6b%2BTOOR4xVFD0XZEx7GEMvJXe9AaemouWkSRppItsBw1o3A7lv5cTdOLw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.608,EDIETETICS,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1377616242,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De La Fortuna Granel 250 U Snack Saludable Suerte,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=JQi9ynR757hRlo5TgHkX14%2BtGaBSo5pKg%2FrKjXel7w5wVoeGNWpnvamLMe6%2BzNc%2B6NoMNiqKS0Od0C3mZ71gEsbBScwmiCHYFf9yd%2FooAXr0XTNRGLECfGu0ZUkLO82t2LSYHMoym6i4PsiO8wDC01W2LWBMyrR%2FsRifpcrB6lOTJ%2F1FoZhb23iR%2BNiZSHo00QhbeXaAjx9dnqhEQYVIHcpnRG3VIahGJHKqi0QiQI7b3mCvIboZKiNwZZeVQobPZoapEz6RB3X6GvXEx0Cr9HS1rHiJh5hxhKAJia9nVGmYtlURMV2hAmRI33BKNNwcMl7Qsld8HXe1%2BL9dKrdSG0T0C%2FU1%2FGyzCdsahFxRqdQ0OlZv8DMBakjbDrFRKFHBqG9FQ2qZjEbpT2dRXJvtl%2FgCk9%2FPIGLGnWUZpyrq9YFpOpbt99n5Td1BI3kRo7Cyl%2FcFHk2tBYO7QofEZEmpCMQLUcAOnXCPwGGGgN2mEUU08A39VZWwRyTowGxBZHBlyANm40sM0WjwwCEsrQkLA%2FU2jCs5eFvWNkTvwHMuDrEEn4Iyr3rVLgsyhBck3HIVsJrEgukUm63ObDHcnCMKSmF8Gx%2Ftiu%2BezhjxjMihHAiCFCO31lxbb2XobbBETwlCa8HuH7tQoW9tH17KPkn2DZA%2Bvv1cgL9vDnZSL1zY3toflk%2BsUY96Myv%2FnkmrSbtlFHZs2UXRM56PMRnr260QbtnwAXZM&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.725,GOCHISOTIENDA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#709131217,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Tostada Molinos Del Bosque Tostadas de Arroz  dulces sin TACC sin sal 150 g,https://www.mercadolibre.com.ar/tostada-molinos-del-bosque-tostadas-de-arroz-dulces-sin-tacc-sin-sal-150g/p/MLA16176261?pdp_filters=category:MLA1423#searchVariation=MLA16176261&position=21&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.379,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1138320752,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
