Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Oferta! Galletas Marineras Ns Semillas Lino Y Chia Omega 3,https://articulo.mercadolibre.com.ar/MLA-1402099439-oferta-galletas-marineras-ns-semillas-lino-y-chia-omega-3-_JM#position=48&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.099,CAPSULANDIA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1402099439,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De La Fortuna X 50 Unidades - Kg A $880,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-x-50-unidades-kg-a-880/p/MLA22740475?pdp_filters=category:MLA1423#searchVariation=MLA22740475&position=32&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,5.352,CARRYPACK,Nuevo  |  +25 vendidos,(+20 disponibles),Nuevo  |  +25 vendidos,No disponible,#1645521216,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas Cookies Decoradas Personalizadas,https://articulo.mercadolibre.com.ar/MLA-1362786461-galletas-cookies-decoradas-personalizadas-_JM#position=49&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,15.000,GISELA ZLO,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1362786461,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Macrobioticas Galletas De Arroz Integral Con Sal Sesamo 102g,https://www.mercadolibre.com.ar/macrobioticas-galletas-de-arroz-integral-con-sal-sesamo-102g/p/MLA20941264?pdp_filters=category:MLA1423#searchVariation=MLA20941264&position=33&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1746596764,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas De Arroz Integral Sin Sal Risky Dit Sin Tacc,https://www.mercadolibre.com.ar/galletitas-de-arroz-integral-sin-sal-risky-dit-sin-tacc/p/MLA23654813?pdp_filters=category:MLA1423#searchVariation=MLA23654813&position=34&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.449,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1503303008,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
3 Cajas Galletas De La Fortuna X 12 Unidades C/u,https://www.mercadolibre.com.ar/3-cajas-galletas-de-la-fortuna-x-12-unidades-cu/p/MLA21830687?pdp_filters=category:MLA1423#searchVariation=MLA21830687&position=35&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,4.200,HACHI_ARG,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1363214810,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Tableta Milka Chocolate Biscuit 300 gr,https://www.mercadolibre.com.ar/tableta-milka-chocolate-biscuit-300-gr/p/MLA20029433?pdp_filters=category:MLA1423#searchVariation=MLA20029433&position=36&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,9.897,COLLODESESAS,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1672900812,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Chocolates,
Galletita Café Martínez Con Chips De Chocolate 150 G,https://www.mercadolibre.com.ar/galletita-cafe-martinez-con-chips-de-chocolate-150-g/p/MLA22272032?pdp_filters=category:MLA1423#searchVariation=MLA22272032&position=37&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,5.060,Cafe Martinez,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1382735528,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas de arroz Molinos Del Bosque Clasica sin sal - sin TACC x 150g,https://www.mercadolibre.com.ar/galletas-de-arroz-molinos-del-bosque-clasica-sin-sal-sin-tacc-x-150g/p/MLA16176105?pdp_filters=category:MLA1423#searchVariation=MLA16176105&position=38&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.799,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1144101435,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletias De Limon Bañadas De Chocolate Angiola Sin Tacc ,https://articulo.mercadolibre.com.ar/MLA-1755808876-galletias-de-limon-banadas-de-chocolate-angiola-sin-tacc-_JM#position=50&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,2.890,POSITANO DISTRIBUIDORA,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1755808876,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Frutigran Salvado Galletas Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-salvado-galletas-granix/p/MLA19871445?pdp_filters=category:MLA1423#searchVariation=MLA19871445&position=39&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.188,01MERCADO,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1460327788,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De La Fortuna A Granel X 250 U.,https://articulo.mercadolibre.com.ar/MLA-713287719-galletas-de-la-fortuna-a-granel-x-250-u-_JM#position=51&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,26.000,FAMILYDANIELSANSRL,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#713287719,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Oferta! Galletas Marineras Ns Tradicionales Sabor Original,https://articulo.mercadolibre.com.ar/MLA-1469920744-oferta-galletas-marineras-ns-tradicionales-sabor-original-_JM#position=52&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.099,CAPSULANDIA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1469920744,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De La Fortuna X 100,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-x-100/p/MLA22935261?pdp_filters=category:MLA1423#searchVariation=MLA22935261&position=40&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,9.204,CARRYPACK,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1645547142,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
"Almadre thins galletas de masa madre sésamo,sal Marina 200g",https://www.mercadolibre.com.ar/almadre-thins-galletas-de-masa-madre-sesamosal-marina-200g/p/MLA20728407?pdp_filters=category:MLA1423#searchVariation=MLA20728407&position=41&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,2.357,GREENANDML,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1558247732,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,
Galletitas Granix Fiesta Surtidas Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-granix-fiesta-surtidas-galletas-dulces/p/MLA19900245?pdp_filters=category:MLA1423#searchVariation=MLA19900245&position=42&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.533,01MERCADO,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1387901325,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas Redondas S/sal De Arroz Integral Sin Tacc 100gr X1u,https://www.mercadolibre.com.ar/galletas-redondas-ssal-de-arroz-integral-sin-tacc-100gr-x1u/p/MLA28872606?pdp_filters=category:MLA1423#searchVariation=MLA28872606&position=43&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.040,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600388586,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Oreo Milka bañadas chocolate con leche 119g,https://www.mercadolibre.com.ar/galletitas-oreo-milka-banadas-chocolate-con-leche-119g/p/MLA19868485?pdp_filters=category:MLA1423#searchVariation=MLA19868485&position=44&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,2.391,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1262814963,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Mini Pitusas Rello De Limon X160 Grs Parnor,https://www.mercadolibre.com.ar/galletitas-mini-pitusas-rello-de-limon-x160-grs-parnor/p/MLA20003451?pdp_filters=category:MLA1423#searchVariation=MLA20003451&position=45&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,701,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281066912,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Oferta! Galletas Marineras Ns Tradicionales Light,https://articulo.mercadolibre.com.ar/MLA-1471299972-oferta-galletas-marineras-ns-tradicionales-light-_JM#position=53&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1471299972,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Granix Frutigran chips de chocolate 255g,https://www.mercadolibre.com.ar/granix-frutigran-chips-de-chocolate-255g/p/MLA19849715?pdp_filters=category:MLA1423#searchVariation=MLA19849715&position=46&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.623,01MERCADO,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1411480149,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Oferta! Galletas Marineras Ns Tradicionales Sin Sal 300g,https://articulo.mercadolibre.com.ar/MLA-1421513605-oferta-galletas-marineras-ns-tradicionales-sin-sal-300g-_JM#position=54&search_layout=stack&type=item&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.099,CAPSULANDIA,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1421513605,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De La Fortuna Kits 70 G - Family,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-kits-70-g-family/p/MLA21492128?pdp_filters=category:MLA1423#searchVariation=MLA21492128&position=1&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.941,HACHI_ARG,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1392073717,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Pack X 18 Tostadas De Arroz Molinos Del Bosque Clásica 150 G,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=yQ%2BqbLQwBidmVfEcJgiXhRb3YyAfHYzJ310vLPbtANeu8fsrOk%2Fg211x5Oc140ixS6SJTKHthZCexyiYOh%2FwhqjvLUboyiwUNSZCEwvvd4vE4eEKB98vgXubP7o9LDTP7%2BVBSBPpKaARrlKTDqJZ5%2FZ0CrQBbgZxdXzgGM16UsXhrvV3Hx%2BBvmD8tlXT4jP75dHnkBLFCz0ELDsc6usdg5Vo2slQcuQYhp3W9TJMAsQzGa6fCZeJT%2BUxHjI2oDP8h1FsWb6r4w%2FFx09oyf3EyrhrnOUs6BNxuh1bpa4nUUty4uXrMQpdLAyEzjnca1YnQlybnbqMmcZqTDlxfFMuAruvYJndLC6aAy189NP%2BicXTBPy3kaE4pR7bYAUd5Uj7gZv%2B7YmD%2FezsE8Y77A88dyYiA6EGznhZVF5fiSsPCshcdFCEsiiad8ylC7ij1%2Fe7zbCj3WQSYuKyk3iTQEmEwj6nBAVVAtfcde%2FZybcu6TPtKMd%2BM0lSksnGTh2G%2Bd0d68xYECpbDOomn%2F6E9YSAGkFwJyCFc46U0Djw%2BgKa1aE5MoCewbzYmRtHF%2FS0NcS%2BKY04PNea2%2FwkXnJ2KpLdvJiYsY3txvzL6z3UN5KhNg2bwwSWecsr4dTpUhPNFP%2FjJLOgTpt4TI4oBInjQtNGpusVL4UvTkMuu2ZxNTWz3q%2BhBE1XnKUmqbdbyZcsvXaCv81MtBu97e03MvNlssC8jJ6HIvFmTsRBJA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,31.612,ALPUNTODEVENTA,Nuevo  |  1 vendido,(+50 disponibles),Nuevo  |  1 vendido,No disponible,#1424665085,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Panadería,Tostadas y Grisines,nan
10 Cajas Galletas De La Fortuna X12 Uni. Marca Family,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2FA6bKjUUJ4VhojNZz4S07nWYfGgxpuTBb3plgLkp2AUeBkLB2thNu6HuhM4VMGVAWR5gElF5sJ2FpScoTrEs4v0V0A3Udg55bsT2wNaRgQJOoMem6huXCS118KeWr5egyK8t%2FaWrpfqau%2BJzem6EDnv5iaWbMozuWiUpdlulmeJG%2BOI584h%2Bje5SGcGNmX3DVtJZoKaXkl8l9GymcCdeWnaJGqFMjFHFMVL%2B2qxPW3mSIoww5ZrIZ8T6QRBlaXrc965tAQMrDZDiJyV2NULp0A3sDGdxLfUXegGE%2FvNwNwEC9ctiaRKb1hToxzRKskWZ7Gb8J8exW9mAXVClah%2FfY65JUSAM7YumMQOhawzQ%2BywzC9Cs9%2FIZZjEn%2F0BqONPwJDffyhzv4JjJceWrHodCdBzeQjMXOtTmKqlowuw3Xgd95Tzpg%2B2ZtRJwUfwUWY7MX6S2c%2FlIrm0m0cnU%2Bu1rAPjBQVC64cv%2F3aOpl3eAETNhsi%2BKjQDfjl5AEsV6pj4hr6DfC7vkwl1xOMbvf5%2BSEfxPxTqyYJkgCX4gqmXlS2hbRZr20Eno7Km2ZQFClJLzlKOC%2FVWm3YlfBrDaqban0kACqz810jHRWtzyVl2J0Jy8RHXNfuUIm8fqAyLvLiDQoWrA4Ose8NzW2sg%2B36G1eJRzKvfdiCcyrmdvTquannp87NILCQt6%2BhgRKU57q91IqTxgVcKV0nF1WDrygR5o&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,17.775,ASIA ORIENTAL,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#832092395,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De Arroz Yamani Integral X12 Sin Sal Sin Tacc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9FoS6bexJSrMFeCcGWb5ksW2x78y1bdl4ndXnvyC17DGlrwj%2Bkwf2URUkgZiXfsp02YDpDs2hMbt625of5MN4CDl30dGxuwai5mtDevcedoA%2BjA70lWNLFE3oiId%2BzpvK9A0qnYBEIEtIpynmAvPkjoTPYFL8Q2loxxGMxEU6aBDJFk5mMXo9DYXQ6uv0fWTOujkgF0WGARl33JXbUNHA6Q3ac5oUO%2FExwbzMRj7OgCfRswuuBa3kVGnp3gJFmVQA51O3oJBvmLPkA1QPBZWy3GjDmY6sY7JOvi4FAEgbghKm8yV3ydcoat1%2BxostilfozGYDXrH1awv3Lebu6HgXIDYYPXH5ZNMcQ8qgipCza%2Bght0mgPxngWRvS%2FU1b9Z7YWLFZIqK0to%2BryTsvVo2dKh6GZxXR8PpiwpjAY%2FXr0%2FTu40tOg6oYXkHY12KGblxU1K01eJB7%2Fu2wgf3G9E1DElXeA4FROhbdm%2BDMZWFaujp4bMHjiXxsjV0My2weKWeSxUNOA4bTHWQ0f%2BMRCSNCD7GktL7VM4YysrFYkcnUrPDPJxZnkzJtkt5jO4L%2BAFgKR3gOw0EC7YHW41Msid4UFJsgYVvEUj6vXDmWL8T2ljnX8e%2BUtb6VU1AOye8H5zDPX5shpDe1uzlEn0q6Yza2U4TlKfpmxYVn3tUT4R8M8NDw1Y0qJ%2BnM33J%2FB8k62aIVg3B7n7fD4al84lpiL4K%2FwDPlg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.608,EDIETETICS,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1377616242,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Snacks Thins Integral Crocante Almadre 160 Gr,https://articulo.mercadolibre.com.ar/MLA-1402303159-snacks-thins-integral-crocante-almadre-160-gr-_JM#position=37&search_layout=stack&type=item&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,2.216,GREENANDML,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1402303159,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,nan
Galletitas Oreo Relleno Sabor Oolong Y Durazno 97gr.,https://www.mercadolibre.com.ar/galletitas-oreo-relleno-sabor-oolong-y-durazno-97gr/p/MLA20003458?pdp_filters=category:MLA1423#searchVariation=MLA20003458&position=5&search_layout=stack&type=product&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,4.685,UMAMI BA,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1412818992,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletita Oreo bañadas de chocolate blanco Milka 119g,https://www.mercadolibre.com.ar/galletita-oreo-banadas-de-chocolate-blanco-milka-119g/p/MLA19610932?pdp_filters=category:MLA1423#searchVariation=MLA19610932&position=6&search_layout=stack&type=product&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,2.391,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1170906001,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Traviata Sabor Original Chica,https://www.mercadolibre.com.ar/galletitas-traviata-sabor-original-chica/p/MLA23011690?pdp_filters=category:MLA1423#searchVariation=MLA23011690&position=7&search_layout=stack&type=product&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,478,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1446746472,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas Saladas Urquiza Jamón X 100grs - Ciudad Cotillón,https://www.mercadolibre.com.ar/galletas-saladas-urquiza-jamon-x-100grs-ciudad-cotillon/p/MLA23910622?pdp_filters=category:MLA1423#searchVariation=MLA23910622&position=8&search_layout=stack&type=product&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,896,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1390872495,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De La Fortuna Granel 250 U Snack Saludable Suerte,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Pm12cu1K2kzpxs8m32MKsMdRIMckEH6A4jLrNGudN8g8ovmd%2BYiEiksyepdzmKiGLjpA1oUxUIyvbN83CaN5elOUfk2XEqAr%2FFeUYLjbiKJQs7dVTVeSB8hQmrUHqwnGLETnXEIJr09CezBGeQJTcgUOtlB4j6%2BhUZDdQYzZJqXwp2QirruDsVcvryO1vcowFNOg1Irfe3IV2OwewPcmOZ9qmyqOB%2FRkIBmnTT9QpeLWDI%2FThWCHqBGnbw%2BU6wnpL54aOPfluh4TxhUFGgo0UGya%2B9uZxVjBc5eqk9jLqFoMYdNMtyKVOw9n1Za3GjVJlrquUPjZ9zJ%2BZ5%2FoRrAokj7HRElLeeGRDihcQv7gPIuKtzLp1JPjLsl02mMXDJwSF3LmRWqXJLy3l%2BUKaHey2Q%2Fje4h2hHxcDVjhKGKzZBbpNzGD0uIFXQGodRj%2FScYix4ruI9ZWqyYdPirVl6lbHBht%2BoaEvQA%2BT1lLpnW3d9x%2BqNMXdvxpojaQ7GeCgZJ1D8y6E3qcUK4EEp1mWmHO70xfcnt0n4KWMH9XTwGOwEQWQVf7Al%2Fsl9r7s8bZ5WiW8q5ET%2Fpm9ZOw74jwJBW1XMtnXpygk4c2Gpym8VmKcu62weid%2B8Fqd3d%2Bi8uhRs8lPrcH3YUzLiJ9ioDQ1RoSBIT6oDqi23XhsaBUiANw9d3jAnBNYhTgYuIyO9QApQoXbFovwq0y%2Ft2SPk%2FAgKSmXFwbF%2FdEWg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.725,GOCHISOTIENDA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#709131217,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De Arroz Yamani X12 Con Mix De Legumbres S/tacc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=YfY1yTd5C7O1eN3O1azDwxYW2L5bJMt75IYKWDowf9XzeWkBvsXAq7x3MNcyr3Lzvbu9yQZ%2FUTQ8z05u5Z6OB3mQhjmKtfnx%2FXAdToyUgfhLzzk3B7qqESpuVvix2I%2BhqdfxAs5j3RhAjuG9O%2FavHi9m3SabP8NcpW3kZHVuIQvUz%2FKXVTMUROU5J1QKTkZYJOPlU6tMTzTcJDjyBnPg8nIntRDjzIlYEA5Q54krRXuQsf1ds5Np%2FnFXmn0gWJpZIC7N1LS%2Fx0XmCndH9WRCJVjdlB79Q0IPjlzHelJdaA4UIScqQ8LUczS0o00xHX8QuNUmOkbi752rV6F8E2C4vm0hxaLULpMUu3GjTjR7LX79DUkVy8CBixGBa6mYM9fExiNvQjwDmPPeln9NhGSI%2FX5Bpwca1P%2FVibxes%2BLATfWbo2vw%2B1%2BMJOlRvBTJNEpovc%2FjTB5FDbjgKb8rESDbGpYxZbpbSzCEkg61opj0XwRkTrZjepauyuPJmM7T7MQmKyfuU3wQXHcpHt%2BrINGvcynVcNbNPvpY4dE8NCjvrU6ZFJ09%2BaKZDPiQY8NlqjslGyu9znyC6RzcvIEFGUt1dL9vKjhbwRmXez3R7THi5Gmi%2FjQiz7fTw4PEcD2oHWHdU80ZXakVkTFPIAjyG4i16Awk705tdU4wMJ3CZeVrpPaEj3b8sX%2BkRbo5QI8kaoNc%2F3%2FZ1eJsIPg67wDE9TN8M36ieMyrhw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.608,EDIETETICS,Nuevo  |  +5 vendidos,(3 disponibles),Nuevo  |  +5 vendidos,No disponible,#1148480398,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Bizcochos 9 De Oro Agridulces Galletitas,https://www.mercadolibre.com.ar/bizcochos-9-de-oro-agridulces-galletitas/p/MLA19531322?pdp_filters=category:MLA1423#searchVariation=MLA19531322&position=11&search_layout=stack&type=product&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,1.431,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156522788,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Oferta! Galletas Marineras Ns Chia Light Omega 3 Snack,https://articulo.mercadolibre.com.ar/MLA-1627361206-oferta-galletas-marineras-ns-chia-light-omega-3-snack-_JM#position=38&search_layout=stack&type=item&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,1.099,CAPSULANDIA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1627361206,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas De Arroz Integral Con Sal Risky Dit Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1150998940-galletitas-de-arroz-integral-con-sal-risky-dit-sin-tacc-_JM#position=39&search_layout=stack&type=item&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,1.449,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1150998940,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Discos De Arroz-galletas De Arroz Ricediex-directo Fabrica,https://articulo.mercadolibre.com.ar/MLA-1353486804-discos-de-arroz-galletas-de-arroz-ricediex-directo-fabrica-_JM#position=40&search_layout=stack&type=item&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,540,MARIONORBERTODECASTILLO,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1353486804,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galleta Marinera Con Gluten Don Pancho 220 Gr,https://www.mercadolibre.com.ar/galleta-marinera-con-gluten-don-pancho-220-gr/p/MLA26163463?pdp_filters=category:MLA1423#searchVariation=MLA26163463&position=12&search_layout=stack&type=product&tracking_id=19eb47c9-c61e-411a-b0e9-fbaf8418260c,844,BLIP,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1477099396,2024-05-18 15:18:29,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
