Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3
Fideos tallarín Don Felipe pastas al huevo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-felipe-pastas-al-huevo-500g/p/MLA20081097?pdp_filters=category:MLA1423#searchVariation=MLA20081097&position=18&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.543,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Ramen coreano Samyang Buldak carbonara 130g 1 pieza	,https://www.mercadolibre.com.ar/ramen-coreano-samyang-buldak-carbonara-130g-1-pieza/p/MLA20529420?pdp_filters=category:MLA1423#searchVariation=MLA20529420&position=15&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,3.765,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Ramen Instantaneo Huevo 1.2kg Sau Tao,https://www.mercadolibre.com.ar/fideos-ramen-instantaneo-huevo-12kg-sau-tao/p/MLA29512508?pdp_filters=category:MLA1423#searchVariation=MLA29512508&position=16&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,8.090,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Tirabuzón integral Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-integral-matarazzo-500g/p/MLA20021495?pdp_filters=category:MLA1423#searchVariation=MLA20021495&position=17&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.528,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Giacomo Capelettini Queso Y Jamon 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-queso-y-jamon-500-grs/p/MLA19994611?pdp_filters=category:MLA1423#searchVariation=MLA19994611&position=14&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,3.041,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Sin Tacc De Arroz Tradicional Soyarroz X 300 Gr.,https://www.mercadolibre.com.ar/fideos-sin-tacc-de-arroz-tradicional-soyarroz-x-300-gr/p/MLA21807572?pdp_filters=category:MLA1423#searchVariation=MLA21807572&position=24&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.644,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Marolio Tallarines Paquete De 500 Grs,https://www.mercadolibre.com.ar/fideos-marolio-tallarines-paquete-de-500-grs/p/MLA19957823?pdp_filters=category:MLA1423#searchVariation=MLA19957823&position=21&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.138,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos De Arroz Con Espinaca - Soy Arroz - 300 Grs. Sin Tacc,https://www.mercadolibre.com.ar/fideos-de-arroz-con-espinaca-soy-arroz-300-grs-sin-tacc/p/MLA28465751?pdp_filters=category:MLA1423#searchVariation=MLA28465751&position=22&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.280,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Tallarín Lucchetti X 500g,https://www.mercadolibre.com.ar/tallarin-lucchetti-x-500g/p/MLA29565915?pdp_filters=category:MLA1423#searchVariation=MLA29565915&position=25&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.284,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Fettuccini Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-fettuccini-don-vicente-500g/p/MLA21089521?pdp_filters=category:MLA1423#searchVariation=MLA21089521&position=19&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.877,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Mostachol N52 Lucchetti 500 Gr,https://www.mercadolibre.com.ar/fideos-mostachol-n52-lucchetti-500-gr/p/MLA29283653?pdp_filters=category:MLA1423#searchVariation=MLA29283653&position=23&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.228,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Terrabusi 3 Vegetales Fusilli 500gr,https://www.mercadolibre.com.ar/fideos-terrabusi-3-vegetales-fusilli-500gr/p/MLA28569927?pdp_filters=category:MLA1423#searchVariation=MLA28569927&position=26&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.088,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Pasta Delverde Italiana Lenguini 500 Grs ,https://www.mercadolibre.com.ar/pasta-delverde-italiana-lenguini-500-grs/p/MLA20021516?pdp_filters=category:MLA1423#searchVariation=MLA20021516&position=20&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,5.775,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos  Tirabuzon 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-tirabuzon-500-gr-staisabel/p/MLA21271393?pdp_filters=category:MLA1423#searchVariation=MLA21271393&position=28&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,962,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Fusilli Con Kale Wakas X 250 Gr,https://www.mercadolibre.com.ar/fideos-fusilli-con-kale-wakas-x-250-gr/p/MLA20021519?pdp_filters=category:MLA1423#searchVariation=MLA20021519&position=30&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.768,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Terrabusi Fusilli 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-fusilli-500g/p/MLA28611365?pdp_filters=category:MLA1423#searchVariation=MLA28611365&position=27&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.082,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Dedalitos Matarazzo X 500 Gr,https://www.mercadolibre.com.ar/fideos-dedalitos-matarazzo-x-500-gr/p/MLA19957809?pdp_filters=category:MLA1423#searchVariation=MLA19957809&position=31&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.267,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Lucchetti Spaghetti N°7 500g,https://www.mercadolibre.com.ar/fideos-lucchetti-spaghetti-n7-500g/p/MLA28613862?pdp_filters=category:MLA1423#searchVariation=MLA28613862&position=29&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.363,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos De Arroz Con Morrón Soyarroz Sin Gluten | Vegano 300g,https://www.mercadolibre.com.ar/fideos-de-arroz-con-morron-soyarroz-sin-gluten-vegano-300g/p/MLA21622661?pdp_filters=category:MLA1423#searchVariation=MLA21622661&position=33&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.280,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Tirabuzón 3 Vegetales Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-3-vegetales-matarazzo-x500-gr/p/MLA19957824?pdp_filters=category:MLA1423#searchVariation=MLA19957824&position=32&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.546,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Marolio Mostachol Rayado Pastas Secas - Mejor Precio,https://www.mercadolibre.com.ar/fideos-marolio-mostachol-rayado-pastas-secas-mejor-precio/p/MLA20903885?pdp_filters=category:MLA1423#searchVariation=MLA20903885&position=36&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.024,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Tallarin 500 Gr Favorita,https://www.mercadolibre.com.ar/fideos-tallarin-500-gr-favorita/p/MLA28766309?pdp_filters=category:MLA1423#searchVariation=MLA28766309&position=34&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,868,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Barilla Spaghettoni Nº 7 500 Gr. ,https://www.mercadolibre.com.ar/fideos-barilla-spaghettoni-n-7-500-gr/p/MLA20719342?pdp_filters=category:MLA1423#searchVariation=MLA20719342&position=37&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,6.660,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Tirabuzon Verizzia 500gr,https://articulo.mercadolibre.com.ar/MLA-1284845345-fideos-tirabuzon-verizzia-500gr-_JM#position=50&search_layout=stack&type=item&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,854,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Lucchetti Foratini 500g,https://www.mercadolibre.com.ar/fideos-lucchetti-foratini-500g/p/MLA28615789?pdp_filters=category:MLA1423#searchVariation=MLA28615789&position=35&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.262,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Matarazzo Bucattini 500g,https://www.mercadolibre.com.ar/fideos-matarazzo-bucattini-500g/p/MLA28569658?pdp_filters=category:MLA1423#searchVariation=MLA28569658&position=41&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.511,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Italianos Pasta Barilla - Spaghettini N°3 500g,https://www.mercadolibre.com.ar/fideos-italianos-pasta-barilla-spaghettini-n3-500g/p/MLA21394480?pdp_filters=category:MLA1423#searchVariation=MLA21394480&position=44&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,7.990,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Tirabuzón Don Felipe 500gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-don-felipe-500gr/p/MLA19943599?pdp_filters=category:MLA1423#searchVariation=MLA19943599&position=38&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.479,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Favorita Mostachol Con Hierro X 500 Gr,https://www.mercadolibre.com.ar/fideos-favorita-mostachol-con-hierro-x-500-gr/p/MLA19937145?pdp_filters=category:MLA1423#searchVariation=MLA19937145&position=42&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,944,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Matarazzo Penne Rigate N°48 500g,https://www.mercadolibre.com.ar/fideos-matarazzo-penne-rigate-n48-500g/p/MLA28611366?pdp_filters=category:MLA1423#searchVariation=MLA28611366&position=45&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.511,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Spaghetti De Morrón Rina Matarazzo X 500 G,https://www.mercadolibre.com.ar/fideos-spaghetti-de-morron-rina-matarazzo-x-500-g/p/MLA19937152?pdp_filters=category:MLA1423#searchVariation=MLA19937152&position=39&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.130,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Ramen Chapaghetti 140 G - Origen Korea ,https://www.mercadolibre.com.ar/ramen-chapaghetti-140-g-origen-korea/p/MLA20030946?pdp_filters=category:MLA1423#searchVariation=MLA20030946&position=43&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,3.500,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideo Santa Isabel Dedales 500gr,https://www.mercadolibre.com.ar/fideo-santa-isabel-dedales-500gr/p/MLA29565263?pdp_filters=category:MLA1423#searchVariation=MLA29565263&position=40&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,962,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideo Marolio Caracol 500 Gr,https://www.mercadolibre.com.ar/fideo-marolio-caracol-500-gr/p/MLA20021527?pdp_filters=category:MLA1423#searchVariation=MLA20021527&position=47&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.138,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Molto Mostachol Rayado 500  Gramos,https://www.mercadolibre.com.ar/fideos-molto-mostachol-rayado-500-gramos/p/MLA19939591?pdp_filters=category:MLA1423#searchVariation=MLA19939591&position=49&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.142,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Spaghetti 500 Gramos Molto,https://www.mercadolibre.com.ar/fideos-spaghetti-500-gramos-molto/p/MLA20021523?pdp_filters=category:MLA1423#searchVariation=MLA20021523&position=46&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.139,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Terrabusi Mostachol X 500 Gr,https://www.mercadolibre.com.ar/fideos-terrabusi-mostachol-x-500-gr/p/MLA19957820?pdp_filters=category:MLA1423#searchVariation=MLA19957820&position=48&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.082,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
