Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=11&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,983,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#927110757,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=32&search_layout=stack&type=item&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,21.546,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  con gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-con-gas-botella-15-l/p/MLA16168876?pdp_filters=category:MLA413907#searchVariation=MLA16168876&position=12&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,1.247,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1414368557,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Nestlé Pureza Vital  sin gas   botella  2.25 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-225-l/p/MLA16247025?pdp_filters=category:MLA413907#searchVariation=MLA16247025&position=13&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,926,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1668577428,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Pintura Aerosol Retoque Automotriz Color + Laca + Primer Kit,https://articulo.mercadolibre.com.ar/MLA-1347395906-pintura-aerosol-retoque-automotriz-color-laca-primer-kit-_JM#position=33&search_layout=stack&type=item&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,35.100,MENDELLASANMIGUEL,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1347395906,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=14&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,1.749,Mayorista Masivos,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=15&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,1.019,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7XZqvCVXH45przGJ3BwBRgA3KtigTzu%2FRKktrBzJAOqBMLZwtU3xUl7g6MKmsOdeXCCIHXd45jhSS2F9WhGAEQyWf3%2BxUTu%2FGI2nHq7auEqb2LjHmC2knpgwkolJOD%2FFpx5l0BOqtij9thFfgwnjbTYaWGMnXCvCQGzN8Afd0mDQcidKHV7VYaPY4Ds5iHUAvpf8TSSii1MULHJal1lJh0v%2FMm0otYMs5eZMNv%2F35crDuoOZ%2BFmCKq9SVMgILDLKV5fhAn879aQ%2FbbiE7d4m%2B6MgMZ%2FZor9LGg1Gga4KHkYNOmI7xOsFZl9IDxREaf%2B68Eiu7FwPNEAaDT9QPRo9lq%2BC4uchgY41XsVfXVwF6y2iz4Hq3VcPeirkCl70cJ1k2%2FYAJ7cbXRHopA2A9KUM7VYbfZYYDCl6ar22AZOEw%2FIYrOhMxW3zWYvg%2FQBCrhpt7Q%2FyusRbXohAoZiLVaUi7KOxuHbJ%2FIn7lSdL%2FFnt63ZGOLRnlyTcl0bKmNeEcUb%2FTxPoGhNphGUSOJMuUvMEHcUpDx3W7x163SwqDV7gmSYAfxwwsvxIqre7ZWfXPxa9Zaf62OkUf0Qs7ROos2dW88MLBW%2BWokwRJHewUOPTs%2BLH44wZ3og9hZB0D2158LxC3k%2BMTSTEWtn%2Be67MojIQo36Ne0NyA3qdg5CkbhKTambj8hvYoic486zQReB2eOmT4BeKg449w58%2BT13%2B9Xo36yfSCg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.537,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=c27iatEJjF1HLwtcbkArE4dQb2IIDtTXX5isZfVaM3xt18G01RueGT%2Fj7Ow1eYGhD2TFNF1ryELsS9H0z92Fg6nLMmteCsCRVl7S1CtHK2ixVXj9S3d2Aiks4u3Ob45MHcZfAMxJ3628oatsniMFjP3AvguQzK5mF%2BDRWNwU8X6f9ll6auA%2BZ4VU%2FXitgC%2FyBDvigdnLkEYtt0G4y%2FZMVVCFScJFf90%2B56l5AIZZQyXmhm%2F4z%2FLuNFKr6faNc%2FIgF%2Fv3SV2coo97kBV4g%2BVeaOS5tInHkMXEerS%2BD8JtLxbQHezkmVIPeLUv21%2FRO8iXQf1jkJDQeaB%2FJhMM9YvVPZ484KwsDikoFjBP1dUh7QLNGb4EykilNHc7Syy%2BvAXwzQYgwK4JERoafwhI1xijGPJ4addePVRsxJXfOrl6wxndIUUqCyshHTiO1QT7iWkX5i%2BJAjydc4TfFbPtUNsPiQ5%2F8bBoUo8zUTcW0UfQn%2Fn1Yo6Rv6%2Bur8HLckQVCdcOb%2BW5yWnfo7fru%2BExdOzkj8GUisbANDjGd%2FzDNWKDhC%2F0Xk9W%2F6dZj%2FbqaZwcJ5f9YFiESDzlKYRBC4m1vAUPvT8Wl1XYFDoUm8mtWP92EFt16crLXYybRhSQd3jQG1ngMBP7xS0BxK5%2Blx8%2BClkAlEQ0RVZv2eyflsrWL9vf0qDLpve%2FfWrYUkr8nHLBnAZcZplUR6h33z1wyHehS8Ff5h3qMw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.611,Cervecería y Maltería Quilmes,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#1611400900,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599535860-agua-cellier-2lt-_JM#position=34&search_layout=stack&type=item&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,683,GRUPO ELNENE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599535860,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
