Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aceite Cañuelas De Girasol 1.5 Litros,https://www.mercadolibre.com.ar/aceite-canuelas-de-girasol-15-litros/p/MLA19838682?pdp_filters=category:MLA114008#searchVariation=MLA19838682&position=13&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,3.299,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1394168923,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite blend girasol y oliva Natura botellasin TACC 500 ml ,https://www.mercadolibre.com.ar/aceite-blend-girasol-y-oliva-natura-botellasin-tacc-500-ml/p/MLA16010043?pdp_filters=category:MLA114008#searchVariation=MLA16010043&position=14&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,2.080,ECOMODICO,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1699404578,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol 10l - Ideal Restaurantes - Premium,https://articulo.mercadolibre.com.ar/MLA-884545768-aceite-girasol-10l-ideal-restaurantes-premium-_JM#position=35&search_layout=stack&type=item&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,17.967,IMPORTADORANACCATO,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#884545768,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Natura Botella Sin Tacc 900 Ml,https://articulo.mercadolibre.com.ar/MLA-1405568893-aceite-girasol-natura-botella-sin-tacc-900-ml-_JM#position=36&search_layout=stack&type=item&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,1.551,ENOGARAGE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405568893,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Bid. 5l,https://www.mercadolibre.com.ar/aceite-natura-girasol-bid-5l/p/MLA21393491?pdp_filters=category:MLA114008#searchVariation=MLA21393491&position=18&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,12.995,ROXYRO68,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1510666850,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite De Oliva Y Girasol Cocinero Ecobot X 1,5 Lts",https://www.mercadolibre.com.ar/aceite-de-oliva-y-girasol-cocinero-ecobot-x-15-lts/p/MLA23570435?pdp_filters=category:MLA114008#searchVariation=MLA23570435&position=5&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,5.155,TAP GROCERY,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1432266308,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Cocinero Girasol 1,5lt.",https://www.mercadolibre.com.ar/aceite-cocinero-girasol-15lt/p/MLA19779083?pdp_filters=category:MLA114008#searchVariation=MLA19779083&position=22&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,2.669,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1674165954,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Puro Girasol Costa Del Sol Caja De 15x900cc Hot Sale!,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=noK1eso3ppLGif77kBHGjqhoXMSXJhonAlKn%2FzdWajbR%2FnGp0YA2QPV0DoHUaKeuDkCF%2BPXiINMZDiJQQKSK1Yb36tZrV2ufBP5A%2FBdSHHaoYQZ%2Fz2slL9WtNpfElGKXImMwWmWv%2FvNG1DVoT7yzP1vMLNTMoK8E%2BQZLHfEXuxo8pxsQli21KKM1Ens9F5%2Bls754OuoMPt99DrtckRgtRqW%2FiddD01tYNdiCH7EF%2B%2FtLaI%2F0HuSU%2BH%2FnssQxq%2FNlQT6AV4uTxcdlnokt6Cl1YukGWeteFdSSQIRt3TqYDDIjWL63BHkSQBnejj%2BalCsiz9xAAhxqgN3uyJJ4UmUuaPdqk1FcMTtGBFpOL%2BmzDGZI6xxGjuIZgbwiDvWcWpXl%2F2U9ngEeFR%2Bi4xLyAWJEAoyR6Ln4ZdMpTftBWclXUrQ2J1gYAU4%2Fxt%2BBYgwwJlXABnrX4h2X6cLQ6hilQm%2Fdz6nTkXXaCp%2BIbDYVjLOerVFLccBqG1W4X1QTpF9M%2BQdbOBaVQU1J%2Ftr%2FtivH5SHerZaB4wMk81QnMTgF3Br6cvj06w29vGIaFS9iPgoFa4%2FOR7Lssh1esMpUp9BEEBQG%2FN35n5oiStDoBU2bLNRszHZg8CybgC4hB3fklm8i%2BDhH6PtZSRzC9f7oUwerzu7Zj7t6xhf%2FDe1UJkZaU2CjKkG4Kls0VovOnv4lZbvqa2817pXRBuSjnfRmnftvNtiB1OQpNKnCrmp8&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,37.000,GOODVINOS,Nuevo  |  +5 vendidos,(2 disponibles),Nuevo  |  +5 vendidos,No disponible,#1119619390,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Orgánico - Campo Claro X 1000cc (pack X2),https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MvSuqhzvOJ0Ifg%2BJ6DNQOg2j8jQTnnGFA2VvHMG3FoDqtzX%2BviCTrRdHYD6UDUg3dlznp1TFW2oA4nSxdSVYYMxKKHxn45AIWjn2zJvM61HsJ1ZOfGc%2Fcp9%2Bnp44dW%2FO5P0MvduURYTRhoGK8aRwc%2F51loq56ynNBZdzQ%2FN0XkSJ6TWl4EUUJ0CN%2FaTGbKIzNWmpxgMrHwLBtUZ9oERKOLE4BQqI56Mvy8PeNQjdVJQdrrq09bvz45WhYohLFWlTQMYAxZZYUdLEUfXkiDffNYHfkftrNMvNU1v70D%2B9UBv0tOr68wJ8kCrRpG2Ng39qfTTWuw3uwe1NsyaIliT52aA9qvWWfFQwWhiwnqGwVPs57xqzwgE64VawWAa3K01Lfci05CJKL6G2Uq8p0iz%2BQlcabh6I1azoEAH9p6SmLuHNFCafstuMDSxej4OR5nCwI5EVKRLt%2B7iWMiD9rkkusuua%2Bin1hOHGVutOd15w3PGgztwR%2FayV98CH2y4oXwOX%2ByQPDRO4cYxNw4xge%2Bz3qQiPRwZisAZdr5OoK5RxtT0cf3MVYmQaYqdyhe2Bc7eooMTwWe%2FPq%2BVIVyKAyEJ8ojHMEkYuoRSUMMSZO7eyPSTO0pSrDANlEmkXZQaW6VFlmZnE6UUsd%2BpOuaKWTMnqtXlBSSxi2GAbhsnogCRpsGRqWl%2BRnk6G1zfOQI5%2FkM68MK6mwWY5uAYCyYh6T1etfou2s2o%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,18.952,MULTIORGANICA,Nuevo  |  +25 vendidos,(5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1116788264,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Pureza 900 Ml,https://www.mercadolibre.com.ar/aceite-girasol-pureza-900-ml/p/MLA19779092?pdp_filters=category:MLA114008#searchVariation=MLA19779092&position=25&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390296069,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
