Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3
Fideos Mostachol Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1371175964-fideos-mostachol-verizzia-500-g-_JM#position=23&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,854,GRUPO ELNENE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1371175964,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarines 500 Gramos Molto,https://www.mercadolibre.com.ar/fideos-tallarines-500-gramos-molto/p/MLA19977009?pdp_filters=category:MLA412073#searchVariation=MLA19977009&position=12&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.285,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279226336,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Favorita Tallarin Hierro X 500g,https://articulo.mercadolibre.com.ar/MLA-1642604342-fideos-favorita-tallarin-hierro-x-500g-_JM#position=24&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,813,TAP GROCERY,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1642604342,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos De Arroz Golden Lion Ancho: 10 Mm 400gr Tailandia,https://www.mercadolibre.com.ar/fideos-de-arroz-golden-lion-ancho-10-mm-400gr-tailandia/p/MLA22953575?pdp_filters=category:MLA412073#searchVariation=MLA22953575&position=13&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,3.935,UMAMI BA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1628231640,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarin La Providencia 5 Kg,https://www.mercadolibre.com.ar/fideos-tallarin-la-providencia-5-kg/p/MLA29597947?pdp_filters=category:MLA412073#searchVariation=MLA29597947&position=14&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,11.999,OPENPRICE SUC2,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644306624,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Linguine / Tallarines Divella  - Semola Trigo Duro - Italia,https://www.mercadolibre.com.ar/linguine-tallarines-divella-semola-trigo-duro-italia/p/MLA25363628?pdp_filters=category:MLA412073#searchVariation=MLA25363628&position=15&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,7.980,GIGLIGOURMET,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1380543007,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
"Pasta Tallarines Linguine Garofalo Igp Tref Bronce, Italia",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oZ2fsLrmol0QvNEC520OxZrYKtxJF3n0VVy26ig2NK7dXlxRAuRAyZrAt%2FRiIZLsR%2B7bxternfNHjkuPR%2FSCgvOveUvKvYdeei8xiIGWGcJVwjlvle5nBPYWsmdCSL%2FI7X3SeGgoVW6Fx1xz74bddMfX402NlkaMJ7sJ%2Fr8zNF4W4N79PzAAbDZTAAKrg17bRsmHdq%2FtysRQy2N%2FuVIWmzXKSHJZsYe1icRMAJVGHIySX3ahjPrgicXbJ3jir8nnb%2BbidQdEuE7ZQtVMWgl%2BMSsD0Wf5Yz1ecGhn%2BRH8AOMsAsl6OAbrs2SOgCeXU23Bc%2FnROnHnwwWGkwXi%2BVIY8vDNX2tyq3AOBYflCB3uwJaB98mp%2BVtWTvM7HqcF9VxJoeWC7W9XCqb3w27oszqQy63Vgikll8NgDBiBSP%2FS%2FPXvzxVNVL%2BMOuGTnJniPSv4X3oDUPY%2Bl1tFPzqn0nC0MZC2PASWZD8kU4eJgfhzi%2F7SK2MbbjM9bqAVZ0FMRKAwm9M0yXPENo2ROvKDdYBE9FFYyQEwHbrtegJGc4WYZI%2FIphSj3ziZFaWsESPVvl4VGbL9YyA9kj0Gv2BCk4K6WDR28nw2T7WNmS4z7ijCY3xjp7dJS32NwC62itiXNvWzZJP532uePdaUxO1STItl3ojX7I%2BPRfszK61VucvQYJ2QEqHIjUmL3FvOENf40rN2xEfanEIFq3jLz3Sg6dFwl83YDdg%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,10.338,GIGLIGOURMET,Nuevo  |  2 vendidos,(+5 disponibles),Nuevo  |  2 vendidos,No disponible,#1378967979,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Tallarines Pasta Orgánica Grün Fideos 500 Gr X2u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=HMswgQU8DIa1nQVZkImCEOI3bvhUMFkprMn9TyaFg%2Bwar%2FFzIUr%2Fw1wkgj5okXa8hihXIJNM7Uj5pWq5TysFGOvAtLstEat51pVedweUNzCtN1dVyp7hT2pCWuw%2Ft8lYyjr2K6pSbKcWB9NtnxDP0KfKqReq%2B%2Btr2PSQDMeIZ2IzgNSG1PPsvXmaYfISn1QejGx%2F6%2BmjxAmjYGcIsEdHWWVR90b3VbNoF4zLnm7XDy6onbPt%2F0XhX4XVWn8GwCRd4XdvGTEnCzOFHij5jlEFlg6aXd54t5E%2Bp6BorQqxZkbQyQxOedu%2FWYjsC5tn1FOebzlAjJfRwxRa0U1x9G2W%2B6hlY1nYmZy%2BvfiLRo1JMbHqp9gPHlSVkfDAxRKTH55VPu9bKkUhHh0%2FjdXMK%2B%2Bk1GXWxGkxph%2BPITjQqSDY0wHNWh93fi68Z%2B2KiAolag0Wz9q%2BrXFgj1lXVhIabBDyxoY1GD%2BB2qblba32J6lWJabRsJffSrpVQcpwuMm3%2FGcJYk0bk5lapaQbencyIKxsZL8w7hkd%2Bi0Hf22RTMZ3I2Fv5Gq93wXV%2B1YoAv1j0pj3OxU7VzNIkN6hv2Gq%2ByWMpzcPBjRjQM1vcRc0yeQdb5og3XRisph3XozU73A3bTVYfJDHKralve7nIaYgDevuRfWeDW91Bv1wEmohI4hqDe5FYEZ8Lh0qrKsDpEAPhjx%2BcCM9M0APPUzdCCJY&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,7.720,ATROCHEYMOCHE SHOP,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1102136024,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarín Lucchetti X 500gr N° 5,https://articulo.mercadolibre.com.ar/MLA-1404673813-fideos-tallarin-lucchetti-x-500gr-n-5-_JM#position=25&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.359,TAP GROCERY,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1404673813,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Tallarines Pasta Orgánica Grün Fideos 500 Gr X4u,https://www.mercadolibre.com.ar/tallarines-pasta-organica-grun-fideos-500-gr-x4u/p/MLA21734814?pdp_filters=category:MLA412073#searchVariation=MLA21734814&position=16&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,14.290,ATROCHEYMOCHE SHOP,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1346679336,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
