Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Almohaditas Rellenas Frutillas X 500g -envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-500g-envios-a-todo-el-pais/p/MLA26444831?pdp_filters=category:MLA1423#searchVariation=MLA26444831&position=12&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,3.308,TIENDA-EL PORTUGUÉS,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1384746937,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=16&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,4.427,NUTRAVIDA ,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1742313012,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereales Quaker Honey Graham X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-graham-x-190-gr-desayuno-merienda/p/MLA19957870?pdp_filters=category:MLA1423#searchVariation=MLA19957870&position=4&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,4.189,PepsiCo,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282984391,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=14&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,6.143,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=28&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,1.399,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1369823337,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=17&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,5.503,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barrita de Cereal Muecas sabor pasas y arandano sin Azucar 45g,https://www.mercadolibre.com.ar/barrita-de-cereal-muecas-sabor-pasas-y-arandano-sin-azucar-45g/p/MLA19735181?pdp_filters=category:MLA1423#searchVariation=MLA19735181&position=18&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,10.880,TIENDAMUECASOFICIAL,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1755830768,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barras Arandanos De Dátiles Cajú Arándanos Laddubar 30g 12 U,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SaAsqKHwP2WxoKdKiVq9UftQVUOyZxp7%2FnV4lj1hXs7IIxd6T%2FwTZD6s4k%2B01bqNh873EMumQtP41dlg3fsMbfl5AnGoVanvkRjJCiwPeDInwmmoruMdeN5PLmvCaW2Vxj5uYeb5iN7mIQz9qlTMuUZGA2X6QoIZk3WiH7xKRFp59o5w7iyrBR1hD7maB5qHx3pqRMA%2BkhViQpVjkiSZeOTNmfHQ%2FF0soy%2B2QisUlYXESrekjKXJxvb7wWOhR3bI%2BUjoBTBj63JqmeAYuWG1sntpc2VC%2B2vPhWjz5vg1Oa0a7rr9Ph41KzGMBAvOaj0pmMQgZ8vAp0dwtPNU4fVRyEeq0A9FmlZvg0iHX%2Fyoj2hhRuRudC1yefLq850d1y4i%2BsLM%2Bw%2BXAKEm7dOmOIpgVg4ea%2BE7HscOgGeixCs1BBlZPT5sVo7nIATU1uvWvNs9wZOruh6x5aqgUD9tf9GiEIY2kIAx7pAUrlMYvwGahhtndI2FHxDnJgkewycwLmXHi%2FwDN4J2VkUX5YVkUP67OWYEZaKwryaJlaCZ%2B36qeookXTmnQCVg%2Bi82pBWdfL2S9DSeq0fZ5nL%2B4YfKgKzhaBVq6HbphWpDhd7xHwRpMrNBM3MP0UxYkv9dsRn36BxQk9BNDKIKEUq7JL%2FOFwWqqrvxmB6DCQcdN%2BEuDwjIxLql%2FFytIV37honTOUZwl0yRykFgKeMypnvt2AMe0cKr4pBzTgq9ICsbeg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.653,GREENANDML,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1187433795,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
"Copos De Maíz Azucarados Granix X 3,4 Kilos",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2F5cyGetO1ZcP34MKA1Pt1%2BSFigke9CrnvNnqbRtNg9jeFtQeLDWv9ET5TUrFQu31Y11%2FDaRU6fIYHLcEIRqhxg75c%2Fpth6OxIwL65Ra8UtQ%2FuDIxeezAPXYg468tYZJOwERM%2Bk4zllTJIbMIfpELdqUOaobOaIjmJkQY104zF%2BbKo%2F8fxRVm%2BtA%2B038DyFvvgLDeP7tN6DnPT%2FpRQRSU1fFkFPlFVbqQYnoeCDJrTH7J6VEQBvoyVQ7cAXt5MFztXTtL8f8Bv7G9PwmKCFB6Es1ikqdjGqPnPSqdj1BAe1HDnzm2EifTd1gd9kwSwLwmFcUkFhJ9wt7%2B1stQrXkEzz7vRZyoxu0IjxRcXd5DPr9Cf48zT7pJyJptMk8%2BGDc3YrcMIOboALODNnw9aTkLt%2FHxSPiMRm%2B7cmooM79a%2FM2aVjzmqPYxFlu9XWWWBHk1TCZsV%2FdLZq3x5iYwDvNhpMCfi5bqp2Lt8JaK4Lj0pdOn%2FmkjUH2Q8Jxm92e0C2r6FypWCZBsju7JZ8np1w8VFSExUHP5%2BMPpLDKO7pregWvkz6Jh10FEDqQDTn8ceupZRkYKgW5b%2B5vQdFiDaF4RTiotFWEFExE18Hi21hLnkKjIPdWfoAS%2F2PakbqDojWPJE7x5TMhzel%2FBeDTpwGxaswatXxI%2FJQpksrGbYAjpA2shyKOLRhwrT1cnjDgK9i4w6wkdw2Qk&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,14.684,POSITIVA,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#914226780,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=22&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,1.697,TAP GROCERY,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1389897291,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
