Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   botella  2.25 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-225-l/p/MLA16247025?pdp_filters=category:MLA413907#searchVariation=MLA16247025&position=12&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,926,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1668577428,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar Sin Gas 2l,https://articulo.mercadolibre.com.ar/MLA-1407197613-agua-mineral-glaciar-sin-gas-2l-_JM#position=32&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.087,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1407197613,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=33&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,21.546,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=13&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,983,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#927110757,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=14&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.749,Mayorista Masivos,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599535860-agua-cellier-2lt-_JM#position=34&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,683,GRUPO ELNENE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599535860,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  con gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-con-gas-botella-15-l/p/MLA16168876?pdp_filters=category:MLA413907#searchVariation=MLA16168876&position=15&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.247,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1414368557,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=3kBKPuDeYh%2F5jntYSFsy9ac38XSr%2BoKOok2rC1OBK7b2xg64ZUU6d0tE2HCT6UxsAGwcMssvQPK0JdEVgy6g4F795TiJVV0NTMMngNQUqQSm9evSZKDQ7TyWsiFTtfUBHR%2BVVAtlWvmC%2BMlKnNesfMm98409wNtDmJ4ziinsesyZf5%2B%2BnZZ9Qo2tjSEh9kSQ580UGnEegaN2SrgBelGup8mBzBGNiEYi2eTepLpG6Y0nTepRq%2BZAhc5tFYOKQI1%2BsIz8Anbr3JWHa5klG0BQN5cJuy8r8SVe%2Fkw3PVX0cAxHEdzCyOhSR2OzEzEN%2Fjw2b0i1PESOip0a%2B1QEY0M1O99mjH02CXzGkwh%2B1%2FjwVwvGCwVZGoARt8KAeDzfLPFlwiQoMjilW9il9DB4wDp2hNrWhXK0tckz1BkRPWIFfPZe13qNcW%2Bg6b10Gk4%2FIUJI2t4HD5Bak3ryXkamNJltMmTUr3x1JMKJ%2Be34F8UjQ3lf6NMKgVyut%2FS13dY1B2JagDzWH2a0JkVEe%2B%2B%2FP%2BGqm7WTRfkfFY%2BN88dVmmHwLPcAaPWVbU%2FLZhARWe%2FHQMhrwBev2rmMXPgoeVuwMAgGRQIGDceaVY4Z%2BnDt490llBNOh87N9K%2FTD68DE8423733xAYqDz3o%2BbL30rbf%2BHsCg8KMzSt163Mw%2BaTtXbdLUO8aeqlZr3fr4Rx4DUf938ykMOcnaYykNkzoBjMVuVe9sXPl&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.611,Cervecería y Maltería Quilmes,Nuevo  |  +25 vendidos,No disponible,Nuevo  |  +25 vendidos,No disponible,#1611400900,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar - Sin Gas - 6 Botellas X 2l,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=NJokELhINpL9TNCsCyPU%2F%2FwUTfoUvSooPVAWJY%2BynasqykCrb73DiU%2FUZVMCP8JkkI5bp3M6wSfF4NNZeBXFg7at5H2NRIW7xhgwmhE%2BnQv%2F7P71bjoL7IiXfcvYKiEoDnIZqq7BtfaAfiWhj%2BiQ1soKwWcSfyPw8fEy4WZX%2Fhu3%2Btz9iEECaN77ZBhsSyird3Cs2URTyW6NRNdFPh%2F%2Bk0eLGKHfwy4IeHCsfjmAOGFJO2PUaqbBfs%2F0AZ11hIviANexVUqecTpEC6IgznbTm%2BfUOTukHI%2FNBq6exL6zGtAlz0yuEbxu9Z6Ia2aS4da5VVMOS7UqbofnWBE0ZJTDzIEj01sL%2FWUuHucrfIGdkRQH6Do%2F6UVYNr7phZw%2FO43ZTf3TwTDYsrhwoesUnnb4xTF929my7ggxA%2F1YhOaYVl2WQBMoyhyVvYUeKBSfSOZxd2lR%2F%2BME5piykFigHEO9uGZnpbHQJQ83nyKd1Ce2IVukKcl45HvURXxV7EiG790b7BuydyKlI8u0xDWQVv2zHCVwlfFHmk7Z8dgmkD0yjzeffePwlPgPEQDrPjfj35WSSxNZi7%2F7gUtNV3wS%2BESXEexc7hqQeWHAx2anSHZodDApSBOx1Ti6dtZscU6L%2BQtCplVACbT7w%2FxxLkpUzT7yBl8GahYa7dCfGUS0agnv4lXIue2NsRyBQcyrq%2F0MzhHGqSfZKNtp6ZxZ&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.522,Cervecería y Maltería Quilmes,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1398642877,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=16&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.019,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Pintura Aerosol Retoque Automotriz Color + Laca + Primer Kit,https://articulo.mercadolibre.com.ar/MLA-1347395906-pintura-aerosol-retoque-automotriz-color-laca-primer-kit-_JM#position=35&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,35.100,MENDELLASANMIGUEL,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1347395906,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=17&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,2.159,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1223027468,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Sin Gas La Barra Pack X12,https://articulo.mercadolibre.com.ar/MLA-1386397529-agua-mineral-villavicencio-500ml-sin-gas-la-barra-pack-x12-_JM#position=36&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,6.454,LA BARRA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386397529,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Nestlé Pureza Vital  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-15-l/p/MLA16247029?pdp_filters=category:MLA413907#searchVariation=MLA16247029&position=18&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,742,Cervecería y Maltería Quilmes,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1668422918,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=21&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,20.868,DISTRIBUIDORA BARI,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://articulo.mercadolibre.com.ar/MLA-1611400900-agua-mineral-eco-de-los-andes-sin-gas-pack-12-x-500-ml-_JM#position=37&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,8.611,Cervecería y Maltería Quilmes,Nuevo  |  +25 vendidos,No disponible,Nuevo  |  +25 vendidos,No disponible,#1611400900,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
