Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Agua Mineral Benedictino Sin Gas Bidón 6 L X2,https://www.mercadolibre.com.ar/agua-mineral-benedictino-sin-gas-bidon-6-l-x2/p/MLA30127593?pdp_filters=category:MLA413907#searchVariation=MLA30127593&position=11&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.992,No disponible,Nuevo  |  +100 vendidos,(5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644774906,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599535860-agua-cellier-2lt-_JM#position=34&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,937,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599535860,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Cellier
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=12&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.113,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Nestlé Pureza Vital  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-15-l/p/MLA16247029?pdp_filters=category:MLA413907#searchVariation=MLA16247029&position=13&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,857,No disponible,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1668422918,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=14&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.019,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://articulo.mercadolibre.com.ar/MLA-1611400900-agua-mineral-eco-de-los-andes-sin-gas-pack-12-x-500-ml-_JM#position=35&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,8.611,No disponible,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1611400900,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Villa del Sur Pet sin gas 600cc,https://www.mercadolibre.com.ar/agua-villa-del-sur-pet-sin-gas-600cc/p/MLA27285713?pdp_filters=category:MLA413907#searchVariation=MLA27285713&position=15&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.499,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1528972402,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=V%2FpKeBBZcpu5et1%2BQUZrupk%2BsbqVZjKhmINWJNu2283apgq21%2F2F0BnQ0F2WQWn0fy7I%2BgqZQtJsvf9ZbLZoLVDkMvdgyNICX5trZPb3jpy4XrjM%2Fm9pNe5M8sSyNXquTDH%2B%2BGxP7gl58Wf7z0kHicOM9DKv9iiZ4d6kXrRtG7vObwmz9FMlHXDQhFeTFSI38%2FwzBQA1gSUZek1eLV7Sp87gSed87zxskZy7%2FpEo8%2BvlLPBZQ2tzyhBqaO6DvpihbV7JBXt7CtSyBm2FMUUKSIuDjCvmgoDed60Cv%2BTKS6Sx2KfB62Ma8tMwmdABD8bmW02m9Pa%2BPyLcP%2BnGsaLxy%2FQnXuyRTrhOqCRo9DZTFbCMaFo6paW9%2BMJZFxa2fT61Um7J2yvfM0bq7EnLFFZWEUpPHxXtCWO0%2FbRvJZ7uLfiNXYzgfwe6Bs6SrQeuhaqm%2BXuciQncNh8zSpL%2B37JfMpJBoHNTpLwGQdW8MxhrtZ5j8N5UkvrnF11feN6O79FOpv9uAGdeqGk9UCX8GxJ%2BrXlCthXNCnMBRnHNVAmzmeT8gqF7wiwc51qn7xIrkApfWfCWAiqezIwfrbF6iHHvkH9fKv%2BrI5Nf%2Ft%2BEOWreG8WoXQFTfwQ0pVZTVbuN8m4WipVSuLou48dN9POl8%2BXdJMaWMgOtjOj%2B4l2y%2FCbeF2a5nTsKYpjtyAVY5DdEqnredDGI7GNkukoN0fxRC49PaRcVdBbiwnlC&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.124,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=twOkSYJCTsneiQXjS8%2FZIfVvl%2Fle5HmZMOR%2FrmF0yTzQL2zOeOQLmfbIEUBiwbHH7SYbb2HBFSiLPEeQqbDnKV6IGIpIfHmcWcHzQFjZGrjNir37jndx%2F1TjGNDpgcTcXxJAa5NNLfIkTYfe3bGilUm56%2BWVTrBOmx%2B4sh2GB%2BUcGFDUsDh2jfnvVzJERNd%2FD5yxQNtqUIPiWx4PfdQS4Ebl3PQR%2BZDEfesZedGtCPrNvYYz2EdpWWIsZl42Q%2BXo8mHvEq2h%2FjHyUi3R6JNv98GBKn6FUDjgQA94UFvMkbnjKYEuWBO8qhZ0D36O2iJ7LloM6q%2Bbay7e%2FxG3ToqW98PaQXnuKNKKDikeUr172HJLM%2BDWuWDTUSg4tkYLc6qXp3U%2B%2FpHAKA3VD9K3XjlYFKOlnAFeWMdz1HX3Mlabh2aMZw5pdd3VHlkKfEf0Nhp%2BC4jtIVwKcmv7UgMOxlyHeYr7A6AFyGLwdATSNMtpWBPIkoGUqs4qZ2vILTPjJi61i6q6meHgGuBKQ2VgTi1lUU%2F3%2B0KUbJPMP2ILa1z7cnHF%2Bcv4nBZ39eIQTfLXYi255J7NtGWOLtfGK00QgY5rjI0QfGlpbPaewXzsCkDeJBZGaP0NHtP2DR%2BecHWQxEhFi4Y5LeGd1TvW6ie8btOagX8%2BJ4PP70YwAbiFC9Gk2eSGMLOMvxuwku01uhtn19xEMJ5CGb%2FU6hNUMI4FRZZlQ0E%2B&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.611,No disponible,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1611400900,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
"Soda Sierra De Los Padres Sifón 1,75 Litros X6",https://articulo.mercadolibre.com.ar/MLA-1533912096-soda-sierra-de-los-padres-sifon-175-litros-x6-_JM#position=36&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,5.303,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1533912096,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Sierra de los Padres Bidones
