Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba mate Kurupí paraguaya menta y boldo 500g,https://www.mercadolibre.com.ar/yerba-mate-kurupi-paraguaya-menta-y-boldo-500g/p/MLA20008348?pdp_filters=category:MLA409408#searchVariation=MLA20008348&position=15&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,4.595,TELARART,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1525596440,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34166638?pdp_filters=category:MLA409408#searchVariation=MLA34166638&position=54&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,34.000,ASIQUEBUENOSRL,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1696268690,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tradicional Sin Tacc Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-tradicional-sin-tacc-cruz-de-malta-x-1kg/p/MLA20068481?pdp_filters=category:MLA409408#searchVariation=MLA20068481&position=12&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,3.857,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286549848,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate De Campo La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-campo-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956928?pdp_filters=category:MLA409408#searchVariation=MLA19956928&position=8&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,4.343,TAP GROCERY,Nuevo  |  +50mil vendidos,(+20 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1280860216,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias Serena compuesta con hierbas 500g,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-compuesta-con-hierbas-500g/p/MLA20729891?pdp_filters=category:MLA409408#searchVariation=MLA20729891&position=23&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,4.399,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362363472,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tucangua Misionera X5kg,https://www.mercadolibre.com.ar/yerba-tucangua-misionera-x5kg/p/MLA22308446?pdp_filters=category:MLA409408#searchVariation=MLA22308446&position=17&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,22.878,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376169199,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-tradicional-1kg/p/MLA21186915?pdp_filters=category:MLA409408#searchVariation=MLA21186915&position=30&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,6.500,TIENDABLUARGENTINA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1414375695,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack  4 Paquetes Yerba Kalena X 2 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0xCqoyJX%2FUMCZzSUPFFPVgi9E7ceoZmzcaJ1%2F%2B0PZXfZVnEP53QwXrQh92s84DtTCnKTYB1nmaU4yyesC%2FKZMVrA1%2BxXiaAbt3WN95JFTn92YS8N1eLA%2FTNOQWRyeWUshxPrsovGyuNgL6GYsST5F%2FoFQ53PQPK%2BFG6UqhvcOHkMoksiNhccSVUxUeOrlVV16hOdDctC9NycLJrHkO1QOs69L8ncVFx8e7uI22K9icyKmV8nIPVskZr%2BJOgCPpGn3GQjL4j2XC4KbaQ4FfVQhFi4ljfNQCB5LfZilgBmCODuCMFM1YLEarK88eubKmhNG5YZTULiptJuLg8uPW1bPM%2BwzEG6JKlPttX50RaOwteQ1KBWzDcP5UaqQcPolbje2P1WzcC9VoQHnk2zJpY3bWxNNXHiCELxJpnMGpvE2rAkN4ZlABgdsvDFjE8yNqohxWxnr8%2Fbg9FBbVPX5S9oQwROrJ8nroGvMk323wEfynzySGX5HSiJrCQ0CiuKfzN%2B0p70vKdc%2FbzUVLnAXNPyL3y6miWZqwF7YnOs88o1Nq1Lc%2BR8fNZxR3Hi2lEuKqruSzKkfADJePp3RzQUHorsdx4Z9WjZqNVp1oVKkYJL12lvmTvkNt2VXhTCtb9d1jcffdZJtchC4CKYv5WQEagM1lsZ8Frs76fi0txN0lYD%2B1QFRI3L41FNrHeacr9PB85X&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,56.500,LEONVEGANO,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#841648317,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack 6 Unidades Yerba Kalena X 500 Grs,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=4YQ1HvchPDxwfp%2BkqO70%2FbKWkXJUZu%2Bau52oOwIWaSap5ZYXp7G4x19uoLu8oqmo%2Breo73xrx%2BPHzbbOV0bQDovzoukOtzuRSGIY%2FnWPqMPmL64QzutGxJlOKuhzScCf664z%2F9ZT8k29N4CVCDtnAb3fM9fzNF%2BIGs7asUl%2BSmT9DGtK5CU5i7nrVdkFkQzmAnyksUdxq81utreyP61C795hFE8bSOhWuT4ltaZGjaoRHY0RdMziLosNh1kDt3wMbLeRMPM3o7t9RIG1y1pkVhavM%2FmFKg5GM%2Fw5TH%2FIANb1RnfwrlRUlTuUtIOtx6MpBmT1wEW6Ji4Lu7aH6UmqsOd3K17owWoniBHwruMs79%2F5MjCUDeUzzYV6y1lIu8YhqQNm%2F1V3MDGtf9Ey8LHJ%2F5lGIjhdgXWy7hqoD3kXYtTUOQ0QQrFi5vLkEBDuK7Z%2B6dtiV69CIVLWYtiRPB7tOEMdEhBHtUr903m2HmiDC4Kb6EbXV78TvOsL6haJifiY2NiBlpKGwi3s95ek1pNM9XiqHT1446OIHnjKCZaVbML72pcc8exp9a6dscmDIurAuUjq1JQQ43lDKODXJYNmMUNNEbIfcdbeuIFyCkYtUzUvOBKQdayA4QBf81xaNXj1h8ApYU8yU4cFaKf8mGxxYWioKWIA5wkhw5jREGalcn2PM496641e6TynMXBMOb83&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,19.900,LEONVEGANO,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#928398263,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Sabor Coco X 500 Gr Nueva Producto! Sin Tacc,https://www.mercadolibre.com.ar/yerba-cachamate-sabor-coco-x-500-gr-nueva-producto-sin-tacc/p/MLA21882465?pdp_filters=category:MLA409408#searchVariation=MLA21882465&position=31&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,2.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360784256,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
