Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Kalena Con Palo 500g Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-kalena-con-palo-500g-sin-tacc/p/MLA20951288?pdp_filters=category:MLA409408#searchVariation=MLA20951288&position=40&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,3.400,DIETETICANUEVAVIDA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1338781204,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cruz De Malta Selección Especial X 500g,https://www.mercadolibre.com.ar/yerba-cruz-de-malta-seleccion-especial-x-500g/p/MLA20887325?pdp_filters=category:MLA409408#searchVariation=MLA20887325&position=39&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,1.997,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1356371654,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Taragui 4flex 1kg,https://www.mercadolibre.com.ar/yerba-mate-taragui-4flex-1kg/p/MLA20008325?pdp_filters=category:MLA409408#searchVariation=MLA20008325&position=41&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,4.739,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1280821248,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate orgánica Pampa 500g pack de 10 unidades,https://www.mercadolibre.com.ar/yerba-mate-organica-pampa-500g-pack-de-10-unidades/p/MLA20008372?pdp_filters=category:MLA409408#searchVariation=MLA20008372&position=42&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,47.493,DIETETICA CALLLAO,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1344822318,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Convencional Tucanguá 2kg suave y natural,https://www.mercadolibre.com.ar/yerba-mate-convencional-tucangua-2kg-suave-y-natural/p/MLA22766461?pdp_filters=category:MLA409408#searchVariation=MLA22766461&position=48&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,10.374,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376609595,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Amanda Tradicional 250 Gramos,https://www.mercadolibre.com.ar/yerba-amanda-tradicional-250-gramos/p/MLA20008380?pdp_filters=category:MLA409408#searchVariation=MLA20008380&position=43&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,1.037,Mayorista Masivos,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1479413708,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Grapia Milenaria Pack 10 X 1 Kg,https://www.mercadolibre.com.ar/yerba-grapia-milenaria-pack-10-x-1-kg/p/MLA22667959?pdp_filters=category:MLA409408#searchVariation=MLA22667959&position=44&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,54.435,Alma Nativa,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1403945934,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Guarana 500 Gramos,https://www.mercadolibre.com.ar/yerba-cbse-guarana-500-gramos/p/MLA19973276?pdp_filters=category:MLA409408#searchVariation=MLA19973276&position=45&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280697611,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Selección Especial Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-mate-seleccion-especial-cruz-de-malta-x-1kg/p/MLA19956984?pdp_filters=category:MLA409408#searchVariation=MLA19956984&position=46&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,4.270,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1283549385,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Barbacuá Bolsón 10kg ,https://www.mercadolibre.com.ar/yerba-mate-kalena-barbacua-bolson-10kg/p/MLA20008467?pdp_filters=category:MLA409408#searchVariation=MLA20008467&position=47&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,59.650,NATURAL MIA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390331604,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Canarias Te Verde Y Jengibre 1kg,https://www.mercadolibre.com.ar/yerba-canarias-te-verde-y-jengibre-1kg/p/MLA20729900?pdp_filters=category:MLA409408#searchVariation=MLA20729900&position=49&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,8.173,TIENDANEXT,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1420193983,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Playadito clasica pon palo 250g sin tacc,https://www.mercadolibre.com.ar/yerba-mate-playadito-clasica-pon-palo-250g-sin-tacc/p/MLA26540594?pdp_filters=category:MLA409408#searchVariation=MLA26540594&position=50&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,1.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1401707163,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia X 2 Kg. - Floresta,https://www.mercadolibre.com.ar/yerba-mate-sol-y-lluvia-x-2-kg-floresta/p/MLA20008484?pdp_filters=category:MLA409408#searchVariation=MLA20008484&position=51&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,9.900,ALMATEOK,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1401130259,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Romance Con Palo X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-romance-con-palo-x-1-kg/p/MLA19957007?pdp_filters=category:MLA409408#searchVariation=MLA19957007&position=52&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,4.290,Mayorista Masivos,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286077216,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Cumbrecita 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-la-cumbrecita-1-kg/p/MLA20084877?pdp_filters=category:MLA409408#searchVariation=MLA20084877&position=53&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,3.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1371809965,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack X 6 Yerba Mate Sol De Acuario Orgánica X 500 Grs ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=mqmC%2BbhK0f%2FZhPkq7SdcIiB47VCtcD2s70swSrnoXHgblEnSf6Gq9cyT2HCT5fBMeS2HlwMMKohUr0B4vpywT%2FXyEkAmUZ4X%2FkH3qlL%2FUI25Q1q5%2BbE7UlfqfMyJOPIt10vSSsscWPxxEsbo3TXide7bOoC07B%2F1QpeMtrXPjdHP1BgZdxTkKnjgj9UwEGdPugU%2BshMh1lqQ8Ou9SsX5bvZTgly%2BnIvR6SMwzeFfaI7xCYs5YV8mGJf9MEWw0%2B%2FHcvwR9MNm%2FpJabG7nOlQSJwYh9DNe5BBCQqtdqijuHRAI23TOBhyj0v9nPHLIuF4EV9Nc1AToVDauRWNfxWjOhvz9ia5%2Fo3hZPTPNKVdAQmtnlClSQev%2FXDrAxDzfTK1N71nEleIz5%2BJCFlnHmiegqTkIdYv9IYO%2Fr1VFb13ZoKsCmHeZRqQ%2BSObaX%2FdRit1nzSlmXR2x2eaptmw6mPP3zsdKkJkYEPRCjyyVd1GJvRZTILp2AulPn91LDJWW9e0Z%2BmFtDxzgsIF1JJ%2B7mQYe3QnuI0CTCra9WkCgw9dtXYhRqG1PwwnxGsWrPS67imN9KmnHXM35ympkWOLYtomrpJASOFvJ0SHKeB%2BG0VAUvEUx7wJP8MyucrTulawOXFCgxy3RnEmKf9%2F6ztJEL5cqGBT8s106DiVrorOZudGgLB2uMDpYlsFgm4Xh56jJMC3FN5AfdGc64yLuv1OH9PkJQ%2Fa8fw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,22.999,LEONVEGANO,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1110951462,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack  4 Paquetes Yerba Kalena X 2 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0egthbzIW2DcG1xSaUr6at8Z9HT869nDDBX5MCEyrqKnfeNbxUDwz8Xkk3gAqLXn%2FCZbaieIZ6Yo7FxeV%2BmXr%2FSTEyN4boLhj2%2BRtd0pPEwDZguWvLw1P0fMTO1XN3GLbiPFu8%2FTA6e5xEc9pKhnUmCTsGPOzDAUnxvIIcvFWDdANckrrDaFvFfXQAnffnUaQrNWMCewnV2FAHuMnDS%2F5FS9IKjj0hWNNdJvi4VeoDJD%2BVLvJ4toMWHDdNA5viVRVxlfOaO9DDhkkE3fndWWIuue10a8znfGh8geoBIHRTOK1rNi1D72evX1nvYm7QnE%2FEkGxdCgmxnMEVzzcg77dVjZWPW6UblyKEMCIORV2%2Bga4fGnJ1PNVfuTK2FJ5Oa1qPhOD1UarkWIqQP2bJI7QjgrSpWiGfEL9%2F%2Ft%2BmPXWl4ZpLHxa17JKKKc3geDysuOPKaO1V48rDDrSdlM7UzSz3y37zmR4%2F2%2BLFqBpxA%2FFYmx%2F3NSXAvHxHcNXC5tpe0gKS7kJLssE5uTSfdLWXUSjPcBYBUDsE2jJSklFWCifJvquSXnTby7refML92C85Sn38Z4x3MKAGesqTT5Y3KrGPY3F0rRBRqoD8UCgGRpAEzKXiH7RVslYnH29q18iLOmIbto0EB5Zl2IiXaWKJIK1FZEkYMbjla93TWVYQEfwv%2BYOYeQbGbkwLawTr3nHJeb&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,56.500,LEONVEGANO,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#841648317,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Barbacuá Picada Vieja 20 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=z3CNUc0XA2m6eMUxo0NFSxXPgKdNMceLkXZq2zyhlic0CkxzbQQI4V3gOXBRMDuFEdKDSd%2FHIIANCxxcWhOdd%2FJspDGETxHZwTVGd30MwJuI8ioBFdFkTz5GR4f%2FtMYabRUr56FUsB21nT704BcZOHfAFN%2BOIk0sfpoj%2BKmyVj0Z3TZB8bzPIk%2FKWv%2FaNAb2YvDNLHlchfHoobi70x2xlqVIFJ2C3CBLuv5X5Iw4gVnuNTBsN2G9H%2BAp%2B2Rw%2BUqrWQ6VA77g9tnyEJgqp2y09T44Zy4g7X2LZa7Ok%2FSU3SX9xq3wPLYYmtvnpoa9FYuh%2Fz3ow0CbBK7ZV8%2F07OyxgToDKGytraLmZrjJGaZC8Sfuy5Qg%2Fd%2BlKcz7DVymtJFDSuJFKoCjYGb9zBcKI35cv5nzXCT1x1COXVzhg51NS84pib5OcpzVomb78LIxKiFwfA%2FyAwapsGGcF%2FNpeILjgDadfOhU7adpx%2FJgO69GHHqdkfDTZddtOXZ0nDfEj%2FVaxWgvwhC7s5bAjXxChRtwPAcnaJdlJgfBGGUWrBaxY9RkU0rxrIoafgeAhO2jKm1WxutfxAJ%2Bha1ZunEKKIENFV%2FCGSJV2SKj5MYNq4nYRev9v%2B2sebU0wR79nimucbpanYrzzlU9%2BYqclo5mIng02Oj2DSf3iiEUxnKJhDmR9y3r9%2BYfIOb%2BRElVT2vDJKQiC4ZNpIp2V2SD&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,55.691,SEMILLA VIVA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1171681729,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Boldo Verdeflor Pack X 500g,https://www.mercadolibre.com.ar/yerba-mate-boldo-verdeflor-pack-x-500g/p/MLA20008631?pdp_filters=category:MLA409408#searchVariation=MLA20008631&position=12&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,1.749,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1278860714,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Buenas y Santas Mediana 1/2 Kg,https://www.mercadolibre.com.ar/yerba-mate-buenas-y-santas-mediana-12-kg/p/MLA24405125?pdp_filters=category:MLA409408#searchVariation=MLA24405125&position=20&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.832,TAP GROCERY,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1538589888,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Grapia Milenaria Pack 10 X 1 Kg,https://www.mercadolibre.com.ar/yerba-grapia-milenaria-pack-10-x-1-kg/p/MLA22667959?pdp_filters=category:MLA409408#searchVariation=MLA22667959&position=7&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,54.435,Alma Nativa,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1403945934,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Adelga Mate C/hierbas Nat. Tradicional De 500 Grs,https://www.mercadolibre.com.ar/yerba-mate-adelga-mate-chierbas-nat-tradicional-de-500-grs/p/MLA19973282?pdp_filters=category:MLA409408#searchVariation=MLA19973282&position=5&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.199,CAPSULANDIA,Nuevo  |  +500 vendidos,(4 disponibles),Nuevo  |  +500 vendidos,No disponible,#1548437440,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Con Palo 500g Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-kalena-con-palo-500g-sin-tacc/p/MLA20951288?pdp_filters=category:MLA409408#searchVariation=MLA20951288&position=13&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,3.400,DIETETICANUEVAVIDA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1338781204,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack 3 X 1 K Yerba Roapipo Orgánica Suave ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=pbsoYMbSeSZgUvU012o8Lp71rbiF9TZO8%2BMpKtTSzfagF0CVpv06mLAExic9z5zNemlkN4fZ%2BT5%2FX2WLeSjMbe5A6xZhDekBVI9vAEiBs0HLGrfjHiqSDjKv%2FSVMvrov6o49TRLFXv2s6igZYIBUdgIbyoZIjVk%2F1%2BMUSwUiu10Aaba%2FvEGfcSyQTLAc6qTM9NGOkrlAt%2Fvl%2BgTTBp4cidgOGkatFJBO%2BkpSnmByoKhKrq2%2Bphy8u0PQsgrq65KCHyp822NozyE4qL%2F8porKFVr7ZmsHFHtKeD6WZLNxMh%2Bl%2FxMGON42E2RIYXroaXrWfyZlJ8jFnHCuH5gIkXigSjW82%2B2Ua%2Bzkxyl2Ut9MR4ffZNirzl%2FEmUXsYNovut4WyTBWshjnLrnISYeVvrgz5EUJ%2B5J6hpmolC4Oqcq8QGQfHwwEKYD0pUgH0%2Fd8Qv7FFZrPgHGgngiNkGikVNg8kg6bVTUm0XDA7HMyzmWfqIglcOt4cYN1iwunFauQ7GHS39N9mosXJEReZKJLqjKsCYxZ8uDJIjHKiMgnvvYkC6UYd9DjqLhl2CtecrAzNOpZAX2cHdNzgHFChq7%2FaAm2IRDb60OSuxMx8ix2NkbeRwH5Hypq9IV1wKZAvLxhIP13OyG9X5uBzrf21B8OOOiLQR69nUVrVPe%2Fzv4p%2F%2FWrJ03h8w%2BZby890ShpAyp4Ga%2Bdy7U%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,20.160,LEONVEGANO,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#933329304,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=CwC2eeAVve%2FbslyeBIliIsHjFfi4NEi%2FDwGql38GPbjGqiIm9sALn3rNjUBlgEU6vw5siRpdXZDRKkyyTqI6EVUdEt3bkSr%2BW7mq%2FPo7uQsY1j%2B3Oijn2SeLKDNXtNlxFZVStGlxKPqNfl15xk3B398xM3ukuJTjrEe4cLG1XMVUYmx9M%2BJlg9Nk%2Bd0JdBgnuFigfWKgEHu46yxiWOgCWkm6DFIJlfbO9PMPaq4dN3glI9OCdptyKKn4%2FTRENAhVB00wZxUek%2Fv7C0CpwDLqmlfMGXqVsNhNtOlSn221FnXNHkU4yXjyZdFY6tSbrkjoIFxkgG2CdITjxpdV1d7fCb9C1W3EZC9QEUWSDpJ9h8Q3B0NF4ewbNYMcNwahZh8Z4amlDOO68%2FFyTL4SV7rwQUP9dYmziXucacy8MBrzhGG5W4pubHdMVA0MdpdqrqRhe%2F7S4%2BIbeR38%2F9TIr%2BBSLGQmj9PuDwE8aKpxtf56z5QhnyYhC3yoro4lb4Ll9yxS%2BLcqt4zTCbilwVcI4OGjkb7uzx%2F6yu2d5CKMLwzOOFoZmW3PAWQ6V%2BITZ62QFsf2%2FVz%2FdAvPMN%2F0f4HRD0EF3HGB9Zk3UklZLoNjGDlSvnSExBpSQ44L9QWtP%2BlwWAew%2B7UeHh8tEOgABBMTZCgDeqmQ8eNY4mFpnSfPcpI5VljCOyWrAX3HlEI%2Br%2B8JANgODkC%2F7adYiCKpRo0ljZFVVSNdCWkvym4%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,57.684,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#926504559,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Con Hierbas Paquete 500 Gr Playadito,https://www.mercadolibre.com.ar/yerba-mate-con-hierbas-paquete-500-gr-playadito/p/MLA21409606?pdp_filters=category:MLA409408#searchVariation=MLA21409606&position=8&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.899,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1370984695,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Tranquera Suave Seleccion Especial 1kg S/ Tacc,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-suave-seleccion-especial-1kg-s-tacc/p/MLA26540592?pdp_filters=category:MLA409408#searchVariation=MLA26540592&position=4&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,3.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856536,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Liebig Original 500g,https://www.mercadolibre.com.ar/yerba-mate-liebig-original-500g/p/MLA20008341?pdp_filters=category:MLA409408#searchVariation=MLA20008341&position=11&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,3.695,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1280709826,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Baldo Uruguaya 1 Kg,https://www.mercadolibre.com.ar/yerba-baldo-uruguaya-1-kg/p/MLA20008483?pdp_filters=category:MLA409408#searchVariation=MLA20008483&position=17&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,11.542,MARTINO MATES,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1724998428,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cachamate Mezcla De Hierbas Con Palo Paquete 500g,https://www.mercadolibre.com.ar/yerba-mate-cachamate-mezcla-de-hierbas-con-palo-paquete-500g/p/MLA21288662?pdp_filters=category:MLA409408#searchVariation=MLA21288662&position=15&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1321600422,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Cbse Yerba Mate Compuesta Sabor Pomelo Con Palo 500 Gr,https://www.mercadolibre.com.ar/cbse-yerba-mate-compuesta-sabor-pomelo-con-palo-500-gr/p/MLA20054981?pdp_filters=category:MLA409408#searchVariation=MLA20054981&position=6&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279488027,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Naranja Mas 500 Grs,https://www.mercadolibre.com.ar/yerba-cbse-naranja-mas-500-grs/p/MLA21239223?pdp_filters=category:MLA409408#searchVariation=MLA21239223&position=22&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381165205,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia X 2 Kg. - Floresta,https://www.mercadolibre.com.ar/yerba-mate-sol-y-lluvia-x-2-kg-floresta/p/MLA20008484?pdp_filters=category:MLA409408#searchVariation=MLA20008484&position=23&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,9.900,ALMATEOK,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1401130259,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Amarilla Con Hierbas 500g Rinde Mas Mates!,https://www.mercadolibre.com.ar/yerba-cachamate-amarilla-con-hierbas-500g-rinde-mas-mates/p/MLA19973299?pdp_filters=category:MLA409408#searchVariation=MLA19973299&position=21&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280659930,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria 1/2 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-12-kg-estacionamiento-natural/p/MLA21361702?pdp_filters=category:MLA409408#searchVariation=MLA21361702&position=16&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.850,Alma Nativa,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1324725367,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba 1 Kg La Hoja Yerbas,https://www.mercadolibre.com.ar/yerba-1-kg-la-hoja-yerbas/p/MLA29423873?pdp_filters=category:MLA409408#searchVariation=MLA29423873&position=19&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.721,ISSELIAN,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1640124100,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Miel 500 Grs,https://www.mercadolibre.com.ar/yerba-cbse-miel-500-grs/p/MLA21239216?pdp_filters=category:MLA409408#searchVariation=MLA21239216&position=14&search_layout=stack&type=product&tracking_id=57b56330-4a05-4056-8e0a-f8d6e44809c1,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1353453401,2024-04-17 17:27:07,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
