Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=11&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.799,CAPSULANDIA,Nuevo  |  +100 vendidos,(28 disponibles),Nuevo  |  +100 vendidos,No disponible,#1389671073,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Frutillas X 500g -envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-500g-envios-a-todo-el-pais/p/MLA26444831?pdp_filters=category:MLA1423#searchVariation=MLA26444831&position=3&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,3.379,TIENDA-EL PORTUGUÉS,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1384746937,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=16&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,11.109,PUNTONUEZ,Nuevo  |  +5mil vendidos,(41 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403855701,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=24&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.180,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(25 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Arrocitas Sin Sal Sesamo Lino 101g S/ Tacc Kosher,https://www.mercadolibre.com.ar/galletitas-arrocitas-sin-sal-sesamo-lino-101g-s-tacc-kosher/p/MLA19733961?pdp_filters=category:MLA1423#searchVariation=MLA19733961&position=18&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.099,CAPSULANDIA,Nuevo  |  +1000 vendidos,(29 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1241405163,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Galletitas,nan
Nesquik Cereales - 400gr,https://www.mercadolibre.com.ar/nesquik-cereales-400gr/p/MLA24244810?pdp_filters=category:MLA1423#searchVariation=MLA24244810&position=26&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,8.557,CPT Oficina,Nuevo  |  +100 vendidos,(27 disponibles),Nuevo  |  +100 vendidos,No disponible,#1640801714,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Girasol Y Arandanos Integra X 10 Unidades,https://www.mercadolibre.com.ar/barra-cereal-girasol-y-arandanos-integra-x-10-unidades/p/MLA21645852?pdp_filters=category:MLA1423#searchVariation=MLA21645852&position=15&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,7.149,Integra,Nuevo  |  +1000 vendidos,(67 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1380274893,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Con Miel X 1kg - A Todo El País,https://www.mercadolibre.com.ar/aritos-con-miel-x-1kg-a-todo-el-pais/p/MLA27047199?pdp_filters=category:MLA1423#searchVariation=MLA27047199&position=17&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,3.990,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399276653,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=19&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,8.908,PUNTONUEZ,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Fibra Total 4 Fibras Granix Trigo Avena Arroz Maiz,https://www.mercadolibre.com.ar/cereal-fibra-total-4-fibras-granix-trigo-avena-arroz-maiz/p/MLA19943734?pdp_filters=category:MLA1423#searchVariation=MLA19943734&position=20&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,2.297,01MERCADO,Nuevo  |  +500 vendidos,(5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1271750839,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barritas Integra almendra y nuez caja con 10 unidades de 42g,https://www.mercadolibre.com.ar/barritas-integra-almendra-y-nuez-caja-con-10-unidades-de-42g/p/MLA21256154?pdp_filters=category:MLA1423#searchVariation=MLA21256154&position=13&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,8.722,LEPOTMARKET,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1317285359,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=23&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,2.526,01MERCADO,Nuevo  |  +1000 vendidos,(9 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Trix cereales 330gr,https://www.mercadolibre.com.ar/trix-cereales-330gr/p/MLA22307876?pdp_filters=category:MLA1423#searchVariation=MLA22307876&position=25&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,6.503,ECOMODICO,Nuevo  |  +100 vendidos,(5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1658566926,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra de cereal Wik Taste sin TACC  sabor quinoa/chocolate 20 g de 20 u,https://www.mercadolibre.com.ar/barra-de-cereal-wik-taste-sin-tacc-sabor-quinoachocolate-20g-de-20u/p/MLA23221511?pdp_filters=category:MLA1423#searchVariation=MLA23221511&position=27&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,11.800,CAPSULANDIA,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1565616118,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Baston De Salvado X 1kg,https://www.mercadolibre.com.ar/baston-de-salvado-x-1kg/p/MLA26209010?pdp_filters=category:MLA1423#searchVariation=MLA26209010&position=33&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,4.025,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(17 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383969061,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Hogareñas Mix Cereales Tripack Mediano,https://www.mercadolibre.com.ar/galletitas-hogarenas-mix-cereales-tripack-mediano/p/MLA20941266?pdp_filters=category:MLA1423#searchVariation=MLA20941266&position=36&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,2.389,TAP GROCERY,Nuevo  |  +1000 vendidos,(34 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297602625,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Rellenas Chocolate X 500 Gr - Env A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-500-gr-env-a-todo-el-pais/p/MLA26913450?pdp_filters=category:MLA1423#searchVariation=MLA26913450&position=29&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,3.601,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,(10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1505088868,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra De Avena Banana Integra 40 Gr Caja X 10 Unidades,https://www.mercadolibre.com.ar/barra-de-avena-banana-integra-40-gr-caja-x-10-unidades/p/MLA28082296?pdp_filters=category:MLA1423#searchVariation=MLA28082296&position=31&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,9.623,GREENANDML,Nuevo  |  +100 vendidos,(11 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395575395,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutales Granix Cereal Bajo En Sodio,https://www.mercadolibre.com.ar/aritos-frutales-granix-cereal-bajo-en-sodio/p/MLA25677571?pdp_filters=category:MLA1423#searchVariation=MLA25677571&position=21&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.846,BELGROUP,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1674786456,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bagley Galletitas De Salvado Original 3 Paquetes 507 Grs,https://www.mercadolibre.com.ar/bagley-galletitas-de-salvado-original-3-paquetes-507-grs/p/MLA20002762?pdp_filters=category:MLA1423#searchVariation=MLA20002762&position=28&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,2.387,TAP GROCERY,Nuevo  |  +1000 vendidos,(92 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1291372752,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Galletitas,nan
Copos de maíz 3kg Granix,https://www.mercadolibre.com.ar/copos-de-maiz-3kg-granix/p/MLA20723711?pdp_filters=category:MLA1423#searchVariation=MLA20723711&position=30&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,9.999,TIENDA CANELA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362785065,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
20 Barras Wik Taste Quinoa Y Chocolate Kosher Vegan Sin Tacc,https://www.mercadolibre.com.ar/20-barras-wik-taste-quinoa-y-chocolate-kosher-vegan-sin-tacc/p/MLA21972238?pdp_filters=category:MLA1423#searchVariation=MLA21972238&position=32&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,11.466,DIETETICANUEVAVIDA,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1361993239,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Zucaritas Copos de maíz Azucarados Grande,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-grande/p/MLA20024005?pdp_filters=category:MLA1423#searchVariation=MLA20024005&position=22&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,3.360,AEH MALL,Nuevo  |  +1000 vendidos,(18 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1610186184,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Sabor Chocolate Zucaritas Kelloggs 240g,https://www.mercadolibre.com.ar/cereal-sabor-chocolate-zucaritas-kelloggs-240g/p/MLA28055227?pdp_filters=category:MLA1423#searchVariation=MLA28055227&position=46&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.476,AEH MALL,Nuevo  |  +100 vendidos,(18 disponibles),Nuevo  |  +100 vendidos,No disponible,#1398695853,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Granola De Avena Y 4 Nueces X 1kg,https://www.mercadolibre.com.ar/granola-de-avena-y-4-nueces-x-1kg/p/MLA26329385?pdp_filters=category:MLA1423#searchVariation=MLA26329385&position=49&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,5.235,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(6 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480313010,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Granola
Cereales Quaker Honey Nut Oats X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-nut-oats-x-190-gr-desayuno-merienda/p/MLA19957869?pdp_filters=category:MLA1423#searchVariation=MLA19957869&position=37&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,5.832,TIENDA DINAMICA FULL,Nuevo  |  +1000 vendidos,(9 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1421602090,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Caju Y Arandanos Integra X 10 Unidades,https://www.mercadolibre.com.ar/barra-cereal-caju-y-arandanos-integra-x-10-unidades/p/MLA34021088?pdp_filters=category:MLA1423#searchVariation=MLA34021088&position=48&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,8.490,Integra,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1332893241,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=50&search_layout=stack&type=item&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,599,VÍVET MARKET,Nuevo  |  +10mil vendidos,(74 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1141531811,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=47&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,8.699,LEPOTMARKET,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1338143041,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Skarchitos Copos De Maiz Azucarados Cereal Granix ,https://www.mercadolibre.com.ar/skarchitos-copos-de-maiz-azucarados-cereal-granix/p/MLA21234058?pdp_filters=category:MLA1423#searchVariation=MLA21234058&position=45&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,2.460,01MERCADO,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1316686036,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Con Marroc Feeling Felfort Caja Por 30 Unidades,https://www.mercadolibre.com.ar/cereal-con-marroc-feeling-felfort-caja-por-30-unidades/p/MLA19974685?pdp_filters=category:MLA1423#searchVariation=MLA19974685&position=38&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,15.299,UPSTORE RAMOS,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1453146302,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Almohaditas Rellenas De Frutilla Lasfor 200 Gr Lasfor Almohaditas Rellenas - Frutilla - 200 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-frutilla-lasfor-200-gr-lasfor-almohaditas-rellenas-frutilla-200-g-unidad-1-bolsa/p/MLA21960343?pdp_filters=category:MLA1423#searchVariation=MLA21960343&position=41&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.499,BLIP,Nuevo  |  +500 vendidos,(53 disponibles),Nuevo  |  +500 vendidos,No disponible,#1391723986,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas Redondas C/sal De Arroz Integral Sin Tacc X1u 100g,https://www.mercadolibre.com.ar/galletas-redondas-csal-de-arroz-integral-sin-tacc-x1u-100g/p/MLA28863428?pdp_filters=category:MLA1423#searchVariation=MLA28863428&position=35&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,975,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(110 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600427732,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Galletitas,nan
cereales Copos De Maíz Azucarados 3 Arroyos X 4 Kg,https://www.mercadolibre.com.ar/cereales-copos-de-maiz-azucarados-3-arroyos-x-4-kg/p/MLA28863363?pdp_filters=category:MLA1423#searchVariation=MLA28863363&position=40&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,11.744,ALIMENTOS FUENTES,Nuevo  |  +100 vendidos,(10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1602851766,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bocaditos Cereal Granix Avena Y Trigo Relleno Crema De Mani,https://www.mercadolibre.com.ar/bocaditos-cereal-granix-avena-y-trigo-relleno-crema-de-mani/p/MLA26444846?pdp_filters=category:MLA1423#searchVariation=MLA26444846&position=44&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,2.528,01MERCADO,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1384710607,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Arrocitas Con Sal Sesamo Lino 101g S/ Tacc Kosher,https://www.mercadolibre.com.ar/galletitas-arrocitas-con-sal-sesamo-lino-101g-s-tacc-kosher/p/MLA19849730?pdp_filters=category:MLA1423#searchVariation=MLA19849730&position=34&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(46 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1261564752,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Galletitas,nan
Bolitas Chocolatadas Lasfor Bolsa 180 Gr,https://www.mercadolibre.com.ar/bolitas-chocolatadas-lasfor-bolsa-180-gr/p/MLA27462230?pdp_filters=category:MLA1423#searchVariation=MLA27462230&position=39&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,972,BLIP,Nuevo  |  +100 vendidos,(12 disponibles),Nuevo  |  +100 vendidos,No disponible,#1528955362,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=42&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,1.122,AEH MALL,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1718286670,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas De Limon Snuks 240 G Sin Tacc Snucks Almohaditas - Limón - Unidad - 1 - Caja,https://www.mercadolibre.com.ar/almohaditas-de-limon-snuks-240-g-sin-tacc-snucks-almohaditas-limon-unidad-1-caja/p/MLA23486433?pdp_filters=category:MLA1423#searchVariation=MLA23486433&position=43&search_layout=stack&type=product&tracking_id=21628cd7-c2f0-4902-8af6-c268099158c9,2.565,BLIP,Nuevo  |  +100 vendidos,(21 disponibles),Nuevo  |  +100 vendidos,No disponible,#1430271818,2024-03-27 15:41:39,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
