Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
 Bonafide cafe tostado en grano expresso 1kg,https://www.mercadolibre.com.ar/bonafide-cafe-tostado-en-grano-expresso-1kg/p/MLA19979571#searchVariation=MLA19979571&position=37&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,30.000,No disponible,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Dolce Gusto Cortado Espresso Nescafe 16 Capsulas,https://www.mercadolibre.com.ar/dolce-gusto-cortado-espresso-nescafe-16-capsulas/p/MLA19629590#searchVariation=MLA19629590&position=39&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,14.999,No disponible,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1423675031,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
Café Lavazza - Crema E Aroma Italia En Grano X 1 Kg,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-italia-en-grano-x-1-kg/p/MLA20026299#searchVariation=MLA20026299&position=21&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,52.000,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1337728993,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafe Cappuccino Tradicional La Virginia Repuesto X 125 Gr,https://www.mercadolibre.com.ar/cafe-cappuccino-tradicional-la-virginia-repuesto-x-125-gr/p/MLA19640009#searchVariation=MLA19640009&position=31&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,2.469,No disponible,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1186155476,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595#searchVariation=MLA19937595&position=34&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,6.001,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295581556,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Batidor Electrico Leche Cafe Espuma Tragos Crema A Pilas Color vario Frecuencia 1,https://www.mercadolibre.com.ar/batidor-electrico-leche-cafe-espuma-tragos-crema-a-pilas-color-vario-frecuencia-1/p/MLA21241498#searchVariation=MLA21241498&position=35&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,2.590,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600308562,2024-06-04 17:07:30,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Batidoras,nan
Cafe Torrado Molido La Planta De Cafe Cabrales 1000g 1kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-la-planta-de-cafe-cabrales-1000g-1kg/p/MLA19966384#searchVariation=MLA19966384&position=27&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,12.490,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1397149919,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafetera Aluminio Hudson Negra 9 Tazas Cafe Full Black,https://www.mercadolibre.com.ar/cafetera-aluminio-hudson-negra-9-tazas-cafe-full-black/p/MLA29328887#searchVariation=MLA29328887&position=40&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,50.517,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1423040327,2024-06-04 17:07:30,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan,nan
Cafe Martinez tostado molido Brasil 250g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-tostado-molido-brasil-250g-sin-azucar-agregada/p/MLA20026339#searchVariation=MLA20026339&position=43&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,8.910,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282331780,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Combo Café Molido Tostado Suave 1933 260gr X4,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-suave-1933-260gr-x4/p/MLA28576569#searchVariation=MLA28576569&position=45&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,29.704,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1397615721,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-170-gr/p/MLA25685697#searchVariation=MLA25685697&position=36&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,7.318,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1415400439,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Nescafé Gold Tostado Molido Intenso 250g,https://www.mercadolibre.com.ar/cafe-nescafe-gold-tostado-molido-intenso-250g/p/MLA24047577#searchVariation=MLA24047577&position=41&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,12.731,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1581910040,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Jarra Pava Eléctrica Mega Express Me-621 Cl Corte Mate Café Color Plateado,https://www.mercadolibre.com.ar/jarra-pava-electrica-mega-express-me-621-cl-corte-mate-cafe-color-plateado/p/MLA13516750#searchVariation=MLA13516750&position=44&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,21.749,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1423612286,2024-06-04 17:07:30,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Jarras Eléctricas,nan,nan
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219#searchVariation=MLA20026219&position=38&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,10.890,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Infusor De Te En Hebras Con Cadena Bola Acero Inoxidable Color Gris,https://www.mercadolibre.com.ar/infusor-de-te-en-hebras-con-cadena-bola-acero-inoxidable-color-gris/p/MLA26802897#searchVariation=MLA26802897&position=49&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,1.721,No disponible,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1415508437,2024-06-04 17:07:30,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Infusores de Te,nan,nan
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=53&search_layout=stack&type=item&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,11.561,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1625147448,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe Super Cabrales
Cafe Martinez molido tostado Moka frutado 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-250g/p/MLA20026232#searchVariation=MLA20026232&position=51&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,9.393,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339318226,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
"Nescafé Tradición X 1 Kg, Nestlé Profesional, Expendedora",https://articulo.mercadolibre.com.ar/MLA-924299946-nescafe-tradicion-x-1-kg-nestle-profesional-expendedora-_JM#position=54&search_layout=stack&type=item&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,32.500,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#924299946,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Bonaf Fundador Tostado Pack 1 Kilos,https://www.mercadolibre.com.ar/cafe-bonaf-fundador-tostado-pack-1-kilos/p/MLA27764820#searchVariation=MLA27764820&position=46&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,26.095,No disponible,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1552531646,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Nescafe dolce gusto caja x 16 capsulas cafe au lait,https://www.mercadolibre.com.ar/nescafe-dolce-gusto-caja-x-16-capsulas-cafe-au-lait/p/MLA16167744#searchVariation=MLA16167744&position=42&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,17.004,No disponible,Nuevo  |  +250mil vendidos,(5 disponibles),Nuevo  |  +250mil vendidos,No disponible,#1669792172,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208#searchVariation=MLA22609208&position=47&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,37.890,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Café Molido Lavazza Crema E Gusto Classico 250 G.  ,https://www.mercadolibre.com.ar/cafe-molido-lavazza-crema-e-gusto-classico-250-g/p/MLA19979579#searchVariation=MLA19979579&position=48&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,14.311,No disponible,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1787040860,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafetera De Filtro Sikla Cb-07 - 7lts./50 Pocillos Color Negro,https://www.mercadolibre.com.ar/cafetera-de-filtro-sikla-cb-07-7lts50-pocillos-color-negro/p/MLA20727039#searchVariation=MLA20727039&position=50&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,110.440,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1527032424,2024-06-04 17:07:30,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan,nan
Pack De Café 4 Variedades X 250gr- Brasil - Colombia Xrl,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=iWuA9BjFHGY%2FR8NN89Ip%2FyTO%2FEz2Ybs3O62b6Q7smzbGb2sbTqvYkkD7gofQqiHUPoMfvC9n%2B8kRwfoJOW30IOfrYnQ%2F3ZpAWTvcfWAJNGzffhi%2FrQT50MtRqN1kNSR5Bh7GVFBXG7E9GZZVga1O3SQTYIWddI89MAJb1waAz9Dl8o4VeG9KLOBWnEo5C7UdmifhMhpNizyQGmqqzn3bvnyQX1CO5dHMRJh7l6Inf0NBeyMUC2vOP0zwK%2FfHX31YahMN0dHHii5wTI0%2FKgviNvnFA5xL7coOXxwrVcA5oC7cihWgkUNLwPgDBcQ3gC8T3A0SZm6hFOPZQ1uEfVDoKMX1q2RmSXh7xTYtu4a2uJAilC%2FqyUR6O7kksDSUe9et0BojvpoQMqNS8tMeCinwQEthbn8UP8jpRCSAW%2BiokAUOZSQtB929SzUOm1J8EZg9W0Fap2iGDVY9ZRc%2FQxPL4VcgE%2BPefRYio%2Fvhtm%2Bl4306Xq1OVNi0ZeKHjEPr7Q5M4tdNoK61LevV8xjynh34zHuw1GGzQXYe3wIsS3jfrZOraO%2FLXKMa9bFJjy3X9CAz9iPGDXV0h8gHEbZbQ9%2Btta4C8WfskCAdLtl%2FaFnpRcGkeBh4iAveERdekpfre8d3Hhm78XZHgIEVtqB2OWa0T6wFeau1HtR3tgBfbWBZhM5JMEOaiWhMzJjtnqVIV8nq7oZxzObCPuN7sKx%2FNVNdFcw%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,39.700,No disponible,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1550312474,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe 5 Hispanos
Café 100% Colombiano Bonafide Tostado Superior Pack 2kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=y980Nhd0KPXDMU1lRp%2BvgnUuXg4FxhXclIxGdoe7qWQqW7MfJ0vv1ECN%2BKD9DUKLwJ8Fh9L1H86qXdG2gcd16eoIJpWUAovBt1r0E%2Fp%2Bpc%2Fwyr3oywsXBm20Jbs3W0m9qtM5BJk%2BFNM50efHNwTY32NnLFbwUSZMOtaXSeUaisFcbPxkaMfDBhvl6q03QXeYvXj7aBejQ9QgZ4%2BxMicq47NS2xLaRh1ZzDcayaY9GmpBikpOSWvC%2BP1GGXHbi8iDOUC4nqmzNjPvFoG8z8tqdfsKgD1jc0g8VMxGm8MiT9JO4QxHuA6sE41veTVCrmwOLxSKU0dERGgNy%2BPRvMiIR65%2B0NT86y9HmQgWMUgUaSNCOi%2F%2FQDp5zyKtshfw5T8otVWMimgK2IiidoKmupbEtdRrQo33P2GdPVXJDqkYBnuepfAAaVSErzoJSfiasbzwcwjyd%2FQuAYthnp5Y4VsJL7QHIiiYRSuhLmoTNUOpxPn3VmK7qn7tBL3CmtUC3X%2FLUTrhjiYE6mKt%2FhdIx5vSIaGqScrP5J679iG9qpegYZt%2FVPAzOQeKfzrDyK59%2F4yltWOnNEG5DdVrodII8McygxsOEfZ%2FrfhE8WSgV%2BRb0CptZTiX24JYXW%2BN0Xqf3%2BOdzgk89Ki9TO05Pgsmucw%2Fk4xx7yb4LOZitHaKe5YIbfiIAFLvEbGmHe3%2FLE4IgtzvxNe1LreXx%2BXSFs6SM6%2BHdrI3%2BTL7ABne&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,82.000,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1148710713,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,1 Kilo Cafe Tostado
Cafe Cabrales Molido Super 500gr Pack X2u. - Tienda Deli,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SQB98sllVPINIZR%2BEhOkjPI62i0TK4PG0zAoLICJFMtDPs0kh74tUoqVfcd%2FkM9NbmGz%2FIh1bqW2BJ0rXygbybNTh7jSXasz5x3onAnIhPynMXO9Wx0CW0xQQQVyj%2BVelUU635MW5NwK2aHrh36%2FhWRHQz0k%2FECqR2malE%2B9wdp9gjcct2HxEz3%2Bd4e%2B3tZfl5fAOGaIMOGOdATxIu7fZ%2FIgnUwfcR3Sa1KoaMs76X3jwuI3lTmXFKHnl8h9wdvEFUsLBpS8YU95uW9VyL0Ehw%2Fy7V7L%2FeAW4ZdjUTgYgFYEQkGMwCbh6eB%2BFYgCsTiZdTnj9cDbiypNwkTNOT8v%2BSadEKXj0BMo701pZSQlR81frydKY6k7t33QRoCkzSv7mFTKVxofvo69JDqbort7HveNfYIByutifMk%2B5A5X%2FS9sjftNJnJMzATjtkHeFBdCSuGj0Q91lw9eimIjKsat54FMw3jQor9dA0QJAtePWN70i5GRjt7Y8I3EeOgGWYg%2BrvFMY63OO25pc0RvMCTt%2BL8MLtBB9HrN%2FTMM8J9k6U%2FK7dcvblssqUeT%2FpK%2FkvjZJDHRIlEgE3KeoGQsEZes4cFSJ9J%2BonAxu0GjeIXfLT7mYQqc1Hy1ytWQmXkzuazr%2BmrMG%2Fn6p7TszqMMHtfz%2FyVMRbrVVV4fvGF6UZpRDIx0SLV%2BoX%2BfxFVl2fuu86NauWYWP9SjPk9H8ZA5uA1gwqCG&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.930,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1424619380,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Difusor Saphirus Con Varillas Aromatizador De Ambiente,https://articulo.mercadolibre.com.ar/MLA-1395841479-difusor-saphirus-con-varillas-aromatizador-de-ambiente-_JM#position=45&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,3.870,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1395841479,2024-06-04 17:08:19,Industrias y Oficinas,Seguridad Laboral,Limpieza y Sanitización,Aromatizadores y Purificadores,Aromatizador Saphirus,nan
Venta Mayorista: Café Super Cabrales Molido Tostado 6 X 500g,https://www.mercadolibre.com.ar/venta-mayorista-cafe-super-cabrales-molido-tostado-6-x-500g/p/MLA21234656#searchVariation=MLA21234656&position=6&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,66.849,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1698172198,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Taza Cafe Rigolleau Amanecer 370ml X 6,https://www.mercadolibre.com.ar/taza-cafe-rigolleau-amanecer-370ml-x-6/p/MLA24297036#searchVariation=MLA24297036&position=12&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,7.198,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1446302812,2024-06-04 17:08:19,"Hogar, Muebles y Jardín",Bazar y Cocina,Vajilla y Artículos de Servir,Vajilla,Tazas,nan
Cafe Brasil Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-brasil-tostado-molido-cabrales-500-gr/p/MLA20604826#searchVariation=MLA20604826&position=17&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,15.979,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1731389302,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Nescafé Dolca Torrados 170gr Nestlé Oficial,https://www.mercadolibre.com.ar/nescafe-dolca-torrados-170gr-nestle-oficial/p/MLA24207287#searchVariation=MLA24207287&position=25&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,5.685,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376803865,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Pack De Café 4 Unidades  X 250gr- Brasil - Colombia B2,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Ro0vr%2Fne03YdxdbeBtsNk8OpKMwjstwt4MjxROhLDc6B0ij3bba7xb%2Bf%2FLcpW7zqLxbgRePwJuc%2FtsYPXKkTyBU1%2F60OVs9ZVzlU8xosBH8T0n26k0hoI6e2kY6OGrchMaW5xkOElvyBMfLSlvxbBZ0zxfzR%2FWt7wVG8RpAjvdPWMSp4qfxBI3%2FQv2o5jnVbbwmWWcYztCDeemmVeEyrDBUrtFTbV%2FNDl7Ji8rsQv4SV%2BnpJYtPd4V28vuiOtZ56KiNKWRE55sr7LS5xYYiLxtIxL4RmCIqJBhRt1z%2BuUBcGc49ZQubcX0uNWHAmcastLOwGDPF8O3JRoLnRyOyJeExDYvnTSWYJRSDDfC4sBzL1ExMKaLTUpTGycLBPvmr3%2FG5eZszOzZbNx3lJU02IbvVaCb3xZcOCrhz1OM7oWBstHzcDd12r%2FXh4qu1I%2FfvaaXnhNKTbNy4zgUk%2Bk5d2PQFpahnOw%2F5yOwktGOpzkpw1GRwoOb7%2BNC7rWfK4%2BuYbSvAGm8IDv90UMictGAmWjakgKqpTj1LE9AwUD%2FFADjQ9ezcD5VwdMNCBXOIdpntaKHSJroLq%2BoLdCcH9GPmstcVXslmlMmoDzACTN99Rk9YoAy6gDu0u03FILYoMIa1jTNYejoBSA30Ets%2Fkp3lBWCbaDQ2vjsG2WraZq%2B8josBfogdlWPThg44uycdr%2FOUf6%2Fw1wxGwn7wRNGS2C5pK&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,39.700,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1470366492,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Difusor Saphirus Con Varillas Aromatizador De Ambiente,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=KCYJCxgibMzhRhAcQ7bssRfB0X1pOO1%2B5ngkrzBY5WGkgt%2BymGIOKz%2BHKOfRb3ecWeu2sE9SFxsKnn89%2BXuxCkWUHUx9CAe%2Bc%2BpU18ETDjEmj5kNrFgcADMVL0IKFHBZZzZW64tIUd8%2F8bpemqrVElepa6tKomr44F%2BadNNTpCwtKGd2a6AF4W99Nqsbvp%2BJF2uM14X75imIPkkAAn8THf9%2FaheJf1yE%2BpRLC8k1gz4m5pW9soGkR3%2BRN7ocI6rGnQ7JkGIhmyft7IvLqy1RHCQTdfEcV9IHLntA%2BXh8ZiDEqUmhhN7KIEd9xGbXVMJ%2F9DZKdZoR6%2B9tepi3T2QSRmQL9kT0nCHrxEye%2BxGkPHJPB4CkJt1%2Bl24%2BwHRBUjQ0IO%2FBpRMRjS7Y9vqT71e4D9WyIlS5CeU%2BtOshKkh4el4QrB40j1SdLkdvuqJCXUjxUze5AYIRTN%2BueWcd4LzEHFT8MUOxT66%2Bv8nq1hynTPO5m%2BF4p6Mkjrs2mj4m7LalF25ZzGA3yW%2FKblZwFKDXUIX24vodadrIVtHGA6nbzjo%2B6o0mOGoQIFJsKdTnPKoJ%2FE6g%2Bkp733ap%2FF9F2swQmh7jREJgWZKKueymkDwV8%2Bh4V%2FoPXrDD68jTLZltCI7nmY%2FIDk6DCuJRmK0psz3WTtjCJWxerCHFjN2L5ZVB2y63ueJD%2FWyPxskRJukreQnwWbchJv1m3%2FA0ZpzkpsxKg6OVVA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,3.870,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1395841479,2024-06-04 17:08:19,Industrias y Oficinas,Seguridad Laboral,Limpieza y Sanitización,Aromatizadores y Purificadores,Aromatizador Saphirus,nan
Café Molido Colombia  250grs.,https://www.mercadolibre.com.ar/cafe-molido-colombia-250grs/p/MLA20026271#searchVariation=MLA20026271&position=15&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,15.255,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293239410,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Capsulas Nespresso Recargables Ecologicas X 12 - Caffettino ,https://www.mercadolibre.com.ar/capsulas-nespresso-recargables-ecologicas-x-12-caffettino/p/MLA19815010#searchVariation=MLA19815010&position=16&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,24.800,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1262820502,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
Cafe Torrado Molido Suave Sensaciones Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-suave-sensaciones-bonafide-x-1-kg/p/MLA19944501#searchVariation=MLA19944501&position=4&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,13.067,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1733558862,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
La Virginia Espresso Cafe Tostado Molido X 500 Gr,https://articulo.mercadolibre.com.ar/MLA-1112397739-la-virginia-espresso-cafe-tostado-molido-x-500-gr-_JM#position=46&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,9.772,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1112397739,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafe Instantáneo Liofilizado Clásico Juan Valdez Frasco 95gr,https://www.mercadolibre.com.ar/cafe-instantaneo-liofilizado-clasico-juan-valdez-frasco-95gr/p/MLA25822977#searchVariation=MLA25822977&position=7&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,36.773,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381907757,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
