Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Cafe Nescafe black roast instantaneo 110g sin azucar- sin Tacc,https://www.mercadolibre.com.ar/cafe-nescafe-black-roast-instantaneo-110g-sin-azucar-sin-tacc/p/MLA19738172#searchVariation=MLA19738172&position=8&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,5.574,No disponible,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1242349100,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424#searchVariation=MLA20732424&position=16&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,8.583,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1705279530,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Molinillo De Cafe Ultracomb Mo8100a 120w Acero Inoxidable Color Gris,https://www.mercadolibre.com.ar/molinillo-de-cafe-ultracomb-mo8100a-120w-acero-inoxidable-color-gris/p/MLA20008383#searchVariation=MLA20008383&position=22&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,30.599,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1278010355,2024-06-04 17:07:30,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan,nan
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508#searchVariation=MLA19944508&position=2&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,8.088,No disponible,Nuevo  |  +10mil vendidos,(+5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1684570418,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cápsulas Nescafé Dolce Gusto Lungo,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-lungo/p/MLA16167699#searchVariation=MLA16167699&position=7&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,11.349,No disponible,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#916562233,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
Montibello brasil expresso café en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-brasil-expresso-cafe-en-grano-tostado-1kg/p/MLA24443061#searchVariation=MLA24443061&position=12&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,35.096,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1760030290,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Mate Pampa Xl Boca Juniors + Bombilla Térmico Xeneize Cabj Color Azul,https://www.mercadolibre.com.ar/mate-pampa-xl-boca-juniors-bombilla-termico-xeneize-cabj-color-azul/p/MLA29500138#searchVariation=MLA29500138&position=4&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,34.800,No disponible,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402975247,2024-06-04 17:07:30,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates,nan
Cafe Cabrales Molido Super 500gr Pack X2u. - Tienda Deli,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=m7vxkrtEFG8d%2BTx543OX6bkiBEpfqQaPLBKZK6EQY%2FATDMyBKyKpRpfJFAUyDunE9kOdQwsK8XdpGysBCN4VOp2uyeQSNj3uRrtW4N48wzWRzbGHePaJjIxxbnTQNUQ1v6tKdKjNFkxBQ8QiyUEqnpsuECIuPYJ9rpmZDWROt%2Bmt%2B%2BRS7U407qjzEYAeIwwr0YxwPvpL6QpH7WPyxl10j9oL7U4YaqTKMfbtm9oLCW85zAAw7Oi4eOtJFj0rx%2BvBE3puyvGJZGRf%2FU2yqqTqiZYpTTABbAczQEngRlYUJAibAakHSTbea7oI3jL%2BWBsCBkt3DMv8uZa6tIyFTyzomEQejdaVAHtmKNfirBMk8Fo9%2Fb5m6d%2BYbiLtQTx5WT5xPy9V8k82inu%2BzmtVIwG%2FJPOgVAkd7e9ZjzYkz6PbSmnlps%2FLdOBQd5vG6Jb6zv6gCqd07v5xIEhEI7FaW%2FljSgvqfdgZo1sbgJugsOVVZuQ%2Fwfm%2BUsEmiXX21A1jvJdA5dox%2BMO9F%2F98f8FAMIdcDXSZ3nHPjWOnye8J%2FHTeX%2Fp7UzQHfVgorZtYA%2BZMJoECHc%2BsTxC4J3JdHceCKcl5YxUJx52Am35xPyAQF9CHMNa5lJfCO63dAmfJoXVQIJ8%2By%2B9bvj1tYU3QHvgetaWVy7IxlgmoRYKDquUB%2BYSTiEbKs8bDlcpaUw7o%2FlQktt8KT0YeASqTveIreaN7D%2BqFBi8o&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.930,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1424619380,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Pack De Café 4 Unidades  X 250gr- Brasil - Colombia B2,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=GpPaZqwX1r6cg5flSh5vn%2F3IaxRtpezbbAwKsOw1o%2B6wkwu8F8s%2B1oLRR0qtolcyQPGvw1QnVM6BeETLBFktRxAHMdfhP3vmxXLkhLWUezZVxbuCMIx0LxQEKjuxPgouSVwjj91THA9o33hl72OoLgb3DosV4DaHAM82z%2FoXhUGQXDz3GWoaIP4r0fcSzuEz6Op8mWaU2lc2QQHdiTYmzVDtK%2BJFaysvLO8SZ19yF99ZATOsyxX1mqifQUsluu6Oom%2Bhv1gBo5V0jPPuoN%2F4oQwn79WaL51QoxJL%2FRS3aLx0hrQKm7MGv6WCtd3LkGZUN1P3zzX269aEg%2FKQ%2FKxRRi4s4UjgbnSJvQ1w7hEmKVfd%2FiZA7zB8bUIAEzcrDcB51DfFtrTK7wLCdb7U6qd0NnT0RAOsqTw6crtYvtbZ%2F%2FD648tiuRQiSZoVXtxkgc0breNAjke7v5MOevhES5EV1zVxzFo2zeTr1DKQ1tzQi2UTVFY2ap6TS041OQ24dA7fFC1%2FBU5JLQDy%2Fh3zMXwKfTyPXE73Kzl%2FBKoXEEaQcaZ2C4Ff4lTU1SsigkInIRuYEEbF%2F4yx4c3CoM%2FkAm2Is8IqkJoZnFmKPKp%2BiTXyIwN25mCAd41haHpmhOe0X%2Fc8eIizmm%2BEpZ0Bnex3WWOCgDixNMT%2FG%2F3WkKe07enyuqkUcgvYskQ7ELGOXMZNEmGgyeg5svTDWGGLikLTtS4y&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,39.700,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1470366492,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507#searchVariation=MLA19944507&position=18&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,13.990,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
