Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Café Soluble Tradición 100% Cafe Nescafe X 1 Kg,https://www.mercadolibre.com.ar/cafe-soluble-tradicion-100-cafe-nescafe-x-1-kg/p/MLA19791745?pdp_filters=category:MLA409407#searchVariation=MLA19791745&position=7&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,39.999,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1468554650,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887?pdp_filters=category:MLA409407#searchVariation=MLA20025887&position=12&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,6.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(345 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1373157568,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505?pdp_filters=category:MLA409407#searchVariation=MLA19944505&position=17&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,12.786,SUPLEMENTOS NORTE,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1684614752,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595?pdp_filters=category:MLA409407#searchVariation=MLA19937595&position=2&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,6.668,ECOMODICO,Nuevo  |  +5mil vendidos,(641 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295581556,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
! Cafe Instantaneo Segafredo Preferito 100g Sin Azucar,https://www.mercadolibre.com.ar/-cafe-instantaneo-segafredo-preferito-100g-sin-azucar/p/MLA20713491?pdp_filters=category:MLA409407#searchVariation=MLA20713491&position=15&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,8.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +1000 vendidos,(65 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1365581849,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728?pdp_filters=category:MLA409407#searchVariation=MLA21766728&position=14&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,7.790,Cafe Martinez,Nuevo  |  +1000 vendidos,(168 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Gold Tostado Molido Equilibrado 250gr,https://www.mercadolibre.com.ar/nescafe-gold-tostado-molido-equilibrado-250gr/p/MLA20026486?pdp_filters=category:MLA409407#searchVariation=MLA20026486&position=22&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,12.078,Nestlé,Nuevo  |  +5mil vendidos,(396 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581846370,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587?pdp_filters=category:MLA409407#searchVariation=MLA19937587&position=6&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,10.600,TIENDAPEPINO,Nuevo  |  +5mil vendidos,(32 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1315756963,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Italiano Luggiani Rosso - 2 Kilos ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=f75yBsNhTkURJKdz8GBxfLsZ9xaSdJCJug6INautfBa%2FVGXZiEDRDoQQ4J1M4jvJqtjEbGVOU7gPB8vuHNn0%2BjK4pk%2BO0KlxfrMrKoMtIJX5KOi9T4qHNKUUjszK6nSjG%2BdGcaFR2eyN4KGP7sZxNOUDRQPboNINZ2F15PpmqRpZP9Vt67MhykkZ5sw%2FArU3RQzJ0vl7hrPe%2BUT9o4%2FL2lIekQYV2BwIIeCWHwJbUhBcVpIsy0SeLe9xWO6Fd4Ke5uWVRmXhulMQB%2FURZIVlu4F7frw9TgbTXeVeRhaVb%2FkaK11ojsLjxpGJxYll14FHGpICkgJqY9EcnSN5uOIbk8TKBXbhkUjVHiLS4iLZ7b2FUuZ7a0awnP0GVXVgH2GC6%2FxpluvFyXIN8j99YFKId32amJTj1h7U0CWUG0pSINHJ9vHvm7jhBiimy0OtBCKZJX0tLXoKbUj4LYzTgj9ReL9ZIaML07mrciDXbo3n6fhZGloTKT08qGrtb5nXDVvjlIUi7G0bh6cnf6xqnk%2FVl7XMLmHqw59Bspi4yPaxEdRmJ67HLOxGn1hGU2pqMPL80qLaAc2%2F28r06D0BVFbnCD%2FknBHSQrsFVvKZjin3w0y6XRyvO%2BykotoKJuOs%2FdrIgKn8S3GxtBtvq5JzlpE6UfL8XuXU1n2uWeK%2BSd%2FhwwZ08OjbqY%2BToC012eTLQTTEBLySx6G3LvQ6&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,68.048,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(933 disponibles),Nuevo  |  +100 vendidos,No disponible,#867612399,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Italiano Luggiani Bianco + Luggiani Rosso -2kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=2AKVWySCYmZWUZExvkWXnMlwlMhZTlC%2BcUWr8btdpPHBW7kQTiF%2B0MIU3IGnFlojVaz0GhDszrV2xVHuKEvJDInJxEUNNEs9gHQEQB0Jecfj09Y05LcQ2O8bZ7RUX46j2ehbZbqwl%2F65Tz2HAGNGwoGZj8o1aLXCB7P%2B3oIH5Say5j%2FOvOmb3n5LioIFLkpASQljljgWpwt%2Bn%2F39xxYIh1rJ98JnByDVTDZnAgXePngoSxxEdLJjW3AkdSaT3o0jYwjbeSY1%2B1RFVDRz0lVOTHckzDU3Pde5cC0fLftZ%2FrMTstM%2Fetb1k7R7Pq1vTf5MoVbBcVp1jhhp%2Fha7Eky6HUQEpADUVC7E1lvTYTclpi3lEJhje6bz80drq%2BktRb0QWg9Mv7mNO2rokqJGbhFTHRwQo0hsFnED396WF2dFDmAwPxLlXGC3UMBlju3GzkKooGRAV0DOkzdYzO5pLtye9hERX38naTauVp2yvZ5b%2B6YCd6GEE5g8g5%2BZaLEn1abbsXHOJwQlGjp41wGW10JT%2FLzzFs0thSrpj%2BGVOWwzTBO6ykXAuHL4C61XULeE4lLuaaIs3Z6UjaYUztuH%2BfUZH6kFiecLXmftPqguxH%2F8qtp5I%2Ff0nFW4TnEolmHFWgyiPreSUpERDlWf6a1gTlkaG3R15ehcQl2txRDLa7vNW%2B%2BVynKLAa4HgZWr62pxuqIx35ICI9tdk6sz%2FpmQrjanGIIP7G0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,67.382,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(882 disponibles),Nuevo  |  +100 vendidos,No disponible,#869507349,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
