Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Galletita Don Satur Bizcochos  dulce 200 g,https://www.mercadolibre.com.ar/galletita-don-satur-bizcochos-dulce-200g/p/MLA16176019?pdp_filters=category:MLA1423#searchVariation=MLA16176019&position=2&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,752,MEJORPRECIO.COM.AR,Nuevo  |  +50mil vendidos,(2177 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1141296773,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Pepas Trio Membrillo Mermelada Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pepas-trio-membrillo-mermelada-galletas-dulces/p/MLA19734071?pdp_filters=category:MLA1423#searchVariation=MLA19734071&position=3&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,1.305,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(574 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1218949523,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Frutigran Avena Y Pasas Galletas Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-avena-y-pasas-galletas-granix/p/MLA19531303?pdp_filters=category:MLA1423#searchVariation=MLA19531303&position=4&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,1.351,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(299 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156529409,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletita Cachafaz Integrales  harina integral y algarroba 225 g,https://www.mercadolibre.com.ar/galletita-cachafaz-integrales-harina-integral-y-algarroba-225g/p/MLA16175889?pdp_filters=category:MLA1423#searchVariation=MLA16175889&position=5&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,1.918,VÍVET MARKET,Nuevo  |  +10mil vendidos,(147 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1159005237,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Pretzels Autenta Foods Horneados X 150 Grs.,https://www.mercadolibre.com.ar/pretzels-autenta-foods-horneados-x-150-grs/p/MLA19943874?pdp_filters=category:MLA1423#searchVariation=MLA19943874&position=6&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,3.952,POSITANO DISTRIBUIDORA,Nuevo  |  +1000 vendidos,(35 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1368842965,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,nan
Galletitas Melitas Clasicas Con Miel Mediana,https://www.mercadolibre.com.ar/galletitas-melitas-clasicas-con-miel-mediana/p/MLA22835242?pdp_filters=category:MLA1423#searchVariation=MLA22835242&position=7&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,729,TAP GROCERY,Nuevo  |  +5mil vendidos,(99 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1387547973,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De La Fortuna A Granel X 250 U,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-a-granel-x-250-u/p/MLA22939864?pdp_filters=category:MLA1423#searchVariation=MLA22939864&position=8&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,21.050,LEPOTMARKET,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1378254855,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Bizcochos 9 De Oro Agridulces Galletitas,https://www.mercadolibre.com.ar/bizcochos-9-de-oro-agridulces-galletitas/p/MLA19531322?pdp_filters=category:MLA1423#searchVariation=MLA19531322&position=9&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,1.479,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(6225 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156522788,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Pitusas Chocolate Mini Galletas Dulces Rellenas,https://www.mercadolibre.com.ar/galletitas-pitusas-chocolate-mini-galletas-dulces-rellenas/p/MLA25871962?pdp_filters=category:MLA1423#searchVariation=MLA25871962&position=10&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,1.391,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(178 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1469931860,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Pimienta Limon Badia X 184.3 Gr,https://www.mercadolibre.com.ar/pimienta-limon-badia-x-1843-gr/p/MLA21362422?pdp_filters=category:MLA1423#searchVariation=MLA21362422&position=11&search_layout=stack&type=product&tracking_id=983570ed-7327-4fb4-b83c-4cf914b2482e,10.780,Uriburu Frutos Secos,Nuevo  |  +1000 vendidos,(17 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1350449995,2024-03-27 15:39:46,Alimentos y Bebidas,Almacén,Salsas y Condimentos,Especias,nan
