Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Arroz Integral Orgánico Yin Yang 500g,https://www.mercadolibre.com.ar/arroz-integral-organico-yin-yang-500g/p/MLA19943138?pdp_filters=category:MLA1423#searchVariation=MLA19943138&position=6&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,1.485,VÍVET MARKET,Nuevo  |  +1000 vendidos,(151 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1288660597,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
Arroz Yamani Integral Organico X 500g | Sin Tacc | Yin Yang,https://www.mercadolibre.com.ar/arroz-yamani-integral-organico-x-500g-sin-tacc-yin-yang/p/MLA22033208?pdp_filters=category:MLA1423#searchVariation=MLA22033208&position=9&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,1.873,VÍVET MARKET,Nuevo  |  +1000 vendidos,(125 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1407537645,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
Arroz Largo Fino Dos Chinos 1 Kilo,https://www.mercadolibre.com.ar/arroz-largo-fino-dos-chinos-1-kilo/p/MLA29521924?pdp_filters=category:MLA1423#searchVariation=MLA29521924&position=3&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,2.660,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(113 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1401475957,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
Fideos Sin Tacc De Arroz Tradicional Soyarroz X 300 Gr.,https://www.mercadolibre.com.ar/fideos-sin-tacc-de-arroz-tradicional-soyarroz-x-300-gr/p/MLA21807572?pdp_filters=category:MLA1423#searchVariation=MLA21807572&position=4&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,2.075,PURAVIDA STORE,Nuevo  |  +5mil vendidos,(86 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1372544783,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,Pastas,nan
Arroz Oro Parboil Gallo X1 Kg,https://www.mercadolibre.com.ar/arroz-oro-parboil-gallo-x1-kg/p/MLA20018406?pdp_filters=category:MLA1423#searchVariation=MLA20018406&position=7&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,3.289,TAP GROCERY,Nuevo  |  +10mil vendidos,(284 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1283572282,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
Arroz Carnaroli Gallo Bolsa X 5 Kg,https://www.mercadolibre.com.ar/arroz-carnaroli-gallo-bolsa-x-5-kg/p/MLA21851147?pdp_filters=category:MLA1423#searchVariation=MLA21851147&position=10&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,15.899,UPSTORE RAMOS,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1395519889,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
Arroz Largo Fino Grano Selecto Molinos Ala Paquete 1 Kilo,https://articulo.mercadolibre.com.ar/MLA-1376425507-arroz-largo-fino-grano-selecto-molinos-ala-paquete-1-kilo-_JM#position=40&search_layout=stack&type=item&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,2.720,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(64 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376425507,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
Fideos Spaghetti libre de gluten sin tacc Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-libre-de-gluten-sin-tacc-matarazzo-500g/p/MLA20949980?pdp_filters=category:MLA1423#searchVariation=MLA20949980&position=1&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,2.999,CAPSULANDIA,Nuevo  |  +10mil vendidos,(275 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1586695680,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,Pastas,nan
Arroz Gallo Preparado Mix De Vegetales por 240g,https://www.mercadolibre.com.ar/arroz-gallo-preparado-mix-de-vegetales-por-240g/p/MLA19975777?pdp_filters=category:MLA1423#searchVariation=MLA19975777&position=5&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,2.212,TAP GROCERY,Nuevo  |  +5mil vendidos,(41 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1280814689,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
Arroz Basmati X 1 Kg.,https://www.mercadolibre.com.ar/arroz-basmati-x-1-kg/p/MLA21851144?pdp_filters=category:MLA1423#searchVariation=MLA21851144&position=8&search_layout=stack&type=product&tracking_id=ffd8b7b5-e773-4a8d-b0eb-d81a512ddd6d,13.100,NEWGARDEN,Nuevo  |  +1000 vendidos,(33 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381674064,2024-02-26 10:47:56,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz
