Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=11&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,2.650,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1330473026,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Pastas,nan
Queso untable Ilolay en mini porc individuales 20 Gr X 108 unid,https://www.mercadolibre.com.ar/queso-untable-ilolay-en-mini-porc-individuales-20-gr-x-108-unid/p/MLA22939193?pdp_filters=category:MLA1403#searchVariation=MLA22939193&position=22&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,21.546,Provifood,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1674630230,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Crema Crematto Milkaut 3.5 Kg Sin Tacc Reposteria,https://www.mercadolibre.com.ar/queso-crema-crematto-milkaut-35-kg-sin-tacc-reposteria/p/MLA28015423?pdp_filters=category:MLA1403#searchVariation=MLA28015423&position=25&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,24.138,ELNUEVOEMPORIOSA,Nuevo  |  +500 vendidos,(4 disponibles),Nuevo  |  +500 vendidos,No disponible,#1559098616,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Fideos Giacomo Capelettini Queso Y Jamon 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-queso-y-jamon-500-grs/p/MLA19994611?pdp_filters=category:MLA1403#searchVariation=MLA19994611&position=13&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,3.757,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1287498996,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Pastas,nan
Cremoso Punta Del Agua ,https://articulo.mercadolibre.com.ar/MLA-931683732-cremoso-punta-del-agua-_JM#position=36&search_layout=stack&type=item&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,5.900,DOCAMPOS1417,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#931683732,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso mozzarella burrata Fior Di Latte 250gr-pack Indiv. Arrivata,https://www.mercadolibre.com.ar/queso-mozzarella-burrata-fior-di-latte-250gr-pack-indiv-arrivata/p/MLA22247036?pdp_filters=category:MLA1403#searchVariation=MLA22247036&position=8&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,8.200,NICOLINOFIAMBRERIABOUTIQUE,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1397016095,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Natural Seed Rawmesan Mix Vegano Tipo Queso  Parmesano,https://www.mercadolibre.com.ar/natural-seed-rawmesan-mix-vegano-tipo-queso-parmesano/p/MLA20605769?pdp_filters=category:MLA1403#searchVariation=MLA20605769&position=15&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,3.348,POSITANO DISTRIBUIDORA,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1348140173,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Semillas
Quesos Untables Verónica X 20 Gr X 108 Unid,https://www.mercadolibre.com.ar/quesos-untables-veronica-x-20-gr-x-108-unid/p/MLA22716545?pdp_filters=category:MLA1403#searchVariation=MLA22716545&position=21&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,25.490,Artistica Palermo,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1412513757,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Sin Tacc Reggianito Cotahua Raggio Di Sole Horma 8 Kg ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1MzVjoMQrSby3ZlKoQJ7nArbuSMg2Qk%2FoNyEM4ZnTzWvHSMILTkO%2FZBNfrQwRIYr883w%2FV%2B0rpoeqcRpUBT9RI%2B90BmgqViFIfx5fRDSuu585zetgdb7PzRrfO4gN9IYznOzetuYILaVmTVqoJvVdcEIIlhs0cmV%2BvQCQls9uLRBzxDhHAZPs8EWYcsEXMPGzWxYscbbOAeUzgj35d0Jee01APyPj5bZ%2F9hY%2B0vaEBSo5BOxImUtxBnKolqGDqyF3zZP7zc5XdJeny7XhUJg4hNgmx%2FdqIJcC3rx8ZghscQU6UnXZ6jymWsvjNQFeRRbb41baY7L0WNzaoLAo5repY7RChHoyBX1Vtlxq4Am8Bvrrd6Yx2nMqA1xn1%2Fd9ZTV6Zk1ytxri7JPk2spEG97%2Bv39%2BsBxtnpPQz%2BR%2FeEZ6GiwLsrXX3BHDAi%2BrGX6dkBg4tihNdX6UIt6EzxXIIX5tj%2FFzWE2pMx7DQD1RLTxkVOcaSYkc5XYyeKz%2BRFbEI76%2B%2FcxxTJ6VnNJiuk5o94BZqNSb%2FSXZD9T8ZHAIx93mPsI1rZfTO5Wxp3IfCT9t58UCnZLrv9gIyCiGavcRcuh6z7u0aO446m1c9UZ7djbsXj9jdy68W9NcZ4MYT77A49C%2FC%2BgnI8olaxJuySQaa4rFUguAsWclwXT44lwrc3tL3xh9WdbfK06MWPSR%2FanGJ%2BbRqWXiK3dNeDieCOhGMHDtCcoIYvBAQg%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,99.098,LATIENDA RAMOSGENERALES,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1388526941,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Rallado Sin Tacc La Paulina 40 Grs Pack 24 Un,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=zmqHa0yamuY37x0zIZSjOtw3tZJSPLKqGqSWDmH6RM9g%2BJBJ0f6IOob6SMUa26p02RDuqPUgVC%2FzuuBTPl%2BCaT7xUd4ouE1etpj3bCPmka3Ajbcjd4oARmZWTdW3pXbQhGIMxg5KJ4xxSxYQQKd2%2Boh1PF5zD8ytRppDuIwej8ufk%2B57a7KBtx4XAxjfpqy9aL2Tr%2BP0nD0wtU6qEqUUUoSq%2BeNmdEkEdx6k3WbH9FkkS6aosV3pqdy7zcb1jiO3TNWdT%2FSP%2Fob%2FPcmllb8Z65KzDIz04ofKKZJU67Bp6kUluFf3H3Ngn3J4wlIMWda8ydYA02lsXV9Gi8gdmsJVk5lbHK5pabenUe%2B1PLgIP8i0vA%2FcFNpMESdWJFwY7nZLlTif36YUVkJ2kdp70YuiED0Oo1eU6jEf%2BerKTgDo94rsKRiT3%2BDsFi0h%2BD0wBNNDEgspNij70VumMSIUhYhedTHlDWXo0hfv%2FvXUOE9U2NPtBwOi7bdKdqYWrsrf2y%2BfYar0wbyU13SUZSicCkMesctD1eRYdH40DGWvnzTxES5m4dvpSPxmt%2FeTLGprAoo6cP%2FIeliNgxabAaxlgCgX2AJeN44g10sq%2Bbwv1IhnXywrV%2FCduFvNe87LzLkRgJPqV%2BQzB9FAVvmFGoWTj%2Fb0OTVAhQ4SM3MnMZY5hnHBVxvQmzkcok5cXHsUQ4HY0fKdfv%2BP7oaCSvW0UmOfDD8%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,34.964,LATIENDA RAMOSGENERALES,Nuevo  |  +25 vendidos,(5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1391624257,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Pringles Queso X124g,https://www.mercadolibre.com.ar/pringles-queso-x124g/p/MLA19977628?pdp_filters=category:MLA1403#searchVariation=MLA19977628&position=6&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,3.779,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1311767015,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados
Rutini malbec 750 mL,https://www.mercadolibre.com.ar/rutini-malbec-750-ml/p/MLA19737807?pdp_filters=category:MLA1403#searchVariation=MLA19737807&position=17&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,16.121,NEPTUNO BEBIDAS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1479735374,2024-04-08 15:12:05,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos
