Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   botella  2.25 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-225-l/p/MLA16247025?pdp_filters=category:MLA413907#searchVariation=MLA16247025&position=12&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,926,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1668577428,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar Sin Gas 2l,https://articulo.mercadolibre.com.ar/MLA-1407197613-agua-mineral-glaciar-sin-gas-2l-_JM#position=34&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,1.087,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1407197613,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=35&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,21.546,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=13&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,983,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#927110757,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=14&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,1.749,Mayorista Masivos,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  con gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-con-gas-botella-15-l/p/MLA16168876?pdp_filters=category:MLA413907#searchVariation=MLA16168876&position=15&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,1.247,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1414368557,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599535860-agua-cellier-2lt-_JM#position=36&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,683,GRUPO ELNENE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599535860,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar - Sin Gas - 6 Botellas X 2l,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UrrcY0JB94xDwbw8RqHBv0rRwtohkGUR6HA%2FGMQMoNcn0KFc17jbcH4wZzaobEz72vrrBfzCGvsbKhn277wT3k8aHfoNB4vUUgXSVO41Xzvalxs0Y55ndtgOMuS9U66tFmkljH%2BBYektC%2BDgL9XGAK%2BC5aDE41lbTODSiMbg%2BDS%2BRsVryruiqXTyF7CoX9Ej7B2o76MnRYTBYfEMegx1QEYkDhdVq6%2FKYiC6%2BSK%2FYTpbn1Bx8cc6joQLn6N%2BCl4E6H9eBc6WYRosbWX4nBUo6VJ8RWWGYxCW8Pvhfwlwlh0JdXeQSB63w%2BCvVMaDU%2FqEWXOyhwwFmwNDXY%2FwwLah8xzyo7SOatUwDsOMGWE0na3x2UnmH2BPb9cYHPDCWRysicFxTP2saMncctLuws7FgE%2FEOyWJ1CKKwLXwy95%2FyHGXYhd7BGN%2BasKmSiAhMZvl5IpXEi0uGBhJiPryimnoL0Z5YHQLdyb0QOX2KercKVSsaEKBtIBL4NWfN0WNhe1kBpd%2Bn2oRlHt9zaPRTRzquGrXNSXthjeH3w7uGchrPOSzVHMAx0HzoNz9YCYP5cuXUaOmxf5YhgO03isw%2Bzike73MD9%2B703LDruFkA%2FH2agM37eMDKTuAW%2Fr3gThiHQBZMsnzGwAOaDloNo9I4l85cmOXD%2FA%2FgQrXlKocMRCvrVaWdw%2FjVcFZguNcB6vyH6e%2BI%2FMkHDegCnLn3w%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.522,Cervecería y Maltería Quilmes,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1398642877,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=bapL2m%2Fej7mhnSqSzWETYEe7lFPw2Nx6JsGkW%2FkIjTwwvfjp8PQwEmhUMwAmurouaxDzRPeWqnyGJMq9dpcSu4Hwk5jMTyUx1kGuwzSU6dYh8eEe%2BGEIsLxsRDDJY4sv6sfmZ8wwFVLgt%2BCaOFzSvJN4iynNGB1M7xx7Hwuj5vyO%2BICfxG4Ozr0VOv9XUZNAmvCeZHlWbegnO2ddipgeORIg%2B1YNUZGOSz8NCTA9Zn2yfnRf4%2FGR4kEPAd2o0m0sK4Av5dvohR9k435CZcyjvKShDNCgGMPhUohrJt3BhSHwbddHwr20fZerH8zzeUC67NYtuI6plSxDV3dGSGm0Ckku8VKtn89FpyxwhA1j07tvhTo4NXF61kCMbETN%2Bbuu4YyxZBGjsWuomh25%2FQVE%2BsNXqGyhPhNI8Cl2s%2BYD2hzTyavYOHx0U2JWPrl%2BPpcQ%2B7%2B5cCKz7szZ%2F%2Bw1VywZ%2FGBiuHQEgxaNsMB0BI2wR1gIkMhqvYMvYi6uUJiHNCo8Hz8f%2FghI8HhV5LjVBzFq5XKzKzCnPKM%2B%2F%2B8mLJKysQ2my565X0IuOrpQK%2FPn0%2BCbky7kRiwG01CooLQlO6AApupZF9oEUaYu7wr7PbX8Qy7lSPEOXD3RqlYzxvCh1uzqD0hU4AsDtNM5o%2BXfid67v6DguOaVXLcERfnZOUItCIbNLoEZ9hCB82Wi4cDFuhDpBG1DoFw5SL%2Fq23t8a6uBs8I%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.611,Cervecería y Maltería Quilmes,Nuevo  |  +25 vendidos,No disponible,Nuevo  |  +25 vendidos,No disponible,#1611400900,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=16&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,1.019,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
