Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Tradicional Tucanguá 1kg. Suave Y Natural,https://articulo.mercadolibre.com.ar/MLA-710073058-yerba-mate-tradicional-tucangua-1kg-suave-y-natural-_JM#position=49&search_layout=stack&type=item&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,3.375,TIENDA.ANDALHUE,Nuevo  |  +5mil vendidos,(315 disponibles),Nuevo  |  +5mil vendidos,No disponible,#710073058,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Convencional Tucanguá 2kg suave y natural,https://www.mercadolibre.com.ar/yerba-mate-convencional-tucangua-2kg-suave-y-natural/p/MLA22766461?pdp_filters=category:MLA409408#searchVariation=MLA22766461&position=7&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,7.050,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(278 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376609595,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Mañanita 4flex 500g,https://www.mercadolibre.com.ar/yerba-mate-mananita-4flex-500g/p/MLA20719063?pdp_filters=category:MLA409408#searchVariation=MLA20719063&position=8&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,2.360,OPEN25HS ML,Nuevo  |  +10mil vendidos,(1958 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1631079952,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tradicional Sin Tacc Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-tradicional-sin-tacc-cruz-de-malta-x-1kg/p/MLA20068481?pdp_filters=category:MLA409408#searchVariation=MLA20068481&position=6&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,2.924,TAP GROCERY,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280860321,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Canarias Para Mate Sabor Tradicional 1 Kg Original,https://articulo.mercadolibre.com.ar/MLA-1194000912-yerba-canarias-para-mate-sabor-tradicional-1-kg-original-_JM#position=50&search_layout=stack&type=item&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,6.950,OPEN25HS ML,Nuevo  |  +1000 vendidos,(1992 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1194000912,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria Pack X 5 Unidades.,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-pack-x-5-unidades/p/MLA22285174?pdp_filters=category:MLA409408#searchVariation=MLA22285174&position=15&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,21.850,Alma Nativa,Nuevo  |  +100 vendidos,(54 disponibles),Nuevo  |  +100 vendidos,No disponible,#1377971468,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tradicional Misionera Aguantadora 1 Kg. Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-tradicional-misionera-aguantadora-1-kg-sin-tacc/p/MLA20040361?pdp_filters=category:MLA409408#searchVariation=MLA20040361&position=17&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,3.613,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(58 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1292461340,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tucangua Misionera X5kg,https://www.mercadolibre.com.ar/yerba-tucangua-misionera-x5kg/p/MLA22308446?pdp_filters=category:MLA409408#searchVariation=MLA22308446&position=13&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,15.130,TOMI BUTELER,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1552550576,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=6pN5AYqoTLtG0EVcJ9U6NRZhuVx6%2FLxpHZS5eYoIvqRPN3ilwZDs8IJC3W1JbgLQASP3NonxhwVUer4cbGvdypW0ryPu2IopLRMFxG%2FSw1Db1lFB5Qo91owMvDarJAbH%2B%2BTG0PARkuB051D5lPbpoUViSS1Qd9fBAGi1%2F8OmlD0u5Mm3WL7NNUnMo4M0Lfyh5iENgWbDzUtDAJgJ2IufIWbAR5nKUZKN%2FV%2Fw0mMruizv%2FD%2FZlW%2Bt5sqkTgDiRMCoIqnUd3qqTXy3any3LqljlO2aVJ%2B1oURzT5CeMr6nCVByEexaPm6SvaPA57peQpfFVyx6X%2FA4kaf611sKv3%2BX8xxQSYzEeuSewb1YdrCE1mFga38RmOrr2%2BkGoJSSyy7VWlME0f1bPRcYwS7%2Bwcb6UWJeifNyl4yB0%2F6QM1%2F6X7AmXR7dtO8NJmkmPDMjHNikWX06y9eD6%2BHx6sN62nn%2Fe190idWFhW2E5tHbw85eRvwrRFwAH3d6rDVPaCpEDxc9Mp9yPonDuXWTSGXAUYbwPCzK7Cdleb%2B8L5HdbNY6j6B2bI0u%2BQ2VRNzMSdsmd5WjgvmsuB%2FUqKzfNp79NIGFXbDfz9Ba%2F%2F3Fjh71pTg9lzjXvLzrDL9Z1PgI3B3lFMt5h4P22akLBiwbpzYOVx34NCszr%2BMwdxOsW7OhS0rZVnLiz5QduZb76EVUs%2BthAnjFJFXufI5DPk%2FN43vN8lIJ4wsJozE%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,55.500,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,(7 disponibles),Nuevo  |  +100 vendidos,No disponible,#926504559,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Verdeflor Menta Y Jengibre  500g Pack X12 Unid,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=8HWeUUfzhV2sGv9fVbuTD3xYyz7ciubcVYzfSRKyKymG6G%2B%2FjncjP%2BiBRHZIE368rvJexf7uVR%2FcHp7cHcPfW2%2Fc%2BHjngqDKUOVSK4IdqXic8FxCHwOMTS76f9BigGRUr%2BpC6RZ2QtagCYuGyUMcrVpK9nvC0cYuvxv%2BPGrA3mu4ZjUBxm7nmzaX9sdctHI1y1TrVTgOWAxldJJDIfeFfAh%2FvXiSVKShDeaAxmUNr01tSPM5ylYkl8%2BnZQTTFZKO4QweYe4WPdiOwBo2xIvNheAE742rlefx88Nd4BSMHMK%2BYIkx4ZM4DWHrEyY5O2%2Bd0TNuVnC92Ez9m1n5mUigLkDyFYgznpMmM24BVOjBfofqWDQDMooJA9hen8tttpffi0cRaNEeGsfxt4KnepQmqVRWHs92632Mh1Uk3dxYuFE5g3ZNhEVB3FNYpY7SbLKbpxpLIYsNLxOVRXS%2F7lCoPsroSZ0FVtkRxoKPbILTDoibRsSmh6yDRjMwjuIL5CtyhKhFLwirI%2FPUiZTEq75mX5Vb2MD8kwbI7eq7sjh%2FCr%2BjH9f1KUCuD8AawDkFJot9nvj0zXxTCXRvq%2Bxf1ZnX7L9z5YRNbH6qKGTTmXt76gVmjaRNbY4NI5GnXrwlIdZ2GCCW7e6FJ3auCAAekvkJGscfB%2B6Ro7nNuPXxn634z6FW2GWq%2FbYnZjyGjqlGQMYOM0yZrUWeZwuP5vuAAS9HO29PUw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.866,YERBA VERDEFLOR,Nuevo  |  1 vendido,(9 disponibles),Nuevo  |  1 vendido,No disponible,#1402994593,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
