Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=6&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,4.443,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(79 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=5&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,8.499,CAPSULANDIA,Nuevo  |  +5mil vendidos,(32 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1255213449,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bolitas Chocolatadas Lasfor Bolsa 180 Gr,https://www.mercadolibre.com.ar/bolitas-chocolatadas-lasfor-bolsa-180-gr/p/MLA27462230?pdp_filters=category:MLA1423#searchVariation=MLA27462230&position=2&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.297,BLIP,Nuevo  |  +100 vendidos,(24 disponibles),Nuevo  |  +100 vendidos,No disponible,#1528955362,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=20&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(248 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=22&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos de maíz 3kg Granix,https://www.mercadolibre.com.ar/copos-de-maiz-3kg-granix/p/MLA20723711?pdp_filters=category:MLA1423#searchVariation=MLA20723711&position=16&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,10.185,LEONVEGANO,Nuevo  |  +1000 vendidos,(28 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1289284122,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Coco Y Choco Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-coco-y-choco-laddubar-vegano-sin-tacc/p/MLA25558601?pdp_filters=category:MLA1423#searchVariation=MLA25558601&position=25&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,4.969,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(912 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1465363592,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Frutilla Lasfor 200 Gr Lasfor Almohaditas Rellenas - Frutilla - 200 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-frutilla-lasfor-200-gr-lasfor-almohaditas-rellenas-frutilla-200-g-unidad-1-bolsa/p/MLA21960343?pdp_filters=category:MLA1423#searchVariation=MLA21960343&position=24&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.999,BLIP,Nuevo  |  +500 vendidos,(99 disponibles),Nuevo  |  +500 vendidos,No disponible,#1391723986,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas Cereal Pasas Y Arandanos Sin Azucar,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-pasas-y-arandanos-sin-azucar/p/MLA19846786?pdp_filters=category:MLA1423#searchVariation=MLA19846786&position=26&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,9.403,MORASHOP,Nuevo  |  +5mil vendidos,(23 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1470396334,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=51&search_layout=stack&type=item&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,438,VÍVET MARKET,Nuevo  |  +5mil vendidos,(156 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141531811,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Pasas De Uva Y Almendras,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-pasas-de-uva-y-almendras/p/MLA21266471?pdp_filters=category:MLA1423#searchVariation=MLA21266471&position=13&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,9.200,TÍAS MÍAS,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1319751971,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Quinoa Pop Inflado Con Algarroba Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141504199-quinoa-pop-inflado-con-algarroba-yin-yang-_JM#position=52&search_layout=stack&type=item&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,495,VÍVET MARKET,Nuevo  |  +1000 vendidos,(88 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1141504199,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=14&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,8.722,SOMOS BUHA,Nuevo  |  +1000 vendidos,(45 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457401836,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereales Quaker Honey Nut Oats X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-nut-oats-x-190-gr-desayuno-merienda/p/MLA19957869?pdp_filters=category:MLA1423#searchVariation=MLA19957869&position=15&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,3.885,PepsiCo,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282862986,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas De Cereal Manzana Arandanos Y Nuez,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-manzana-arandanos-y-nuez/p/MLA19856558?pdp_filters=category:MLA1423#searchVariation=MLA19856558&position=18&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,10.777,PUNTONUEZ,Nuevo  |  +5mil vendidos,(11 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403777979,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Nesquik Cereales - 400gr,https://www.mercadolibre.com.ar/nesquik-cereales-400gr/p/MLA24244810?pdp_filters=category:MLA1423#searchVariation=MLA24244810&position=19&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,6.918,Nestlé,Nuevo  |  +100 vendidos,(123 disponibles),Nuevo  |  +100 vendidos,No disponible,#1607102070,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletita Con Cereal Integral Clasica Cerealitas 212g,https://www.mercadolibre.com.ar/galletita-con-cereal-integral-clasica-cerealitas-212g/p/MLA29542564?pdp_filters=category:MLA1423#searchVariation=MLA29542564&position=23&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.116,ARTICULOS MOHE,Nuevo  |  +500 vendidos,(69 disponibles),Nuevo  |  +500 vendidos,No disponible,#1635324446,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=21&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,5.690,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(56 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bocaditos Integra De Chocolate Con Arandanos 20u X 26g,https://www.mercadolibre.com.ar/bocaditos-integra-de-chocolate-con-arandanos-20u-x-26g/p/MLA21724370?pdp_filters=category:MLA1423#searchVariation=MLA21724370&position=31&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,10.672,KAKO SRL,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1385761301,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Baston De Salvado X 1kg,https://www.mercadolibre.com.ar/baston-de-salvado-x-1kg/p/MLA26209010?pdp_filters=category:MLA1423#searchVariation=MLA26209010&position=29&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,4.025,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(22 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383969061,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Aritos Frutales Granix Cereal Bajo En Sodio,https://www.mercadolibre.com.ar/aritos-frutales-granix-cereal-bajo-en-sodio/p/MLA25677571?pdp_filters=category:MLA1423#searchVariation=MLA25677571&position=38&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.146,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1467791944,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
20 Barras Wik Taste Quinoa Y Chocolate Kosher Vegan Sin Tacc,https://www.mercadolibre.com.ar/20-barras-wik-taste-quinoa-y-chocolate-kosher-vegan-sin-tacc/p/MLA21972238?pdp_filters=category:MLA1423#searchVariation=MLA21972238&position=28&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,11.829,Market Nutritivo,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372961686,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Chocolate Suizo Lasfor 200 Gr,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-chocolate-suizo-lasfor-200-gr/p/MLA21852202?pdp_filters=category:MLA1423#searchVariation=MLA21852202&position=32&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.999,BLIP,Nuevo  |  +100 vendidos,(108 disponibles),Nuevo  |  +100 vendidos,No disponible,#1391573594,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=30&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(346 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1318175903,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Galletitas,nan
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=36&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.799,CAPSULANDIA,Nuevo  |  +100 vendidos,(52 disponibles),Nuevo  |  +100 vendidos,No disponible,#1389671073,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barritas Integra almendra y nuez caja con 10 unidades de 42g,https://www.mercadolibre.com.ar/barritas-integra-almendra-y-nuez-caja-con-10-unidades-de-42g/p/MLA21256154?pdp_filters=category:MLA1423#searchVariation=MLA21256154&position=33&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,8.610,PUNTONUEZ,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1336984090,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bocaditos Cereal Granix Avena Y Trigo Relleno Crema Avellana,https://www.mercadolibre.com.ar/bocaditos-cereal-granix-avena-y-trigo-relleno-crema-avellana/p/MLA19977257?pdp_filters=category:MLA1423#searchVariation=MLA19977257&position=34&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.899,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(15 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280111027,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display  Vegana Laddubar Coco 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddubar-coco-30-g-x-12-u/p/MLA19735179?pdp_filters=category:MLA1423#searchVariation=MLA19735179&position=35&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,4.969,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(605 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376540609,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Choco Krispies Pops Chico,https://www.mercadolibre.com.ar/choco-krispies-pops-chico/p/MLA32431007?pdp_filters=category:MLA1423#searchVariation=MLA32431007&position=37&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,2.229,TAP GROCERY,Nuevo  |  +25 vendidos,(22 disponibles),Nuevo  |  +25 vendidos,No disponible,#1408036231,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Tivis Felfort X 20 U 25 G,https://www.mercadolibre.com.ar/tivis-felfort-x-20-u-25-g/p/MLA21686780?pdp_filters=category:MLA1423#searchVariation=MLA21686780&position=46&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,12.372,BELGROUP,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1407443455,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Almohaditas Rellenas De Mousse De Limón Lasfor 200 Gr,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-mousse-de-limon-lasfor-200-gr/p/MLA21827053?pdp_filters=category:MLA1423#searchVariation=MLA21827053&position=42&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.941,AEH MALL,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#1398721243,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Pan Tostado 100 % Integral Riera X 200 Gr,https://www.mercadolibre.com.ar/pan-tostado-100-integral-riera-x-200-gr/p/MLA19774772?pdp_filters=category:MLA1423#searchVariation=MLA19774772&position=44&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.072,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(168 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1229157936,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Galletitas,nan
Cereal Sabor Chocolate Zucaritas Kelloggs 240g,https://www.mercadolibre.com.ar/cereal-sabor-chocolate-zucaritas-kelloggs-240g/p/MLA28055227?pdp_filters=category:MLA1423#searchVariation=MLA28055227&position=41&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.522,AEH MALL,Nuevo  |  +100 vendidos,(10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1398695853,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=49&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,9.191,KAKO SRL,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1385773733,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
