Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Skarchitos Copos De Maiz Azucarados Cereal Granix ,https://www.mercadolibre.com.ar/skarchitos-copos-de-maiz-azucarados-cereal-granix/p/MLA21234058?pdp_filters=category:MLA1423#searchVariation=MLA21234058&position=48&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,2.525,01MERCADO,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1316686036,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bolitas De Chocolate Snuks Sin Tacc 200 Gr,https://www.mercadolibre.com.ar/bolitas-de-chocolate-snuks-sin-tacc-200-gr/p/MLA21827056?pdp_filters=category:MLA1423#searchVariation=MLA21827056&position=43&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,2.490,BLIP,Nuevo  |  +100 vendidos,(37 disponibles),Nuevo  |  +100 vendidos,No disponible,#1391625958,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Girasol Y Arandanos Integra X 10 Unidades,https://www.mercadolibre.com.ar/barra-cereal-girasol-y-arandanos-integra-x-10-unidades/p/MLA21645852?pdp_filters=category:MLA1423#searchVariation=MLA21645852&position=47&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,8.430,PUNTONUEZ,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1338599186,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Chocoflakes Granix Cereal Copos de Chocolate,https://www.mercadolibre.com.ar/chocoflakes-granix-cereal-copos-de-chocolate/p/MLA25809161?pdp_filters=category:MLA1423#searchVariation=MLA25809161&position=39&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,2.283,01MERCADO,Nuevo  |  +500 vendidos,(10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1467337492,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cerealfort Barrita De Cereal por 24 Unidades Sabor Tradicional,https://www.mercadolibre.com.ar/cerealfort-barrita-de-cereal-por-24-unidades-sabor-tradicional/p/MLA19609620?pdp_filters=category:MLA1423#searchVariation=MLA19609620&position=40&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,8.950,ALMACEN MINGO,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1250089929,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arroz Koshihikari  X 1kg - Para Sushi O Risotto,https://www.mercadolibre.com.ar/arroz-koshihikari-x-1kg-para-sushi-o-risotto/p/MLA26444830?pdp_filters=category:MLA1423#searchVariation=MLA26444830&position=45&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,3.374,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1384808899,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arvejas Entera  X 1kg,https://www.mercadolibre.com.ar/arvejas-entera-x-1kg/p/MLA26146325?pdp_filters=category:MLA1423#searchVariation=MLA26146325&position=50&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.818,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383915575,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Porotos
Arroz Yamani Premium X 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FvI7DZpzv%2BGUyoC1YiTc3xd6VcW0Nm7KXa0nPd7BYp7tm9FLjOctmXeOJiiH2AVcm5F3yWBvU0IkAxtbjWLRO7am1hw2oHHkUOKxHXhn1PQAZz19tYjKDbew7xVFtOWHqkCjL3xD5dKLEzZn5R8LBKFxAAd5Qo3RlCKbUO92GSlUNfISUBO7YGg4KifzYaEThueQ17hdbkmYuGPKekPz7OjLox3JHJj6SxlPHccYlUj2er6wWmZjhYrkBXFxLE86AgheR03lm9aLUU9w7GJ2WojeQ4K1iEV3YAYpwmfb%2BYeiYOztw7I0ZsxK5A2Wv9YR57sK4gfP2gMThAtd9mxsJ4rjYcrH0G4FC5r1Dqc6jHOkX%2FFgEA%2Bksxbv4XkllUVyQOW7%2FbIIZdEq2aZioVPm1vr4nfwzbls%2FGSF48FviKtoEYMDN6SBq156HU%2FOKsbuHj6uuBWge6cGHDlmmawqbIPOoJt9uuxERLOA8KiwHRp0cBA9zaf1xnA36q9o6Z9dgJXBDyk1pxSqlaDZcYJ0SY%2FLFrpHooFgYMasm%2FM5nGZkPw0nfanbDl28MmFxRIrPOmdQSfacTHyQnOFSskkFyKCwI4rajjV6DcsEYD5adF4oWRgO6O5fXRbfvFA7lhB%2BxD7dU08iyAlPjAQlaBLc0ykpgQ0shO6l1O9PdYI3IlFl3FDHc%2F8j6&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,3.449,BELVEDERETIENDA,Nuevo  |  +100 vendidos,(24 disponibles),Nuevo  |  +100 vendidos,No disponible,#870658642,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Fibra Total X 4kg Granix - Primera Calidad,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FeehlA%2BLF5eVeSX0jvfgLa%2FtzPkPhMSy3Tmu9aMIfiCvTPB49nrdbql0fYqG3llsbL71UHplGjae0SSpiQhh567WDk69jGTGqascPbScMy2u9ws49rqhIhT4Cbdv4z4zq5R38QdbwfgEssi8sd3gtYsrVWFbBMsLufopvPy2izGTyQeOH5iqYzZtrzoMow8tAL6lT7Tjl4UyfJQOAeReIP9X57fLSRPvdXIHfv3%2FdDTV8VYk%2FBaZ0xS87jF3BuhYyZnmgS6RzZIeYJBpw1sTTyP5i2KigwJnoPAq9A09bR5nMP48ihtPlnD%2BabSPuhUr2yu8DFrSZIyxaExrE%2BW6sX3bK9wRy3yqvWVEZF93nG5v0Yp3NGxQNFFKcygTT7cLq5rKrdr%2FYe6zN%2FPSFxIXWM7%2B52o8akTpZvwX9sRkPGBD64MxyFFP6e8lb%2Fpm2ce803%2F38Xop2UlzVR%2B2lOSsKlIESWEHy6xZgownN%2F%2BmqIYFrcfaL41ZiKnnJGimRucQFMxG2v%2Fqjd9Y0utlt1KlNFa63e5otmEP5UhIQQsGzTn883NTWZx5Q0Q6JwOPVWGbWaSFW2OdcCfFv%2FtB6aqMTKy6CmlQSMmOCC2md9eJkMvcL3mIMV9OuzeGgZRw1bmKyIQUeQwTbfDRtyUoOGSi5c5gxCALFDcdNjHV4%2FuG2AFHUtAr6qC8JUuhcUrY8x8bml8q6RY%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,16.862,POSITIVA,Nuevo  |  +25 vendidos,(5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169105799,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Chocolate De 1/2 Kilo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=BfIlxnrYOKK%2BtXmETdZWZEVlHEKa7Ep7XKolT%2B%2FHXueGm80lzk80svIFT%2FzLadTDoXEe6wImDQtIQh5JWYdxUFOYTPnlfyt6JLUApAzqrJjpiQ3kA5GtdfiRd2b2tw%2BTclwjE6yeg6C%2FijlzAMObuRXJihU23GQqqWN7OHPXqFVXF8fslIcl7E3PLFKesAsl6opBLxwN7BGTumknrAjtMWxuwrOqztprAqIH%2FKsHDYJsb4%2F0pPrfxNy0H%2BBWb%2BqYoz%2BZTzmX%2Fl1bIplN2E9uSPtILCPR5mIVbGd3tCKzDKAbS1QF3s3KLabh7gVdE6G%2FK9iztJyGYWgufMTri4ajM0UcYPRmsbsQbn3qh29%2F%2Bvof0aQ0TWowu2xObckyKYmXd7tMskfTNsVnY9CZplM4THn48mn71ZO6bDREE1mDaJFqHEFbu9SjIw%2BJDpm5H02zMTbf6ndb6BErHTGv9DFAfKP0XlUyp9%2FillYFicFSxwZX5av5C1byzfDGDzqvoqmdBBR%2B2ucIsqM82PoFybuOgoXm7Su3%2FRIgQLbyyd8XPIISuyHx4p01XNyIVCK7vFXIu1myiP%2B%2BA2lO55Jr%2Bc%2BpLPj5QDFnC0w3n%2Fv4gX%2FJur8cMMCSpSb0LDFXYpy%2BMBnqWmqnk5OEldA%2FLE60xcKyzXuIgs8DxWHG8cB7NaS1d08UljqcX4ukEMr3ojMEGtEFpNmKnMD8&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.018,POSITIVA,Nuevo  |  +25 vendidos,(23 disponibles),Nuevo  |  +25 vendidos,No disponible,#914227501,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Baston De Salvado X 1kg,https://www.mercadolibre.com.ar/baston-de-salvado-x-1kg/p/MLA26209010?pdp_filters=category:MLA1423#searchVariation=MLA26209010&position=4&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,4.025,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(22 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383969061,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas Redondas S/sal De Arroz Integral Sin Tacc 100gr X1u,https://www.mercadolibre.com.ar/galletas-redondas-ssal-de-arroz-integral-sin-tacc-100gr-x1u/p/MLA28872606?pdp_filters=category:MLA1423#searchVariation=MLA28872606&position=5&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,935,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(370 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600388586,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Galletitas,nan
Copos De Maíz Natural 1kg 3 Arroyos,https://articulo.mercadolibre.com.ar/MLA-1123799734-copos-de-maiz-natural-1kg-3-arroyos-_JM#position=35&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.782,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(466 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123799734,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barras Arandanos De Dátiles Cajú Arándanos Laddubar 30g 12 U,https://articulo.mercadolibre.com.ar/MLA-1187433795-barras-arandanos-de-datiles-caju-arandanos-laddubar-30g-12-u-_JM#position=36&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.735,GREENANDML,Nuevo  |  +500 vendidos,(42 disponibles),Nuevo  |  +500 vendidos,No disponible,#1187433795,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
"Copos De Maíz Natural Bolsa 3,5kg 3 Arroyos",https://articulo.mercadolibre.com.ar/MLA-1123803513-copos-de-maiz-natural-bolsa-35kg-3-arroyos-_JM#position=37&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,7.707,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123803513,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
"Almohaditas Rellenas De Mani X 2,5kg - Marca Lasfor",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Y%2BVhvpIOP4ucmI3JN9BagV6B4SmtPPEo%2Bkdn%2Bw2nl0v1NrVkPOhSbr%2FGSrxs70XFhsWz1DNqlM2ar%2B07RZqiu6mKsiykiMUrq4sw3dnQoXH3qYKlv32Viqyi51MNvd%2BCBcZT1s1HmQoRXsvJJlcGkBdgZgKXw7nFX2pmDRuPoGDP78pIWfO8A5y5rYM7Xcym63t4WcA2YDZNc9J7TXz96X0IeiM85iJVtAbKX%2BuVgYUkoKWc3J%2BpH2vC1yag7ccTRSkN6GWLZIMCwfYI8o%2Ftm8TmtPd9Y8yyujDU8aYRbM9%2FVHlnYJUgN%2FBVjJLjhH7hGEX9R%2FDScgTXep39Zn91cJnJYl83vaBh2lZ%2FPDyISjtgUQQxbrK5OgzmBwaT1%2FGS4UHYUUQfGo6uCR0ZF55zr%2BmYxtDdrK2CroXmAHrVs2caWAMg7ezyQqX1rQuXwCmD1MulmE6tXO6XsBOD7byBpGX1MoJV5%2FKEkY8feJPnUHz5qLerxk7H7fbdyiVjgS%2FoeQ9nP7%2BUON72ciATOytG%2BQVcwxPoT3jC7Gq3k%2BmHQL9aCbyE3lHS7MiloS5wvwAooS1ohHMYUw7XjxTwxdAYR8loGgochMcbUMJKulBU6jv0DGKGiBFJbjhDOIdEk56y6Ebypw1ud11bhKkiVEOVSD2IiECnPB1rDYSxsIZeVscIKSaj%2FdsDz%2F7PkT4SsrEqBsbBZ2Gm7BNsvGqR&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,16.159,POSITIVA,Nuevo  |  1 vendido,(2 disponibles),Nuevo  |  1 vendido,No disponible,#1169054697,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
"Copos De Maíz Natural Bolsa 3,5kg 3 Arroyos",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=q5XK6dM7%2FqMGWSM%2FxcAhhtK5hWSbbdXkzrwj7Mlx%2FKDXuRoNCIbPjAZwwjxpJ%2F5uuCrb9Ku5LC03Kcc5I%2BslKQ6JR1xq%2B3rCsSxrOpshch0%2BVP98kgptbs902CpuxwzxGwm%2BYPyI6SAaLazv0GYTABQwVE7Cij32qbTXekkT1v1XPMl8Auxte8nxuvoMxJ9K7w1YoILXuNzYjXrF8CfUNVPj19m8FiRQnYoEEmB6LAkyY0FuQJOiDIsOF%2Btr7s68sQ9tu7CKmCXfL2uK54CWvwjGDzeWd5zELVlcEZ%2FiKIb6jisqjafJPlCb19hytoLXOe7lnYA8gHzFG2aB6b6psAKNHP7n8PcozgjXE0570NsY2aatEJ4NSkVrDtsyvl23BozNQDOpI1rqSt6ZCUL047cw%2BcFS69E1oFthovMuCizvzWFpUNHXk2%2B4xqjPzTTkwP8z%2FQ9%2BCarhXrypbitL5sTZCSfOiGpqYXGhUvyjcAtTjH6IJtPka4%2BrgT9qt9fz%2Fpyis%2B1FmyXAwnSsOyLD8yPS%2BHhCFZgT9RJSdkjc6PvpCEWjqV2IYz4oF9n5MYP5ZQ3CllbOfTpVGIehVNI%2FBW4xLsRJhuofyobSeaJSB9ovsx4NLGI6B%2Fnepwj%2BEMswVoIT9vD97mdGNfXYjVr6LxgMenpvW%2BES0norG0HF2THwGkh%2Ftmc6oKEgnwm%2Bbefl2aHOQH%2FhDHaKJw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.707,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123803513,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cerealfort Barrita De Cereal por 24 Unidades Sabor Tradicional,https://www.mercadolibre.com.ar/cerealfort-barrita-de-cereal-por-24-unidades-sabor-tradicional/p/MLA19609620?pdp_filters=category:MLA1423#searchVariation=MLA19609620&position=7&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.950,ALMACEN MINGO,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1250089929,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bastoncitos Fibra De Salvado All-bran 1kg,https://articulo.mercadolibre.com.ar/MLA-1345727991-bastoncitos-fibra-de-salvado-all-bran-1kg-_JM#position=38&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,4.470,SIR NEKO,Nuevo  |  +50 vendidos,(6 disponibles),Nuevo  |  +50 vendidos,No disponible,#1345727991,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Arcor Cereal Mix  sabor original 23 g,https://www.mercadolibre.com.ar/barra-arcor-cereal-mix-sabor-original-23g/p/MLA16081325?pdp_filters=category:MLA1423#searchVariation=MLA16081325&position=6&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.799,CAPSULANDIA,Nuevo  |  +500 vendidos,(19 disponibles),Nuevo  |  +500 vendidos,No disponible,#1617039380,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Limón X 1kg - s A Todo El País,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-limon-x-1kg-s-a-todo-el-pais/p/MLA27047201?pdp_filters=category:MLA1423#searchVariation=MLA27047201&position=13&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,7.070,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(24 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388634041,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Chocolino Bolitas De Cereal Con Chispitas X 200 Gr,https://www.mercadolibre.com.ar/chocolino-bolitas-de-cereal-con-chispitas-x-200-gr/p/MLA20725619?pdp_filters=category:MLA1423#searchVariation=MLA20725619&position=8&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.161,Ecomodico,Nuevo  |  +500 vendidos,(49 disponibles),Nuevo  |  +500 vendidos,No disponible,#1322704272,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Caju Y Arandanos Integra X 10 Unidades,https://www.mercadolibre.com.ar/barra-cereal-caju-y-arandanos-integra-x-10-unidades/p/MLA34021088?pdp_filters=category:MLA1423#searchVariation=MLA34021088&position=11&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.511,Integra,Nuevo  |  +500 vendidos,(45 disponibles),Nuevo  |  +500 vendidos,No disponible,#1332893241,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutales Snuks Sin Tacc 200 Gr,https://www.mercadolibre.com.ar/aritos-frutales-snuks-sin-tacc-200-gr/p/MLA21852205?pdp_filters=category:MLA1423#searchVariation=MLA21852205&position=16&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.490,BLIP,Nuevo  |  +100 vendidos,(35 disponibles),Nuevo  |  +100 vendidos,No disponible,#1362112931,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar - Barritas Proteicas  - Pack X 28 Uds- Elegí Sabores ,https://articulo.mercadolibre.com.ar/MLA-1386638008-ki-bar-barritas-proteicas-pack-x-28-uds-elegi-sabores-_JM#position=39&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,37.401,SOMOS BUHA,Nuevo  |  +500 vendidos,(64 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386638008,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal De Chocolate Kelloggs Muesli 255gr,https://articulo.mercadolibre.com.ar/MLA-1404752405-cereal-de-chocolate-kelloggs-muesli-255gr-_JM#position=40&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.012,AEH MALL,Nuevo  |  +5 vendidos,(11 disponibles),Nuevo  |  +5 vendidos,No disponible,#1404752405,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
20 Barras Wik Taste Quinoa Y Chocolate Kosher Vegan Sin Tacc,https://www.mercadolibre.com.ar/20-barras-wik-taste-quinoa-y-chocolate-kosher-vegan-sin-tacc/p/MLA21972238?pdp_filters=category:MLA1423#searchVariation=MLA21972238&position=12&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,11.829,Market Nutritivo,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372961686,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Limón X 500g - s A Todo El País,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-limon-x-500g-s-a-todo-el-pais/p/MLA26444833?pdp_filters=category:MLA1423#searchVariation=MLA26444833&position=14&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,(47 disponibles),Nuevo  |  +100 vendidos,No disponible,#1384721863,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Cafe Y Leche De Coco + 3 Claras 40g,https://articulo.mercadolibre.com.ar/MLA-1364091207-ki-bar-barrita-proteica-cafe-y-leche-de-coco-3-claras-40g-_JM#position=41&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(120 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1364091207,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Relleno Delicel Sabor Chocolate Sin Tacc X 240 Grs.,https://articulo.mercadolibre.com.ar/MLA-1399372063-cereal-relleno-delicel-sabor-chocolate-sin-tacc-x-240-grs-_JM#position=42&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,3.020,POSITANO DISTRIBUIDORA,Nuevo  |  +5 vendidos,(10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1399372063,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas De Cereal Manzana Arandanos Y Nuez,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-manzana-arandanos-y-nuez/p/MLA19856558?pdp_filters=category:MLA1423#searchVariation=MLA19856558&position=15&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,10.777,PUNTONUEZ,Nuevo  |  +5mil vendidos,(11 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403777979,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Froot Loops Mediano,https://articulo.mercadolibre.com.ar/MLA-1405771441-froot-loops-mediano-_JM#position=43&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.399,TAP GROCERY,Nuevo  |  +5 vendidos,(6 disponibles),Nuevo  |  +5 vendidos,No disponible,#1405771441,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Fort Chocolate Almendras Y Miel Caja De 24 Unid,https://www.mercadolibre.com.ar/barra-cereal-fort-chocolate-almendras-y-miel-caja-de-24-unid/p/MLA19566719?pdp_filters=category:MLA1423#searchVariation=MLA19566719&position=17&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,9.399,KIGUSTOREARG,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1683043516,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Crema De Avellanas 500 G,https://articulo.mercadolibre.com.ar/MLA-1433191314-almohaditas-crema-de-avellanas-500-g-_JM#position=44&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,4.193,NEWGARDEN,Nuevo  |  +25 vendidos,(11 disponibles),Nuevo  |  +25 vendidos,No disponible,#1433191314,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Pan Tostado 100 % Integral Riera X 200 Gr,https://www.mercadolibre.com.ar/pan-tostado-100-integral-riera-x-200-gr/p/MLA19774772?pdp_filters=category:MLA1423#searchVariation=MLA19774772&position=18&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.072,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(168 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1229157936,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Galletitas,nan
Nesquik Cereales - 400gr,https://articulo.mercadolibre.com.ar/MLA-1641444036-nesquik-cereales-400gr-_JM#position=45&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.557,CPT Oficina,Nuevo  |  +5 vendidos,(62 disponibles),Nuevo  |  +5 vendidos,No disponible,#1641444036,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Relleno Delicel Sabor Menta Sin Tacc X 240 Grs,https://www.mercadolibre.com.ar/cereal-relleno-delicel-sabor-menta-sin-tacc-x-240-grs/p/MLA29211424?pdp_filters=category:MLA1423#searchVariation=MLA29211424&position=19&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.265,POSITANO DISTRIBUIDORA,Nuevo  |  2 vendidos,(18 disponibles),Nuevo  |  2 vendidos,No disponible,#1399995323,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barritas Integra almendra y nuez caja con 10 unidades de 42g,https://www.mercadolibre.com.ar/barritas-integra-almendra-y-nuez-caja-con-10-unidades-de-42g/p/MLA21256154?pdp_filters=category:MLA1423#searchVariation=MLA21256154&position=21&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.610,PUNTONUEZ,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1336984090,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
