Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=7&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,4.190,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(70 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=11&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=4&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(263 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=6&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,5.790,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(52 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bocaditos Integra De Chocolate Con Arandanos 20u X 26g,https://www.mercadolibre.com.ar/bocaditos-integra-de-chocolate-con-arandanos-20u-x-26g/p/MLA21724370?pdp_filters=category:MLA1423#searchVariation=MLA21724370&position=8&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,10.563,PUNTONUEZ,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1348114371,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=13&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,1.242,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(16 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=17&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,8.490,Integra,Nuevo  |  +1000 vendidos,(63 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339938326,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Trigo Burgol Grueso X 1 Kilo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xzN0qSD3D6yqs%2B3o5mbEn0M9iFZamFzHMBsTJJU9K%2BiEElkyLRKaSAX6TYxwXw3eDivwSL4NUEF3lAe3Rv3asSeshn2xkZQdxDfPzytGLol8ss2QhXoxxRiF4hPZjdKp3GmU1KAajJ%2BbtCG6Xcsm0DANkU522Kb8Fu9SFAjv2JUmeSQV4pCeLT2z%2BiHNjT0%2FxlQO14ueyhfIR9c1V2bw1w5J6p6x5hfhskt5SJN3vXRI%2BkV3%2FekhOW9BcBydh%2F%2BAQd28WL%2FuGbAbqW5mp%2BA0d%2FC06q1%2B1ZW8mRGJG%2FxUmAaoWtJYtrm6bMo5ISsEdDlZx%2FI3n7UFpbD%2F9RkET7sx5ainHAWif3zURY%2BprCOzLjwX2TLDvJcEZXtzutkK6Yn7Wq61PPyop364zQftXI1nlw7otKEyrItOQKrT8Lqzv4j%2BgDePJfk%2FZQnYJT7pGFea4fX9%2BaluipIpqDdIG4aZWhIFu%2FbBzvnXSbQONQOrtvWRHBmJgxNEgyhn0tlRKkLaLSt%2Flq%2B9XETwigipwk6qF6o51q88qNCRmYVqOXmCp3cWO%2FlCxPsiVlydZ9gKrD3sK7FGlX2vtKTZ33ayGg35gK%2BXC4dF5vSzN%2FHAOek0r4Wp6NZapFgXM7s69jFXElW9YmMdQC9vRGmxTVOGwm91q0ikEy2h%2B%2B3y%2F3hTe8PsZGzCrQr7Jw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,2.892,POSITIVA,Nuevo  |  +100 vendidos,(13 disponibles),Nuevo  |  +100 vendidos,No disponible,#924033076,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos De Maiz Con Azucar Tres Arroyos X1/4 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9T0pznBNsOBXTPvF5uGVJUv7x5DyHOqf98CKKDng1wz5vH8DnheEuEvo44Gw9Bh1eNzTYXNVMrK3MybTi%2FLHpp8%2BlPvBw4K7kl6ae5cZXwn05n8iWVGvqsWhhEoKPK3mGALnzj3p4EXFtSHMEblN%2FXXnH3m2JTuUnDxFmG9nTwiW46egAw3GWrl%2BJ3uv4WWK2pPr1PiK%2BeJFmdeAuv03DvEN%2FsealeAhqfpu8buKv8zgJ%2BW2LX4K%2FPXdwId2%2B2q43z2Up58CkSh8B4h9hCYPhPeaiFEYmDUik7rXyEaEvXq%2FCnitix%2B9q1vfQosjNzbUhK8iLE%2FR9TJNOYnFtONlRQx29KU6DVOXO%2BDfWUkEJJlOCzF%2FKlsoKIW%2FhG%2BvN8yAMRU8TnHd3xJ1L6S4jnThzofPfzESEET8oKojVdmsSzzWACHsKoZWgFoWjZgtWhXZQG79ZqrYwB5GRUVqVZrDRuK7aeJoZ2cBLow4l1EXFnXguQoWnEv1FDRiN8KVPs5r6InS0ojun%2BpfDkj0rYQtnvcPXa8FkzXCtUM4aZXK%2FK%2FzKa7j8nZ5IntwSkBRkS7vM6%2FZEcrcoQCjnO80rDhkwuT3N1i2nL%2B41kAvjC6%2B98pdvacQMEyEPel8tJMF5HvYPD%2FAmsv8mIHGJVKL83agfPZLZ22Jt1%2BuiD77NygZ6P2WcY%2B2CIT6bHV5ISPS5pIylipNu%2FvA&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,1.671,POSITIVA,Nuevo  |  1 vendido,(16 disponibles),Nuevo  |  1 vendido,No disponible,#1642844358,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Fibras Bastón De Salvado Lasfor Bolsa 200 Gr,https://www.mercadolibre.com.ar/fibras-baston-de-salvado-lasfor-bolsa-200-gr/p/MLA26312163?pdp_filters=category:MLA1423#searchVariation=MLA26312163&position=18&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,1.600,BLIP,Nuevo  |  +500 vendidos,(14 disponibles),Nuevo  |  +500 vendidos,No disponible,#1480312880,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=21&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,8.908,PUNTONUEZ,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Zucaritas Copos de maíz Azucarados Grande,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-grande/p/MLA20024005?pdp_filters=category:MLA1423#searchVariation=MLA20024005&position=3&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,3.409,AEH MALL,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1610186184,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=22&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,1.836,MIALMACENAMIGO,Nuevo  |  +1000 vendidos,(264 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1409679247,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Galletitas,nan
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=14&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,2.526,01MERCADO,Nuevo  |  +1000 vendidos,(37 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Limón X 1kg - s A Todo El País,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-limon-x-1kg-s-a-todo-el-pais/p/MLA27047201?pdp_filters=category:MLA1423#searchVariation=MLA27047201&position=12&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,6.312,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(15 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388634041,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Con Marroc Feeling Felfort Caja Por 30 Unidades,https://www.mercadolibre.com.ar/cereal-con-marroc-feeling-felfort-caja-por-30-unidades/p/MLA19974685?pdp_filters=category:MLA1423#searchVariation=MLA19974685&position=16&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,15.577,MAYORISTALA20221121100650,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1372971916,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Germen De Trigo Yin Yang X 500 Gr,https://www.mercadolibre.com.ar/germen-de-trigo-yin-yang-x-500-gr/p/MLA21262845?pdp_filters=category:MLA1423#searchVariation=MLA21262845&position=5&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,1.700,NEWGARDEN,Nuevo  |  +100 vendidos,(9 disponibles),Nuevo  |  +100 vendidos,No disponible,#1392308264,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
