Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Oferta! Azucar Ledesma 1000 Sobres Extra Blanco En Belgrano,https://articulo.mercadolibre.com.ar/MLA-1375991090-oferta-azucar-ledesma-1000-sobres-extra-blanco-en-belgrano-_JM#position=45&search_layout=stack&type=item&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,15.999,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1375991090,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar Blanca Chango en sobres x 100 unidades por 5g c/u - sin tacc,https://www.mercadolibre.com.ar/azucar-blanca-chango-en-sobres-x-100-unidades-por-5g-cu-sin-tacc/p/MLA21888697?pdp_filters=category:MLA1423#searchVariation=MLA21888697&position=11&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,4.499,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480984926,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Dicomere Azucar Organica 1000g,https://www.mercadolibre.com.ar/dicomere-azucar-organica-1000g/p/MLA20011121?pdp_filters=category:MLA1423#searchVariation=MLA20011121&position=1&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,5.185,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1301668270,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azúcar Chango 1kg X Unidad -,https://www.mercadolibre.com.ar/azucar-chango-1kg-x-unidad-/p/MLA20011142?pdp_filters=category:MLA1423#searchVariation=MLA20011142&position=24&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,2.999,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1658643112,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Cacao Amargo Puro En Polvo 200g Dicomere Sin Azucar Sin Tacc,https://www.mercadolibre.com.ar/cacao-amargo-puro-en-polvo-200g-dicomere-sin-azucar-sin-tacc/p/MLA19957606?pdp_filters=category:MLA1423#searchVariation=MLA19957606&position=13&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,6.178,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1301648411,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Saborizantes y Jarabes,Cacao,nan,nan
Azúcar Hileret Light 50% Menos Calorias Paquete 250 Grs,https://www.mercadolibre.com.ar/azucar-hileret-light-50-menos-calorias-paquete-250-grs/p/MLA19942386?pdp_filters=category:MLA1423#searchVariation=MLA19942386&position=14&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.322,No disponible,Nuevo  |  +5mil vendidos,(3 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1272840554,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar De Coco God Bless You Doypack de 250gr,https://www.mercadolibre.com.ar/azucar-de-coco-god-bless-you-doypack-de-250gr/p/MLA20011148?pdp_filters=category:MLA1423#searchVariation=MLA20011148&position=15&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,10.689,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1347012934,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Oferta! Azucar Blanca Tipo A Delicada 1kg Premium,https://articulo.mercadolibre.com.ar/MLA-1455749198-oferta-azucar-blanca-tipo-a-delicada-1kg-premium-_JM#position=46&search_layout=stack&type=item&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,989,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1455749198,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azúcar Mascabo Rubia X 5 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SVmRk0AgTTaVp3Y8LPgYz9msp4bCMh4S3PobLdeQM7EIq8zjO4XKLrN5yisexzVga0Q4%2Fgp97DBVYaBgWSWS7GPTv8vsdzYRw8H%2BgBeruBPm7VKEYTOThrlcLE6psj4JDxJYSL02TSR%2F74cfQbFDjFO3PnwEm2yx%2FG%2FFLUWegsJN7moiO%2FH21gZvx7LGQ0%2BQhEJX32u3%2BgM%2Fj4yfHI9Ly0TusER300KrSCO13bOPjxpocTeEm120BIiWC1Sk40lW%2Bx%2FwyyQVhuKRvqfivGLgbDxDVgCagbOs3rYB8d%2BriO1yT5Wqmmv3Heqb2XqUIV6RHrV6f3CZ2HANxFTx9DuzQtW3QMwx%2FClDJvas%2BcFnc7nnOuvkpS7%2F5s5FlWNAU9wkzX7LDl5mge%2BznXHjJbSexf0ddzSwSJTIzE3SDlxC%2BugYVu%2FXwhtj2zU9DKQYe%2BUE%2FErTHV%2FM4qObrIDlICx7%2FDQ2Kr42dWw2PF43WvGSxCswZdHh%2ByE3R3OQge5kq1aWe5cNQz6JThzItB4iSiMJQbjB%2BlvuhcS%2F8%2BwnC7HmgKxobF0XYtEksJZOOdWnsYG6VlVw77pcT7qDmmWcSYk7BoaIkUtdWLnclK1ylxB7p4E7ck9hW0oNkK2BWi4VA9hw8H%2FQKldERtJN51GlyrVEQSBWJF5pFGHKf3UC7iXYgJopM%2F1LPMTcRus%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,12.170,No disponible,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#914225828,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,Azucar Mascabo,nan
Azucar Impalpable  Talco  X 5kg.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZBWEcnMEArMsxrS%2FisNlnWVE5FCggwof1QUia7aJJ%2BmTLqN7ldLeh3aIkMErn3PKm%2BY4Qt1lVQ%2FV8EwlD3rlXr%2FmWjZbc%2BEzWFm0RuE1dMtwxIKtn0TKouLxNWGL0vXZ8m4zxXPJiIJetp%2F0xWC890b5E8p0%2BUMdh2nqD0chUyzhVpSJ8AqdvtQzb60o776I6yvW92tfsRrEFJIUjjDdXCuihcy467YlMnngx2LKo9DWxnJ7lGYlNxwAgxmTpDoTjNR8mctg0XQZ%2Fdzl%2FYFjnV%2F%2F54JZaILUxPHGJw4zz2voUUflHM89b%2FoLilxnJgEpMZDOtIVmaA9%2Fnjnwh6v%2Bz58Qba1AT5quE41Dv%2BAwiBbXstjto1l7JB051gklXfmTE0Mtt7uohrTcw%2Frg1xR6POXbLcKb%2FMGeI3E9JC4iRmNX3Ory2xnAMba%2FREcYoShuTsVa%2BBBHY8w0NOD66PwCU6xOQiXlSzxsxalzrSPHNysjBeQHH57R%2F9elc7%2BIrY5zQ3p8WJgA7ozcvVOJpkGxOCAHAmoJmaJEM%2FtKcB0UP68LD3yxa8B4ThvmNmniMedC9Zy6OsVEt3KVkiJzj%2FX3KTMha2TrnqTyE%2BUZWs%2FrlVUEvEtWf5jjUM0WDHebyRUTn%2BuZwWEaZqhF018hxPWPS5Kv1B%2BfJiJuqGE3gtpNXx77lXr4kvML4Yc%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,19.790,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#772171180,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,Azucar Impalpable,nan
Avena Arrollada Instantanea X 500gr | Yin Yang | Premium,https://www.mercadolibre.com.ar/avena-arrollada-instantanea-x-500gr-yin-yang-premium/p/MLA22846086?pdp_filters=category:MLA1423#searchVariation=MLA22846086&position=16&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.869,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1368945997,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Cereales y Barras,Avena,nan,nan
Azúcar Mascabo Red Cañera 500 Grs,https://www.mercadolibre.com.ar/azucar-mascabo-red-canera-500-grs/p/MLA21362119?pdp_filters=category:MLA1423#searchVariation=MLA21362119&position=17&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,2.897,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1532558964,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
