Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
"Soda Sierra De Los Padres Sifón X  1,75 Litros",https://www.mercadolibre.com.ar/soda-sierra-de-los-padres-sifon-x-175-litros/p/MLA19737990?pdp_filters=category:MLA413907#searchVariation=MLA19737990&position=14&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,1.537,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397225087,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=43&search_layout=stack&type=item&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,21.755,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Botella Plastico San Pellegrino Gasificada X750 Italia,https://www.mercadolibre.com.ar/agua-botella-plastico-san-pellegrino-gasificada-x750-italia/p/MLA20728088?pdp_filters=category:MLA413907#searchVariation=MLA20728088&position=15&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,5.200,VINOTECA BARI,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380881845,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=13&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,7.779,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=33&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,1.167,Cervecería y Maltería Quilmes,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1407223399,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Ko Sin Gas Libre De Sodio Premium Pack X12 Unid,https://www.mercadolibre.com.ar/agua-mineral-ko-sin-gas-libre-de-sodio-premium-pack-x12-unid/p/MLA22241414?pdp_filters=category:MLA413907#searchVariation=MLA22241414&position=32&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,7.999,CAPSULANDIA,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1427573730,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=35&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,4.953,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1237173981,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Con Gas 500ml X48u Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=sDr6OkmP%2B7JflMw9oZ%2B3T9feI2pzaKppO5g3sJITPIkA68dfqTE3Ft%2BMihYcylwaMsNRoaR7sBYEXZlDafe9zLavPuNDDED%2ByiPzdU0DExTvWd%2F9faKpp3cNbIo%2BeeiU2K8LApUa1ONwyQjLaPn8SRnnFf9PPU3VRxFdA7GdIUNS8WRxXmK%2FyeN1Ll5iJSndMVZLt%2BUBadiDxsVLIiyE8PzxU4T%2FVubc3yCciGmSVuLY0gjpPgCHVnrI9GzXQ4InUtZSg7zNXFJ0IRj2kwgPrioZNHsggcS%2B9Zm8tayblHZF2SykcHny1CBy5o0w8TjLKUWLa5x29qkYDUH93FB6OeI2PHHWg09fRrdC3iyaqgDuGAD%2BVE3xhjryf621ddHwkpEzkkbUW5x2HhVMwOWWvbdN19zrmRQSL9LcyGhzkOiktgWrDZBIajidf6bNu0TRCBHhh6pfagPAFyE493%2B4%2BK5%2FMEb%2BF2U4Y2qZhDRMZlpKlkCD8MNci3o92tizTaqcNsXr2sKCpaFLA1eHekUwgiLweJdHFJb8FQY47w7CfX2hA0K1ozp8B5nHXQxSdEmnZhvug6u8JgrRWPHtfvABwcrerTNKPxai5aDHBHlYY8NamRML4WCrrzI6fzO1ZY%2Fb3eQjlvn2EfWkGYwC%2FinIIqohA6z3v%2FqvyOvvcSf3dk65FbHVk6R%2FLgszzW2RHhhaB0CKrGM6Ms6tdt8klJJv7G66igcUwJA%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,30.600,ZETTA BEBIDAS,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1371898203,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=JWKoiFDEM52dbDUnOTFBk406C%2Fw641bz3y1ALWHPEtSEoAKBF2NJGd%2F8qUI0Q%2B8Oitt2vI%2BSKlHLdHeo%2BXSM5PXjvwhiSW3T55M2tlZx9rFrnHPQsCwBp6XcbuqbCXPoYnyqmZS%2FSPJwY4QxPg9RGgC1vMwTIfCWWSslx4iE1cpLD1TxFNvn1s79tJhRhVJZTzyu%2BLb1mgFJZCLT70%2FUGnvy%2B98UYkrUJ6JMgy7qxxD%2Fe3GUbnDOZ2QX0q31iachOpWIrruyr1p0%2Bw0p7nmhIrWaTq%2B5SmEdlUBfwBxZJUOLjRmpO5iNoeSGRTZVC84ah%2FHaBbrLugIOlN1Ej4CCJfxUjvQD3zjRB0wr1KZKHc3Hrd5TNGIEPRWlRrA5Sbdo6krOWURAXuQcUZLO4c0jbFZo9vQvVZPBkTZvx9%2FMJFtvBzS6qXpL3f3fgNKZhqNLbHQeGCgoGn2oJsPj0rutYb4YdgyVbN21JXhKvrxhhajOfLntlpG%2FNcV%2FzWa82NvMEprOcaEG6c78Qf1g0LkkISTsg7cb4lcuXsi%2FC%2BeqGHdQcppokfzgE3FzPr4rLlenBT3Lo5ho%2FFbImpn88KguSqPyQeih7ZWXungJiZz%2B%2BqlnnJGvZikBrh%2BzhSmRjcM3Z4Tou0ifaw9MZIzjW5lOeJOYzrvIz5dLQ4qBOvqh%2FHp3HvdQoYa9YY8K7O6WnbangHYWpdl8pUitFuPtexQaR4Ne%2BYo%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,21.755,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm/p/MLA21029572?pdp_filters=category:MLA413907#searchVariation=MLA21029572&position=7&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,4.799,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1408976220,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=26&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,20.868,VINOTECA BARI,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=27&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,1.119,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1695027816,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Benedictino Sin Gas Bidón 6 L X2,https://www.mercadolibre.com.ar/agua-mineral-benedictino-sin-gas-bidon-6-l-x2/p/MLA30127593?pdp_filters=category:MLA413907#searchVariation=MLA30127593&position=28&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,4.336,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644774906,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-sin-gas-botella-15-l/p/MLA16168869?pdp_filters=category:MLA413907#searchVariation=MLA16168869&position=29&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,1.423,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1720394768,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=30&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,2.659,TAP GROCERY,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223027468,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Natural Villamanaos 2 Litros,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-natural-villamanaos-2-litros/p/MLA19769485?pdp_filters=category:MLA413907#searchVariation=MLA19769485&position=31&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,6.095,HIELOSANMARTIN,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1422209348,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=25&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,1.358,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Palau Hipertermal Grande X6 - 01mercado,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-palau-hipertermal-grande-x6-01mercado/p/MLA28714390?pdp_filters=category:MLA413907#searchVariation=MLA28714390&position=37&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,6.840,01MERCADO,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1398773973,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Gasificada S. Pellegrino 1 Pza 250 Ml,https://www.mercadolibre.com.ar/agua-mineral-gasificada-s-pellegrino-1-pza-250-ml/p/MLA19558890?pdp_filters=category:MLA413907#searchVariation=MLA19558890&position=38&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,3.478,VINOTECA BARI,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394929279,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Natural Acqua Panna 12/1l,https://www.mercadolibre.com.ar/agua-natural-acqua-panna-121l/p/MLA23694963?pdp_filters=category:MLA413907#searchVariation=MLA23694963&position=36&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,122.800,VINOTECA BARI,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482326380,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Soda Sierra De Los Padres Sifón 1,75 Litros X6",https://articulo.mercadolibre.com.ar/MLA-1533912096-soda-sierra-de-los-padres-sifon-175-litros-x6-_JM#position=44&search_layout=stack&type=item&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,6.073,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1533912096,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Con Gas Palau Hipertermal Grande X6 - 01mercado,https://www.mercadolibre.com.ar/agua-mineral-con-gas-palau-hipertermal-grande-x6-01mercado/p/MLA28679359?pdp_filters=category:MLA413907#searchVariation=MLA28679359&position=41&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,7.735,01MERCADO,Nuevo  |  +5 vendidos,No disponible,Nuevo  |  +5 vendidos,No disponible,#1591929392,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Con Gas  Pack X12 500ml  - Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1121407616-agua-villavicencio-con-gas-pack-x12-500ml-zetta-bebidas-_JM#position=45&search_layout=stack&type=item&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,13.642,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1121407616,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
