Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437?pdp_filters=category:MLA1423#searchVariation=MLA19958437&position=7&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,11.900,GOGO20240327112448,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1421800983,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Capsulas La Virginia Espresso Intenso N9 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-intenso-n9-10-capsulas/p/MLA16167755?pdp_filters=category:MLA1423#searchVariation=MLA16167755&position=11&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,5.161,LUIS MICHELUCCI,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1398590223,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507?pdp_filters=category:MLA1423#searchVariation=MLA19944507&position=21&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,14.225,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664?pdp_filters=category:MLA1423#searchVariation=MLA20718664&position=5&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,21.431,Nestlé Professional,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447990142,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cápsulas Nescafé Dolce Gusto Cappuccino Oficial,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-cappuccino-oficial/p/MLA16167625?pdp_filters=category:MLA1423#searchVariation=MLA16167625&position=17&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,12.999,CPT Oficina,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#921695731,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA1423#searchVariation=MLA20026019&position=14&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,17.900,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Nescafé Gold Tostado Molido Intenso 250g,https://www.mercadolibre.com.ar/cafe-nescafe-gold-tostado-molido-intenso-250g/p/MLA24047577?pdp_filters=category:MLA1423#searchVariation=MLA24047577&position=26&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,11.982,Nestlé,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1581910040,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonafide Tostado Pack 3 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=OYguCCg5s3JeufA6K%2FySb74jz8tnL%2FNBbwLzZtVdh%2FoCMK1kswLA2hgR8DTA4b7zyHvHKjxUyuxkY5gJEj%2B9M15V%2ByHh4%2FqRe95XJeEiqu8iQAHZGAdDHtD4gNoEYge8l7R5cg%2FG2fh5Bw%2Bh9tJ9stRZzH2n7lxMEn%2BiYG5LIISY6YFtCBKVwQQMWvMEwKxDfF9trDVlrn7XEJocQ8vU54sRsmaAZQ85BEVxHL%2FvU4qDy1nQW3JfVkKrgQlVCsIah9jX9mbLKzmUNjBXyaiznYenq7%2B0QYcXBjd%2FWULjQHD2dgeogQXOJ5G%2FUOYRWkhT4bXZliuzQXSgGWs7latn9qQ4Ecc5pfg4RH0ZphB1%2BnmV%2FC7QvpAeXciJt8xbsZbtC52D1QN%2F%2BK4gjrQQQ0RzzQhXSInizmBsEqUjezrVTmYubvGAIpCo9AR5Hhrs62QVR7nw%2FDZ498SFGAFhsdTYkTbYHmgUx%2FirSby03qhBfM1%2BCDiK5c6b5uVrBQ9b8VlU0oNmPGvkcyJm1wEC%2BQxhYoj2Z2AX0MyeF4rrIA%2Bo%2FKPCf9kZD1ISpJuF1CFGveCvty5dfxWgWNB5b5p6u%2B0dFzJ6whvpIfUzkg6OZEjQWuBJdn25bmDu7O83ydl4QXRdyVKCSdq%2Bs6fC8UdRMMTr%2FL5%2BxseS1QCvi667DxUxbDpuEQDBLHfDzuXYFbGcs3vr&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,90.000,BONAFIDE ONLINE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1100935922,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Italiano Luggiani Rosso - 2 Kilos ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=3M57MBGRd5Mbc3EIhxOP883ZQ12kT5HPLBh8GZxHh93RUl9iFqL70xcNYoa7klgwuWqvw%2BVUD3Gy17xqeKkGpkwzi5ylShJJQMlK8pLpMR%2FBzMEKObBfD%2F2%2BU2jAEY8ZhHxuHYfPfLbiI6erZsSUkyXlQXUtC5CNAwbMO62Fs%2BKaxeTkukndggsUvFv3IuJqHzpm26NtE9rbtF89MxKOXwvcY0jIhXDc750v5cRHLWhBmq%2B2Ci2HzE8t%2F5%2FyaFMi%2B8dCd9K576odJVsrf52VogL9W2PTbsVFUGyl7kP7USuPo5jA%2BmEP6q9ARGg56gcR3EF%2BBqJA4lXhYV1MZltgLV4mYnwnQ40fraXQz1tAH0QJ0g1ijRQxBGtsOMiO35AjPpt6%2FUywl4LEB%2F4tLnjIxM2WjmGAnARbkMhIPm58pWUMW%2BasJOTim7Rs1lXp9CER0lZcE68%2Bu%2BHOUS4ca46olo9LlodH0hoYq4z1AdRF3dG1FhcH7hwSfzYonP%2F0RciwOK8UF%2BvHrmRjPB88lkF7dJX4let0TIwbRTyxuOkyEQVs74W7qrdDWLxyHKinY%2BbvRP%2FgaOGYJvROOdd83p3dbj%2FNI63vETOC0KH7wICjZwLqiTn%2BSvLSN8RvDgI4IQrORJ8NATFRyqKp1A9UUSQ3%2F7nEbW8Ej48Om1uooc3Lzr4Avp4kJkevzbmUkbn3KoRVjBXSRtS7WDbC&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,61.099,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#867612399,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafe gold cafe soluble instantaneo sin azucar frasco 100g,https://www.mercadolibre.com.ar/nescafe-gold-cafe-soluble-instantaneo-sin-azucar-frasco-100g/p/MLA16112959?pdp_filters=category:MLA1423#searchVariation=MLA16112959&position=28&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,16.600,DVL,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1572324400,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
