Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Fideos Fusilli Con Kale Wakas X 250 Gr,https://www.mercadolibre.com.ar/fideos-fusilli-con-kale-wakas-x-250-gr/p/MLA20021519?pdp_filters=category:MLA1423#searchVariation=MLA20021519&position=14&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.235,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1288654233,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Ramen Nissin Carne 85 Gr. Fideos En 3 Minutos,https://www.mercadolibre.com.ar/ramen-nissin-carne-85-gr-fideos-en-3-minutos/p/MLA20030968?pdp_filters=category:MLA1423#searchVariation=MLA20030968&position=2&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.100,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1297724007,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
Fideos Terrabusi 3 Vegetales Fusilli 500gr,https://www.mercadolibre.com.ar/fideos-terrabusi-3-vegetales-fusilli-500gr/p/MLA28569927?pdp_filters=category:MLA1423#searchVariation=MLA28569927&position=11&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.310,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1584459990,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tirabuzón integral Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-integral-matarazzo-500g/p/MLA20021495?pdp_filters=category:MLA1423#searchVariation=MLA20021495&position=17&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.099,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397460699,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tirabuzon Verizzia 500gr,https://articulo.mercadolibre.com.ar/MLA-1284845345-fideos-tirabuzon-verizzia-500gr-_JM#position=51&search_layout=stack&type=item&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,964,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284845345,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,Fideos,nan
Fideos Rigatoni Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1371103776-fideos-rigatoni-verizzia-500-g-_JM#position=52&search_layout=stack&type=item&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,964,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1371103776,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,Fideos,nan
Fideos Favorita Mostachol X 500 Gr,https://www.mercadolibre.com.ar/fideos-favorita-mostachol-x-500-gr/p/MLA29075589?pdp_filters=category:MLA1423#searchVariation=MLA29075589&position=5&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,959,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1408597231,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Ramen Nissin Pollo 85 Gr. Pack X6 U. Fideos En 3 Minutos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=fXtetRwW6gHvwxxq4E7wEkaWDRjxB5QjK9nWRz3m5%2FCNQzJSdyHG4z9bO1OqIKv9lcehT3csyAYrIR5%2B54C8KFpYrW%2BTFz0vObOBpJVvFa2V6bB%2Fv%2BoAP06ta8AEw4ydf9dY4sLlm8S1rHorOKKEn0Q0xdJavQMDNSids%2FsYetyLF1DNyBY8IwSCKkkiJvlPQrgSiFNtkpx%2FvUwwXYWbpOPGvbY103hNump07RAQQDgc4Pg7hYaC0KApz8Dw8Gl2gOhCaq24I7W%2BJtdLjibaBf4vde%2FxbkBZvItH5FgM4EMg%2BZ09CN5cIAEvhA%2BDwuirWBtHDgEiMVIRT%2Frao%2BAjq8QUSPoMTMYIaV2msRXjcafGPGiCeOg9M6hCaSNLGeXkpIsJmjNevkupPH2%2B2fa%2Fht9msHD57jE7Pz6lEJGb%2FHqRbohmwqTJHJpRk3f8Q4GEun1E%2BiarE68IVbnY6mQ4VYvM7AXavZ%2FxMUQwN0bnB%2FgfdPZeQndk6Lm5zEj6Br2Mge8VRMJhjOaaJcwksOhgnZcptrIjoRosAiScV44tIWQNhMrUoBE5FVPXluiwac%2BWxgjLPMN5wFtLv3%2Fe8HeLiqrVOTL%2FwQK2MTfCRHLnthUIKf1COLSdJRAbLx%2FRcMb7v5oTYYD7K1vi4JpHN5VMc9HDq6C0%2FhoG2zNfQDyQl2CofNMcQLpDj6z1zZeSh0tcRoWG6DyASY4ZXziv3jKjCj4V&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.905,No disponible,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#870735990,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,Ramen
Fideos Mostachol Verizzia 500 G,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0ZTwka7Z1ItKrWWIR2NZIMm75E%2BaGbBVsfiF%2BRqBg65ry%2FNdjCRFT%2Fi6MZcOOCi%2BWEZOLUGTQIclsNV74G69SFkvmdYtBfi76uacl%2B4tYARzIN77G6Af5qdP%2BGHXN3WrbSXfuCQn%2BKXmsDTAOsHfXZuJjXcaavDoU15RSFH9DIVKi7k9APNcpykAYurqv0mdgDuREDhLnVVSV%2FufsIaAt%2BOaHVyL2jvRuakN7z5vHSsQifauU%2F7zNdBNq7YhrMBfMuUC07GGXAIcaMoyiPlnG6O3WtuRuL2nqfb1pf4Yi4VQ2saEdRO6GYtgHud9SsT8G59sPyZjIsycK0VQsX6GXgZnipFnouwKY8E7NaS0nE9fnELcnsEFzYBamaDc2vtnEtiEbCKOTI7xaa5oY7%2BKXUuh9mbjR3nm80x9RvFeCQpBpCR%2BVQ1j62I6uasTjnjtc3UNJKWoyyKUoZ%2BNbTE2gri1q%2FdK179h1XK86i3FihdeShWtjZgR0NAPhjFE3VHjuOs42N21N71Wu1RtbGm8IG4yxe3gN1Xbi3oj5M037iSKxQD199nIyc6gaRPcACf1ymiU24AB6Dv7d4i9LFsANPzdyYwYuWSaqFGDl1Q8c6JkVbd2u%2F6SBZo9%2FaPiXrsCJyArzxg2xis9w7W9XPXlRgqfCmVTqlNDMHddXVIa96%2BJbMSvuT3YuNY%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,964,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1371175964,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,Fideos,nan
Fideos Spaghetti libre de gluten sin tacc Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-libre-de-gluten-sin-tacc-matarazzo-500g/p/MLA20949980?pdp_filters=category:MLA1423#searchVariation=MLA20949980&position=21&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.899,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1586695680,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Matarazzo 3 Vegetales Penne Rigate N°45 500g,https://www.mercadolibre.com.ar/fideos-matarazzo-3-vegetales-penne-rigate-n45-500g/p/MLA28611321?pdp_filters=category:MLA1423#searchVariation=MLA28611321&position=16&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.824,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397863973,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Giacomo Capelettini Verdura 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-verdura-500-grs/p/MLA19977015?pdp_filters=category:MLA1423#searchVariation=MLA19977015&position=23&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,3.332,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1432346870,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Italianos Pasta Barilla - Farfalle 500g,https://www.mercadolibre.com.ar/fideos-italianos-pasta-barilla-farfalle-500g/p/MLA21361063?pdp_filters=category:MLA1423#searchVariation=MLA21361063&position=27&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,8.290,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1323518377,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Lucchetti Foratini 500g,https://www.mercadolibre.com.ar/fideos-lucchetti-foratini-500g/p/MLA28615789?pdp_filters=category:MLA1423#searchVariation=MLA28615789&position=15&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.295,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1590716406,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Ramen Nissin Pollo 85 Gr. Fideos En 3 Minutos,https://www.mercadolibre.com.ar/ramen-nissin-pollo-85-gr-fideos-en-3-minutos/p/MLA20030997?pdp_filters=category:MLA1423#searchVariation=MLA20030997&position=22&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.708,No disponible,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1337735235,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
