Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
! Cafe Instantaneo Segafredo Preferito 100g Sin Azucar,https://www.mercadolibre.com.ar/-cafe-instantaneo-segafredo-preferito-100g-sin-azucar/p/MLA20713491#searchVariation=MLA20713491&position=39&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,9.443,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1365581849,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219#searchVariation=MLA20026219&position=40&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,9.680,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Molinillo De Granos De Café GoldFruit 102563 - NM8300 Electrico Especias Semilla Muele Color Gris,https://www.mercadolibre.com.ar/molinillo-de-granos-de-cafe-goldfruit-102563-nm8300-electrico-especias-semilla-muele-color-gris/p/MLA29649378#searchVariation=MLA29649378&position=41&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,33.240,BELMOTEC,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1403644947,2024-05-18 15:11:15,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales
Cafe Nescafé Gold Tostado Molido Intenso 250g,https://www.mercadolibre.com.ar/cafe-nescafe-gold-tostado-molido-intenso-250g/p/MLA24047577#searchVariation=MLA24047577&position=42&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,11.233,Nestlé,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1581910040,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez tostado molido Brasil 250g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-tostado-molido-brasil-250g-sin-azucar-agregada/p/MLA20026339#searchVariation=MLA20026339&position=43&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,7.920,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282331780,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Dolca Torrados 170gr Nestlé Oficial,https://www.mercadolibre.com.ar/nescafe-dolca-torrados-170gr-nestle-oficial/p/MLA24207287#searchVariation=MLA24207287&position=44&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,3.500,CHACOCAFE336,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1770381122,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875#searchVariation=MLA20025875&position=45&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,11.305,LUIS MICHELUCCI,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1664899496,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Licor Sheridan's 750cc origen Irlanda coffee layered original,https://www.mercadolibre.com.ar/licor-sheridans-750cc-origen-irlanda-coffee-layered-original/p/MLA19944418#searchVariation=MLA19944418&position=46&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,35.746,Vinos y Spirits,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1686367096,2024-05-18 15:11:15,Alimentos y Bebidas,Bebidas,Bebidas Blancas y Licores,Licores,nan
Combo Café Molido Tostado Suave 1933 260gr X4,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-suave-1933-260gr-x4/p/MLA28576569#searchVariation=MLA28576569&position=47&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,22.360,Cafe Martinez,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1397615721,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Recargables Caffettino x 4Uni Compatibles Nespresso,https://www.mercadolibre.com.ar/capsulas-recargables-caffettino-x-4uni-compatibles-nespresso/p/MLA23532308#searchVariation=MLA23532308&position=48&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,11.316,BLIP,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1372355893,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez molido tostado moka frutado 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-500g/p/MLA20025965#searchVariation=MLA20025965&position=49&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,15.760,Cafe Martinez,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492794,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571#searchVariation=MLA19979571&position=50&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo CEBADA Instantanea Malta intensa doypack 100 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-instantanea-malta-intensa-doypack-100g/p/MLA34586845#searchVariation=MLA34586845&position=51&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,2.399,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1713273386,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
! Cafe Bonini Molido Gran Crema - Tostado Natural 250g,https://www.mercadolibre.com.ar/-cafe-bonini-molido-gran-crema-tostado-natural-250g/p/MLA28808312#searchVariation=MLA28808312&position=52&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,7.439,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1698218356,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Hudson Moka 6 Pocillos Expresso,https://www.mercadolibre.com.ar/hudson-moka-6-pocillos-expresso/p/MLA24434698#searchVariation=MLA24434698&position=53&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,29.739,HAYSTOCK ARGENTINA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1678513244,2024-05-18 15:11:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Cafe Torrado Molido La Planta De Cafe Cabrales 1000g 1kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-la-planta-de-cafe-cabrales-1000g-1kg/p/MLA19966384#searchVariation=MLA19966384&position=54&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,12.836,LUIS MICHELUCCI,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397149919,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Molido Colombia  250grs.,https://www.mercadolibre.com.ar/cafe-molido-colombia-250grs/p/MLA20026271#searchVariation=MLA20026271&position=1&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,13.560,Cafe Martinez,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293239410,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cabrales Molido Super 500gr Pack X2u. - Tienda Deli,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=yyhxMETm2WEdo1%2BwMkOOxw1MItJDe4%2BKAfnwlEjBKbBwwvbDJyxetNI748J4AcSqALwtm9HkLl05%2BaYKwXC8Vf0%2B4XX%2FT4nu0ggVV41dUMb1GzheSG2kk6co%2Fi7wOImTcu0wDPehkyQgQ1sHGSrPOL7onlRhKOQ8MiGl1jMI5UNVAFKS477yS2g1c1NUFb4TivZbj7xtjiZxbj8W0piW%2FfGj3bFiIhHDD2IfsU2YI8h6Ox%2B3gtYEsQNwpBRoPG28%2B%2BDQoAtgwXoSRcTuNIVsJqQ8o7ZJHS6py0Kf3TiI1r646Xh6q%2FVhXFJM3JJs8WXG9VpORWv7BDyDscWIQZSePjqLsQSpu6rWdnHjXU2uNLfflfHF%2FGRsaqpUsTz52mtt1v5BbJcPx09B2Rz1IL8v6IwgttksoZzq2WV7qQJoSoBi%2FH%2BJUaOgzzcSYBUPhTyFfoJGacukrhaHTI2qUGAFr4jgrf4M0a8KVOYaiQDGtUtvKjB%2Ba8QAhvt9PE9amdnjPlmfLmA%2FY69aFTIwVMq8tXZ47pSHr%2BQ3zYEOaPzgcoS24aL7bs1v4fQsHJQCk17yUnc6jtsp2BxykJGsp3KrA9lK5Wzz20tz6l9zoiN7Gx5MYb2YPaIRZjzcRcps3qaS1%2Fysv2JEXX8dJRVAFMAScUC1KSqTjPD9vH263fWEnxjGHmtjeLxGQ1TWRQwI1N2Ckg6HmsGb4Yhy%2BgrH0%2BPa%2Fy8%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.930,TIENDADELI.AR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1424619380,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Rosa Amarela X 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=G7kc5GrkLPONzQ4AMPWq2EEipObic%2FyqQd2OFIf96sp8P%2Ft3APM9DHBfTjSQf4gwol04uRCA%2FauYOinq%2BtPmaIYAa5cq712ymRR8BTf7TTLHfeT%2FDK%2FZNJmGwxSpU%2BbYHyb5O9Tz09IokelZpOIP56nQPQEDNQlrjh4ImXjsHu3MiWG2m091BiZJsPHb8xtDgAft7LEgTjCXswuzkA8gFSKdZT43Tl9Ogr%2BITT%2F1XGU6XEbuqBKEu89fs2zSVc0rJr07ArawWcK5yRH4IB7Zs1BuYsSeev9mLKw1MP7pGCIV1iAG1qLwr2i2xyW4oQY92f853BrK8ML%2BTHiHU2y%2FrDmTAXxZtjn63l3WCeBYKohRQu8E7AfYVsIVHyUFSZiyCBeqXE6ydA8K6d8kHotVcxbHBy7s79avAw5jN2tmm9JeQiQm4PUJqwK1ZvH9v1SyqQu7h6aKbqHjqPHQAAfvBt%2F%2B413%2FNWtbCYH7ttNDHU3tC0KEwhF7g2evySVUyIWW0dgz83mukkI5zJ6n%2FmdtXQiStgvFtOTTZGgL0uugmgcYPOjHbaQmBpHhwnRLPHDPHMA9Z6Nz6fgUnK1U9ZzZ39LBNXw2gA5RHjq5poStnZ9H5xaQtDAt86MRBWtWKITV%2Fg5VknvZv77hnegHNzK8YaBgAiKHJZLPtXdhMZg8ubh6%2B9bqEP5bzif8409ORaAVwY2Ee7LebrmYC9nmm4I%2BYuSfi5C5BA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1124396366,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xFTz35DwU6VThAi%2BvdflTQnNQafLUQuyLzKPLCw3mMskk2TgA4s8VsP2JkFCJNPUYUyBnq5QpC5T3Lib6NcG%2FmXmUiyAg1BrEQgeE541hgNK8s3ZquDM%2FnGtI%2B4T9l%2Babh%2BDHOX91dn%2FUk9p%2B8zRoEd512IETfActAkEbQ%2BJ4k5XSNSO9otaIquK4IedJDCPCLQdLLwAWNSPviDvifW3jYJ%2FFUwwUk9I3tGLksySUAfGCOlGLs23fqpr7CQ06n9SKOWhmGd1DFrDsMtIDonKZO55SDn39ObCTIbXZ2Fbyxrg8QuSb23Ymc6GeVM%2BJpmSXZ0KJxkEpQfZgolRvG3ztSm76RZXL6pZSXm9Un6IuMxkJM0mMiql5ZDY9Kl2kGigvelMqUgK2LRmg9DO6cop4V37i84nknY3E9guW%2F3SqCZ4dDNznXKe4%2B%2BVbmHcFUh%2Bdj1dwZSYYrbmlNfQKvrhWzED38ZKgvxlK3fDWXT%2BkqO93DzMA%2Fcregz57Zo1wYKxSV8UQhpW%2F%2BqVm3pquBF8NdWgWt%2FJ%2FNZ94rwg7Q3dawzEXC4Utkw9%2FY7XAc2NFjqUxkBzF4kih%2BT7q6BVvy44UXa0udDIzIwMOxTvIw1yQA%2F8jwG%2BSQULGwH3byGoxFzVc1r65pgTaV9m7eBt29lPRJFYrQgLyedIjqECMHSqM1az6woGKDtyTHhYnrxcoyexJbTW%2BKi77Q1YSlDIzKTZge6dWxZfnPTtSA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe En Capsulas Espresso Equilibrado N7 10 Cap,https://www.mercadolibre.com.ar/la-virginia-cafe-en-capsulas-espresso-equilibrado-n7-10-cap/p/MLA16167627#searchVariation=MLA16167627&position=6&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,4.213,Ecomodico,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#909810194,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Santos Crema Granos 5 Hispanos Espresso X 1 Kilo,https://www.mercadolibre.com.ar/cafe-santos-crema-granos-5-hispanos-espresso-x-1-kilo/p/MLA21618937#searchVariation=MLA21618937&position=11&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,33.738,BARINSU,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1378400974,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo CEBADA Instantanea Malta intensa doypack 100 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-instantanea-malta-intensa-doypack-100g/p/MLA34586845#searchVariation=MLA34586845&position=5&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,2.399,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1713273386,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=43&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,11.431,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1625147448,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Taza Cafe Rigolleau Amanecer 370ml X 6,https://www.mercadolibre.com.ar/taza-cafe-rigolleau-amanecer-370ml-x-6/p/MLA24297036#searchVariation=MLA24297036&position=7&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,6.591,PARA TU CASA shop,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1446302812,2024-05-18 15:12:15,"Hogar, Muebles y Jardín",Bazar y Cocina,Vajilla y Artículos de Servir,Vajilla,Tazas
2kg - Café En Grano Tostado (1 Kg Italiano+ 1kg Colombia ) B,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=nYKzRLdhh5dZ0%2FVAnqNmOUHERMSZL6H2fVvrEL%2BuEde%2FCA3VQIjAiqPv2c3zaKCYdu39K1qzJwTeIdLTLcc72EvwQBnMHmdov5WAQYgnFTR59V9BRmqHv5hbRVLLULfcJedKJ8uFpFtflDwiiUg%2BICVgP8eA%2BhuB%2BtjfreWehUV7r6LswtonFDTeSlN3sOhQYXF%2FHTfl4E76n3hU6TNoJK1YEtAkdtrv4vTcpEpF7x4KmDs4NEXbOhe78%2FMKRHuM3qLs%2FoLyoFmCX%2BhkovfzhiuUqxPPcn28dRCmW%2BNrABeWE9KHk4Ymfu9hQf%2BTQIHIPqLBDsFwE947PU5wErLGIudQ3ztaYEa%2BK9iRucwTHbi3Dc3uEv3eSrPC55Nh5ZAyQrATYuq2qDODPOC2iCXYYrOa7mYfzR70ZqQCJNBogwg7YqXKka0Z0Fp01nTNcWncPoN7SbATcPSX%2F0BOtgNr9cPRGLQ%2F0l49r1tc7upjoLSebAa5PXGdGJzG7pj%2FbBBAvKnTafy4KuMc13SV%2FKV8bStzLZbF%2B1P04tPXlPcre4Y9G0vAdxuj20XCwykDmxReNmNHtymvssFclrOWlcHGWQxgpGppMhGiSogddPAea7rxr1pJX0PjojYv9GyV3TgtOK8wWGmKn%2BPsFzskjzsI8AE%2B8VhZn8d8r6COsMf0CYMe8orHR3JLCmAJfw5TwXS9VYl%2Babf3XYRHMQCo3gaqPRPPIw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,64.390,CAFE GROUPP,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1434513598,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Paraíso X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1A%2F2W0SvUnmK3hd4hIhy9E%2Fp4rcOuVbNp%2F86zNaCZX5FQuKzGX%2BgvJJKq%2B352XcPzThYRN1mEKL6p1ZiIs1qcAjP2l9GPTopqj0CNZcU05rwRV5UeHzCSKksHb3%2FiZkW5lOUBH8gjEkcQWa7yqH%2FoRR9xSrvbOQwuSHu78AjwrfaDcfiFf7HSejMuYxku%2B5OvJNplCuW%2FtBdGfbDmaph%2BmrRoiyXLk%2Fi7JiGRgu0gfPVRcPqYc33oTQN2fW3KpCa6gExS2XxMgJGA5%2BnpjgDmJuqBq1vaOhUrRRa977cR%2F0YgUuOWQtj1hG3faihKeioJGkBh1HxDBJHXmfNaaPOULr3UiNJ5JZqfs5F8NGc9FcGVi9%2F1mCTeKpnE3DmOqqxl9i9j%2Bilx%2FcFVlQ5OxM0iuMMgnD9YTiQkK5S34rnvzykZQ11xkNr%2BAd04ZnkW8giLbR3bk8BuQ4OXTdAaf%2B3mHgX3bl5W%2Bx1A%2Ffn1wv062EYDEmVptnIf%2F98CHijQWDhSPO4qqKb8cJs5K5sPCT7ExiJk08kVHDGuJ72fwY9MybDkWHYGPM8hWQWI8JvnrvhQ5d7OF7jfRwh5eP6p8ug6FibpswbcWfWKRwM1N2LB6mpx%2B3veeuwLlAA3kZGqxUCicLLqOquYobK9sXuP9SxJpNCNs2UwFDCEbUfHzUvsSRffyF2kh0ZvD43PO9zi8hbnOvVpv4vuio8N1u%2BpCdBB7nCGVz6fKVd&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,31.311,TIENDA.FUNDADOR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1124389709,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café molido tostado intenso 1933 Cafe Martinez con azúcar torrado 260g,https://www.mercadolibre.com.ar/cafe-molido-tostado-intenso-1933-cafe-martinez-con-azucar-torrado-260g/p/MLA22022621#searchVariation=MLA22022621&position=14&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,6.390,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1382867810,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cabrales Tostado En Grano Espresso X 500g Premium ,https://www.mercadolibre.com.ar/cafe-cabrales-tostado-en-grano-espresso-x-500g-premium/p/MLA19979577#searchVariation=MLA19979577&position=13&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,14.772,BUENOSAIRESINSUMOS,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1464415774,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonaf Fundador Tostado Pack 1 Kilos,https://www.mercadolibre.com.ar/cafe-bonaf-fundador-tostado-pack-1-kilos/p/MLA27764820#searchVariation=MLA27764820&position=4&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,26.795,CAFEXPEND,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1552531646,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Clasico Espuma Sin Tacc X 100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-clasico-espuma-sin-tacc-x-100gr/p/MLA19738168#searchVariation=MLA19738168&position=15&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,3.720,Ecomodico,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1216625414,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cápsulas Nescafé Dolce Gusto Espresso por 16 Unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-por-16-unidades/p/MLA24215212#searchVariation=MLA24215212&position=22&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,9.000,CHACOCAFE336,Nuevo  |  +100mil vendidos,(+20 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1769971168,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208#searchVariation=MLA22609208&position=20&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,36.637,BARINSU,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Molido Intenso Sensaciones Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-sensaciones-bonafide-x-1-kg/p/MLA19979528#searchVariation=MLA19979528&position=17&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,12.130,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1532603218,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Infusor De Te En Hebras Con Cadena Bola Acero Inoxidable Color Gris,https://www.mercadolibre.com.ar/infusor-de-te-en-hebras-con-cadena-bola-acero-inoxidable-color-gris/p/MLA26802897#searchVariation=MLA26802897&position=19&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,1.669,ALIGOATO,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1415508437,2024-05-18 15:12:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Infusores de Te,nan
Cafe Martinez molido tostado selecto 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-500g-sin-azucar-agregada/p/MLA20993659#searchVariation=MLA20993659&position=18&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,18.840,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1301675015,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-170-gr/p/MLA25685697#searchVariation=MLA25685697&position=21&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,7.637,SUPLEMENTOSNORT,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1415400439,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
