Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Dolce Gusto Cortado Espresso Nescafe 16 Capsulas,https://www.mercadolibre.com.ar/dolce-gusto-cortado-espresso-nescafe-16-capsulas/p/MLA19629590#searchVariation=MLA19629590&position=13&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,10.592,Dolce Gusto,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1581883732,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331#searchVariation=MLA20026331&position=14&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,11.249,AVFX1,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1426357813,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Molinillo Cafe Manual Grano Moledor Triturador Acero Inoxida Color Plateado,https://www.mercadolibre.com.ar/molinillo-cafe-manual-grano-moledor-triturador-acero-inoxida-color-plateado/p/MLA27946380#searchVariation=MLA27946380&position=15&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,11.010,MEGASALE ARGENTINA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1566288170,2024-05-18 15:11:15,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887#searchVariation=MLA20025887&position=16&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,6.829,MERCADO GOURMET ONLINE,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1321017171,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Saquitos La Virginia X 20 Saquitos,https://www.mercadolibre.com.ar/cafe-en-saquitos-la-virginia-x-20-saquitos/p/MLA20018568#searchVariation=MLA20018568&position=17&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,3.345,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1763273104,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Montibello Brasil En Grano Tostado 1kg,https://www.mercadolibre.com.ar/montibello-brasil-en-grano-tostado-1kg/p/MLA24443061#searchVariation=MLA24443061&position=18&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,31.586,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1760030290,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602#searchVariation=MLA20721602&position=21&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,14.780,Cafe Martinez,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1308505910,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Rosa Amarela X 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9p7rsqqsJlSoQtAxi4KjywVaPkrmpn4V%2FUZDZPX53oUMrAd8%2F9KwymO4yD%2BGBqnnZxeYTzWjOCCel%2BhL%2FyeWmzHBuuSS0ExUS2wFf%2F7Rn%2BpufIb6NhdO5KwTy7kN97V9R9khfVJsDwu3%2FBQKrO6P%2B8aN08AiU674fz%2FWBxG0fkoA%2FrzEttBpvDims1o%2F2N7%2BHnIsONUFYqziJItsykda2hpOm2L17msjI1rdRsWwhl8qmkdGAbDqoaxMb%2BU27tfPKZW2QjSe8Aw5jnFxCj1EFx1Cepi5hHVUDVPmeDD9Cuf6MjYQO%2B7KEvcgkINkngCRq2esN%2BOR3EtROzc%2FqRAb8vPWa7a%2F55cVjbo66RoWRbFQwWjdaaLhPprKsOjKUeOwEqIrIiyp1CDV8q3PwrbUR5CNAAe5IfZdeGqYMbxNChjaumxTvR5zh0K0pqn5sl4jnPosIoPmsZUP%2BgkL9%2BibcbEds7Of56EoguT8fm%2FlLvMBkNwotoEMVvqurh3qAXIw6kE%2FnMJnCxzjWtY1SFluqcPoGUbS4rDoJm4T%2By2J7VQGa5rtdAGYRGRHLavCo9kQKS7Soy2jB62jX2pw%2FhP6rPdzBAqvc6duQFkepMJpKs7Sp2op2tyovx2dSKKbIfBdBOjgvusUAtm%2BgDNkR6ccfLHAteJw3W8UKLZm83ehNKtInqmyq1fYXxg78UbtX7toob%2Bpq7c6tUMSSlpGzN7AJpXjJAiD&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1124396366,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
2kg - Café En Grano Tostado (1 Kg Italiano+ 1kg Colombia ) B,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=iNCbSqQppG04qh3oM%2FvyXgJX5ZyBBv%2BRrG7SZS%2F9etk%2F7tIu9yAmeZJgWtdySb%2FXi4bfQ313Cwr0MXE6cRaM2tF1HRxLUOl8dwFN1zvWGxRmSKEEyq3ASNum8a9tV9WzmOZMTKPXgatKk%2FiwqkMksKqr2GRIyvFM9XDJVb0M0evLMMLclBwH1lpQdf599z1r85DNRz9IGmmF%2FO13jiDdVzLh8b5k928FgUJHTDrZFVuMLtT1CT7DJEaeGsjQc7kZBnkYLuNAEglqXCJXPlr6hDfojPnKIaP6NiMnA%2FnmXDk4W1IZM9bkqa9adICmQX6KgNh6%2FsMGIsHW60J1WhIlDnVeJNUwgdr1gHtqgTeUJbm0FwI2nWAdP%2BTIMpZQ0y943iYkORnNFHTtfcRJUTkriaWH7Y88ULlI%2BcMQFzvhsOi0LXZEiuVB%2BkuCIMh2wGQiK1WiDRIK%2BCOszA3rpddQxMeP5noU0E3m6Lf7KDaiCT%2BUZDmwRyoODxSeNON6fmSsh1OVpqiI9sus6KU3ulEMy2F%2BlhniHMkrZpwBoEsLapGEkT9tvox24UEeZNSP%2BeS%2B7%2FNBse%2BX6ZoX8guXp69K2bnykptXGvzA5kgpcU48HahwRT%2BPQsIHhPoUt3%2Fk%2BcvlXRqFT6mHitd3%2FIuwxOU7MUkqmxhuPAZMcZACiirB2hqW2oVWpuGmJ%2B187QeFgXK8kGz6Q7A1F5YxEUJ2ES6Ekgum&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,64.390,CAFE GROUPP,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1434513598,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Cappuccino Oficial,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-cappuccino-oficial/p/MLA16167625#searchVariation=MLA16167625&position=22&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,12.995,CPT Oficina,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#921695731,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
