Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Fideos Fettuccini Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-fettuccini-don-vicente-500g/p/MLA21089521?pdp_filters=category:MLA1423#searchVariation=MLA21089521&position=11&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,2.189,TAP GROCERY,Nuevo  |  +10mil vendidos,(61 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1310565992,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti Rina Matarazzo X 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-rina-matarazzo-x-500g/p/MLA21621619?pdp_filters=category:MLA1423#searchVariation=MLA21621619&position=12&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,2.346,TAP GROCERY,Nuevo  |  +5mil vendidos,(264 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1356398731,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Lucchetti X 500g,https://www.mercadolibre.com.ar/fideos-tallarin-lucchetti-x-500g/p/MLA21631779?pdp_filters=category:MLA1423#searchVariation=MLA21631779&position=13&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,1.299,TAP GROCERY,Nuevo  |  +10mil vendidos,(145 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1356398709,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos  Tirabuzon 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-tirabuzon-500-gr-staisabel/p/MLA21271393?pdp_filters=category:MLA1423#searchVariation=MLA21271393&position=14&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,792,ARTICULOS MOHE,Nuevo  |  +500 vendidos,(127 disponibles),Nuevo  |  +500 vendidos,No disponible,#1394637001,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Giacomo Capelettini Verdura 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-verdura-500-grs/p/MLA19977015?pdp_filters=category:MLA1423#searchVariation=MLA19977015&position=15&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,2.439,Tresemmé,Nuevo  |  +5mil vendidos,(154 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1432346870,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Penne Rigate De Harina Integral X500 Gr - Apto Vegano,https://www.mercadolibre.com.ar/fideos-penne-rigate-de-harina-integral-x500-gr-apto-vegano/p/MLA21254477?pdp_filters=category:MLA1423#searchVariation=MLA21254477&position=16&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,1.562,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1377232956,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Arroz Tradicional Fino Soyarroz Sin Gluten | Vegan,https://articulo.mercadolibre.com.ar/MLA-916570031-fideos-arroz-tradicional-fino-soyarroz-sin-gluten-vegan-_JM#position=52&search_layout=stack&type=item&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,2.075,PURAVIDA STORE,Nuevo  |  +5mil vendidos,(253 disponibles),Nuevo  |  +5mil vendidos,No disponible,#916570031,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Giacomo Capelettini Queso Y Jamon 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-queso-y-jamon-500-grs/p/MLA19994611?pdp_filters=category:MLA1423#searchVariation=MLA19994611&position=18&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,2.439,Tresemmé,Nuevo  |  +1000 vendidos,(42 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1287498996,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Fusilli Colavita 500 Gr.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oTaSmGVJL9ToY6VV968fkA9SZGtiSQxuP8J4tf%2BkmkRnpq%2FjYHO6DjuDbcfLa2dEcR6VLNYwV8%2B8k1txFLmQt2JkP82FDhRDr%2FFgNGg0Y7hQAgP%2FdTuq15wqmuVcvx9%2FXjao8wwyUzl40sQIUpbfvee8%2BupV7plCPgj1eBsZJmzGj5XPCS%2Fj2fBog5l6Qn%2F5lu05sg%2BFdF4XCV9YS7yj1I2u7xJQ%2F0IU2Cr4rOMtn%2FM2Y7xZDgMn%2B6M0QHmoTe3751Hcce5J1M5i5Wju4funyWtrSF7JrQM%2FvP1Ct9cgpmBkjNF3iv1OGsC2GL7POX9ooHwtzgfAI0%2F4shy0ArlDPDPjnSBArUjh3iHsabUQ34%2BuSiSCLQsB3m9SQ3XmSg0rMnJnGr7HA8eD0KC06nejtOhEEh3RBUaUnwI19N682N%2BOxmBMEVuG1SCk8yYpMRUojTq2MWb8RpgPexzIrI04wbYiZa%2B3jHCL0J%2FDTGsHHk8QNQT8GpziG9iXt8k5DnToWg9o8RgbA8geSkLXsoutBXJ8yhLQvsGkQgFCFm8LurTRGj%2BXzt3Mpmx84wXCF69U%2FbJKgS6Azi4gqq1u0hFro0VooqRZZi9zQwXe%2BKefDjpCollyDGgoCJqnHuttoqO4L2A0TUeIPPfo%2FX%2FDcRc%2F2PoHUqHAhWoYyQJANnrz5WJKpYavMD3b1e%2BBkw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,6.407,MERCADOGOURMET.ONLINE,Nuevo  |  +50 vendidos,(18 disponibles),Nuevo  |  +50 vendidos,No disponible,#1211415513,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzon 3 Vegetales Matarazzo X 500gr N34,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=P1Cwl4tCrPULFVN%2Bn6KsfKfFbb7WUnNBMRPXJjL196Yro6PPhNxzUAyDgI0tNKToLeDDIrrTvYojyTcKF%2FzNI5wLrka1f11zOl7LKsXiCC5wsS3aU6Fx4g4duJEkCicbxiz84kpu8Jd2nCDo9UWHhdkmQXKmn8ifNdB5%2Fqk%2FBtCHfLGasijwj68OnZceImHzbi1lezT%2BLtj4fPL948Ywcnn6LGVOrT5DUoERy4D%2BaiNqTJaPGFfPo8HjQteucqc2p6i45pvy5jSTW2Itooq0zoj5YB76BLwjh2Qz8bdboGql6L%2F79n6TZbpTNQyd0feoqa1KAprqO4oXmRQ0qGBhTF5YGYyWb2KKmExx4XuAJoK2UXkohumeVeDG%2BK1Aymx1U2tLTxqqq2hP7wbAsI907DH4vEoD4Fz%2BKV0MgF0yNU043SFnGpjbGyMnWCJeSru%2FXBXTaQTJG%2FoGtazFk41QOWnP5p5um%2F62Kb6NF7GR7TpCz%2ByMpIxMQJK7tjh86FzdtmiJ9PzMeFaaZZwde%2FtY5%2Fj%2FkY8XVfEYf2HGci90rskONNSZCTOfwK7nXywA4kSPG7xezLYDJ79xQNjiX4xY7kNqxPZRmbocEVfZSRyRgc1JQ5qXipq%2Bf4GrnO7R3dAbJiFUTWJN%2FTln05HnUYpfOdGV%2Fr727GryXOFt6pAMHITJSrIBwMfwYWlAnHJxw%2BhdegqnfFPIjP3fOTx2TlAB&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,2.250,JUMBALAY,Nuevo  |  +5 vendidos,(16 disponibles),Nuevo  |  +5 vendidos,No disponible,#1566878404,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
