Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=2&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,2.752,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1330473026,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Pastas,nan,
Cremoso Punta Del Agua ,https://articulo.mercadolibre.com.ar/MLA-931683732-cremoso-punta-del-agua-_JM#position=35&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,5.900,DOCAMPOS1417,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#931683732,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Doritos flamin' hot dinamita X 70 Gr snacks pepsico,https://www.mercadolibre.com.ar/doritos-flamin-hot-dinamita-x-70-gr-snacks-pepsico/p/MLA24712108?pdp_filters=category:MLA1403#searchVariation=MLA24712108&position=29&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,2.365,PepsiCo,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381100439,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,
Fondue De Quesos Santa Rosa 400gr Sin Tacc,https://www.mercadolibre.com.ar/fondue-de-quesos-santa-rosa-400gr-sin-tacc/p/MLA25531168?pdp_filters=category:MLA1403#searchVariation=MLA25531168&position=27&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,12.500,PRONTO GOURMET,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1752684564,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Vino Tinto Cafayate Malbec Botella De 750 Ml,https://www.mercadolibre.com.ar/vino-tinto-cafayate-malbec-botella-de-750-ml/p/MLA19605825?pdp_filters=category:MLA1403#searchVariation=MLA19605825&position=31&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,2.860,QUIRINO BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384617999,2024-04-29 14:54:10,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos,
Saint Felicien vino Malbec de Catena Zapata 750ml,https://www.mercadolibre.com.ar/saint-felicien-vino-malbec-de-catena-zapata-750ml/p/MLA21708843?pdp_filters=category:MLA1403#searchVariation=MLA21708843&position=30&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,6.680,VINOLOGOS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1392728133,2024-04-29 14:54:10,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos,
Fondue De Queso Santa Rosa Sin Tacc X 400 Gramos,https://articulo.mercadolibre.com.ar/MLA-865460454-fondue-de-queso-santa-rosa-sin-tacc-x-400-gramos-_JM#position=36&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,12.000,LESPECIALITA2010,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#865460454,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Provoleta Santa Rosa En Horma Entera Envasada Al Vacío,https://articulo.mercadolibre.com.ar/MLA-1114487431-provoleta-santa-rosa-en-horma-entera-envasada-al-vacio-_JM#position=37&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,66.850,FRANCESCODISTRIBUIDORA,Nuevo  |  +50 vendidos,(3 disponibles),Nuevo  |  +50 vendidos,No disponible,#1114487431,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Vino El Enemigo Malbec 750 Ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qFWh14AvvtFej0DDCL3gkzDJfe26r80hL2Ij80vX0vUMjg6WA3MIPIQOvQ08WevQFu25JtXKGwx9yiOcC5lhXVI43TtmSx6WF7KhZPJwuC1NAIa4ZS2UFg%2Bvt%2F22eCpLrsJi5I0KN0SllBkaa3fi0czG09nLRYU7hhkAliJZZE4h3XDcn5aQqs90wrEAWh%2BU%2Bh59S1eAlrhUgnmWGF7Eo3lrOxUCXii6%2FLQ%2FHAH6bbxwDhWTge0Q01Ecg82InE7otk%2BA5NHVI22OBkINrGCon%2BTcCOq%2FDCYo3rsUby4%2FMIS9BKF0aw2rWhAhN10F9GAwq7XsJyaew1uOZMfrrB7gvBKzyYCvrOlbjjpHKXsJAlh59zZWuqRrMgY4UrCN5y9xmi7vlakIm90Wc3%2FC4s2JO2efwq9Sj2EMD%2Frg58KyPj%2FAa%2F5xv1Qew7UuCMH87moViMziqXxjK9eb9uQNsPTrKDBpgBRcV3KMZTJRxJ13YRr5Tn1cF4pJBfxeLgsBOzFoDUqLBIcdVZ%2F2DY3ik3WMaN%2F2Fia0M%2FH7Ism50OMkR4CMt%2FS1tiriheF5bnFvMdiDwFUbmhUE%2Fcona9Wpa52jtj5P9vmBI6ROxmMSZBV7QcEJaFG5WX%2BIUUGkmIq76kZOwF8AHN%2BpGzj032Ec%2FJK463B0jFodQ6Xf%2Fig%2FdPjK9%2BoJGjE0b4IM&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,15.522,DONALDDRINKS,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#866735509,2024-04-29 14:54:10,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos,
Queso Parmesano Fonte Cuña 300 Grs Aprox,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=y2xvF773EZqxBD9GP1qZk8veRwvv8lJuaMlgaiSaYuoeKR6aDf2R91phVo3lGXgOKySTNbJ6P4lpRpm5fX5l3A4sfg8hQJ4MxaCH7fYLzfL5B%2BdQTww%2BTSaRbowzLno2Gy6n2JzuP1zx8wxmzufSu%2BKyz4M8LQAeYTv2DmmJseq4uj0sPwv7buIN5DdRmal%2BAA8kT3BhSMZe8XdtIbJbRf8WqmWMUNCWtqZaewtkvACPvUcuBTZE9EcxVEDQIMlTdUZ8SSTbOTfPc3lmE53vDAmDKgVME1bVlhBQulLjN6PLJIfpKUEbQtqeqpOAUoPDDAmj0%2BrSLoXkWqvlG3S13jlpRxAWBz2CcoUv4KmlKFXEn4hY90RSf0Qr4zJS9vIZAFINlTUfxmrG%2BgVEfano0%2BjNJiuuYYyW2ny0STEhyeqGy5XWVvKoIOY0i4XAmHU8tDfRN9Xjv3sU9cTUEpF94qGYoZ%2BTXqOSjb03dt%2Bn0eQaZyV1p9NIczSlhy9TuUo2CvuWbrspx9Q09HizabWNpM%2BQBeIhVpyeE4%2BNWld9ToQK%2BJRK2y1em8ZhhDroqbJrwsc%2FcEF6OEP3GRlYdKoTe7Y%2BDcAPnN8TCUjYMcDCWDMHc3dQFjAO3mBOZ8f3Wk63rqa2JWZAq4ZFhmOssEnmEJm9%2Bmef8w3QijvM%2Bu8%2BCLXsEPUQ0ZYUJbiRcsB%2BdXl6tXn4gSw%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.319,FONTEQUESOS,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1392956391,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Aceite De Oliva Zuelo Clasico 500ml Extra Virgen Sin Taac,https://www.mercadolibre.com.ar/aceite-de-oliva-zuelo-clasico-500ml-extra-virgen-sin-taac/p/MLA19686645?pdp_filters=category:MLA1403#searchVariation=MLA19686645&position=32&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,11.400,DISFIT,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1727174092,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,
