Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507#searchVariation=MLA19944507&position=11&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,13.559,TIENDADELI.AR,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1281941464,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Lungo,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-lungo/p/MLA16167699#searchVariation=MLA16167699&position=12&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,12.699,CPT Oficina,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#909583929,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019#searchVariation=MLA20026019&position=13&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Dolce Gusto Cortado Espresso Nescafe 16 Capsulas,https://www.mercadolibre.com.ar/dolce-gusto-cortado-espresso-nescafe-16-capsulas/p/MLA19629590#searchVariation=MLA19629590&position=14&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,14.800,GOURMETPAISANO,Nuevo  |  +100mil vendidos,(+10 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1718284216,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505#searchVariation=MLA19944505&position=15&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,10.954,SUPLEMENTOSNORT,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1729738160,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafe gold cafe soluble instantaneo sin azucar frasco 100g,https://www.mercadolibre.com.ar/nescafe-gold-cafe-soluble-instantaneo-sin-azucar-frasco-100g/p/MLA16112959#searchVariation=MLA16112959&position=16&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,14.770,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1136577468,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602#searchVariation=MLA20721602&position=17&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,15.960,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Italiano Luggiani Rosso - 2 Kilos ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UagOPXAkHMthLRB%2F4NoXLa3hrO2T40QzimFHHkv%2BpHbSNooJAqiCx%2B%2BSwqOzxP5CUVf8wTzDIhiQONAeW2nxIrxcLN%2FXBLvg58%2B9ZxzB2D%2B5so9tXY6DyvyhkAVB2oOlHgIULH0lSxApZEguSkFsgl%2Bhv297T1oodFRHw6v%2F4MMI3xAV73POcgnIiPhokDEDu4u71BWYicpOST6%2BH5GXbD%2F9NhKiSu345IqEa7HzFgpxIG39ocY6KJ%2BwY%2FQYALQKE0X7RtbJLh7HJVJSnxexOMEyhe3IOwXOvlNnK%2FJuH8UFjNL9Nawqsb3dw1rS2a7wIUefEAQ4Ecz26jvgPibf1uik6XhKWpYoDGZSkh1TkKONjAUNjU4yKvrS0k5%2BabokjOzeZwx77lI0TYwWtEfNfkVBU2ZEia5sXdQGZ2vHVxR8Z1HZTSZF23d8yA8vhPIp79zVto1hiCKdx1AzCpbZVcdsCPiy4nz5Qm879s5%2FsTp%2F2F0oypad%2Bm%2BYFbO6TTmqNB0%2BmmgoDILKt9Y8bmAoEhUltrlXsOdJerB86xlVy%2BFM1XFvEr%2F8iChelqx27DdvUilFcWY%2BQ7Dj4MOWTxTYll9aOZw9oq3ul24Ah8fuGo64kl%2FkHLOezMLJW%2Br7kh%2F%2BldBggkamxXc6yiQC8l2OolG3xBGMYYJs1zaa1ghNNYv5VwOUlwd28nffjMr%2BEtar3nC3%2FgBIyg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,61.099,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#867612399,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
2kg - Café En Grano Tostado (1 Kg Italiano+ 1kg Colombia ) B,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1bj%2FrHCVIh7%2FKBOcMEm6HXrU52HdOfGsGK0TyNKAq9Yn5ErfPlRo%2BadCg6vD18kM2wnR0ObKkotMm0%2FmBULGh7wzw7V3NWbUmR8LLMAMgownRR23ozyFHkM90r3Xex%2BbXZW%2F26m5pRoFqwNc8lPTCCzwm6LCi4VfGOVujw5g7KlbUATP8bQ7zYiCkcgvEUvy9JpSKTVAcg1Y%2BBEWOcJNMt1Yp5oOTZ6fjo1DfgZ4KkFsbeySwOtW5msOdEO2DUMdKAWY76gNG%2BRW9AgWiydN%2Bqyn%2BTE8GjjcrfzjcxZjKvqBaEZK%2FC4yKak2ak4EOhFKtkx1UWYhDq43RgmoOXkVsG8pXg%2BEr%2BViYyFOqYVYo%2BFupAmnlK%2Bhye0nEbO7U4ZpNV8hzuXP2x3XAvYfXxdC7RHKD77f84a9V3AtvDuCj280a1U665CN9RmZ%2Bu1eRvCkoy1O43lGihibYVPiTk00ue1GKGhliykie%2FYpiUQn5S4soA7ZVcm8PLcFIafwNBLajLrg%2BxY9TwiHJvxCii2EIRbkwY6Aub%2BTaORtwpYf71u%2F7IOkAyJ1alfT4RbsDE5TJXzZc7cePzLUsD0Q9kEeYa1VaSnwmFzk59KN5tjXxPlOnz86LORX%2BrS3Xfsvm%2BuitEpYsp0B75v5bQT9I0VcbKPew47YrxC9OkKIBcVwYLZZo39fiCp1FFO9zPt5Fu25%2B%2FsMGx8ur1K5xnxwFFKZ75FWRy%2FzUdxJ3iq387fn%2BBUztlKVaL9QdF4WVpzRnUB1XiUpu3hxBMYUtFDVglCD3%2B8T%2FjimDwLUTU3wMj2YpcVJuVzM7g%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,69.990,CAFE GROUPP,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1434513598,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Starbucks Caramel Macchiato X 12 Dolce Gusto,https://www.mercadolibre.com.ar/capsulas-starbucks-caramel-macchiato-x-12-dolce-gusto/p/MLA19938866#searchVariation=MLA19938866&position=18&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,9.163,Dolce Gusto,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1398766733,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
