Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=3&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,658,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599535860-agua-cellier-2lt-_JM#position=32&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,937,GRUPO ELNENE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599535860,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=7&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,2.131,Mayorista Masivos,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sierra De Los Padres 2 Litros Sin Gas Pack X6,https://www.mercadolibre.com.ar/agua-mineral-sierra-de-los-padres-2-litros-sin-gas-pack-x6/p/MLA29062951?pdp_filters=category:MLA413907#searchVariation=MLA29062951&position=12&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,5.635,FULL 7X24,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1673028616,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=33&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,23.382,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=14&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,962,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sin Gas Nestle 1.5 Lt,https://articulo.mercadolibre.com.ar/MLA-1169855131-agua-sin-gas-nestle-15-lt-_JM#position=34&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,1.639,GRUPO ELNENE,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1169855131,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ovrNn5WPvSUBvbfTDlYvXUG9QwhI9SI6sd5VDMVT88Il0AKIdvZgE2LxkEFbA2gXa1GVwq1IT1u1VBTQEsKwd6jptdkoJX45jJTySYOfW%2FgTgNbtYWyf723zeJn5nqdUafUW3Yse9sHURAqUQrpDT5vCeUSiotfzXh%2FVxH5BmQw9%2B8BPlHlAWdbRnCZPjk3OH8GXCjRoMXxhIWErG4fhea9twPSvNwnXngmxKSfGlstu8qF4pdDnjnMUtR2cdA0%2FCR4kj02T66tiYGQiQbJjoD8EEllfd%2F8CmL%2BHv%2BanP1fA%2F7TQVOXn%2BHs6XUv%2Bvq%2B%2BeQX0HceQKONMQhgnfy5DgddjO0m145oaQRzGGSzkzHHRRlVNY0YK7t3jigi71YO1%2FXVFrErqMvHz%2BJqhsiwGhtetyUMZvlky%2FhnZDm5D6BAZVXm4INaVLhm%2F668Wnt82O4GJIK%2FHW8eB7DwW5VPlswPPd8O6utr%2FGQVZs2Wuu%2BmLvuk4mAufJtJ3yTo7GS5vNGId%2FIMHf0y5qxPNcqyQbxDWoJ%2Fpu7BtUlo2pa%2FKvIwn0kXBB1H94kkUe7PmimsiwAkYl41ngMlGYCgh7%2FDnF36Y4mJrWtoe8TnoSgQP52MYaI8G5twrGDu6osOLHcm2rd4ihV5kx0SeqB%2B10CPehvapWuFGjLr8aqJ61j1jEFCNNeRPjVxZimLGYDN47PfT4tNGe4s%2FlsQcrWL6M4SNsQmmIhU%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.218,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X24  600 Cc Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=OkZsJ4YqqH3yziCaikORK89dNkfYyBgHBCZB8e227fQHtJtTy0VucHtWdQgMmt1etR5WhyCvi%2BfYT%2BGt%2BkuS%2FGL2uwmoelWJvFE%2FGVjCOflgHPWhUDB54k%2Bj%2FkP3QpQjqpWSy62GhsVLbRxuKjg65nHw%2FxIaAmPkwuAvilfHORIk67i56e9U5Oz5HemfWYJkb7OUQRWPHG8aBivtcNGaD817jEnwEEZY0bIUCPJ1rOSqUCoP2N5J%2Fzfq73va84pHSdbQ7RXuT5owzhazsD3pUVsrA2845Kd%2FIbwz6qx4r4JynajvuYAp1T2xxIRFmh%2BXGdOLw2MvWnvMN7cgpm8q9XoB2TG0d6NVaU5bU7a0uP5z7Q6egLsPGm9kEcBtno7ec9GxqodCv0l2BnJ6MS3DCxjkv4ik%2FeviguHYl9TQUZK0K02Clp6IPMIigeNpnRF1jJjRlfhZyQ7xonZY7aowgx%2BiOPHLtkGghsj8xJDzjs%2BBzEJAfOKNWT363XWoGnXYWyVp3rPseieaPAp7OCa%2FbKmYtq9pvyq754ciCW51jIH6Ume4OPTkr3DXwkKvZqFc0Ugd2q1IZ%2BO6zNaFWFMa13Wj2FPCNyZk42GbWXHErr8pp7PYgNGEM%2FGiiummRFRSE5dEQnQHSKY5kFgcFCORyLmyyf%2FFQ9E2rtuj7GoxEg457kq4p1WLWuACYK20Y0DLeVtSHftHq5nrozZ1V9lQIhe3PHt9vw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,11.453,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428018160,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=2&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,1.002,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1695027816,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
