Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos de maíz 3kg Granix,https://www.mercadolibre.com.ar/copos-de-maiz-3kg-granix/p/MLA20723711?pdp_filters=category:MLA1423#searchVariation=MLA20723711&position=1&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,9.500,TIENDA CANELA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362785065,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=15&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,8.499,CAPSULANDIA,Nuevo  |  +5mil vendidos,(86 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1255213449,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arroz Yamaní Pop Yin Yang Orgánico Sin Tacc 80g,https://www.mercadolibre.com.ar/arroz-yamani-pop-yin-yang-organico-sin-tacc-80g/p/MLA26444834?pdp_filters=category:MLA1423#searchVariation=MLA26444834&position=20&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,400,VÍVET MARKET,Nuevo  |  +1000 vendidos,(60 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384788535,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=8&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(316 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Nesquik Cereales - 400gr,https://www.mercadolibre.com.ar/nesquik-cereales-400gr/p/MLA24244810?pdp_filters=category:MLA1423#searchVariation=MLA24244810&position=11&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,6.523,Nestlé,Nuevo  |  +100 vendidos,(176 disponibles),Nuevo  |  +100 vendidos,OFERTA DEL DÍA,#1607102070,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Frutillas X 500g -envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-500g-envios-a-todo-el-pais/p/MLA26444831?pdp_filters=category:MLA1423#searchVariation=MLA26444831&position=14&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +500 vendidos,(10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1384746937,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Con Marroc Feeling Felfort Caja Por 30 Unidades,https://www.mercadolibre.com.ar/cereal-con-marroc-feeling-felfort-caja-por-30-unidades/p/MLA19974685?pdp_filters=category:MLA1423#searchVariation=MLA19974685&position=5&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,10.950,OPEN25HS!,Nuevo  |  +1000 vendidos,(10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362135419,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Arroz Yamani Integral X 1kg - Envios A Todo El Pais,https://articulo.mercadolibre.com.ar/MLA-820985793-arroz-yamani-integral-x-1kg-envios-a-todo-el-pais-_JM#position=46&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.560,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(45 disponibles),Nuevo  |  +5mil vendidos,No disponible,#820985793,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display  Vegana Laddubar Coco 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddubar-coco-30-g-x-12-u/p/MLA19735179?pdp_filters=category:MLA1423#searchVariation=MLA19735179&position=18&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.800,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(60 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1376540609,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Con Miel X 1kg - A Todo El País,https://www.mercadolibre.com.ar/aritos-con-miel-x-1kg-a-todo-el-pais/p/MLA27047199?pdp_filters=category:MLA1423#searchVariation=MLA27047199&position=21&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,4.681,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388598811,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Barras de cereal Georgalos Flow Cereal sabor frutos del bosque 20 unidades de 27g,https://www.mercadolibre.com.ar/barras-de-cereal-georgalos-flow-cereal-sabor-frutos-del-bosque-20-unidades-de-27g/p/MLA20951641?pdp_filters=category:MLA1423#searchVariation=MLA20951641&position=16&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,7.500,OPEN25HS!,Nuevo  |  +500 vendidos,(24 disponibles),Nuevo  |  +500 vendidos,No disponible,#1370209916,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=17&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.724,AEH MALL,Nuevo  |  +100 vendidos,(36 disponibles),Nuevo  |  +100 vendidos,No disponible,#1610199118,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Cacao Datiles + 3 Claras Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1353859098-ki-bar-barrita-proteica-cacao-datiles-3-claras-sin-tacc-_JM#position=47&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(296 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1353859098,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Choco Krispies Pops Chico,https://www.mercadolibre.com.ar/choco-krispies-pops-chico/p/MLA32431007?pdp_filters=category:MLA1423#searchVariation=MLA32431007&position=22&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,2.229,TAP GROCERY,Nuevo  |  +5 vendidos,(28 disponibles),Nuevo  |  +5 vendidos,No disponible,#1408036231,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
