Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Cereal Fibra Total 4 Fibras Granix Trigo Avena Arroz Maiz,https://www.mercadolibre.com.ar/cereal-fibra-total-4-fibras-granix-trigo-avena-arroz-maiz/p/MLA19943734?pdp_filters=category:MLA1423#searchVariation=MLA19943734&position=32&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,2.418,01MERCADO.COM.AR,Nuevo  |  +500 vendidos,(6 disponibles),Nuevo  |  +500 vendidos,No disponible,#1271750839,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra De Cereal Quaker Chispas De Chocolate 156 Gr Desayuno,https://www.mercadolibre.com.ar/barra-de-cereal-quaker-chispas-de-chocolate-156-gr-desayuno/p/MLA19966863?pdp_filters=category:MLA1423#searchVariation=MLA19966863&position=34&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,2.892,PepsiCo,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1282411033,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Baston De Salvado X 1kg,https://www.mercadolibre.com.ar/baston-de-salvado-x-1kg/p/MLA26209010?pdp_filters=category:MLA1423#searchVariation=MLA26209010&position=36&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,4.025,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(22 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383969061,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=30&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,7.708,PUNTONUEZ,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1337105341,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bolitas De Chocolate Snuks Sin Tacc 200 Gr,https://www.mercadolibre.com.ar/bolitas-de-chocolate-snuks-sin-tacc-200-gr/p/MLA21827056?pdp_filters=category:MLA1423#searchVariation=MLA21827056&position=31&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,2.490,BLIP,Nuevo  |  +100 vendidos,(39 disponibles),Nuevo  |  +100 vendidos,No disponible,#1391625958,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barritas Proteicas 100% Naturales Pack X 10u Surtido,https://articulo.mercadolibre.com.ar/MLA-914374455-ki-bar-barritas-proteicas-100-naturales-pack-x-10u-surtido-_JM#position=49&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,13.599,LEPOTMARKET,Nuevo  |  +1000 vendidos,(6 disponibles),Nuevo  |  +1000 vendidos,No disponible,#914374455,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bastoncitos Fibra De Salvado All-bran 1kg,https://articulo.mercadolibre.com.ar/MLA-1345727991-bastoncitos-fibra-de-salvado-all-bran-1kg-_JM#position=50&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,4.023,SIR NEKO,Nuevo  |  +25 vendidos,(7 disponibles),Nuevo  |  +25 vendidos,No disponible,#1345727991,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arroz Koshihikari  X 1kg - Para Sushi O Risotto,https://www.mercadolibre.com.ar/arroz-koshihikari-x-1kg-para-sushi-o-risotto/p/MLA26444830?pdp_filters=category:MLA1423#searchVariation=MLA26444830&position=38&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.374,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,(10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1384808899,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja Barra De Cereal Cereal Mix X 20 Unidades Arcor,https://www.mercadolibre.com.ar/caja-barra-de-cereal-cereal-mix-x-20-unidades-arcor/p/MLA22923673?pdp_filters=category:MLA1423#searchVariation=MLA22923673&position=35&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,8.900,OPEN25HS!,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1617860200,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Crema De Avellanas Lasfor 200 Gr,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-crema-de-avellanas-lasfor-200-gr/p/MLA21790731?pdp_filters=category:MLA1423#searchVariation=MLA21790731&position=37&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.999,BLIP,Nuevo  |  +100 vendidos,(15 disponibles),Nuevo  |  +100 vendidos,No disponible,#1376237671,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Almendra Y Nuez Integra 41 G X 10 Unidades,https://www.mercadolibre.com.ar/barra-almendra-y-nuez-integra-41-g-x-10-unidades/p/MLA28134679?pdp_filters=category:MLA1423#searchVariation=MLA28134679&position=39&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,9.623,GREENANDML,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1570088970,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Relleno Delicel Sabor Menta Sin Tacc X 240 Grs,https://www.mercadolibre.com.ar/cereal-relleno-delicel-sabor-menta-sin-tacc-x-240-grs/p/MLA29211424?pdp_filters=category:MLA1423#searchVariation=MLA29211424&position=41&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,2.265,POSITANO DISTRIBUIDORA,Nuevo  |  1 vendido,(19 disponibles),Nuevo  |  1 vendido,No disponible,#1399995323,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Arcor Cereal Mix  sabor original 23 g,https://www.mercadolibre.com.ar/barra-arcor-cereal-mix-sabor-original-23g/p/MLA16081325?pdp_filters=category:MLA1423#searchVariation=MLA16081325&position=42&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,8.801,CAPSULANDIA,Nuevo  |  +500 vendidos,(23 disponibles),Nuevo  |  +500 vendidos,No disponible,#1617039380,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal De Manzana Y Pasas Kelloggs Muesli 255gr ,https://articulo.mercadolibre.com.ar/MLA-1404689049-cereal-de-manzana-y-pasas-kelloggs-muesli-255gr-_JM#position=51&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.720,AEH MALL,Nuevo  |  +5 vendidos,(13 disponibles),Nuevo  |  +5 vendidos,No disponible,#1404689049,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Chocolate Sapito Caja X 24 Unidades,https://www.mercadolibre.com.ar/chocolate-sapito-caja-x-24-unidades/p/MLA21713686?pdp_filters=category:MLA1423#searchVariation=MLA21713686&position=40&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.829,GOLOWEBSITESHOP,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1362254830,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Cereal De Chocolate Kelloggs Muesli 255gr,https://articulo.mercadolibre.com.ar/MLA-1404752405-cereal-de-chocolate-kelloggs-muesli-255gr-_JM#position=52&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.911,AEH MALL,Nuevo  |  +5 vendidos,(15 disponibles),Nuevo  |  +5 vendidos,No disponible,#1404752405,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barritas Integra almendra y nuez caja con 10 unidades de 42g,https://www.mercadolibre.com.ar/barritas-integra-almendra-y-nuez-caja-con-10-unidades-de-42g/p/MLA21256154?pdp_filters=category:MLA1423#searchVariation=MLA21256154&position=43&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,7.708,PUNTONUEZ,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1336984090,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Chocolate X 1kg - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=W2GcbD7ynoo%2BJRhC9DjlgDW6Hn%2F1emUg00Ia6IKdA1w%2FF4fiCImsARmqlTCoA8dGngXcBcbpdXwUyyGefma%2ByuzXvxgQCFhSQuiyIuNBkFa4QwGxvCKVGgwPGNcxHmbwbuGM5IbYL3P2RTr8GnpZDbh1OTolkh8cLHtP%2BDPVDF4cVBlsIjOfkpVbfab%2BlcN3MDNI%2FIW336Mck5jWuDcVF1BpCVFYaxbxCgiyk63u4f3sWPLWarUXVZPUAwiv9wz%2Fw3SczKmuH5UFbCbzVdiQpFfKZWjlE%2BuaCwDTToNi7jDreB4l%2F0RtyRJOhzH0svKKuiWNO4LJjAZr297A0i%2BAd2vLSuKrJ1z3f%2Bu6TXG2ciQC56kLt7cnqZLdkCMZNVR8XObkKdLsNgJDXGu6vLFuHTaADpYGXqyXqteizBUc9AoD%2FfGD0jSKE%2FN8VAH3i4E8MxUIDQoZSX4VaSwp3iu4roSUjzoDbxi%2BN%2FrWYoRAz5GMVr%2BUlVMby%2F23Ze3lLLGqI%2FGfarq50OO9BfPu2EHjCH0zS1pH%2FZ98WF8T2ZyppN4QkrqvgOcM1gXgChKY5ZQfZbDi6%2FfS8zsA9mgij%2B79Mzmxjae8hjWkx1XFINASL%2BP48Dmvr8B64pCzJJup0frs8ZSB3tFH%2F85mOHRW9g5GrvBjhNN2AjpAdrZrxiAyFsOw75XKIYC05c8bt0FOAu5eQGUopTrKEKHFAXXPYuW0&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.807,positiva.arg1087,Nuevo  |  +25 vendidos,(2 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169054699,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Trigo Burgol Grueso X 5 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ILynZGH1H9Jg5HF5T4e5O6xmLWzDP7yfWyQ%2Fp4IJ9EIDhN%2BAvqOnVL5N1n4g4oUl7SgZ%2FkridWpTtceMbNSV19HgDh%2Fkym%2BL2DNAVXW32AZRn10dKbHE8BsG%2BAN3MM4nnm5QckhXT8JwEgeOxAAMStJ0HXAGATuHF8MTvdDWBJoRMzmRnexGkhCXLndMa8V%2FczuY5R0Kpj%2F0X9IwgvdvcUFANtjKlyURhIqx1eL1t62gD%2BxoDBJv7FvKPZ6DlPWvdv8ZTMjr022%2Fi9%2Bz%2Fc4PUHY2gJ8DwcoCT%2Bh68U8gU%2FCFjsazr6hdpUAXfGTIC2qCqbANHeR6j7d6cSBuFm1uW%2FNR1zmCzFN2m11bwGR%2BC9k%2BT9x4Lp5vguxTQWC4HShh%2BS3z1CKmB3m1FRv89W5PxYISmR55mAK29fJJLZcyVSkdibpp6hbFwczbEu4PpSTxJnzew%2B6H5%2FyPlqgmzCpS6YM49W%2BOr3BKr5Pxb1gEJUWZ%2B%2Fhw8nj5iWE5LLqdV9skwjhpDuprwUj1%2F61RNj6%2FzyES4sbDnD2AqEBn4UQrDmpmFRWOpfFy%2FARcPEEpwYba1coSudhya0%2BFW42u2b1Af3T%2BHYdk8qB%2Fr9glRRsZm%2FQTK88GG%2BDTguk7yqMCf4C2m%2BHFoZ2EmPLKhRovbZ99lmOgbk170QKCYfFTzHHbY9dcFV7ctz6hdOQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.603,positiva.arg1087,Nuevo  |  +50 vendidos,(3 disponibles),Nuevo  |  +50 vendidos,No disponible,#924032271,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos De Maíz Sin Azucar Granix De 1 Kilo ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=GNuKCOUXiXwihBeOvZQfHIo1nJPqYy4VK19GsukQUgX6VT%2FaJc6gWsjxH%2BRT0JE9NLqkGtbtxOr7wiOoDPj363Ha1oy159GQjzxu2OWmtb%2BzUFzlcxJ4V%2Bjzw7hD%2FbQfIcOjqEQBjWzU61nKPf%2FA1K0%2BHN2Wwiz11IHDL4lR2Q3L9SHvY9spfKzWcVWvC2auJjrS3Lbpm%2Fh%2BHElHZv8KD8KD0Ztd1Lyh4HamtjozwSEx6%2BG9xcASuYjphaxxI4%2Bw21LCMRjTar%2Bne4p98R6dfFjIxlh6aPBYWmv1rQ3rJ12%2B7dEiNePGUXfMIcBT1rM0YBxWOI6q8DCmn8FpzNj26iNGJSHKSLI%2FPgFQfDCyllTGsWJylij0ONwub6laUd0ewVqR%2BhYZu%2F4my2bhe5C7WBL39ZD%2BfBKkNOV6c7NuUKf6fFTM0navQckCPtOCN9wD8dE7vGW5W%2BoTzk8bMIKiMlLldY7xvKRlGBGkAJ0hjZw2dgX7Ekk2L0R%2BMVZfZiQo6J%2FkFEWHSQBm%2B3aZAPygkjArxlITFitdt4L6SB7fTgBztEOJpi5UxzWvtiD7%2BMXM%2F3gpL1A%2FGGmbayAVpubvjbHMAtXf3wZpRifu8Q3K4A3plnG5y%2FUdGELKJudLSYlZqqH48seh1CH6IE2Th2PD5Pqn4mr4aIRykt4YY65ElYgFpsIjdMxCUce91i%2FE8wqurF0ZsQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.541,positiva.arg1087,Nuevo  |  +50 vendidos,(40 disponibles),Nuevo  |  +50 vendidos,No disponible,#912583563,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Chocolino Bolitas De Cereal Con Chispitas X 200 Gr,https://www.mercadolibre.com.ar/chocolino-bolitas-de-cereal-con-chispitas-x-200-gr/p/MLA20725619?pdp_filters=category:MLA1423#searchVariation=MLA20725619&position=5&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,2.161,Ecomodico,Nuevo  |  +500 vendidos,(53 disponibles),Nuevo  |  +500 vendidos,No disponible,#1322704272,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas De Cereal Manzana Arandanos Y Nuez,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-manzana-arandanos-y-nuez/p/MLA19856558?pdp_filters=category:MLA1423#searchVariation=MLA19856558&position=6&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,10.888,MORASHOP,Nuevo  |  +5mil vendidos,(12 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1470487446,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Relleno Delicel Sabor Chocolate Sin Tacc X 240 Grs.,https://articulo.mercadolibre.com.ar/MLA-1399372063-cereal-relleno-delicel-sabor-chocolate-sin-tacc-x-240-grs-_JM#position=27&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,3.020,POSITANO DISTRIBUIDORA,Nuevo  |  +5 vendidos,(10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1399372063,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Cafe Y Leche De Coco + 3 Claras 40g,https://articulo.mercadolibre.com.ar/MLA-1364091207-ki-bar-barrita-proteica-cafe-y-leche-de-coco-3-claras-40g-_JM#position=28&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(156 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1364091207,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
"Copos De Maíz Natural Bolsa 3,5kg 3 Arroyos",https://articulo.mercadolibre.com.ar/MLA-1123803513-copos-de-maiz-natural-bolsa-35kg-3-arroyos-_JM#position=29&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,7.707,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(14 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123803513,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Frutilla X 100 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=HRzf%2BUjAAZWJ8bzVuC7llo0f4QAaXcUhgzhgxpDslo0El%2FWsOtW8oCo9igvfdF9VceFmY%2F5zcVY6ivbX%2BkkjazPV5eLnoRE2waHsEJpJrO1lYUyVpC%2Br1vZ0zDgf6qiJk6Nr1vOBf0r4Xj9z1Q4bVkrX0JPH5hOlO%2FTjLtEP4afO7G47yPYNWuyloNd560RlbYiASR0hESplw8yAaKW3MMsxqzDIaIOVQZTIkZIU81JamQqGzyDPsXjOPWO%2BoRQT5iN1CxR5jVY9hmFOjBctRXgfMnLIelu%2FgiBoXv2IKJ91jFNcw7GqmdfQ6a3sE78xxazzbSMGwOybCsvflXIEERxxiYRgf2zvOuGLb7qMbZXoOUM%2FP38wtczIq3gkiHShlFg1egpgA0kNPtNSd4UibvfH0Ar%2BLSUP%2FDQHFeN4%2BCw7l2vmXrz30Hwv7PrJ2tdlY2MjB9onc6kMSjH0pajuZdDO4s1HagJUht8QYimu0T7BQXfMrKrjNCfWzCyRUG282LXxudbDiz9rypBaoRi%2Bo8jfupNX2CgVSwcF04LJQxeSsYurs1ucRUiFR4WKrUumhK2UP0%2Bwsm60s4j6zMwSSR7mCj7kSDXu6170R38P%2BcUyGuplN5pwJsg7%2FUW881uErxi1AM25eqaWe5t%2FaHTiVRQetin1T5t2g8yUxBx4baWT0p6tUEoQp075lxK%2FxxBme7In6Q%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,1.729,BELVEDERETIENDA,Nuevo  |  +25 vendidos,(25 disponibles),Nuevo  |  +25 vendidos,No disponible,#867287596,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Chocolate Blanco X 500 Gr - Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=okG6dbMCGSWH%2FF9ch83ZywEx5RAkNvP4Tb1E20l0rdlXAacbUoCgspymDgTtHiQnSxq5B%2Fha76MWR8nO%2FiDyMLobzaeuQnv%2Fip%2BU5wH9enX7FmNEIWkw9OeWOpj09p%2FcTfXRq6ZVBTKLQuarbSk8KYul9rdgAJF9dDgB4SqxwE68v5IaUDQw62c6sWpNZIBg6sboKoMep%2FJqhDxTQUO4rY81FxK%2BMKZ%2Fsiv8lRec6KDUIj7Be1%2FbVDjcfl8KrohWBNEVB32KfrorOCLH68qbIpHvy4dAP30Tq%2BQv6B3f3rCAcNVtUDHGeeYSyWaP2H8tkRDntslDui6iHnS3e1%2FmayZdlnlPSvvcP7UlCO2JapAADx%2Bpl6YW32naBLQNKWYzoX%2FzTuOXmtc%2BILoNLjwAKmlrIL3duSZC55FUv6rQoGAfsgrVMe7qrz%2BgR7eENjoeYk3vLGTz9ac4n4K3k9%2B2anNuQyh8LROYiDcsBvJt2v2iR%2FjNDsJX1F1jRBqX3jqKwAXWgiHRXtM9caTFo4RuPa4MEymsYnxpW%2Bm%2FF%2Fb5iCzH%2F%2Fmo351Rg1BE%2FQVtY0Xbn%2BaCcWZXw4EaDFrbHIXDQuN3zLnzO1lX3pjby6n66it8uHmCJnNaXDuCSdQHG5A2u%2BhDHFb%2ByVvGfPNev5xQ0K1gJv8dtOjSK5ht%2BErP%2F7r5VFmx2KToPtdQAXjk%2BO32YtKAHXSixpB8QgsJ0XCZgbsUBz4oG6A%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,3.742,positiva.arg1087,Nuevo  |  +25 vendidos,No disponible,Nuevo  |  +25 vendidos,No disponible,#1169080273,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Relleno Delicel Sabor Frutilla Sin Tacc X 240 Grs,https://www.mercadolibre.com.ar/cereal-relleno-delicel-sabor-frutilla-sin-tacc-x-240-grs/p/MLA29182493?pdp_filters=category:MLA1423#searchVariation=MLA29182493&position=7&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,2.265,POSITANO DISTRIBUIDORA,Nuevo  |  +5 vendidos,(15 disponibles),Nuevo  |  +5 vendidos,No disponible,#1399853607,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Proteica Pont Smartbased 12 U. X 70g.,https://articulo.mercadolibre.com.ar/MLA-1594862718-barra-proteica-pont-smartbased-12-u-x-70g-_JM#position=30&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,18.011,Market Nutritivo,Nuevo  |  +100 vendidos,(115 disponibles),Nuevo  |  +100 vendidos,No disponible,#1594862718,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Sabor Chocolate Zucaritas Kelloggs 240g,https://www.mercadolibre.com.ar/cereal-sabor-chocolate-zucaritas-kelloggs-240g/p/MLA28055227?pdp_filters=category:MLA1423#searchVariation=MLA28055227&position=8&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(65 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395259285,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja Barra Natural Break Almendras Chocolate X 20u-lollipop,https://www.mercadolibre.com.ar/caja-barra-natural-break-almendras-chocolate-x-20u-lollipop/p/MLA21645858?pdp_filters=category:MLA1423#searchVariation=MLA21645858&position=11&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,9.403,PUNTONUEZ,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1343876982,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos De Maíz Natural 1kg 3 Arroyos,https://articulo.mercadolibre.com.ar/MLA-1123799734-copos-de-maiz-natural-1kg-3-arroyos-_JM#position=31&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,2.782,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(468 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123799734,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Barrita Cereal Muecas Sabores Surtidos Caja X16u,https://articulo.mercadolibre.com.ar/MLA-1557010242-barra-barrita-cereal-muecas-sabores-surtidos-caja-x16u-_JM#position=32&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,11.000,TIENDAMUECASOFICIAL,Nuevo  |  +100 vendidos,(520 disponibles),Nuevo  |  +100 vendidos,No disponible,#1557010242,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Avena Arrollada Instan X 1 Kg,https://articulo.mercadolibre.com.ar/MLA-873084084-avena-arrollada-instan-x-1-kg-_JM#position=33&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,2.859,BELVEDERETIENDA,Nuevo  |  +500 vendidos,(46 disponibles),Nuevo  |  +500 vendidos,No disponible,#873084084,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Pan Tostado 100 % Integral Riera X 200 Gr,https://www.mercadolibre.com.ar/pan-tostado-100-integral-riera-x-200-gr/p/MLA19774772?pdp_filters=category:MLA1423#searchVariation=MLA19774772&position=12&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.018,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(88 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1229157936,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Galletitas,nan
Nesquik Cereales - 400gr,https://articulo.mercadolibre.com.ar/MLA-1641444036-nesquik-cereales-400gr-_JM#position=34&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,8.557,CPT Oficina,Nuevo  |  +5 vendidos,(65 disponibles),Nuevo  |  +5 vendidos,No disponible,#1641444036,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Coco Y Choco Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-coco-y-choco-laddubar-vegano-sin-tacc/p/MLA25558601?pdp_filters=category:MLA1423#searchVariation=MLA25558601&position=13&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,3.926,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(999 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1465363592,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Limón X 500g - s A Todo El País,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-limon-x-500g-s-a-todo-el-pais/p/MLA26444833?pdp_filters=category:MLA1423#searchVariation=MLA26444833&position=14&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,(47 disponibles),Nuevo  |  +100 vendidos,No disponible,#1384721863,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
