Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Stanley Termo Clásico 1.4 LTS Asa Plegable de acero inoxidable negro,https://www.mercadolibre.com.ar/stanley-termo-clasico-14-lts-asa-plegable-de-acero-inoxidable-negro/p/MLA15542579?pdp_filters=category:MLA47769#searchVariation=MLA15542579&position=12&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,47.999,TECNOCENTER.,Nuevo  |  +10mil vendidos,(3 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1650618628,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Stanley Termo Clásico 950 ml con Tapón Cebador de acero inoxidable 1L rojo,https://www.mercadolibre.com.ar/stanley-termo-clasico-950-ml-con-tapon-cebador-de-acero-inoxidable-1l-rojo/p/MLA15542575?pdp_filters=category:MLA47769#searchVariation=MLA15542575&position=13&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,91.999,GRUPO BAZZ,Nuevo  |  +10mil vendidos,(4 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1528743886,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
"Termo Stanley Classic Rosa 1,4 Litro Con Asa Y Tapón Cebador",https://www.mercadolibre.com.ar/termo-stanley-classic-rosa-14-litro-con-asa-y-tapon-cebador/p/MLA23222363?pdp_filters=category:MLA47769#searchVariation=MLA23222363&position=14&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,97.599,TECNORIGINAL9,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#1402743423,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Mate-system 1.2l. Color Cobre,https://www.mercadolibre.com.ar/termo-stanley-mate-system-12l-color-cobre/p/MLA22675137?pdp_filters=category:MLA47769#searchVariation=MLA22675137&position=15&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,118.759,IMPORTADOSRECOLETAOK,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1634178928,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Stanley Termo Adventure 1 L Blanco Polar Con Tapón Cebador,https://www.mercadolibre.com.ar/stanley-termo-adventure-1-l-blanco-polar-con-tapon-cebador/p/MLA22306182?pdp_filters=category:MLA47769#searchVariation=MLA22306182&position=18&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,44.899,TECNOCENTER.,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405611823,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Original Rojo 950ml Manija Pico Cebador ,https://www.mercadolibre.com.ar/termo-stanley-original-rojo-950ml-manija-pico-cebador/p/MLA21816262?pdp_filters=category:MLA47769#searchVariation=MLA21816262&position=16&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,121.900,WESCAMP.COM.AR,Nuevo  |  +1000 vendidos,(161 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402801633,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley 739 Ml Adventure Polar Blanco Acero Inoxidable,https://www.mercadolibre.com.ar/termo-stanley-739-ml-adventure-polar-blanco-acero-inoxidable/p/MLA22900038?pdp_filters=category:MLA47769#searchVariation=MLA22900038&position=17&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,85.500,FAST-STORE ARGENTINA,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1415567694,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Adventure 500ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=YK2L6dDn7jAKQlI5JnVsZuOKP0h%2BfGXPDEkfJBLUuvDoi30xEtFHQD8JJJVCX55r1kQhJ0IQfDteUSC4TZQ4a3kZRn0sVNtLE6HDx9uNF2cKPqpd9l3SiBFN0VG%2BOyWad5vUjnSwi28QVsQvc5cA6BMpQT%2BK9ETOL%2FqPup6OVkjfpVS1D6emMYM9YFbw5YT6lrqroVER6puuea77ScbCDQlksJqF1fCqdVHxHuBjdNMM%2FUR3DmLjkbRjGNhDc4ZQ%2Boumx31A5BDwqTYchkgvcvANx3flqD35F1HYwT1sU0gkyAlyweOn%2F0nqMhKSlqp1%2Fo2lT02s3fo65gB2SCirq6fiSpNClbTSTgLpPWD3K4dXKoDFjyaIyHJ05yy60OeBhbPBNc%2Fktux4%2FHr3Ajc1oia8rWBngYPk73h%2B5rnwLRfuA09qdxaSsoiY3pnujGfCopb9WTECIFWJT9i0V1Ska0MRwQW8WxSTu20NcraYCIw8YojyXa9vppUj3q%2FSPtEYUvxCYPSPiJxOXZAH46YT21AnbUxf9fuCAyCLJWZ1PrwzYonsDhpXMv3eXiolxktNJty4NoNwvfnyoo%2BIWzYB72Jakk3MuhyQ%2Fxko%2FWGYQahua6JiANKk8yqDX0MW2ZjGiKt73fZuFwZjw3deQFbfTkDEobJfYVhLicCxPvq6LT1AhXJs6ygcxM%2FLDqaCSU7JjSx9jiawZgQoACkF88k63iVkD%2FP1Ocqu6O816QI1P%2BGTsRLoKk9YjrgKvfEwtGF4kcJD%2BixkjsbCeooe5w%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,85.000,Stanley Argentina,Nuevo  |  +5 vendidos,(57 disponibles),Nuevo  |  +5 vendidos,No disponible,#1404175813,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Adventure 739ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=GBK7V%2BlfcT4AA04PHSg7zm5lLMNVZDu2MpjxEJRzF8oD3itDLpYeRXJg335GbVGBOcQT0t6b2gRBs%2Bto5161y59Nae%2Bh1vcvXVuSFVlmbIRcx%2FqLFNGHrGSE3VDBW3IBJ2zpXd6jmkdNmEpoqEH7%2Bqc4QoEjwBMp1%2BkByRyz00mm%2F0Vkdu9LJriPTWxAQRLLG2k8Xg5LVqYCI3maGrxSqvq9Z8beuf3F0xNDscI%2FVaBD1GH7qUdGPmONR5MlAAKMlTzUGx147d01W6ow2Cp8OJMAhDU9h44UG1X%2FKwxEqIxK3SFMlYgRdX3w01n%2BO4T9K8sV%2Bg%2F4s8xRuJZ%2B%2Fw5m63DHHc0%2BG2KFsexZOYnuR7SMB%2FoYByHszZeJjBFhRZPJAKUpXAx8TxFBChtzCVEn2TQtrgQIhy%2Boka9iJagc8WhH2MTu6zftGcgIoBO5nmz3KbPxwJOGgJDtl426pUi8YxRKUt0wv536G0AV9bZPYyFTemBF9LYfFF4LHqk7kHit7D3lNsDDyFUxhaqmf%2FRBRimjJc0TxKLylr4heKx4KNP1pJye0DUyMf2jYOX5FDklh6OzvJPze9JP0yUcaa3IwVhY9a9Gg8Ws%2Blp49VueYwqofzGDOfOOxmCzwV6XZGwb%2B8Rqvd%2FISvG8GGt7nHrTQ%2FuhfUsfpN5jWLTiiU3Varxwt74uJI%2BK71jshfDslDXZUliZPNHhPvmwctfjUQlv7Nu8B8A%2FL2kK84%2BxHK5g%2FGqt593wq2WuzrWKEJEK9%2F1RYpBbrmIVU3Wdiigd&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,95.000,Stanley Argentina,Nuevo  |  +5 vendidos,(40 disponibles),Nuevo  |  +5 vendidos,No disponible,#1404238755,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Stanley Termo Clásico 1.9 LTS de acero inoxidable verde,https://www.mercadolibre.com.ar/stanley-termo-clasico-19-lts-de-acero-inoxidable-verde/p/MLA15542569?pdp_filters=category:MLA47769#searchVariation=MLA15542569&position=21&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,130.000,ELECTRO.AND.HOME,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1364695910,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
 Termo Stanley Adventure To-go Blanco | 1 Lt,https://www.mercadolibre.com.ar/termo-stanley-adventure-to-go-blanco-1-lt/p/MLA25735491?pdp_filters=category:MLA47769#searchVariation=MLA25735491&position=22&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,92.612,TIENDAEASYSHOPPING,Nuevo  |  +100 vendidos,(10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1566928356,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo 1.4lt Clásic Pico Cebador Stanley Camuflado Frio/calor Color Cammo,https://www.mercadolibre.com.ar/termo-14lt-clasic-pico-cebador-stanley-camuflado-friocalor-color-cammo/p/MLA24137532?pdp_filters=category:MLA47769#searchVariation=MLA24137532&position=23&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,110.000,MIAMIAVENTURASHOP,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1385480091,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
"Termo Stanley 1,4lts Verde En Caja Con Tapon Cebador",https://www.mercadolibre.com.ar/termo-stanley-14lts-verde-en-caja-con-tapon-cebador/p/MLA23208048?pdp_filters=category:MLA47769#searchVariation=MLA23208048&position=24&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,142.042,YERBAMATE,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644786054,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Original Mate System Classic 1.2lts,https://articulo.mercadolibre.com.ar/MLA-1375174463-termo-stanley-original-mate-system-classic-12lts-_JM?searchVariation=178093698116#searchVariation=178093698116&position=52&search_layout=stack&type=item&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,133.000,Stanley Argentina,Nuevo  |  +500 vendidos,(15 disponibles),Nuevo  |  +500 vendidos,No disponible,#1375174463,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley 1.4ml Rosa C/ Asas Y Tapon Ceb,https://articulo.mercadolibre.com.ar/MLA-1468927408-termo-stanley-14ml-rosa-c-asas-y-tapon-ceb-_JM?searchVariation=179369487821#searchVariation=179369487821&position=53&search_layout=stack&type=item&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,120.000,Stanley Argentina,Nuevo  |  +100 vendidos,(24 disponibles),Nuevo  |  +100 vendidos,No disponible,#1468927408,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Stanley Termo Clásico 950 ml con Tapón Cebador de acero inoxidable 1L azul,https://www.mercadolibre.com.ar/stanley-termo-clasico-950-ml-con-tapon-cebador-de-acero-inoxidable-1l-azul/p/MLA15543618?pdp_filters=category:MLA47769#searchVariation=MLA15543618&position=25&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,89.990,CAPITAL BAZAAR,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405559787,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Adventure 1 L Pico Cebador Edición Especial Color Nightfall / Edición Especial,https://www.mercadolibre.com.ar/termo-stanley-adventure-1-l-pico-cebador-edicion-especial-color-nightfall-edicion-especial/p/MLA24173193?pdp_filters=category:MLA47769#searchVariation=MLA24173193&position=29&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,98.990,CAPITAL BAZAAR,Nuevo  |  +500 vendidos,(3 disponibles),Nuevo  |  +500 vendidos,No disponible,#1405603679,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Clasica TERMO CLASICO 950 ML de acero inoxidable 950mL negro,https://www.mercadolibre.com.ar/termo-stanley-clasica-termo-clasico-950-ml-de-acero-inoxidable-950ml-negro/p/MLA19731792?pdp_filters=category:MLA47769#searchVariation=MLA19731792&position=35&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,91.190,FREESHOP VENTAS,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1614707406,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Adventure 1 Lt.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=a91PQbW3hzw1sJ61JMF5GCME4XftS7YbVQA%2FuaevgqMgCJ4PkaCFl67S5LuRasBRRDBbHQTGGwdyA0qekAkFaUh4MDPt4FgJt5RVtdIsxRElhKXii%2B%2FkEms1TH%2BV4CMlmQ%2Bi4FqW%2FkHkVwb6vZvpfG%2BpUTueApFlWt7mCPR2H0NDaf5lPOSgBoXdqmzXcv3gNeOwcf0VerBHeyzAEEeSzT6rbesLu8gK80qTljTnRy9Q%2F%2BMb3UAzcXsXWwMBCuk97OFvezigPywfZAGe%2F0zlgZgqSZ32AMmaOJ0qSzg2876JEanLhPZ%2F3W3sxAHoE5wgUhF98JmRPUZItaxQeMM3vuVEbr3a9OJsIKNGoy3021ryVNZl6Do6PPwti%2FXkeej%2FtmlJLa3J521Y9GE27Vz8bOr%2FdDxcSBQTyZmPQUGZNN7GVRF7tvs8eEZ%2BPimKBtjo4y348DfB9JH%2FQVe5WN9kcWQ7qcYiaNvWtCEH4CNvPVOd%2FwfWF7HFhOHrkl7DP3BPUSONhJUi%2B4q0%2FaXxIWWK0npWEwIOa6DKsdswPDJyQ9YhlymLFcfHab7sk7fbatumCxRCEs%2BHwQ%2FhxJQutxmViRvaaYhjB8ADyoGi5JOtwcJVWL0JqCEKK4i5pxz8v%2FdCQexl0cK8HHa%2FVc3ke8oO20XDdIe%2Bp%2Bw3DKl9%2F4ovgr7o5C3Qm0EiX7s%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,101.000,Stanley Argentina,Nuevo  |  +5 vendidos,(43 disponibles),Nuevo  |  +5 vendidos,No disponible,#1404261469,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
