Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Metabolic Max Reduce Grasa Corporal X 60 Caps. Blandas,https://www.mercadolibre.com.ar/metabolic-max-reduce-grasa-corporal-x-60-caps-blandas/p/MLA19700947#searchVariation=MLA19700947&position=21&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,11.997,FARMACIA NOBEL,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1540518088,2024-04-29 10:36:19,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,nan,nan
Mate Uruguayo De Calabaza Premium Mas Bombilla Pico De Loro,https://articulo.mercadolibre.com.ar/MLA-866868025-mate-uruguayo-de-calabaza-premium-mas-bombilla-pico-de-loro-_JM#position=45&search_layout=stack&type=item&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,15.869,TIENDA DOS AMIGOS,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#866868025,2024-04-29 10:36:19,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Café Victoria 100% Natural - Libre De Azúcar -  1 Kg,https://articulo.mercadolibre.com.ar/MLA-1122022298-cafe-victoria-100-natural-libre-de-azucar-1-kg-_JM#position=46&search_layout=stack&type=item&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,27.703,COFFITS.CAFE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1122022298,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"2 Bolsas Nescafé Dolca Suave 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/2-bolsas-nescafe-dolca-suave-1k-nestle-cafe-instantaneo/p/MLA21778152#searchVariation=MLA21778152&position=22&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,48.500,PASTEURVENTAS20230315152612,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1681571854,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Combo Café Molido Tostado Suave 1933 260gr X4,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-suave-1933-260gr-x4/p/MLA28576569#searchVariation=MLA28576569&position=23&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,27.588,Cafe Martinez,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1397615721,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Bolso Matero Matera Un Buen Mate Porta Mate Termo Original  ,https://articulo.mercadolibre.com.ar/MLA-1198279849-bolso-matero-matera-un-buen-mate-porta-mate-termo-original-_JM#position=47&search_layout=stack&type=item&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,10.990,TIENDA MADU,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1198279849,2024-04-29 10:36:19,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Cafe Cabrales 500gr Super Molido Tostado Oferta,https://articulo.mercadolibre.com.ar/MLA-1711363774-cafe-cabrales-500gr-super-molido-tostado-oferta-_JM#position=48&search_layout=stack&type=item&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,10.849,ALEX2800,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1711363774,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café molido tostado intenso 1933 Cafe Martinez con azúcar torrado 260g,https://www.mercadolibre.com.ar/cafe-molido-tostado-intenso-1933-cafe-martinez-con-azucar-torrado-260g/p/MLA22022621#searchVariation=MLA22022621&position=24&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,6.897,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1382867810,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca Suave 1k, Nestlé, Café Instantaneo, Ecopack",https://articulo.mercadolibre.com.ar/MLA-846714210-nescafe-dolca-suave-1k-nestle-cafe-instantaneo-ecopack-_JM#position=49&search_layout=stack&type=item&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,19.924,NUTRISERVICESRL,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#846714210,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Combo Cafe Molido Tostado Brasil 500g Sin Azúcar Agregada X2,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-brasil-500g-sin-azucar-agregada-x2/p/MLA28565002#searchVariation=MLA28565002&position=25&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,31.920,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1584480062,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
