Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Buena Cepa Despolvillador Unidad 1 Negro,https://www.mercadolibre.com.ar/buena-cepa-despolvillador-unidad-1-negro/p/MLA27803604#searchVariation=MLA27803604&position=1&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,6.150,DONALDDRINKS,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1631890996,2024-03-17 21:59:41,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Despolvillador de Yerba,
Té Saint Gottard Rooibos Sabor Avellana Caramelizada,https://www.mercadolibre.com.ar/te-saint-gottard-rooibos-sabor-avellana-caramelizada/p/MLA20007408#searchVariation=MLA20007408&position=6&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.555,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279222335,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Té Twinings Earl Grey 50 Saquitos ,https://www.mercadolibre.com.ar/te-twinings-earl-grey-50-saquitos/p/MLA19735219#searchVariation=MLA19735219&position=3&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,27.590,AVFX1,Nuevo  |  +5mil vendidos,(43 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1689302384,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
"Te Noche Descanso Heredia 25 Saquitos Ensobrados X 37,5 Gr",https://www.mercadolibre.com.ar/te-noche-descanso-heredia-25-saquitos-ensobrados-x-375-gr/p/MLA19900658#searchVariation=MLA19900658&position=5&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.201,GREENANDML,Nuevo  |  +500 vendidos,(13 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1378580510,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Organikal Superfoods Matcha Jengibre Y Limon X 50g,https://www.mercadolibre.com.ar/organikal-superfoods-matcha-jengibre-y-limon-x-50g/p/MLA19972700#searchVariation=MLA19972700&position=2&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,6.496,MAGASHOPEXPRES,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1650865846,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Capsulas Recargables Caffettino x 4Uni Compatibles Nespresso,https://www.mercadolibre.com.ar/capsulas-recargables-caffettino-x-4uni-compatibles-nespresso/p/MLA23532308#searchVariation=MLA23532308&position=16&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,10.500,BLIP,Nuevo  |  +10mil vendidos,(11 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1372262153,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,,
Matcha En Saquitos Con Menta Y Limon,https://www.mercadolibre.com.ar/matcha-en-saquitos-con-menta-y-limon/p/MLA20007121#searchVariation=MLA20007121&position=21&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.555,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293250792,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Mochila Matera Porta Notebook Equipo Para Termo Stanley Madu,https://articulo.mercadolibre.com.ar/MLA-880376207-mochila-matera-porta-notebook-equipo-para-termo-stanley-madu-_JM#position=40&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,27.432,TIENDA MADU,Nuevo  |  +5mil vendidos,(87 disponibles),Nuevo  |  +5mil vendidos,No disponible,#880376207,2024-03-17 21:59:41,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos,
"Té Manzanilla, Canela Y Manzana 15gr",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=myCIaqH1vp3zpEsVlrfFprapkvriUPTff8qA4GwxJKQ0cLxYqDTuOHNTT65%2BOjMb6d6OFdLGtzj8%2BXX9iFI2vG8S9i4LioELOoOHmYInZGQt2XGTgnsp13wlpNzwrzXUqfNHmZ2eQ%2BQ5sG1V2WtIulM1lFAssALA2YLGvHGr5rfuIMQ7%2FRdvXWq6BW%2Be3pAn36%2Bui5YgPvYFHvD62bya57mMXSoBB87Oh%2BUztPi%2FElw%2Fjj74PyLPDQF5Ts5nxfrFIWm2IG2AvfMzp2NUQoL1Pb11sh4JBa%2BI%2FHCV1MCRn%2FWQg%2BVRgFZobx6HVs8J46%2FQEHwxG6fl54n8Bm32QKFgO3rh5sLY4cShOcCjEx07R3BUxJLdZWmMKzJXzmUCN7AUvU3cmt1mPWPoaRd%2BmIuzBBHIldxrmVR18c3sxoWuJQDfSBbMQYz46c%2BHpU%2FVfqGbNmvEbYLbReQpj3KBPtdfzu5DkQjyyzGXU54p7MUIBXLZr2dAl8UHuAv3R0KjN9%2FtxT8imVaymZbCyt7L2ffbHopX7MmHhjjSHzddHBgXjJmbU6mO3cycY%2FEgWgFVJhvxjP2KqzeBpjN3%2BPVlBJ6gR3RJ8lA8QKwH3dJa6ehLUFss9eHrWbY3wtM5ZPcexIZUDGsGbjxUonXEuYx%2F2m%2BIWuYlits6J5rh%2BN8KWTnUnBJpTtxAl%2Bm7A0j2GGW6x1Sv9g%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.625,ASIA ORIENTAL,Nuevo  |  +5 vendidos,(6 disponibles),Nuevo  |  +5 vendidos,No disponible,#1288645745,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Te Matcha Verde 100 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=RBNVHUaOfi7veK58K37DSLC0H8bmm4671C0K7zSOY5UVnvBo4A2hC31%2BVq8CYSD%2BA%2B%2Fo3tC%2FbmJdh51QpepRLIsNMFWYGoPcYS7wB5xCMTqw8OBhoPsbpPkPXIgcPrBH%2FpkIVz1RFiwV%2F7m%2B4Ntuqc6GMY1YcMNl3K7WXAA%2BXCpD0aojeDo%2BGRzG7rXWYf9cLSpN9NB4Wwb%2BnlpgazstgYGPG3x1FhrgVsm0FhMISNh07YSWm%2BTLqUCMl5Hk7804GTJA2vECat%2FmE8z6M1SfaqIFkR8A%2F5clDsYU3KSPWQiF4UIqs9TngD9gEdWUG6oMWIGAVKA09fFb3ZLzwdMuPHe39HncU6fnhwqVnhhV0ZeC9pcRBiNHHtJYUzQzn8AyEIA6Gb834N8JnsmVnSBPBQRrKnO8eJ4tdxj35wQKHJWlJq6mbR6O%2B2h%2BLO%2BMKKQkAjt3lHMOkh%2BqbtUKMB5Z3XvTNHS%2Bv2NFu0a8ja4QSoU2nyVtwUkZhKY8hFYJvAWBcqbrE9ug1HAipxFnKHc3U0DpwIJKSHSFc4cGN1pxsp8Ui6FL6vGwNYPp2xJfGEEymwbH8dNO4LIY7tMmZckIMhkrgtBYRHPdX0%2FfV1LSVlfWh9RghrUE%2BC9tFCsMczfBDHb3BIcOzu4ww%2Bp29p7AgIgsQlT8mRFJFxqTuQ9bMSIykw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,13.200,ASIA ORIENTAL,Nuevo  |  +100 vendidos,(7 disponibles),Nuevo  |  +100 vendidos,No disponible,#794133623,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
