Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=9&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(28 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=15&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(26 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=18&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,5.790,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(54 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=12&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(18 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=13&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.242,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Con Marroc Feeling Felfort Caja Por 30 Unidades,https://www.mercadolibre.com.ar/cereal-con-marroc-feeling-felfort-caja-por-30-unidades/p/MLA19974685?pdp_filters=category:MLA1423#searchVariation=MLA19974685&position=16&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,15.577,MAYORISTALA20221121100650,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1372971916,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=10&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.471,AEH MALL,Nuevo  |  +100 vendidos,(65 disponibles),Nuevo  |  +100 vendidos,No disponible,#1610199118,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bocaditos Integra De Chocolate Con Arandanos 20u X 26g,https://www.mercadolibre.com.ar/bocaditos-integra-de-chocolate-con-arandanos-20u-x-26g/p/MLA21724370?pdp_filters=category:MLA1423#searchVariation=MLA21724370&position=17&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,13.690,VENTA STOREWEB,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1547551350,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Fibras Bastón De Salvado Lasfor Bolsa 200 Gr,https://www.mercadolibre.com.ar/fibras-baston-de-salvado-lasfor-bolsa-200-gr/p/MLA26312163?pdp_filters=category:MLA1423#searchVariation=MLA26312163&position=20&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.600,BLIP,Nuevo  |  +500 vendidos,(20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1480312880,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Granola De Avena Y 4 Nueces X 1kg,https://www.mercadolibre.com.ar/granola-de-avena-y-4-nueces-x-1kg/p/MLA26329385?pdp_filters=category:MLA1423#searchVariation=MLA26329385&position=24&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,5.235,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(16 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480313010,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Granola
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=14&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,2.526,01MERCADO,Nuevo  |  +1000 vendidos,(39 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
