Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua Mineral Ko Sin Gas Libre De Sodio Premium Pack X12 Unid,https://www.mercadolibre.com.ar/agua-mineral-ko-sin-gas-libre-de-sodio-premium-pack-x12-unid/p/MLA22241414?pdp_filters=category:MLA413907#searchVariation=MLA22241414&position=13&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,10.499,CAPSULANDIA,Nuevo  |  +500 vendidos,(4 disponibles),Nuevo  |  +500 vendidos,No disponible,#1427573730,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm/p/MLA21029572?pdp_filters=category:MLA413907#searchVariation=MLA21029572&position=14&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,5.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1408976220,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=15&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,1.316,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1695027816,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Natural Villamanaos 2 Litros,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-natural-villamanaos-2-litros/p/MLA19769485?pdp_filters=category:MLA413907#searchVariation=MLA19769485&position=16&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,6.095,HIELOSANMARTIN,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1422209348,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=17&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,1.229,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#927110757,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Palau Hipertermal Grande X6 - 01mercado,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-palau-hipertermal-grande-x6-01mercado/p/MLA28714390?pdp_filters=category:MLA413907#searchVariation=MLA28714390&position=18&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,6.840,01MERCADO,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1398773973,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Soda Sierra De Los Padres Sifón X  1,75 Litros",https://www.mercadolibre.com.ar/soda-sierra-de-los-padres-sifon-x-175-litros/p/MLA19737990?pdp_filters=category:MLA413907#searchVariation=MLA19737990&position=21&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,2.308,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397225087,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 48 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Ra%2FJiXn3WWDfYin8qr9zxSI%2FeelCHKgqDb%2BrD3QQEaxS9TSLN5ILTU6InNrW7xwSJXp9Am%2BUCJ%2Bl2hGPheGYEm0qBOYF6lZOwkpS9chchSOU4vwO%2FD8nwApNbwgmm4uoOP4fdShDwMn26IsLIZhAkz3SAb%2FzW8PYnLRnNfnbUJ0Ln5j1p%2Be1mH0d3x5hQ2ttR%2B0iXrLDKZpgJDeBTpwciEUj4YfEE2LIXYfUViyRDLceFtlCOaUfOWfSR34C5q0Py70dOVec0LdE2Ht9XxVrleltBQ9sVOXaU1d%2FXZaO7wvsIFrmgylLilfRmKDyKonwmyhV1SHMVfqYsxHBoUTZ6K8S%2BX3Hnmpo308PQ3T1G3xUdNZOBMqbZne%2BytfLap%2BgidpE5zdUC4EDwZACA57ANmYbF4vlcc9ug%2Fos0Mm2CuxAfpIL1LRB8o266lYiGFzkQeVD%2BbIs3oyce2rSvd%2BL8A9EBRldBkVahQn8bKfEwsalr8OAkFDVGdZOzzNEeZYD60LtbOk8ojUHUrrg0q16s1gFBdua950IQTB8CyQZkT3Q1b0RiBxsbPCLTKQWK%2F6lfB5i9V8KBqN5yM5EI9Z3d9VRZrLpo8M%2F96xm3Sw7FH5fyujKhYwsFioCuKcmE1XEk2%2B8yoAlgnyKGZYIf6ZzdIUYqMinvyrCSRJBa0pfxNQDL%2F54GcMVuPZSiJevJHJvojnoxeq%2BE5vmAfTzWhHdUe1eeLL6&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,52.606,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372314629,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=nE7l9sVDOejbny8Sw%2Bx489fiKccwcpMTAs41IZAlIczfMFUlXWq%2FR9VSQmNZ0SdMLj%2BEax6kkZh5J6JitreGJhUBinw0IEX1Hj7hBQkSrspRLG%2FfOYNkN84xvNd%2BVLAMFANVEb59fPWM7DLf5zEVRh%2BXKy%2BiaUpYgsW0%2FILI0QQQdBE5DOE%2BYjagBU%2FoM%2BFRixgK41V1N%2B6mWrqNrbHcNsD%2Bcr57QUw4rObQxV4X%2BnvjWwkFvLEXV1oBZL%2FoO8RrWrvTN%2BlHSlYEEpss9bPe585kaj95UR0Q50PxpVmUnfV8wN0jNdw1nwQFwo8aEz8kFM5HZ4Q2k%2FDXEA08t7HErBfEdBDVBZKoTh8SwKuWDWKDeZGvbYzf7Rlzxm%2B7TbEYuinSEMYJTpCVm7sXIVJmvmmvk5bM5QbeZ8Zj1uecZWaCbWSR9OgMAgyIjCWIelDPD11sUYeSg7ripVefHpgJuwh9DOQB1zTZcRzJGMzrTxxdpSM9TVm67wS5RqQReQNz7I37ft8LfQpzYO8QYJPbhyn6vkJ%2FzUHoYbkCc2AIXyUfoq77N3RmFfdidKYf1stWaqSeneVKZmJYaQSU5mys1hY2VL%2FSLQvttROXcqCPtkjjkCVf4PgvOyf585uPxx1v8EzEo5AnXwLa0NJ4nM9pwaWfga1YX7xfyriH8rWQzuAVO%2F8Rm31Jmc4oCHnwaq0L1nAs9Phx1N2cEnIYCI9HtTXcDxiJ&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,13.625,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=22&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,3.581,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack 12 Botellas 600 Cc,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-pack-12-botellas-600-cc/p/MLA19737994?pdp_filters=category:MLA413907#searchVariation=MLA19737994&position=23&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,5.523,FULL 7X24,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1368027825,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=24&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,2.499,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=25&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,1.358,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(3 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes con gas botella  1.5 L,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-con-gas-botella-15-l/p/MLA16168864?pdp_filters=category:MLA413907#searchVariation=MLA16168864&position=26&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,977,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1728594158,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres 600cc,https://articulo.mercadolibre.com.ar/MLA-1172769241-agua-sierra-de-los-padres-600cc-_JM#position=41&search_layout=stack&type=item&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,493,Mayorista Masivos,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1172769241,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Defense 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-defense-750ml-x1/p/MLA29666966?pdp_filters=category:MLA413907#searchVariation=MLA29666966&position=27&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,1.316,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1413967165,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Soda Ivess Sifon 2 Litros,https://articulo.mercadolibre.com.ar/MLA-1394867447-soda-ivess-sifon-2-litros-_JM#position=42&search_layout=stack&type=item&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,1.760,ARTICULOS MOHE,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1394867447,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=28&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,3.129,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223027468,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
