Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Fideos Tirabuzon Verizzia 500gr,https://articulo.mercadolibre.com.ar/MLA-1284845345-fideos-tirabuzon-verizzia-500gr-_JM#position=43&search_layout=stack&type=item&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,800,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(2484 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284845345,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzon Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-x500-gr/p/MLA19943667?pdp_filters=category:MLA1423#searchVariation=MLA19943667&position=1&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,1.299,TAP GROCERY,Nuevo  |  +10mil vendidos,(882 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280821337,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti libre de gluten sin tacc Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-libre-de-gluten-sin-tacc-matarazzo-500g/p/MLA20949980?pdp_filters=category:MLA1423#searchVariation=MLA20949980&position=3&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,2.806,TAP GROCERY,Nuevo  |  +10mil vendidos,(11 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1305269963,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos penne rigate Matarazzo sin tacc libre de gluten 500g,https://www.mercadolibre.com.ar/fideos-penne-rigate-matarazzo-sin-tacc-libre-de-gluten-500g/p/MLA20882391?pdp_filters=category:MLA1423#searchVariation=MLA20882391&position=2&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,2.695,Ecomodico,Nuevo  |  +10mil vendidos,(161 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581448696,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos  Most.rayad. 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-mostrayad-500-gr-staisabel/p/MLA21164899?pdp_filters=category:MLA1423#searchVariation=MLA21164899&position=5&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,788,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(241 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1395499445,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA1423#searchVariation=MLA19937131&position=4&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,1.359,Ecomodico,Nuevo  |  +10mil vendidos,(481 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1410407141,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-vicente-500g/p/MLA19964512?pdp_filters=category:MLA1423#searchVariation=MLA19964512&position=7&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,1.935,Ecomodico,Nuevo  |  +10mil vendidos,(222 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1688078382,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Rigatoni Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1371103776-fideos-rigatoni-verizzia-500-g-_JM#position=44&search_layout=stack&type=item&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,800,GRUPO ELNENE,Nuevo  |  +5mil vendidos,(646 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1371103776,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Terrabusi Spaghetti N°3 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-spaghetti-n3-500g/p/MLA28544406?pdp_filters=category:MLA1423#searchVariation=MLA28544406&position=8&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,1.027,ECOMODICO,Nuevo  |  +1000 vendidos,(311 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1584459888,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Sin Tacc De Arroz Tradicional Soyarroz X 300 Gr.,https://www.mercadolibre.com.ar/fideos-sin-tacc-de-arroz-tradicional-soyarroz-x-300-gr/p/MLA21807572?pdp_filters=category:MLA1423#searchVariation=MLA21807572&position=9&search_layout=stack&type=product&tracking_id=a8d12c6d-15ff-4bb8-9e2e-80c1fcc4f738,2.280,PURAVIDA STORE,Nuevo  |  +5mil vendidos,(66 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1372544783,2024-03-22 15:41:39,Alimentos y Bebidas,Almacén,Pastas,nan
