Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Te Verde Matcha En Polvo Organikal Hgl X50gr,https://www.mercadolibre.com.ar/te-verde-matcha-en-polvo-organikal-hgl-x50gr/p/MLA22086446#searchVariation=MLA22086446&position=12&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,6.800,MORASHOP,Nuevo  |  +10mil vendidos,(61 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511639362,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Organikal Superfoods Matcha Jengibre Y Limon X 50g,https://www.mercadolibre.com.ar/organikal-superfoods-matcha-jengibre-y-limon-x-50g/p/MLA19972700#searchVariation=MLA19972700&position=7&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,6.661,POSITANO DISTRIBUIDORA,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1391211235,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Te En Saquitos La Virginia Clasico X 100 Sobres,https://www.mercadolibre.com.ar/te-en-saquitos-la-virginia-clasico-x-100-sobres/p/MLA19835209#searchVariation=MLA19835209&position=4&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.831,Ecomodico,Nuevo  |  +5mil vendidos,(126 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1635338952,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Remera Lisa Algodón Jersey Peinado Premium,https://articulo.mercadolibre.com.ar/MLA-619208970-remera-lisa-algodon-jersey-peinado-premium-_JM#position=35&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,8.850,TEES FACTORY,Nuevo  |  +100mil vendidos,(718 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-02-28 11:14:08,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan,
Mate Pampa Xl Boca Juniors + Bombilla Térmico Xeneize Cabj Color Azul,https://www.mercadolibre.com.ar/mate-pampa-xl-boca-juniors-bombilla-termico-xeneize-cabj-color-azul/p/MLA29500138#searchVariation=MLA29500138&position=2&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,29.322,SILMAR BAZAR,Nuevo  |  +100 vendidos,(15 disponibles),Nuevo  |  +100 vendidos,No disponible,#1402975247,2024-02-28 11:14:08,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates,
Te Jengibre Heredia X 25 Saquitos,https://www.mercadolibre.com.ar/te-jengibre-heredia-x-25-saquitos/p/MLA19775507#searchVariation=MLA19775507&position=3&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,1.784,GREENANDML,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1360962220,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Nespresso 4 Capsulas Recargables Cafe Caffettino Ret.,https://www.mercadolibre.com.ar/nespresso-4-capsulas-recargables-cafe-caffettino-ret/p/MLA23532308#searchVariation=MLA23532308&position=5&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,9.660,BLIP,Nuevo  |  +10mil vendidos,(38 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1372355893,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,
Hibiscus Para Infusiones. Flor De Jamaica. 100grs ,https://articulo.mercadolibre.com.ar/MLA-871863001-hibiscus-para-infusiones-flor-de-jamaica-100grs-_JM#position=36&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,6.990,TIENDA-SANA,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#871863001,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Infusión Saint Gottard Frutos Del Bosque X 20 Saquitos,https://www.mercadolibre.com.ar/infusion-saint-gottard-frutos-del-bosque-x-20-saquitos/p/MLA20722766#searchVariation=MLA20722766&position=9&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,3.357,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293270373,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Te Negro Green Hills Classic Clasico Caja 50 Saquitos 2g C/u,https://www.mercadolibre.com.ar/te-negro-green-hills-classic-clasico-caja-50-saquitos-2g-cu/p/MLA19566710#searchVariation=MLA19566710&position=1&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.379,CAPSULANDIA,Nuevo  |  +1000 vendidos,(97 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1167986225,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
