Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Azucar De Coco God Bless You Doypack de 250gr,https://www.mercadolibre.com.ar/azucar-de-coco-god-bless-you-doypack-de-250gr/p/MLA20011148?pdp_filters=category:MLA1423#searchVariation=MLA20011148&position=15&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,10.484,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1280091650,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA1423#searchVariation=MLA20721602&position=20&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,13.340,Cafe Martinez,Nuevo  |  +1000 vendidos,(477 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Oferta! Azucar Blanca Tipo A Delicada 1kg Premium,https://articulo.mercadolibre.com.ar/MLA-1455749198-oferta-azucar-blanca-tipo-a-delicada-1kg-premium-_JM#position=29&search_layout=stack&type=item&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,1.385,CAPSULANDIA,Nuevo  |  +5mil vendidos,(1160 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1455749198,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Hileret Light 500 Grs,https://www.mercadolibre.com.ar/azucar-hileret-light-500-grs/p/MLA21860229?pdp_filters=category:MLA1423#searchVariation=MLA21860229&position=8&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,2.912,ECOMODICO,Nuevo  |  +1000 vendidos,(34 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1413609865,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Oferta! Azucar Ledesma 1000 Sobres Extra Blanco En Belgrano,https://articulo.mercadolibre.com.ar/MLA-1375991090-oferta-azucar-ledesma-1000-sobres-extra-blanco-en-belgrano-_JM#position=32&search_layout=stack&type=item&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,15.999,CAPSULANDIA,Nuevo  |  +500 vendidos,(13 disponibles),Nuevo  |  +500 vendidos,No disponible,#1375991090,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Hileret Light Endulzante Edulcorante X 500 Grs ,https://articulo.mercadolibre.com.ar/MLA-1128661808-azucar-hileret-light-endulzante-edulcorante-x-500-grs-_JM#position=33&search_layout=stack&type=item&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,3.297,AEH MALL,Nuevo  |  +25 vendidos,(2 disponibles),Nuevo  |  +25 vendidos,No disponible,#1128661808,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar mascabo Ba-La-Ju 500g,https://www.mercadolibre.com.ar/azucar-mascabo-ba-la-ju-500g/p/MLA21860232?pdp_filters=category:MLA1423#searchVariation=MLA21860232&position=9&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,2.437,SEMILLA VIVA,Nuevo  |  +1000 vendidos,(96 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400068886,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Gomitas Mogul Rollo Frutas 35 Gr Caja X 12 Unidades,https://www.mercadolibre.com.ar/gomitas-mogul-rollo-frutas-35-gr-caja-x-12-unidades/p/MLA20719183?pdp_filters=category:MLA1423#searchVariation=MLA20719183&position=11&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,3.709,SOBRE-RUEDAS-JUGUETES,Nuevo  |  +10mil vendidos,(5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1367383978,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Azúcar Chango 1kg X Unidad -,https://www.mercadolibre.com.ar/azucar-chango-1kg-x-unidad-/p/MLA20011142?pdp_filters=category:MLA1423#searchVariation=MLA20011142&position=12&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,1.999,ARTICULOS MOHE,Nuevo  |  +10mil vendidos,(6 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1458138474,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
"Azucar En Sobrecitos , 800 Sobres Aprox.  De 6,25 Grs",https://articulo.mercadolibre.com.ar/MLA-1586297870-azucar-en-sobrecitos-800-sobres-aprox-de-625-grs-_JM#position=34&search_layout=stack&type=item&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,12.750,MRENTREGAS,Nuevo  |  +100 vendidos,(25 disponibles),Nuevo  |  +100 vendidos,No disponible,#1586297870,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
